Tamil,Odiya
அடைவு சேவையகம்,ଡିରେକ୍ଟୋରୀ ସର୍ଭର |
அடைவு சேவை,ଡିରେକ୍ଟୋରୀ ସେବା
முடக்கு,ଅକ୍ଷମ କରନ୍ତୁ |
சமிக்ஞையை முடக்குகிறது,ସଙ୍କେତ ଅକ୍ଷମ କରିବା |
துண்டிக்கவும்,ସଂଯୋଗ ବିଚ୍ଛିନ୍ନ କରନ୍ତୁ |
தனித்தனி,ବିଚ୍ଛିନ୍ନ
வட்டு,ଡିସ୍କ
வட்டு முகவரி,ଡିସ୍କ ଠିକଣା
வட்டு வரிசை,ଡିସ୍କ ଆରେ
வட்டு திறன்,ଡିସ୍କ କ୍ଷମତା
வட்டு இயக்கி,ଡିସ୍କ ଡ୍ରାଇଭ
வட்டு கோப்பு,ଡିସ୍କ ଫାଇଲ୍ |
வட்டு நினைவகம்,ଡିସ୍କ ମେମୋରୀ
வட்டு இயக்க முறைமை (DOS),ଡିସ୍କ ଅପରେଟିଂ ସିଷ୍ଟମ୍ (DOS)
வட்டு தொகுப்பு,ଡିସ୍କ ପ୍ୟାକ୍ |
வட்டு சேவையகம்,ଡିସ୍କ ସର୍ଭର |
வட்டு சேமிப்பு,ଡିସ୍କ ସଂରକ୍ଷଣ
வட்டு,ଡିସ୍କେଟ୍ |
காட்சி கோப்பு,ଫାଇଲ୍ ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
காட்சி படத்தை,ପ୍ରତିଛବି ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
அகற்றல்,ନିଷ୍କାସନ
தூரம்,ଦୂରତା
தூர செயல்பாடு,ଦୂରତା କାର୍ଯ୍ୟ
திரித்தல்,ବିକୃତି
விநியோகிக்கப்பட்டது,ବଣ୍ଟିତ |
விநியோகிக்கப்பட்ட தரவு,ବଣ୍ଟିତ ତଥ୍ୟ |
விநியோகிக்கப்பட்ட சேவையகம்,ବଣ୍ଟିତ ସର୍ଭର |
விநியோகிக்கப்பட்ட அமைப்பு,ବଣ୍ଟିତ ସିଷ୍ଟମ୍ |
விநியோகிக்கக்கூடிய,ବଣ୍ଟନକାରୀ
ஆவணம்,ଡକ୍ୟୁମେଣ୍ଟ୍
ஆவணம் மீட்டெடுக்கப்பட்டது,ଡକ୍ୟୁମେଣ୍ଟ ପୁନରୁଦ୍ଧାର ହେଲା |
ஆவண சாளரம்,ଡକ୍ୟୁମେଣ୍ଟ୍ ୱିଣ୍ଡୋ |
ஆவணங்கள்,ଡକ୍ୟୁମେଣ୍ଟେସନ୍
களம்,ଡୋମେନ୍
டொமைன் பெயர்,ଡୋମେନ୍ ନାମ
டாட் மேட்ரிக்ஸ் பிரிண்டர்,ଡଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟର୍ |
கீழ்,ତଳକୁ
கீழ் இணைப்பு,ଡାଉନ୍ ଲିଙ୍କ୍ |
பதிவிறக்கம்,ଡାଉନ୍ ଲୋଡିଙ୍ଗ୍ |
செயலற்ற நேரம்,ଡାଉନ୍ ଟାଇମ୍ |
இழுத்தல்,ଡ୍ରାଗ୍
DRAM (டைனமிக் ரேம்),DRAM (ଗତିଶୀଳ RAM)
சறுக்கல்,drift
இயக்கி,ଡ୍ରାଇଭର |
கைவிட,ଡ୍ରପ୍
கீழ்தோன்றும் பட்டியல் பெட்டி,ତାଲିକା ବାକ୍ସ ଡ୍ରପ୍ କରନ୍ତୁ |
டிரம் டிரைவ்,ଡ୍ରମ୍ ଡ୍ରାଇଭ୍ |
டிரம் பிரிண்டர்,ଡ୍ରମ୍ ପ୍ରିଣ୍ଟର୍ |
டிரம் அலகு,ଡ୍ରମ୍ ୟୁନିଟ୍ |
இரட்டை,ଡୁଆଲ୍ |
இரட்டை அடர்த்தி,ଦ୍ୱ ual ତ ଘନତା |
போலி முகவரி,ଡମି ଠିକଣା
திணிப்பு,ଡମ୍ପିଂ
இரட்டை சுற்று,ଡୁପ୍ଲେକ୍ସ ସର୍କିଟ |
டூப்ளெக்சிங்,ନକଲ
நகல்,ନକଲ
டிவிடி ஆர்/டபிள்யூ,DVD R / W
டிவிடி ரோம்,DVD ROM
மாறும் அறிவுறுத்தல்,ଗତିଶୀଳ ନିର୍ଦ୍ଦେଶ
மாறும் நினைவகம்,ଗତିଶୀଳ ସ୍ମୃତି
இயக்கவியல்,ଗତିଶୀଳତା |
EBCDIC,EBCDIC |
மின் வணிகம்,ଇ-ବ୍ୟବସାୟ |
எதிரொலி,ଇକୋ
மின் வணிகம்,ଇ-ବାଣିଜ୍ୟ |
தொகு,ସମ୍ପାଦନ କରନ୍ତୁ |
ஆசிரியர்,ସମ୍ପାଦକ
கல்வி தொழில்நுட்பம்,ଶିକ୍ଷାଗତ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
EEP ரோம்,EEP ରୋମ୍
பயனுள்ள முகவரி (மிதக்கும் முகவரி),ପ୍ରଭାବଶାଳୀ ଠିକଣା (ଭାସମାନ ଠିକଣା)
பயனுள்ள செயல்பாட்டு முகவரி,ପ୍ରଭାବଶାଳୀ ଅପରେଣ୍ଡ୍ ଠିକଣା |
பயனுள்ள செயல்முறை,ପ୍ରଭାବଶାଳୀ ପ୍ରଣାଳୀ |
பயனுள்ள UID (பயனர் அடையாளம்),ପ୍ରଭାବଶାଳୀ UID (ବ୍ୟବହାରକାରୀ ପରିଚୟ)
பயனுள்ள பரிமாற்ற செயல்பாடு,ପ୍ରଭାବଶାଳୀ ଟ୍ରାନ୍ସମିସନ୍ ଅପରେଣ୍ଡ୍ |
எட்டு பிட் பைட்,ଆଠ-ବିଟ୍ ବାଇଟ୍ |
மின் கற்றல்,ଇ-ଶିକ୍ଷା
தேர்தல்-அல்கிரிதம்,ନିର୍ବାଚନ-ଆଲଗିର୍ଥମ୍ |
மின் அஞ்சல் (மின்னஞ்சல்),ଇଲେକ୍ଟ୍ରିକ୍ ମେଲିଂ (ଇ-ମେଲ୍)
மின்சார அச்சுப்பொறி,ଇଲେକ୍ଟ୍ରିକ୍ ପ୍ରିଣ୍ଟର୍
மின் கணக்கியல் இயந்திரம்,ବ electrical ଦୁତିକ ଆକାଉଣ୍ଟିଂ ମେସିନ୍ |
மின்னணு,ଇଲେକ୍ଟ୍ରୋନିକ୍ |
மின்னணு அனுமதி அமைப்பு (ECS),ଇଲେକ୍ଟ୍ରୋନିକ୍ କ୍ଲିୟରାନ୍ସ ସିଷ୍ଟମ୍ (ECS)
மின்னணு தரவு பரிமாற்றம் (EDI),ଇଲେକ୍ଟ୍ରୋନିକ୍ ଡାଟା ଆଦାନ ପ୍ରଦାନ (EDI)
மின்னணு தரவு செயலாக்கம்,ବ electronic ଦ୍ୟୁତିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
மின்னணு தாக்கல்,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଫାଇଲ୍
மின்னணு நிதி பரிமாற்ற அமைப்பு (EFTS),ଇଲେକ୍ଟ୍ରୋନିକ୍ ପାଣ୍ଠି ସ୍ଥାନାନ୍ତର ସିଷ୍ଟମ୍ (EFTS)
மின்னணு இதழ்கள்,ବ electronic ଦ୍ୟୁତିକ ପତ୍ରିକା
மின்னணு வெளியீடு,ବ electronic ଦ୍ୟୁତିକ ପ୍ରକାଶନ |
மின்னணு சுவிட்ச்,ଇଲେକ୍ଟ୍ରୋନିକ୍ ସୁଇଚ୍ |
உறுப்பு,ଉପାଦାନ
மின்னஞ்சல்,ଇ-ମେଲ୍ |
மின்னஞ்சல் முகவரி,ଈମୈଲ ଠିକଣା
உட்பொதிக்கப்பட்ட அமைப்பு,ଏମ୍ବେଡ୍ ସିଷ୍ଟମ୍ |
உட்பொதித்தல்,ଏମ୍ବେଡିଂ
உமிழ்ப்பான் ஜோடி தர்க்கம் (ECL),ନିର୍ଗତ ଦମ୍ପତି ତର୍କ (ECL)
வெற்று அடுக்கு,ଖାଲି ଷ୍ଟାକ |
வெற்று சரம்,ଖାଲି ଷ୍ଟ୍ରିଙ୍ଗ୍ |
முன்மாதிரி,ଅନୁକରଣ
அடைப்பு,ଏନକାପସୁଲେସନ୍ |
குறியாக்கி,ଏନକାଇଫର୍
குறியாக்கம்,ଏନକୋଡ୍
குறியாக்கி,ଏନକୋଡର୍ |
மறைகுறியாக்கப்பட்ட தரவு,ସଂଗୁପ୍ତ ତଥ୍ୟ
என்கிரிப்ட் கோப்பு முறைமை,ଏନକ୍ରିପ୍ଟିଂ ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
குறியாக்கம்,ଏନକ୍ରିପସନ୍
தொகுதியின் முடிவு,ବ୍ଲକର ଶେଷ
கோப்பின் முடிவு (EOF),ଫାଇଲର ଶେଷ (EOF)
கடைசி பயனாளி,ଶେଷ-ଉପଭୋକ୍ତା |
நுழைய,ପ୍ରବେଶ କର |
நுழைவு விசை,ଏଣ୍ଟର୍-କି
நிறுவன சேவையகம்,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସର୍ଭର |
நிறுவன அமைப்பு,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସିଷ୍ଟମ୍ |
நிறுவனம்,ସଂସ୍ଥା
நிறுவனம்-உறவு,ସଂସ୍ଥା-ସମ୍ପର୍କ |
நுழைவு நேரம்,ପ୍ରବେଶ ସମୟ
நுழைவு மாறி,ଏଣ୍ଟ୍ରି ଭେରିଏବଲ୍ |
எண்ணத்தக்க,ଅସଂଖ୍ୟ |
சூழல்,ପରିବେଶ
சகாப்தம்,ଯୁଗ
EPROM,EPROM
எப்சிலன் மூடல்,ଏପସିଲନ୍ ବନ୍ଦ |
சமநிலைப்படுத்தி,ସମାନତା
உபகரணங்கள்,ଉପକରଣ
சமநிலை வகுப்பு,ସମାନତା ଶ୍ରେଣୀ
சமமான உறவு,ସମାନତା ସମ୍ପର୍କ
அழிக்க,ଲିଭାନ୍ତୁ
பிழை திருத்தும் குறியீடு,ତ୍ରୁଟି ସଂଶୋଧନ କୋଡ୍
பிழை திருத்தம்,ତ୍ରୁଟି ସଂଶୋଧନ
பிழை கண்டறிதல்,ତ୍ରୁଟି ଚିହ୍ନଟ
பிழை கையாளுதல்,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ
பிழை செய்தி,ତ୍ରୁଟି ସନ୍ଦେଶ |
பிழை விகிதம்,ତ୍ରୁଟି ହାର
பிழை மீட்பு,ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
பிழை வழக்கமான,ତ୍ରୁଟି ରୁଟିନ୍ |
தப்பிக்கும் தன்மை,ପଳାୟନ ଚରିତ୍ର |
ஈதர்நெட்,ଇଥରନେଟ୍ |
நிகழ்வு,ଇଭେଣ୍ଟ
நிகழ்வு சங்கிலி,ଇଭେଣ୍ଟ ଶୃଙ୍ଖଳା |
நிகழ்வு கட்டுப்பாடு,ଇଭେଣ୍ଟ ନିୟନ୍ତ୍ରଣ |
நிகழ்வு கவுண்டர்,ଇଭେଣ୍ଟ କାଉଣ୍ଟର
விதிவிலக்கு கையாளுதல்,ବ୍ୟତିକ୍ରମ ନିୟନ୍ତ୍ରଣ |
பரிமாற்றக்கூடிய வட்டு சேமிப்பு,ଅଦଳବଦଳ ଡିସ୍କ ସଂରକ୍ଷଣ ସ୍ଥାନ |
விலக்குதல்,ବହିଷ୍କାର
பிரத்தியேக அல்லது (XOR),ସ୍ୱତନ୍ତ୍ର କିମ୍ବା (XOR)
இயங்கக்கூடிய நிரல்,ଏକଜେକ୍ୟୁଟେବଲ୍ ପ୍ରୋଗ୍ରାମ୍
நிர்வாக அறிக்கை,କାର୍ଯ୍ୟନିର୍ବାହୀ ବିବୃତ୍ତି
முழுமையான தேடல்,ସମ୍ପୁର୍ଣ୍ଣ ସନ୍ଧାନ |
உள்ளன,ବିଦ୍ୟମାନ ଅଛି |
வெளியேறு,ପ୍ରସ୍ଥାନ
நிபுணர் அமைப்பு,ବିଶେଷଜ୍ଞ ବ୍ୟବସ୍ଥା |
வெளிப்பாடு,ଅଭିବ୍ୟକ୍ତି
நீட்டிக்கப்பட்ட வரைகலை வரிசை (XGA),ବିସ୍ତୃତ ଗ୍ରାଫିକ୍ ଆରେ (XGA)
விரிவாக்கப்பட்ட தொழில் தரநிலை (EIS),ବିସ୍ତାରିତ ଶିଳ୍ପ ମାନକ (EIS)
நீட்டிக்கப்பட்ட இயந்திரம்,ବିସ୍ତୃତ ଯନ୍ତ୍ର
நீட்டிக்கப்பட்ட நினைவகம்,ବିସ୍ତୃତ ସ୍ମୃତି
நீட்டிக்கப்பட்ட துல்லியம்,ବିସ୍ତୃତ ସଠିକତା |
நீட்டிக்கப்பட்ட வரிசையாக்கம்,ବିସ୍ତୃତ ସର୍ଟିଂ
வெளிப்புற அழைப்பு,ବାହ୍ୟ କଲ୍
வெளிப்புற பிழை,ବାହ୍ୟ ତ୍ରୁଟି |
வெளிப்புற செயல்பாடு,ବାହ୍ୟ କାର୍ଯ୍ୟ
வெளிப்புற குறுக்கீடு,ବାହ୍ୟ ବାଧା
வெளிப்புற நினைவகம்,ବାହ୍ୟ ସ୍ମୃତି
வெளிப்புற நினைவகம்,ବାହ୍ୟ ସ୍ମୃତି
வெளிப்புற மோடம்,ବାହ୍ୟ ମୋଡେମ୍ |
வெளிப்புற குறிப்பு,ବାହ୍ୟ ସନ୍ଦର୍ଭ
வெளிப்புற தேடல்,ବାହ୍ୟ ସନ୍ଧାନ |
வெளிப்புற சேமிப்பக சாதனம்,ବାହ୍ୟ ସଂରକ୍ଷଣ ଉପକରଣ
பிரித்தெடுத்தல்,ନିଷ୍କାସନ
எக்ஸ்ட்ராபோலேஷன்,ବହିଷ୍କାର
முக எழுத்து அச்சுப்பொறி,ଚେହେରା-ଅକ୍ଷର ପ୍ରିଣ୍ଟର୍ |
தோல்வி-பாதுகாப்பான செயல்பாடு,ବିଫଳ-ନିରାପଦ କାର୍ଯ୍ୟ
தோல்வி விகிதம்,ବିଫଳତା ହାର
தோல்வி மீட்பு,ବିଫଳତା ପୁନରୁଦ୍ଧାର
தவறான குறியீடு,ମିଥ୍ୟା କୋଡ୍
தவறான பிழை,ମିଥ୍ୟା ତ୍ରୁଟି |
ரசிகர்-இன்,ପ୍ରଶଂସକ
ரசிகர்-அவுட்,ପ୍ରଶଂସକ
பாசிமைல் I/O சாதனம்,ଆକର୍ଷଣୀୟ I / O ଉପକରଣ |
வேகமான நான்கு உருமாற்றம் (FFT),ଦ୍ରୁତ ଫୁରିଅର୍ ଟ୍ରାନ୍ସଫର୍ମ (FFT)
கொடிய பிழை,ସାଂଘାତିକ ତ୍ରୁଟି |
தவறு கண்டறிதல்,ତ୍ରୁଟି ଚିହ୍ନଟ
தவறு கண்டறிதல்,ତ୍ରୁଟି ନିଦାନ
தவறு சகிப்புத்தன்மை,ଦୋଷ ସହନଶୀଳତା |
தொலைநகல்,ଫ୍ୟାକ୍ସ
தொலைநகல் செய்தி,ଫ୍ୟାକ୍ସ ବାର୍ତ୍ତା |
FDC,FDC
அம்சம் கண்டறிதல்,ବ feature ଶିଷ୍ଟ୍ୟ ଚିହ୍ନଟ
உணவு சுழற்சி,ଫିଡ୍ ଚକ୍ର |
பின்னூட்டம்,ମତାମତ
ஊட்டி,ଫିଡର୍ |
எடுக்க,ଆଣ |
ஃபைபோனச்சி தேடல்,ଫାଇବୋନାକ୍ସି ସନ୍ଧାନ |
ஃபைபோனச்சி வரிசை,ଫାଇବୋନାକ୍ସି କ୍ରମ |
ஃபைபோனச்சி தொடர்,ଫାଇବୋନାକ୍ସି ସିରିଜ୍ |
ஃபைபர் ஆப்டிக்ஸ்,ଫାଇବର ଅପ୍ଟିକ୍ସ |
fido net,ଫିଡୋ ନେଟ୍ |
களம்,କ୍ଷେତ୍ର
ஐந்தாம் தலைமுறை கணினிகள்,ପଞ୍ଚମ ପି generation ଼ିର କମ୍ପ୍ୟୁଟରଗୁଡିକ |
கோப்பு,ଫାଇଲ୍ |
கோப்பு அணுகல் முறை,ଫାଇଲ୍ ପ୍ରବେଶ ପଦ୍ଧତି |
கோப்பு ஒதுக்கீடு அட்டவணை,ଫାଇଲ୍ ଆବଣ୍ଟନ ସାରଣୀ |
கோப்பு சுருக்கம்,ଫାଇଲ୍ ସଙ୍କୋଚନ |
கோப்பு நகலெடுக்கிறது,ଫାଇଲ୍ କପି
கோப்பு தளவமைப்பு,ଫାଇଲ୍ ଲେଆଉଟ୍ |
கோப்பு ஒன்றிணைத்தல்,ଫାଇଲ୍ ମିଶ୍ରଣ |
கோப்பு மீட்பு,ଫାଇଲ୍ ପୁନରୁଦ୍ଧାର
கோப்பு சேமிப்பு,ଫାଇଲ୍ ଷ୍ଟୋରେଜ୍ |
கோப்பு அமைப்பு,ଫାଇଲ୍ ଗଠନ
கோப்பு முறை,ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
கோப்பு பரிமாற்றம்,ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର |
கோப்பு பரிமாற்ற நெறிமுறை (FTP),ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର ପ୍ରୋଟୋକଲ୍ (FTP)
வடிகட்டி,ଫିଲ୍ଟର୍
இறுதி நிலை,ଅନ୍ତିମ ଅବସ୍ଥା |
கண்டுபிடிக்க,ଖୋଜ |
வரையறுக்கப்பட்ட நிலை இயந்திரம்,ସୀମିତ ରାଜ୍ୟ ଯନ୍ତ୍ର |
தீ சுவர்,ଅଗ୍ନି କାନ୍ଥ
நிலைபொருள்,ଫର୍ମୱେୟାର |
முதலில் வருபவர்களுக்கு முன்னுரிமை,ପ୍ରଥମେ ସେବା କର |
முதல் தலைமுறை கணினி,ପ୍ରଥମ ପି generation ଼ିର କମ୍ପ୍ୟୁଟର |
ஃபர்ஸ்ட் இன் ஃபர்ஸ்ட் அவுட் (FIFO),ପ୍ରଥମରେ ପ୍ରଥମ (FIFO)
முதல் வரிசை தர்க்கம்,ପ୍ରଥମ କ୍ରମ ତର୍କ |
முதல் வரிசை கோட்பாடு,ପ୍ରଥମ କ୍ରମ ସିଦ୍ଧାନ୍ତ |
நிலையான பகிர்வு,ସ୍ଥିର ବିଭାଜନ
கொடி,ପତାକା
நெகிழ்வான வட்டு,ନମନୀୟ ଡିସ୍କ |
நெகிழ் வட்டு,ଫ୍ଲପି ଡିସ୍କ |
நெகிழ் வட்டு இயக்கி (Fdd),ଫ୍ଲପି ଡିସ୍କ ଡ୍ରାଇଭ (Fdd)
ஓட்ட விளக்கப்படம்,ଫ୍ଲୋ ଚାର୍ଟ
கட்டுப்பாட்டு ஓட்டம்,ନିୟନ୍ତ୍ରଣ ପ୍ରବାହ |
பறிப்பு,ଫ୍ଲାଶ୍
கோப்புறை,ଫୋଲ୍ଡର
எழுத்துரு,ଫଣ୍ଟ
எழுத்துரு குடும்பம்,ଫଣ୍ଟ ପରିବାର
வெளிநாட்டு விசை,ବିଦେଶୀ ଚାବି |
வடிவம்,ଫର୍ମ
முறையான மொழி,ଆନୁଷ୍ଠାନିକ ଭାଷା |
முறையான அமைப்பு,ଆନୁଷ୍ଠାନିକ ବ୍ୟବସ୍ଥା |
வடிவம்,ଫର୍ମାଟ୍
வடிவமைத்தல்,ଫର୍ମାଟିଂ
ஃபோர்ட்ரான்,fortran
fortran நிரலாக்க,fortran ପ୍ରୋଗ୍ରାମିଂ |
முன்னோக்கி சாய்வு,ଅଗ୍ରଗାମୀ ସ୍ଲାସ୍ |
நான்காம் தலைமுறை கணினி,ଚତୁର୍ଥ ପି generation ଼ିର କମ୍ପ୍ୟୁଟର |
துண்டு,ଖଣ୍ଡ
சட்டகம்,ଫ୍ରେମ୍
இலவச வலை,ମାଗଣା ଜାଲ
இலவச மென்பொருள் அடித்தளம்,ମାଗଣା ସଫ୍ଟୱେର୍ ଫାଉଣ୍ଡେସନ୍ |
இலவச சேமிப்பு,ମାଗଣା ସଂରକ୍ଷଣ
இலவச மென்பொருள்,ମାଗଣା |
முன் முனை,ସାମନା ପ। ଖ
முன் குழு,ଆଗ ପ୍ୟାନେଲ୍ |
செயல்பாடு,କାର୍ଯ୍ୟ
செயல்பாட்டு விசை,ଫଙ୍କସନ୍ କୀ
செயல்பாடு குறிப்பு,ଫଙ୍କସନ୍ ରେଫରେନ୍ସ
செயல்பாட்டு சார்பு,କାର୍ଯ୍ୟକ୍ଷମ ନିର୍ଭରଶୀଳତା |
செயல்பாட்டு சோதனை,କାର୍ଯ୍ୟକ୍ଷମ ପରୀକ୍ଷଣ |
தெளிவற்ற தர்க்கம்,ଅସ୍ପଷ୍ଟ ତର୍କ
தெளிவற்ற தொகுப்பு,ଅସ୍ପଷ୍ଟ ସେଟ୍ |
ஆதாயம்,ଲାଭ
விளையாட்டு மரம்,ଖେଳ ବୃକ୍ଷ
இடைவெளி பாத்திரம்,ଫାଙ୍କ ବର୍ଣ୍ଣ
குப்பை,ଅଳିଆ
குப்பை சேகரிப்பு,ଅଳିଆ ସଂଗ୍ରହ
குப்பை சேகரிப்பு,ଅଳିଆ ସଂଗ୍ରହ
குப்பையில் குப்பை (GIGO),ଅଳିଆ ଆବର୍ଜନା (GIGO)
வாயில்,ଫାଟକ
நுழைவாயில்,ଗେଟୱେ
பொது திட்டம்,ସାଧାରଣ ପ୍ରୋଗ୍ରାମ୍
பொது திட்டம்,ସାଧାରଣ ପ୍ରୋଗ୍ରାମ୍
பொது நோக்கம் கணினி,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ କମ୍ପ୍ୟୁଟର |
பொது நோக்கம் கணினி,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ କମ୍ପ୍ୟୁଟର |
பொது பதிவு,ସାଧାରଣ ରେଜିଷ୍ଟର |
பொதுமைப்படுத்தல்,ସାଧାରଣକରଣ
பொதுமைப்படுத்தல்,ସାଧାରଣକରଣ
பொது நோக்க மொழி,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ଭାଷା |
பொது நோக்க இயக்க முறைமை,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ଅପରେଟିଂ ସିସେମ୍ |
பொது நோக்கப் பதிவேடு,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ରେଜିଷ୍ଟର |
உருவாக்கப்பட்ட பிழை,ସୃଷ୍ଟି ହୋଇଥିବା ତ୍ରୁଟି |
செயல்பாடு உருவாக்கும்,କାର୍ଯ୍ୟ ସୃଷ୍ଟି
பொதுவான வகுப்பு,ଜେନେରିକ୍ କ୍ଲାସ୍ |
பொதுவான செயல்பாடு,ଜେନେରିକ୍ ଫଙ୍କସନ୍
பொதுப்பெயர்,ସାଧାରଣ ନାମ
ஜிகோ,ଜିଗୋ
உலகளாவிய,ବିଶ୍ global ସ୍ତରୀୟ
உலகளாவிய குறியீடு,ଗ୍ଲୋବାଲ୍ କୋଡ୍
உலகளாவிய பூட்டு,ଗ୍ଲୋବାଲ୍ ଲକ୍ |
உலகளாவிய நெட்வொர்க்,ଗ୍ଲୋବାଲ୍ ନେଟୱାର୍କ |
உலகளாவிய நெட்வொர்க்,ଗ୍ଲୋବାଲ୍ ନେଟୱାର୍କ |
உலகளாவிய பயனர்,ବିଶ୍ global ବ୍ୟବହାରକାରୀ |
உலகளாவிய மாறி,ଗ୍ଲୋବାଲ୍ ଭେରିଏବଲ୍ |
உலகமயமாக்கல்,ଜଗତୀକରଣ
கோபர்,ଗୋଫର୍
கோபர் வாடிக்கையாளர்,ଗୋଫର୍ କ୍ଲାଏଣ୍ଟ |
கோபர் சர்வர்,ଗୋଫର୍ ସର୍ଭର |
கோபர் தளம்,ଗୋଫର୍ ସାଇଟ୍ |
கோபர் விண்வெளி,ଗୋଫର୍ ସ୍ପେସ୍ |
அழகான சீரழிவு,ଅନୁଗୁଳ ଅବନତି |
இலக்கண சரிபார்ப்பவர்,ବ୍ୟାକରଣ ଯାଞ୍ଚକାରୀ |
இலக்கணம் நேர்த்தியான வெளியேற்றம்,ବ୍ୟାକରଣ ଅନୁଗୁଳ ପ୍ରସ୍ଥାନ
பெரும் மொத்தம்,ସର୍ବ ମୋଟ
வரைபடம்,ଗ୍ରାଫ୍
வரைபடம் வரைதல்,ଗ୍ରାଫ୍ ପ୍ଲଟିଂ
வரைகலை பாத்திரம்,ଗ୍ରାଫିକ୍ ବର୍ଣ୍ଣ
வரைகலை கட்டுப்படுத்தி,ଗ୍ରାଫିକ୍ ନିୟନ୍ତ୍ରକ |
வரைகலை தரவு அமைப்பு,ଗ୍ରାଫିକ୍ ଡାଟା ଗଠନ
வரைகலை காட்சி நிரல்,ଗ୍ରାଫିକ୍ ପ୍ରଦର୍ଶନ ପ୍ରୋଗ୍ରାମ୍
கிராஃபிக் காட்சி தீர்மானம்,ଗ୍ରାଫିକ୍ ପ୍ରଦର୍ଶନ ରେଜୋଲୁସନ
வரைகலை மொழி,ଗ୍ରାଫିକ୍ ଭାଷା
வரைகலை மொழி,ଗ୍ରାଫିକ୍ ଭାଷା
வரைகலை குழு,ଗ୍ରାଫିକ୍ ପ୍ୟାନେଲ୍ |
வரைகலை அனிமேஷன்,ଆଲେଖୀକ ଆନିମେସନ୍ |
வரைகலை இடைமுக வடிவம் (GIF),ଆଲେଖୀକ ଇଣ୍ଟରଫେସ୍ ଫର୍ମାଟ୍ (GIF)
வரைகலை பயனர் இடைமுகம் (GUI),ଆଲେଖୀକ ବ୍ୟବହାରକାରୀ ଅନ୍ତରାପୃଷ୍ଠ (GUI)
கிராபிக்ஸ்,ଗ୍ରାଫିକ୍ସ
கிராபிக்ஸ் பயன்பாடு,ଗ୍ରାଫିକ୍ସ ପ୍ରୟୋଗ |
கிராபிக்ஸ் கர்சர்,ଗ୍ରାଫିକ୍ସ କର୍ସର୍ |
கிராபிக்ஸ் முறை,ଗ୍ରାଫିକ୍ସ ମୋଡ୍ |
கிராபிக்ஸ் தொகுப்பு,ଗ୍ରାଫିକ୍ସ ପ୍ୟାକେଜ୍ |
வரைகலை மென்பொருள்,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ |
வரைகலை மென்பொருள்,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ |
வரைகலை மென்பொருள் தொகுப்பு,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ ପ୍ୟାକେଜ୍ |
சாம்பல் அளவு,ଧୂସର ସ୍କେଲ
பேராசை முறை,ଲୋଭୀ ପଦ୍ଧତି |
grep,grep
கட்டம்,ଗ୍ରୀଡ୍
கட்ட விளக்கப்படம்,ଗ୍ରୀଡ୍ ଚାର୍ଟ |
கட்டம் கம்ப்யூட்டிங்,ଗ୍ରୀଡ୍ ଗଣନା
கட்டம் பண்பேற்றம்,ଗ୍ରୀଡ୍ ମଡ୍ୟୁଲେସନ୍
தரை அலை,ଭୂତଳ ତରଙ୍ଗ |
குழு,ଗୋଷ୍ଠୀ
குழு முகவரி,ଗୋଷ୍ଠୀ ଠିକଣା
குழு குறியீடு,ଗୋଷ୍ଠୀ କୋଡ୍
குழு தொடர்பு,ଗୋଷ୍ଠୀ ଯୋଗାଯୋଗ |
குழு தொடர்பு,ଗୋଷ୍ଠୀ ଯୋଗାଯୋଗ |
குழு அடையாளம்,ଗୋଷ୍ଠୀ ପରିଚୟ
குழு பெயர்,ଗୋଷ୍ଠୀ ନାମ
குழுபொருள்,ଗୋଷ୍ଠୀ ସଫ୍ଟୱେର୍ |
வளர்ச்சி,ଅଭିବୃଦ୍ଧି |
காவலர்,ରାକ୍ଷୀ
வழிகாட்டப்பட்ட ஊடகங்கள்,ଗାଇଡ୍ ମିଡିଆ |
துப்பாக்கி சிப்,ବନ୍ଧୁକ
ஊடுருவு,ହ୍ୟାକ୍
ஹேக்கர்,ହ୍ୟାକର
