Malayalam,Bengali
"ഇലക്ട്രോണിക് ഡാറ്റ
 നടപടി
 ഏര്പ്പാട്","বৈদ্যুতিন ডেটা
 প্রক্রিয়াজাতকরণ
 পদ্ধতি"
ഇലക്ട്രോണിക് പൂരിപ്പിക്കൽ,বৈদ্যুতিন ফিলিং
"ഇലക്ട്രോണിക് ഫണ്ടുകൾ
 കൈമാറ്റം സിസ്റ്റം","বৈদ্যুতিন তহবিল
 স্থানান্তর সিস্টেম"
ഇലക്ട്രോണിക് മെയിലിംഗ്,বৈদ্যুতিন মেলিং
"ഇലക്ട്രോണിക് സന്ദേശം
 സേവനം","বৈদ্যুতিন বার্তা
 পরিষেবা"
"ഇലക്ട്രോണിക് സന്ദേശം
 ഏര്പ്പാട്","বৈদ্যুতিন বার্তা
 পদ্ধতি"
ഇലക്ട്രോണിക് പ്രിന്റർ,বৈদ্যুতিন প্রিন্টার
ഇലക്ട്രോണിക് സ്കെയിലുകൾ,বৈদ্যুতিক স্কেল
"ഇലക്ട്രോണിക്
 സ്ഥിതിവിവരമശാല
 യന്തം","বৈদ্যুতিক
 পরিসংখ্যান
 মেশিন"
ഇലക്ട്രോണിക് സ്വിച്ച്,বৈদ্যুতিন সুইচ
"ഇലക്ട്രോണിക്
 സംവിധാനം സ്വിച്ചുചെയ്യുന്നു","বৈদ্যুতিক
 স্যুইচিং সিস্টেম"
"ഇലക്ട്രോണിക്
 വിവര്ത്തകന്","বৈদ্যুতিক
 অনুবাদক"
ഇലക്ട്രോണിക് ട്യൂട്ടർ,বৈদ্যুতিন টিউটর
"ഇലക്ട്രോസ്റ്റാറ്റിക്
 വ്യതിചലനം","ইলেক্ট্রোস্ট্যাটিক
 ডিফ্লেশন"
"ഇലക്ട്രോസ്റ്റാറ്റിക്
 പ്രിന്റർ","ইলেক্ট্রোস্ট্যাটিক
 প্রিন্টার"
"ഇലക്ട്രോസ്റ്റാറ്റിക്
 അച്ചടി","ইলেক্ট্রোস্ট্যাটিক
 মুদ্রণ"
"ഇലക്ട്രോസ്റ്റാറ്റിക്
 ശേഖരണം","ইলেক্ট্রোস্ট্যাটিক
 স্টোরেজ"
മൂലകം,উপাদান
പ്രാഥമിക ഇനം,প্রাথমিক আইটেম
"മൂലകം
 പ്രീറെസെയിവർ
 വിശകലന","প্রাথমিক
 প্রিরসিভার এবং
 বিশ্লেষক"
"മൂലകം
 മുഖഭാവം","উপাদান
 অভিব্যক্তি"
മൂലകം സ്ട്രിംഗ്,উপাদান স্ট্রিং
"മൂലകം വേരിയബിൾ
എലിമിനേഷൻ ഘടകം","উপাদান পরিবর্তনশীল
নির্মূল ফ্যাক্টর"
അല്ലെങ്കിൽ ക്ലോസ്,অন্য ধারা
അല്ലെങ്കിൽ ക്ലോസ് വകുപ്പ്,অন্য ধারা নিয়ম
ഉക്കോളജിക്കൽ,উদ্বিগ্ন
അടിയന്തര പരിപാലനം,জরুরী রক্ষণাবেক্ষণ
"അടിയന്തരാവസ്ഥ
 പരിപാലനം
 കാലം","জরুরী
 রক্ষণাবেক্ষণ
 সময়"
"പുറപ്പെടുവിച്ചു
 തര്ക്കശാസ്തം","ইমিটার যুগল
 যুক্তি"
ശൂന്യമായ മാധ്യമം,খালি মাধ্যম
ശൂന്യമായ സ്ട്രിംഗ്,খালি স্ট্রিং
അനുകലിക്കുക,অনুকরণ
അനുകലനം,অনুকরণ
"എമുലേറ്റർ
 തലമുറ","এমুলেটর
 প্রজন্ম"
കഴിവുണ്ടാക്കുക,সক্ষম করুন
പ്രവർത്തനക്ഷമമുള്ള,সক্ষম
പ്രവർത്തനക്ഷമമാക്കിയ മൊഡ്യൂൾ,সক্ষম মডিউল
പ്രാപ്തമാക്കി പേജ് തെറ്റ്,সক্ষম পৃষ্ঠা ত্রুটি
പൾസ് പ്രവർത്തനക്ഷമമാക്കുക,নাড়ি সক্ষম করুন
സിഗ്നൽ പ്രവർത്തനക്ഷമമാക്കുന്നു,সংকেত সক্ষম করা
എസിഷർ,এনসিফার
എമിസെറഡ് ഡാറ്റ,এনসিফারড ডেটা
എൻകോഡ്,এনকোড
എൻകോഡുചെയ്ത പോയിന്റ്,এনকোডেড পয়েন্ট
എൻകോഡുചെയ്ത ചോദ്യം,এনকোডেড প্রশ্ন
എൻകോഡർ,এনকোডার
എൻക്രിപ്ഷൻ,জোড়া লাগানো
"ചുറ്റും അവസാനിക്കുക
 കടംവാങ്ങുക","চারপাশে শেষ
 ধার"
ചുറ്റും അവസാനിക്കുക,ক্যারি প্রায় শেষ
ഷിഫ്റ്റിന് ചുറ്റും അവസാനിക്കുക,শিফট কাছাকাছি শেষ
അവസാന ഡാറ്റ ചിഹ്നം,শেষ ডেটা প্রতীক
അവസാനിപ്പിക്കൽ അവസാനിപ്പിക്കുക,শেষ বিকৃতি
അവസാന ഉപകരണം,শেষ উপকরণ
അവസാനം അടയാളപ്പെടുത്തുക,শেষ চিহ্ন
വിലാസത്തിന്റെ അവസാനം,ঠিকানা শেষ
ബ്ലോക്കിന്റെ അവസാനം,ব্লকের শেষ
"ഡാറ്റയുടെ അവസാനം
 സൂചകം","ডেটা শেষ
 সূচক"
അന്തിമ ഓഫീസ്,শেষ অফিস
ഫയൽ ലേബലിന്റെ അവസാനം,ফাইল লেবেল শেষ
ഫയൽ മാർക്കിന്റെ അവസാനം,ফাইল চিহ্নের সমাপ্তি
ഫാമിന്റെ അവസാനം,খামারের শেষ
"മീഡിയം അവസാനിക്കുക
 കഥാപാതം","মাঝারি সমাপ্তি
 চরিত্র"
"സന്ദേശത്തിന്റെ അവസാനം
 കോഡ്","বার্তা শেষ
 কোড"
"റെക്കോർഡിന്റെ അവസാനം
 വാക്ക്","রেকর্ড শেষ
 শব্দ"
വാചകത്തിന്റെ അവസാനം,পাঠ্যের শেষ
"എഞ്ചിനീയറിംഗ്
 ഗ്രാഫിക്സ്","প্রকৌশল
 গ্রাফিক্স"
"മെച്ചപ്പെടുത്താവുന്ന
 ഭാഷ","বর্ধনযোগ্য
 ভাষা"
പവേശിക്കുക,প্রবেশ করুন
"നൽകുക / അന്വേഷിക്കുക
 മാതിരി","প্রবেশ/তদন্ত
 মোড"
കീ നൽകുക,কী প্রবেশ করান
എന്റർപ്രൈസ് നമ്പർ,এন্টারপ্রাইজ নম্বর
എന്റിറ്റി ആശയം,সত্তা ধারণা
എൻട്രി ബ്ലോക്ക്,এন্ট্রি ব্লক
പ്രവേശന അവസ്ഥ,প্রবেশের শর্ত
പ്രവേശന സ്ഥിരത,ধ্রুবক প্রবেশ
എൻട്രി എക്സ്പ്രഷൻ,এন্ট্রি এক্সপ্রেশন
പ്രവേശന നിർദ്ദേശം,প্রবেশের নির্দেশনা
എൻട്രി പേര്,প্রবেশের নাম
എൻട്രി പോയിന്റ്,এন্ট্রি পয়েন্ট
പ്രവേശന ഭാഗം,প্রবেশের অংশ
എൻട്രി സോർട്ടിംഗ്,এন্ট্রি বাছাই
പ്രവേശന ചിഹ്നം,প্রবেশ প্রতীক
പ്രവേശന സമയം,প্রবেশের সময়
പ്രവേശന മൂല്യം,প্রবেশের মান
പ്രവേശന വേരിയബിൾ,এন্ট্রি ভেরিয়েবল
"എൻവലപ്പ് കാലതാമസം
 വളച്ചൊടിക്കൽ","খামে বিলম্ব
 বিকৃতি"
പരിസ്ഥിതി,পরিবেশ
"പരിസ്ഥിതി
 വിവരണം
 പ്രസ്താവന","পরিবেশ
 বর্ণনা
 বিবৃতি"
"പരിസ്ഥിതി
 ഡിവിഷൻ","পরিবেশ
 বিভাগ"
"പരിസ്ഥിതി
 പോയിന്തം","পরিবেশ
 পয়েন্টার"
എപിലോഗ്,এপিলগ
"എപ്രോം
(വസ്ത്രധാരണം ചെയ്യാവുന്ന
 പ്രോഗ്രാം ചെയ്യാവുന്ന
 വായിക്കാൻ മാത്രം
 മെമ്മറി)","ইপ্রম
(ক্ষয়যোগ্য
 প্রোগ্রামযোগ্য
 শুধুমাত্র পাঠযোগ্য
 স্মৃতি)"
"തുല്യ നേട്ടം
 സകാരമുറി","সমান লাভ
 চেম্বার"
സമവാക്രം,সমতুল্য
സജ്ജീകരണം,সরঞ্জাম
ഉപകരണ ചാർജ്,সরঞ্জাম চার্জ
ഉപകരണ ക്ലോക്ക്,সরঞ্জাম ঘড়ি
"സജ്ജീകരണം
 അനുയോജ്യത","সরঞ্জাম
 সামঞ্জস্যতা"
ഉപകരണ പരാജയം,যান্ত্রিক গোলযোগ
ഉപകരണങ്ങൾ,সরঞ্জাম দিক
തുലവിവരണം,সমতুল্যতা
"തുലവിവരണം
 ശസ്തകിയ","সমতুল্যতা
 অপারেশন"
"തുല്യ ബൈനറി
 അക്ക ഘടകം","সমতুল্য বাইনারি
 ডিজিট ফ্যাক্টর"
"തുല്യമായ നാല്
 വയർ സിസ്റ്റം","সমতুল্য চার
 তারের সিস্টেম"
രക്വിവോക്കേഷൻ,সমতুল্যতা
"വസാമാക്കാനാവാത്ത
 പ്രോഗ്രാം ചെയ്യാവുന്ന
 വായിക്കാൻ മാത്രം
 സ്മരണം","ক্ষয়যোগ্য
 প্রোগ্রামযোগ্য
 শুধুমাত্র পাঠযোগ্য
 স্মৃতি"
മായ്ക്കാവുന്ന സംഭരണം,ক্ষয়যোগ্য স্টোরেজ
തുടച്ചുമാറ്റുക,মুছুন
പ്രതീകം മായ്ക്കുക,চরিত্রটি মুছুন
മധുരം മായ്ക്കുക,মাথা মুছুন
എർലാംഗ്,এরলং
പിശക് വിശകലനം,ত্রুটি বিশ্লেষণ
പിശക് പരിശോധന,ত্রুটি পরীক্ষা করা
"പിശക് ശരിയാക്കുന്നു
 കോഡ്","ত্রুটি সংশোধন
 কোড"
തെറ്റ് തിരുത്തൽ,ত্রুটি সংশোধন
പിശക് കണ്ടെത്തൽ,ত্রুটি সনাক্তকরণ
പിശക് ഡയഗ്നോസ്റ്റിക്സ്,ত্রুটি ডায়াগনস্টিকস
പിശക് വീണ്ടും ശ്രമിക്കുക,ত্রুটি আবার চেষ্টা করুন
പിശക് സിഗ്നൽ,ত্রুটি সংকেত
പിശക് സ്പാൻ,ত্রুটি স্প্যান
പിശക് ടേപ്പ്,ত্রুটি টেপ
ഒഴിവാക്കുക പ്രതീകം,পালানো চরিত্র
രക്ഷപ്പെടുക,পালানো কোড
"ഇ-സമയം (വധശിക്ഷ
 സമയം)","ই-টাইম (এক্সিকিউশন
 সময়)"
യൂലെറിയൻ പാത,ইউলরিয়ান পথ
ഇലൂറിന്റെ രീതി,ইউলারের পদ্ধতি
പാരിറ്റി പരിശോധന പോലും,এমনকি প্যারিটি চেক
ഇവന്റ് ശൃംഖല,ইভেন্ট চেইন
ഇവന്റ് പൂർത്തിയാക്കൽ,ইভেন্ট সমাপ্তি
"ഇവന്റ് നിയന്ത്രണം
 ഉപരോധിക്കുക","ইভেন্ট নিয়ন্ত্রণ
 ব্লক"
ഇവന്റ് പോസ്റ്റിംഗ്,ইভেন্ট পোস্টিং
ഇവന്റ് ആരംഭിക്കുന്നു,ইভেন্ট শুরু
ഇവന്റ് വേരിയബിൾ,ইভেন্টের পরিবর্তনশীল
ശേഷി കവിയുക,ক্ষমতা অতিক্রম
"ഗേറ്റ് ഒഴികെ
 (= എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ
 ഗേറ്റ്)","গেট বাদে
 (= একচেটিয়া বা
 গেট)"
ഒഴിവാക്കല്,ব্যতিক্রম
ഒഴിവാക്കൽ പിശക്,ব্যতিক্রম ত্রুটি
ഒഴിവാക്കൽ കൈകാര്യം ചെയ്യൽ,ব্যতিক্রম হ্যান্ডলিং
ഒഴിവാക്കൽ സന്ദേശം,ব্যতিক্রম বার্তা
"ഒഴിവാക്കല്
 റിപ്പോർട്ടുചെയ്യുക","ব্যতিক্রম
 রিপোর্টিং"
"പ്രവർത്തനം ഒഴികെ
 (= എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ
 പ്രവർത്തനം)","অপারেশন বাদে
 (= একচেটিয়া বা
 অপারেশন)"
"അധിക 64 ബൈനറി
 നൃത്തം","অতিরিক্ত 64 বাইনারি
 স্বরলিপি"
അധിക അമ്പത്,অতিরিক্ত পঞ্চাশ
അധിക നൊട്ടേഷൻ,অতিরিক্ত স্বরলিপি
അധിക മൂന്ന് കോഡ്,অতিরিক্ত তিনটি কোড
"കൈമാറ്റം ചെയ്യാവുന്ന ഡിസ്ക്
 ശേഖരണം","বিনিময়যোগ্য ডিস্ক
 স্টোরেজ"
കൈമാറ്റം,বিনিময় অঞ্চল
"കൈമാറ്റം
 സൗകര്യം","বিনিময় অঞ্চল
 সুবিধা"
എക്സ്ചേഞ്ച് ബഫറിംഗ്,এক্সচেঞ্জ বাফারিং
എക്സ്ചേഞ്ച് ക്ലാസ്,এক্সচেঞ্জ ক্লাস
"കൈമാറുക
 നിര്ദ്ദേശം","বিনিময়
 নির্দেশ"
മെമ്മറി എക്സ്ചേഞ്ച്,বিনিময় স্মৃতি
എക്സ്ചേഞ്ച് സേവനം,বিনিময় পরিষেবা
തുറക്കുക,এক্সচেঞ্জ বাছাই
കൈമാറ്റം,বিনিময় বাছাই
"എക്സ്ചേഞ്ച്-ടെസ്റ്റ്
 സ്ട്രിംഗ്","এক্সচেঞ্জ-পরীক্ষা
 স্ট্রিং"
ഒഴിവാക്കല്,বর্জন
ഒഴിവാക്കല്,বর্জন বা
എക്സ്ക്ലൂസീവ്-അല്ലെങ്കിൽ,একচেটিয়া বা
"എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ
 മൂലകം","একচেটিয়া বা
 উপাদান"
എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ ഗേറ്റ്,এক্সক্লুসিভ বা গেট
പ്രത്യേക റഫറൻസ്,এক্সক্লুসিভ রেফারেন্স
എക്സ്ക്ലൂസീവ് സെഗ്മെന്റ്,এক্সক্লুসিভ বিভাগ
"നടപ്പിലാക്കാൻ
 കാരപരിപാടി","এক্সিকিউটেবল
 কার্যক্রম"
"നടപ്പിലാക്കാൻ
 പ്രസ്താവന","এক্সিকিউটেবল
 বিবৃতি"
കൊല്ലുക,এক্সিকিউট
കീ എക്സിക്യൂട്ട് ചെയ്യുക,কী এক্সিকিউট করুন
ഘട്ടം നടപ്പിലാക്കുക,কার্যকর করুন
പ്രസ്താവന നടപ്പിലാക്കുക,বিবৃতি কার্যকর করুন
നടപ്പാക്കല്,মৃত্যুদন্ড কার্যকর
വധശിക്ഷ,এক্সিকিউশন চক্র
"നിർവ്വഹണ പിശക്
 കണ്ടുപിടിക്കല്","এক্সিকিউশন ত্রুটি
 সনাক্তকরণ"
നിർവ്വഹണ പാത,কার্যকর করার পথ
വധശിക്ഷ സമയം,সঞ্চালনের সময়
എക്സിക്യൂട്ടീവ് പ്രോഗ്രാം,এক্সিকিউটিভ প্রোগ্রাম
എക്സിക്യൂട്ടീവ് പതിവ്,এক্সিকিউটিভ রুটিন
"എക്സിക്യൂട്ടീവ്
 പരിശോധകന്","কার্যনির্বাহী
 কর্মকর্তা"
എക്സിക്യൂട്ടീവ് സിസ്റ്റം,এক্সিকিউটিভ সিস্টেম
വിപുലീകരിച്ച ബാച്ച്,প্রসারিত ব্যাচ
വിദഗ്ദ്ധ സംവിധാനം,দক্ষ পদ্ধতি
"എക്സ്പോണൻഷ്യൽ
 വിതരണ","ক্ষতিকারক
 বিতরণ"
"എക്സ്പോണൻഷ്യൽ പരാജയം
 നിയമം","তাত্পর্যপূর্ণ ব্যর্থতা
 আইন"
എക്സ്പോണന്റ് ഭാഗം,এক্সপোনেন্ট অংশ
"വിപുലീകൃത കോർ
 ശേഖരണം","বর্ধিত কোর
 স্টোরেজ"
"വിപുലീകൃത എൻട്രി
 തീരുമാന പട്ടിക","বর্ধিত এন্ট্রি
 সিদ্ধান্ত টেবিল"
"സമയം നീട്ടി
 സ്കെയിൽ","বর্ধিত সময়
 স্কেল"
"വിപുലീകരിക്കാവുന്ന
 ഭാഷ","এক্সটেনসিবল
 ভাষা"
വിപുലീകരിക്കാവുന്ന സംവിധാനം,এক্সটেনসিবল সিস্টেম
മറുഫോണ്,এক্সটেনশন
"മറുഫോണ്
 കഥാപാതം","এক্সটেনশন
 চরিত্র"
വിപുലീകരണ മെമ്മറി,এক্সটেনশন মেমরি
വിപുലീകരണ സ്റ്റേഷൻ,এক্সটেনশন স্টেশন
ബാഹ്യ ലേബൽ,বাহ্যিক লেবেল
ബാഹ്യ ലേബൽ,বাহ্যিক লেবেল
ബാഹ്യ കോൾ,বাহ্যিক কল
ബാഹ്യ കാലതാമസം,বাহ্যিক বিলম্ব
"ബാഹ്യ ഉപകരണം
 അഭിസംബോധന ചെയ്യുക","বাহ্যিক ডিভাইস
 ঠিকানা"
ബാഹ്യ പിശക്,বাহ্যিক ত্রুটি
ബാഹ്യ പ്രവർത്തനം,বাহ্যিক ফাংশন
"ബാഹ്യ തടസ്സം
 തടയുക","বাহ্যিক বাধা
 দমন করা"
"പുറമേയുള്ള
 തടസ്സം","বাহ্যিক
 বাধা"
"ബാഹ്യ തടസ്സം
 നില വാക്ക്","বাহ্যিক বাধা
 স্থিতি শব্দ"
ബാഹ്യരേഖ,বাহ্যিক লাইন
"ബാഹഘകം
 നിർദ്ദിഷ്ട സൂചിക","বাহ্যিকভাবে
 নির্দিষ্ট সূচক"
"ബാഹ്യമായി സംഭരിച്ചിരിക്കുന്നു
 കാരപരിപാടി","বাহ্যিকভাবে সঞ্চিত
 কার্যক্রম"
ബാഹ്യ മെമ്മറി,বাহ্যিক স্মৃতি
ബാഹ്യ ലയനം,বাহ্যিক মার্জ
ബാഹ്യ മോഡൽ,বাহ্যিক মডেল
ബാഹ്യ മോഡം,বাহ্যিক মডেম
ബാഹ്യ പേര്,বাহ্যিক নাম
ബാഹ്യ നമ്പർ,বাহ্যিক সংখ্যা
ബാഹ്യ നമ്പറിംഗ് പ്ലാൻ,বাহ্যিক সংখ্যা পরিকল্পনা
"ബാഹ്യ നമ്പർ
 ആവര്ത്തനം","বাহ্যিক সংখ্যা
 পুনরাবৃত্তি"
"ബാഹ്യ പേജ്
 അഭിസംബോധന ചെയ്യുക","বাহ্যিক পৃষ্ঠা
 ঠিকানা"
ബാഹ്യ നടപടിക്രമം,বাহ্যিক পদ্ধতি
"ബാഹ്യ പ്രോഗ്രാം
 പാരാമീറ്റർ","বাহ্যিক প্রোগ্রাম
 প্যারামিটার"
ബാഹ്യ റഫറൻസ്,বাহ্যিক রেফারেন্স
ബാഹ്യ സ്കീമ,বাহ্যিক স্কিমা
ബാഹ്യ തരം,বাহ্যিক বাছাই
ബാഹ്യ തരംതിരിക്കൽ,বাহ্যিক বাছাই
ബാഹ്യ പ്രസ്താവന,বাহ্যিক বিবৃতি
ബാഹ്യ സംഭരണം,বাহ্যিক সংগ্রহস্থল
ബാഹ്യ ചിഹ്നം,বাহ্যিক প্রতীক
"ബാഹ്യ ചിഹ്നം
 നിഘണ്ടു","বাহ্যিক প্রতীক
 অভিধান"
"ബാഹ്യ യൂണിറ്റ്
 തിരിച്ചറിയല്","বাহ্যিক-ইউনিট
 সনাক্তকারী"
എക്സ്ട്രാക്ട് ചെയ്യുക,নির্যাস
നിർദ്ദേശം എക്സ്ട്രാക്റ്റുചെയ്യുക,এক্সট্রাক্ট নির্দেশ
വേർതിരിച്ചെടുക്കൽ,নিষ্কাশন
എക്സ്ട്രാക്ടർ,এক্সট্র্যাক্টর
പുറമെയുള്ള മഷി,বহিরাগত কালি
തീവ്ര ദിനചര്യ,চূড়ান্ত রুটিন
"മുഖാമുഖം
 പ്രിന്റർ","ফেস-চরিত্র
 প্রিন্টার"
"സൌകര്യങ്ങൾ
 നിര്വഹണം","সু্যোগ - সুবিধা
 পরিচালনা"
ഫെസിലിറ്റി റിപ്പോർട്ട്,সুবিধা প্রতিবেদন
ഫെസിലിറ്റി വർക്ക് ഓർഡർ,সুবিধা কাজের আদেশ
ഫേസിമൈലി,ফ্যাসিমাইল
സെക്സിമയ കൺവെർട്ടർ,ফ্যাসিমাইল রূপান্তরকারী
"Festsile i / o
 ഉപായം","ফ্যাসিমাইল আই/ও
 যন্ত্র"
ഫെയ്സ്സിമൈൽ റിസീവർ,ফ্যাসিমাইল রিসিভার
ഫെയ്സ്സിമൈൽ റെക്കോർഡർ,ফ্যাসিমাইল রেকর্ডার
"ഫെയ്സ്സിമൈൽ സിഗ്നൽ
 സമനില","ফ্যাসিমাইল সিগন্যাল
 স্তর"
ഫെയ്സ്സിമൈൽ സിസ്റ്റം,ফ্যাসিমাইল সিস্টেম
"ഫേസിമൈലി
 ടെലിഗ്രാഫി","ফ্যাসিমাইল
 টেলিগ্রাফি"
"ഫേസിമൈലി
 സംരംഭ","ফ্যাসিমাইল
 ট্রান্সমিটার"
വാസ്തവം പരസ്പര ബന്ധം,সত্য সম্পর্ক
ഫാക്ടർ വിശകലനം,ফ্যাক্টর বিশ্লেষণ
ഘടകം ആകെ,ফ্যাক্টর মোট
പരാജയം,ব্যর্থতার নিরাপত্তা
"മൃദുവായ (പരാജയം)
 സുരക്ഷിതം)","ব্যর্থ নরম (= ব্যর্থ
 নিরাপদ)"
പരാജയം വിശകലനം,ব্যর্থতা বিশ্লেষণ
പരാജയം ലോഗിംഗ്,ব্যর্থতা লগিং
പരാജയതോത്,ব্যর্থতার হার
പരാജയപ്പെടൽ വീണ്ടെടുക്കൽ,ব্যর্থতা পুনরুদ্ধার
പരാജയം പരിശോധന,ব্যর্থতা পরীক্ষা
പിന്നോക്കം പോകുക,পিছু হট
തെറ്റായ ആഡ്,মিথ্যা অ্যাড
തെറ്റായ കോഡ്,মিথ্যা কোড
"തെറ്റായ ഡ്രോപ്പ് (= തെറ്റ്
 വീണ്ടെടുക്കല്)","মিথ্যা ড্রপ (= মিথ্যা
 পুনরুদ্ধার)"
തെറ്റായ പിശക്,মিথ্যা ত্রুটি
ഫാൻ -ഫ്റ്റ് പേപ്പർ,ফ্যান-ভাঁজ কাগজ
ആരാധകൻ,ফ্যান-ইন
ഫാൻ .ട്ട്,ফ্যান আউট
വേഗത്തിലുള്ള ആക്സസ് സംഭരണം,দ্রুত অ্যাক্সেস স্টোরেজ
വേഗത്തിൽ തിരക്കിലാണ്,দ্রুত ব্যস্ত
"വേഗതയുള്ള നാലിൻ
 രക്ഷിക്കുക","ফাস্ট ফুরিয়ার
 রূপান্তর"
വേഗത്തിൽ തിരഞ്ഞെടുക്കുക,দ্রুত নির্বাচন করুন
വേഗത്തിലുള്ള സമയ സ്കെയിൽ,দ্রুত সময়ের স্কেল
മാരകമായ തെറ്റ്,মারাত্মক ত্রুটি
തെറ്റ് തകരാറ്,ত্রুটি ত্রুটি
തെറ്റ് നിഘണ്ടു,ফল্ট অভিধান
തെറ്റ് നിര പരിധി,ফল্ট-রেট থ্রেশহোল্ড
തെറ്റ് സിദ്ധാന്തം,ফল্ট সিং্যাচার
തെറ്റ് പരിധി,ফল্ট থ্রেশহোল্ড
തെറ്റ് സമയം,দোষ সময়
തെറ്റായ സഹിഷ്ണുത,দোষ সহনশীলতা
സഹിഷ്ണുത,ভ্রান্তি সহিষ্ণুতা
"തെറ്റ് സഹിഷ്ണുത
 ഏര്പ്പാട്","ভ্রান্তি সহিষ্ণুতা
 পদ্ধতি"
"FDM (= ആവൃത്തി
 ഡിവിഷൻ
 മൾട്ടിക്സ്)","এফডিএম (= ফ্রিকোয়েন্সি
 বিভাগ
 মাল্টিপ্লেক্স)"
സാധ്യതാ പഠനം,সম্ভাব্যতা অধ্যয়ন
സാധ്യമായ പരിഹാരം,সম্ভাব্য সমাধান
സവിശേഷത എക്സ്ട്രാക്ഷൻ,বৈশিষ্ট্য নিষ্কাশন
സവിശേഷത തിരഞ്ഞെടുക്കൽ,বৈশিষ্ট্য নির্বাচন
ഫീഡ്ബാക്ക് നിയന്ത്രണം,প্রতিক্রিয়া নিয়ন্ত্রণ
ഫീഡ്ബാക്ക് ലൂപ്പ്,প্রতিক্রিয়া লুপ
ഫീഡ്ബാക്ക് സിസ്റ്റം,প্রতিক্রিয়া সিস্টেম
ഫീഡ്ബാക്ക് വേരിയബിൾ,প্রতিক্রিয়া পরিবর্তনশীল
തീറ്റ കേബിൾ,ফিডার কেবল
ഫീഡർ റൂട്ട്,ফিডার রুট
ഫീഡർ തിരഞ്ഞെടുക്കൽ,ফিডার নির্বাচন
ഫീഡ് ഹോൾ,ফিড গর্ত
ഫീഡ് പിച്ച്,ফিড পিচ
ഭക്ഷണം കൊടുക്കുക,খোঁচা ফিড
ഫീഡ് റീൽ,ফিড রিল
ഫെറീഡ് അസംബ്ലി,ফেরিড সমাবেশ
"ഫെറൈറ്റ് കോർ
 സ്മരണം","ফেরাইট কোর
 স্মৃতি"
"ഫെറൈറ്റ് കോർ
 സ്മരണം
 മാറുന്നു","ফেরাইট কোর
 স্মৃতি
 স্যুইচিং সময়"
ലഭ്യമാക്കുക,আনুন
ഡാറ്റ ലഭ്യമാക്കുക,ডেটা আনুন
"ലഭ്യമാക്കുന്നു
 നിര്ദ്ദേശം","আনতে
 নির্দেশ"
ഓപ്പറാൻഡിനെ ലഭ്യമാക്കുന്നു,অপারেন্ড আনতে
ഘട്ടം നേടുക,আনুন পর্ব
പ്രോസസ്സ് നേടുക,প্রক্রিয়া আনুন
സംരക്ഷണം ലഭ്യമാക്കുക,সুরক্ষা আনুন
Fibonaci തിരയൽ,ফিবোনাচি অনুসন্ধান
ഫൈബൊനാക് സീരീസ്,ফিবোনাচি সিরিজ
ഫൈബർ ഒപ്റ്റിക്സ്,ফাইবার অপটিক
"ഫൈബർ-ഒപ്റ്റിക്സ്
 പകർച്ച
 ഏര്പ്പാട്","ফাইবার অপটিক
 সংক্রমণ
 পদ্ধতি"
ഫീൽഡ് പരിശോധന,ফিল্ড চেকিং
ഫീൽഡ് ഡാറ്റ കോഡ്,ফিল্ড ডেটা কোড
"ഫീൽഡ് വികസിപ്പിച്ചെടുത്തു
 കാരപരിപാടി","ক্ষেত্র বিকাশ
 কার্যক্রম"
"ഫീൽഡ് ഇഫക്റ്റ്
 ട്രാൻസിസ്റ്റോർ","ক্ষেত্রের প্রভাব
 ট্রানজিস্টর"
ഫീൽഡ് ദൈർഘ്യം,ক্ষেত্রের দৈর্ঘ্য
ഫീൽഡ് മാർക്ക്,মাঠের চিহ্ন
ഫീല്ഡിന്റെ പേര്,ক্ষেত্র নাম
"ഫീൽഡ് മാറ്റിസ്ഥാപിക്കാനാകും
 ഘടകം","ক্ষেত্র প্রতিস্থাপনযোগ্য
 ইউনিট"
ഫീൽഡ് തിരഞ്ഞെടുക്കൽ,ক্ষেত্র নির্বাচন
ഫീൽഡ് ഷിഫ്റ്റിംഗ്,ক্ষেত্র স্থানান্তর
ഫീൽഡ് അപ്ഗ്രേഡുചെയ്യുന്നു,ক্ষেত্র আপগ্রেডিং
ഫീൽഡ് ഉപയോഗം,ক্ষেত্রের ব্যবহার
"അഞ്ചാം തലമുറ
 കന്വൂട്ടര്","পঞ্চম প্রজন্ম
 কম্পিউটার"
ആലങ്കാരിക സ്ഥിരത,রূপক ধ্রুবক
കണക്കുകൾ മാറ്റം,পরিসংখ্যান শিফট
ഫയൽ ആക്സസ് രീതി,ফাইল অ্যাক্সেস পদ্ধতি
ഫയൽ പ്രവർത്തന അനുപാതം,ফাইল ক্রিয়াকলাপ অনুপাত
"ഫയൽ വിലാസം
 സിസ്റ്റം പരിശോധിക്കുന്നു","ফাইল ঠিকানা
 চেক সিস্টেম"
ഫയൽ ആട്രിബ്യൂട്ട്,ফাইল বৈশিষ্ট্য
ഫയൽ വൃത്തിയാക്കൽ,ফাইল ক্লিনআপ
ഫയൽ ഘടന,ফাইল রচনা
ഫയൽ സ്ഥിരത,স্থির ফাইল
