English,Kannada
Centipeda orbicularis,ಶತಮಾನದ ಕಕ್ಷೀಯ
Central axis,ಮಧ್ಯ ಅಕ್ಷ
Central cell,ಮಧ್ಯ ಜೀವಾಣು
Central core,ಕೇಂದ್ರ ಕೇಂದ್ರ ಕೇಂದ್ರ
Central dogma,ಕೇಂದ್ರ ಸಿದ್ಧಾಂತ
Central Drug Research institute,ಕೇಂದ್ರ drug ಷಧ ಸಂಶೋಧನಾ ಸಂಸ್ಥೆ
Central field,ಕೇಂದ್ರ ಕ್ಷೇತ್ರ
Central lacteal,ಮಧ್ಯಪ್ರವೇಶ
Central nervous system,ಕೇಂದ್ರ ನರಮಂಡಲ
Central sulcus,ಮಧ್ಯ ಸಲ್ಕಸ್
Centrifugation,ಕೇಂದ್ರೀಕರಣ
Centriole,ಕೇಂದ್ರ
Centromere,ಮಧ್ಯಪ್ರವೇಶ
Centrosome,ಮಧ್ಯಮ
Centrosphere,ಕೇಂದ್ರ
Cephalochordate,ಶಿರೋನಾಮೆ
Cephalochordates,ಶಿರೋವಸ್ತ್ರ
Cephalosporin,ಶಿರೋನಾಮೆ
Cephalothorax,ಶಿರೋನಾಮೆ
Ceratophyllaceae,ದನವೇಶ
Cereal grain,ಏಕದಳ ಧಾನ್ಯ
Cerebellar peduncle,ಸೆರೆಬೆಲ್ಲಾರ್ ಪೆಡಂಕಲ್
Cerebellum,ಸೆರೆಬೆಲ್ಲಂ
Cerebral aqueduct,ಸೆರೆಬ್ರಲ್ ಜಲಚರ
Cerebral cortex,ಸೆರೆಬ್ರಲ್ ಕಾರ್ಟೆಕ್ಸ್
Cerebral hemisphere,ಸೆರೆಬ್ರಲ್ ಗೋಳಾರ್ಧ
Cerebral ventricle,ಸೆರೆಬ್ರಲ್ ಕುಹರದ
Cerebrospinal fluid (CSF),ಸೆರೆಬ್ರೊಸ್ಪೈನಲ್ ದ್ರವ (ಸಿಎಸ್ಎಫ್)
Cerebrum,ಸ್ರಾವನ
Certified seed,ಬೀಜ
Cerumenous gland,ಕದ್ಯರ ಗ್ರಂಥಿ
Cervical,ಕಾಂಡದ
Cervical cap,ಗರ್ಭಕಂಠದ ಕ್ಯಾಪ್
Cervical vertebra,ಗರ್ಭಕಂಠದ ಕಶೇರುಖಂಡ
Cervix,ಕುತ್ತಿಗೆ
Cesium chloride,ಸೀಸಿಯಂ ಕ್ಲೋರೈಡ್
Cesspool,ಕವಚ
Cetaceans,ಲಂಗರು
Chaetopterus,ಚಾವಟ
Chalaza,ದನಗಳು
Chalaza,ದನಗಳು
Chalazal end,ಚಲಜಲ್ ಅಂತ್ಯ
Chalina,ಚರಿನ
Chameleon (chamaeleon),Me ಸರವಳ್ಳಿ (ಚಮೀಲಿಯನ್)
Chancroid,ಚಾನ್ಕ್ರಾಯ್ಡ್
Channel,ಚಾನಲ್
Channel,ಚಾನಲ್
Chaperon,ಚಪಲಾತಿ
Chara,ಚರ
Characteristic vegetation,ವಿಶಿಷ್ಟ ಸಸ್ಯವರ್ಗ
Charcoal,ಇದ್ದೀಳಿ
Chargaff's rule,ಚಾರ್ಗಾಫ್ ನಿಯಮ
Charge coupled device (CCD),ಚಾರ್ಜ್ ಕಪಲ್ಡ್ ಸಾಧನ (ಸಿಸಿಡಿ)
Charging,ಚಾರ್ಜಿಂಗ್
Chasmogamous,ಚಮತ್ಕಾರದ
Chathamalus,ಚಥಮಾಲಸ್
Chelone,ಚೆಲೋನ್
Chemical analyzer,ರಾಸಾಯನಿಕ ವಿಶ್ಲೇಷಕ
Chemical bond,ರಾಸಾಯನಿಕ ಬಂಡಿ
Chemical breakdown,ರಾಸಾಯನಿಕ ಸ್ಥಗಿತ
Chemical complexity,ರಾಸಾಯನಿಕ ಸಂಕೀರ್ಣತೆ
Chemical environment,ರಾಸಾಯನಿಕ ಪರಿಸರ
Chemical evolution,ರಾಸಾಯನಿಕ ವಿಕಸನ
Chemical method,ರಾಸಾಯನಿಕ ವಿಧಾನ
Chemical mutagen,ರಾಸಾಯನಿಕ ರೂಪಾಂತರ
Chemical origin,ರಾಸಾಯನಿಕ ಮೂಲ
Chemical oxygen demand,ರಾಸಾಯನಿಕ ಆಮ್ಲಜನಕ ಬೇಡಿಕೆ
Chemical potential,ರಾಸಾಯನಿಕ ಸಾಮರ್ಥ್ಯ
Chemical scalpel,ರಾಸಾಯನಿಕ ಪಿಕ್ಕಟ್ಟು
Chemical signal,ರಾಸಾಯನಿಕ ಸಂಕೇತ
Chemical synapse,ರಾಸಾಯನಿಕ ಸಿನಾಪ್ಸ್
Chemiosmotic hypothesis,ರಾಸಾಯನಿಕ -ಕಲ್ಪನೆ
Chemist,ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ
Chemistry,ರಸಾಯನಶಾಸ್ತ್ರ
Chemosynthesis,ರಾಸಾಯನಿಕತೆ
Chemo-autorophic bacteria,ಆಟೊರೊಫಿಕ್ ಬ್ಯಾಕ್ಟೀರಿಯಾ
Chemonasty,ಚೆಮ್ಮಾವಾಗಿ
Chemosynthesis,ರಾಸಾಯನಿಕತೆ
Chemosynthetic autotroph,ಕೀಮೋಸೈಂಥೆಟಿಕ್ ಆಟೋಟ್ರೋಫ್
Chemosynthetic bacteria,ರಾಸಾಯನಿಕ ಬ್ಯಾಕ್ಟೀರಿಯ
Chemotaxis,ರಾಸಾಯನಿಕ
Chemotaxonomy,ರಾಸಾಯನಿಕತೆ
Chemotherapy,ರಾಸಾಯನಿಕ ಚಿಕಿತ್ಸೆ
Chenopodiaceae,ಚೆನೊಪೊಡಿಯಾಸಿ
Chiasmata,ಚಿರತೆ
Chiasmna type hypothesis,ಚಿಯಾಸ್ಮ್ನಾ ಪ್ರಕಾರದ ಕಲ್ಪನೆ
Chickunguniya,ಚಿಕುಂಗುನಿಯಾ
Chicory,ಚಿಕರಿ
Childhood,ಬಾಲ್ಯ
Chili mosaic virus,ಮೆಣಸಿನಕಾಯಿ ವೈರಸ್
Cinchona officinalis,ಸಿಂಚೋನಾ ಅಫೀಟಾಲಿಸ್
Chiropterophily,ಚಿರತೆ
Chitin,ಚಿರತೆ
Chitinous,ಚಿಲ್ಲಿಯಂಥ
Chlamydia trachomatis,ಕ್ಲಮೈಡಿಯ ಟ್ರಾಕೊಮಾಟಿಸ್
Chlamydiasis,ಕ್ಲಮೈಡಿಯಾಸ್
Chlamydomonas,ಕ್ಲಾಮೈಗ್ರಾನಸ್
Chloramphenicol,ತಿಕ್ಕಲು
Chlorella,ಕ್ಲೋರೆಲ್ಲಾ
Chlorenchyma,ಕ್ಲೋರೆಂಚೈಮಾ
Chloride cell,ಕ್ಲೋರೈಡ್ ಕೋಶ
Chlorine,ಕ್ಲೋರಿನ್
Chlorofluoro carbon (CFCs),ಕ್ಲೋರೊಫ್ಲೋರೊ ಕಾರ್ಬನ್ (ಸಿಎಫ್‌ಸಿಎಸ್)
Chloroform,ಕ್ಲೋರೊಫಾರ್ಮ್
Chlorophyceae,ಕ್ಲೋರೊಫೈಸೀ
Chlorophyte ancestor,ಕ್ಲೋರೊಫೈಟ್ ಪೂರ್ವಜ
Chlorosis,ಕ್ಲೋರೋಸಿಸ್
Chlorosis,ಕ್ಲೋರೋಸಿಸ್
Choanocyte,ಚಾಚು
Cholecystokinesis,ಕೊಲೆಸಿಸ್ಟೊಕಿನಿಸ್
Cholecystokinin,ಕೋಲೆಸಿಸ್ಟೊಕಿನಿನ್
Cholesterol,ಕೊಲೆಸ್ಟ್ರಾಲ್
Cholinergic,ಕೋಲಿನರ್ಜಿನ
Chondrichthyes,ಕೊಂಡ್ರಿಚ್ಥೈಸ್
Chondrin,ಕೊಳೆತ
Chondrocyte,ಕೊಳೆತ
Chordae tendinae,ಹಳ್ಳ
Chordata,ಒಂದು ಬಗೆಯ ಕಂತು
Chorioallantoic placenta,ಕೋರಿಯೊಅಲಾಂಟೊಯಿಕ್ ಜರಾಯು
Chorion,ಕೋರಿ
Chorionic corticotropin,ಕೋರಿಯಾನಿಕ್ ಕಾರ್ಟಿಕೊಟ್ರೊಪಿನ್
Chorionic gonadotropin,ಕೋರಿಯಾನಿಕ್ ಗೊನಡೋಟ್ರೋಪಿನ್
Chorionic thyrotropin,ಕೋರಿಯಾನಿಕ್ ಥೈರೋಟ್ರೋಪಿನ್
Choroid,ವಶತಂತಿರುವ
Chromatid,ವರ್ಣರಂಜಿತ
Chromatin fibre,ಕ್ರೊಮಾಟಿನ್ ನಾರು
Chromatin,ಕ್ರೊಮ್ಯಾಟಿನ್
Chromatographic technique,ಕ್ರೊಮ್ಯಾಟೋಗ್ರಾಫಿಕ್ ತಂತ್ರ
Chromatography,ವರ್ಣರೇಖನ
Chromatophore,ಕ್ರೊಮ್ಯಾಟೊಫೋರ್
Chromogenic substrate,ವರ್ಣಭೇದ ಜೀವಿ
Chromonema,ಚಿತ್ರ
Chromophore,ವರ್ಣಲಿ
Chromoplast,ವರ್ಣಕಣ
Chromosomal aberration,ವರ್ಣತಂತು ವಿರೂಪಗೊಳಿಸುವಿಕೆ
Chromosomal defect,ವರ್ಣತಂತು ದೋಷ
Chromosome mapping,ವರ್ಣತಂತು ಮ್ಯಾಪಿಂಗ್
Chromosome theory of heredity,ಆನುವಂಶಿಕತೆಯ ವರ್ಣತಂತು ಸಿದ್ಧಾಂತ
Chromosome theory of inheritance,ಆನುವಂಶಿಕತೆಯ ವರ್ಣತಂತು ಸಿದ್ಧಾಂತ
Chronic bronchitis,ದೀರ್ಘಕಾಲದ ಬ್ರಾಂಕೈಟಿಸ್
Chronic myoid leukaemia,ದೀರ್ಘಕಾಲದ ಮೈಯಾಯ್ಡ್ ಲ್ಯುಕೇಮಿಯಾ
Chronicle,ಕ್ರಾನಿಕರ
Chronologically,ಕಾಲಾನುಕ್ರಮದಲ್ಲಿ
Chrysanthemum cinerarialfolium,ಕ್ರೈಸಾಂಥೆಮಮ್ ಸಿನಾರಿಯಲ್ಫೋಲಿಯಂ
Chrysanthemum indicum,ಕ್ರೈಸಾಂಥೆಮಮ್ ಸೂಚನೆ
Chryanthemum roseum,ಕ್ರೈಥೆಮಮ್ ರೋಸಮ್
Chrysophyta,ಚಿರತೆ
Chrysophyte,ಕ್ರೈಸೊಫೈಟ್
Chylomicron,ಚೈತನ್ಯದ
Chyme,ಚೈತನ್ಯ
Chymotrypsin,ಚಮಚ
Cicada,ಒಂದು ಬಗೆಯ ಕಂತು
Cicer arietinum,ಸಿಸರ್ ಏರಿಯೆಟಿನಮ್
Cichlid fish,ಸಿಚ್ಲಿಡ್ ಮೀನು
C-horizone,ಸಿಹಾರಿಜೋನ್
Cilia,ನಾರು
Ciliary body,ಸಿಲಿಯ
Ciliary ganglion,ಸಿಲಿಯದ ಗ್ಯಾಂಗ್ಲಿಯಾನ್
Ciliary movement,ಸಿಲಿಯರಿ ಚಳುವಳಿ
Ciliary,ಸಿಲಿಯದಾರ್ಧ
Ciliate,ನುಗ್ಗುವ
Cilium (cilia),ಸಿಲಿಯಂ (ಸಿಲಿಯಾ)
Cinchona,ಸಿಂಚು
Ciona,ಸಿಯೋನ
Ciprofloxacin,ಸಿಪ್ರೊಫ್ಲಾಕ್ಸಾಸ್
Circulation,ಪ್ರಸರಣ
Circulatory system,ರಕ್ತಪರಿಚಲನೆ
Circumoesophageal commissure,ಪರಸ್ಪರ ಕ್ರಿಯಾಶೀಲ ಆಯೋಗ
Cirrhose,ಸಿರೊಹಸ್
Cirrhosis,ಸಿರಹತೆ
Cirrhous,ಸೈರ್ರಿನ
Cisterna,ಗುದ್ದು
Cistron,ಗೈರು
Citrulline,ಸಿಟ್ರಾ
Citrus fruit,ಸಿಟ್ರಸ್ ಹಣ್ಣು
Cladistics,ವ್ಯಾಪಕವಾದ
Cladode,ಕ್ಲಾಡೋಡ್
Cladophora,ಕ್ಲಾಸೆಫೊರಾ
Clarias gariepinus,ಕ್ಲಾರಿಯಾಸ್ ಗ್ಯಾರೀಪಿನಸ್
Class,ವರ್ಗ
Class,ವರ್ಗ
Classification,ವರ್ಗೀಕರಣ
Claviceps,ಕ್ಲಾವಿಸೆಪ್ಸ್
Clavicle,ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ
Clawless digit,ಪಂಜುರಹಿತ ಅಂಕಿಯ
Clay,ಮಣ್ಣಿನ
Cleavage furrow,ಸೀಳು ಉಬ್ಬು
Cleistogamous,ಕ್ಸೂಯಿ
Clematis,ಕಾದು
Climate,ವಶ
Climate zone,ಹವಾಮಾನ ವಲಯ
Climatic parameter,ಹವಾಮಾನದ ನಿಯತಾಂಕ
Climax community,ಪರಾಕಾಷ್ಠೆ ಸಮುದಾಯ
Climber,ಪರ್ವತಾರೋಹಣ
Climbing,ಹತ್ತುವುದು
Clinical period,ಕ್ಲಿನಿಕಲ್ ಅವಧಿ
Clitellar,ಚಿರತೆ
Clitellum,ಕಣ್ಣುಹಣ್ಣು
Clitoria,ಕ್ಲೈಟ್ರೀ
Clitoris,ಚಂದ್ರನಾಡಿ
Cloaca,ಗಡಿಯಾರದ
Clonal frog,ತಾರಯ ಕಪ್ಪೆ
Clonal propagation,ಕ್ಲೋನಲ್ ಪ್ರಸಾರ
Clonal selection,ಕ್ಲೋನಲ್ ಆಯ್ಕೆ
Clone,ತದ್ರೂಪಿ
Cloning,ಅಬೀಜ
Close marriage,ಮದುವೆ ಮುಚ್ಚಿ
Closed system,ಮುಚ್ಚಿದ ವ್ಯವಸ್ಥೆ
Clostridium,ನುಗ್ಗಿ
Clostridium butylicium,ಕ್ಲೋಸ್ಟ್ರಿಡಿಯಮ್ ಬ್ಯುಟೈಲಿಸಿಯಮ್
Clot buster,ಹೆಪ್ಪುಗಟ್ಟಿದ ಬಸ್ಟರ್
Clotting of blood,ರಕ್ತದ ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ
Clover bean,ಕ್ಲೋವರ್ ಹುರುಳಿ
Clover-leaf model,ಕ್ಲೋವರ್-ಎಲೆ ಮಾದರಿ
Clown fish,ಕಾಗರ ಮೀನು
Cnidarians,ಸಿನಿಡೇರಿಯನ್ನರು
Cnidoblast,ಸಿಎನ್‌ಡೋಬ್ಲಾಸ್ಟ್
Coacervate,ಸ ೦ ಚಿಸು
Coarse adjustment knob,ಒರಟಾದ ಹೊಂದಾಣಿಕೆ ಗುಬ್ಬಿ
Coarse sand,ಒರಟಾದ ಮರಳು
Coastal dune,ಕರಾವಳಿ ದಿಬ್ಬ
Coastal prawn culture farm,ಕರಾವಳಿ ಸೀಗಡಿ ಸಂಸ್ಕೃತಿ ಫಾರ್ಮ್
Cobalt,ಚಮಚ
Cocaine,ಕಶೇನು
Coccidiosis,ಕಕ್ಷಿಯಿಸ್
Coccus,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
Coccyx,ಕಂಡಯಿಗಳು
Cochlea,ಕೋಕ್ಲಿಯಾ
Cochlea,ಕೋಕ್ಲಿಯಾ
Cocoon,ಕೋಕೂನ್
Coded genetic programme,ಕೋಡೆಡ್ ಆನುವಂಶಿಕ ಕಾರ್ಯಕ್ರಮ
Codeine,ಕೋಡಿನ್
Coding,ಕೋಡಿಂಗ್
Coding,ಕೋಡಿಂಗ್
Coding,ಕೋಡಿಂಗ್
Coding strand,ಎಳೆಗ
Codominance,ಚಾಚು
Codon,ಕೋಡಾನ್
Coelenterate,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
Coelenteron,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
Coeliac ganglion,ಉದರದ ಮರಳು
Coelomate,ಸಹಕೋನ
Coelome,ಕೋಲಾಹಲ
Coelomic epithelium,ಕೋಲಿಕಾ ಎಪಿತೀಲಿಯಂ
Coelomic fluid,ಕೋಲೋರಿಕ್ ದ್ರವ
Coelomo sac,ಕೊಯೆಲೋಮೊ ಚೀಲ
Coenocytic,ಕೊಯೆನೊಸೈಟಿಕ್
Coenopodiaceae,ಕೊಯೆನೋಪೊಡಿಯಾಸಿ
Coenzyme,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
Co-evolution,ಸಹ-ವಿಕಸನ
Co-extinction,ಸಹ-ವಿಸ್ತರಣೆ
Co-factor,ಸಹಕಾರ
Cohesion,ಒಗ್ಗಟ್ಟು
Cohesion force,ಒಗ್ಗಟ್ಟು ಬಲ
Cohesion theory,ಒಗ್ಗೂಡಿಸುವಿಕೆ ಸಿದ್ಧಾಂತ
Cohesion-tension-transpiration,ಒಗ್ಗಟ್ಟು-ತೆಳುವಾದ-ಪ್ರಸರಣ
Cohort,ಸಹಕಾರ
Coiled spirally or helically,ಸುರುಳಿಯಾಗಿ ಅಥವಾ ಹೀರಿಕೊಳ್ಳುವಿಕೆಯಿಂದ ಸುರುಳಿಯಾಗಿ
Coiled,ಸುರುಳಿಯಾಗಿರುವ
Coitus,ಕಹಳೆ
Coitus interruptus (withdrawal),ಕೋಯಿಟಸ್ ಇಂಟರಪ್ಟಸ್ (ವಾಪಸಾತಿ)
Colchicine,ಕೊಂಚುಸಾದ
Colchicum autumnale,ಕೋಲ್ಚಿಕಮ್ ಶರತ್ಕಾಲ
Cold blooded,ತಣ್ಣನೆಯ ರಕ್ತದ
Cold desert,ತೌಡು ಮರುಭೂಮಿ
Cold receptor,ಶೀತಲ ಗ್ರಾಹಕ
Coleopteran,ಕೊಲಿಯಪ್ಟರ
Coleoptile,ಕೊಲಿಯೊಪ್ಟಿನ
Coleorhiza,ಕೊಲಿಯರ್ಹಿಜಾ
Coleus,ಕೊಲಿಯಸ್
Collagen,ಕಾಲಜ
Collagen fibre,ಕಾಲಜನ ನಾರು
Collar,ಕತ್ತುಪಟ್ಟಿ
Collateral gland,ಮೇಲಾಧಾರ ಗ್ರಂಥಿ
Collecting tubule,ಟ್ಯೂಬುಲ್ ಸಂಗ್ರಹಿಸುವುದು
Collecting duct,ನಾಳವನ್ನು ಸಂಗ್ರಹಿಸುವುದು
Colletotrichum,ಕೊಲೆಟೊಟ್ರಿಚಮ್
Colloblast cell,ಕೊಲೊಬ್ಲಾಸ್ಟ್ ಕೋಶ
Colloid,ಕೊಲರೆ
Colloidal,ಕೊಲರೆ
Colocasia,ಕೊಲೊಕಾಸಿಯಾ
Colon,ಪಲಗರು
Colonial form,ವಸಾಹತುಶಾಹಿ ರೂಪ
Colonial nostoc,ವಸಾಹತುಶಾಹಿ ನಾಸ್ಟಾಕ್
Colonization,ಸಮರೀಕರಣ
Colony,ವಸಾಹತು
Colostrum,ಕೊಲೆಗಡುಕ
Colour blindness,ಬಣ್ಣ ಕುರುಡುತನ
Column chromatography,ಕಾಲಮ್ ಕ್ರೊಕ್ಕಳ ನಿರೂಪಣೆ
Column of Bertini,ಬರ್ಟಿನಿಯ ಕಾಲಮ್
Columnar epithelium,ಸ್ತನಪಭಲ
Comb plate,ಬಾಚಣಿಗೆ
Combined immune deficiency syndrome,ಸಂಯೋಜಿತ ರೋಗನಿರೋಧಕ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್
Combined weight,ಸಂಯೋಜಿತ ತೂಕ
Comb-jelly,ಬೆಸುಗದ ಜೆಲ್ಲಿ
Combustion,ದಹನ
Combustion process,ದಹನ ಪ್ರಕ್ರಿಯೆ
Comma,ಅಲ್ಪವಿರಾಮ
Commensalism,ಆರಂಭದ ಆರಂಭ
Commissural vessel,ಕಾಗರ ಹಡಗು
Common ancestor,ಸಾಮಾನ್ಯ ಪೂರ್ವಜ
Common carotid artery,ಸಾಮಾನ್ಯ ಶೀರ್ಷಧಮನಿ ಅಪಧಮನಿ
Common Indian toad,ಸಾಮಾನ್ಯ ಭಾರತೀಯ ಟೋಡ್
Community diversity,ಸಮುದಾಯ ವೈವಿಧ್ಯತೆ
Community interaction,ಸಮುದಾಯ ಸಂವಹನ
Compaction,ಸಂಕುಚಿತಗೊಳಿಸುವಿಕೆ
Companion cell,ಒಡನಾಡಿ ಕೋಶ
Comparative anatomy,ತುಲನಾತ್ಮಕ ಅಂಗರಚನೆ
Comparative morphology,ತುಲನಾತ್ಮಕ ರೂಪವಿಜ್ಞಾನ
Compatibility,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
Compatibility,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
Compensatory regeneration,ಸರಿದೂಗನೆ ಪುನರುತ್ಪಾದನೆ
Competent cell,ಸಮರ್ಥ ಕೋಶ
Competent host,ಸಮರ್ಥ ಹೋಸ್ಟ್
Competition,ಸ್ಪರ್ಧೆ
Competitive inhibition,ಸ್ಪರ್ಧಾತ್ಮಕ ಪ್ರತಿಬಂಧ
Competitive inhibitor,ಸ್ಪರ್ಧಾತ್ಮಕ ಪ್ರತಿರೋಧಕ
Complementarity,ಪೂರಕತೆ
Complementary filter,ಪೂರಕ ಫಿಲ್ಟರ್
Complementary gene,ಪೂರಕ ಜೀನ್
Complementary pair,ಪೂರಕ ಜೋಡಿ
Complete digestive tract,ಸಂಪೂರ್ಣ ಜೀರ್ಣಾಂಗವ್ಯೂಹ
Complete linkage,ಸಂಪೂರ್ಣ ಸಂಪರ್ಕ
Complete oxidation,ಸಂಪೂರ್ಣ ಆಕ್ಸಿಡೀಕರಣ
Complex,ಸಂಕೀರ್ಣ
Complex,ಸಂಕೀರ್ಣ
Complex,ಸಂಕೀರ್ಣ
Complex tissue,ಸಂಕೀರ್ಣ ಅಂಗಾಂಶ
Composite,ಸಂಯೋಜಿತ
Compound corymb,ಸಂಯುಕ್ತ ಕೋರಿಎಂಬಿ
Compound epithelium,ಕಾಂಪೌಂಡ್
Compound eyes,ಕಾಂಪೌಂಡ್ ಕಣ್ಣುಗಳು
Compound umbel,ಸಂಯುಕ್ತ ಉಕ್ಕು
Compulsive action,ಕಂಪಲ್ಸಿವ್ ಕ್ರಿಯೆ
Computational biology,ಕಂಪ್ಯೂಟೇಶನಲ್ ಜೀವಶಾಸ್ತ್ರ
Computed tomography,ಕಂಪ್ಯೂಟೆಡ್ ಟೊಮೊಗ್ರಫಿ
Computer screen,ಗಣಕಯಂತ್ರ ಪರದೆ
Concentrated urine,ಕೇಂದ್ರೀಕರಿಸಿದ
Concentration,ಏಕಾಗ್ರತೆ
Concentration gradient,ಏಕಾಗ್ರತೆ ಗ್ರೇಡಿಯಂಟ್
Conception,ಕಲ್ಪನಾ
Condensation,ಘನೀಕರಣ
Condensation,ಘನೀಕರಣ
Condensation decondensation cycle,ಘನೀಕರಣ ಡಿಕೋಂಡೆನ್ಸೇಷನ್ ಚಕ್ರ
Condensed state,ಮಂದಬುದ್ಧಿಯ ಸ್ಥಿತಿ
Condenser lens,ದನಕ ಮಸೂರ
Conditional,ಷರತ್ತುಬದ್ಧ
Conditional,ಷರತ್ತುಬದ್ಧ
Conduction of nerve impulse,ನರ ಪ್ರಚೋದನೆಯ ವಹನ
Conduction of water,ನೀರಿನ ವಾಹಕ
Conductive electrolyte gel,ವಾಹಕ ವಿದ್ಯುದ್ವಿಚ್ g ೇದ್ಯ ಜೆಲ್
Cone,ಸಮಾಧಿ
Conform,ಅನುಗುಣವಾಗಿ
Conformer,ರೂಪರೇಖೆ
Congenital,ಸಂಯೋಗದ
Conical root,ಶಂಕುವಿನಾಕಾರದ ಮೂಲ
Conical,ಶಂಕುವಿನಾಕಾರದ
Conidia,ಕೋನೀದಿ
Conifer,ಗೋಪುರ
Conifereae,ಕನ್ಯೆ
Coniferopsida,ಕೋನಿಫರೋಪ್ಸಿಡ
Conjoint vascular bundle,ನಾಳದ ಬಂಡಲ್
Conjugated,ಸಂಯೋಜಿತ
Conjugation,ಸಂಯೋಗ
Conjunctiva,ಚಿರತೆ
Conjunctive tissue,ಸಂಯೋಗದ ಅಂಗಾಂಶ
Connective tissue,ಸಂಯೋಜಕ ಅಂಗಾಂಶದ
Connell's experiment,ಕೊನೆಲ್ ಅವರ ಪ್ರಯೋಗ
Conservation forestry,ಸಂರಕ್ಷಣಾ ಅರಣ್ಯ
Conservational tillage,ಸಂಪ್ರದಾಯಬದ್ಧ ಬೇಸಾಯ
Constancy,ಸ್ಥಿರತೆ
Constituent,ಸಂಪ್ರದಾಯ
Constitutive enzyme,ರಚನಾತ್ಮಕ ಕಿಣ್ವ
Consumer,ಗ್ರಾಹಕ
Contact inhibition,ಸಂಪರ್ಕ ಪ್ರತಿಬಂಧಕ
Contagious disease,ಸಾಂಕ್ರಾಮಿಕ ರೋಗ
Contaminate,ಕಲುಷಿತಗೊಳಿಸು
Contamination,ಮಾಲಿನ್ಯ
Contemporary biology,ಸಮಕಾಲೀನ ಜೀವಿ
Continent,ಖಂಡ
Contour ploughing,ಬಾಹ್ಯರೇಖೆ ಉಳುಮೆ
Contractibility,ಸಂಕುಚಿತತೆ
Contractile fiber,ಗುತ್ತಿಗೆ ನಾರು
Contractile protein,ಗುತ್ತಿಗೆ ಪ್ರೋಟೀನ್
Contractile response,ಸಂಕೋಚಕ ಪ್ರತಿಕ್ರಿಯೆ
Contractile vacuole,ಸಂಕೋಚಕ ನಿರ್ವಾತ
Contrast agent,ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್
Contrast agent,ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್
Contrast agent,ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್
Contrasting trait,ವ್ಯತಿರಿಕ್ತ ಲಕ್ಷಣ
Centrifugal force,ಕೇಂದ್ರಾಪಗಾಮಿ ಬಲದ
Control factor,ನಿಯಂತ್ರಣ
Controlled experiment,ನಿಯಂತ್ರಿತ ಪ್ರಯೋಗ
Conus,ಗಾಡಿ
Conus arteriosus,ಕನ್ಯೆ
Conventional tillage,ಸಾಂಪ್ರದಾಯಿಕ ಬೇಸಾಯ
Converged,ಒಮ್ಮುಖವಾಗಿಸು
Convergent,ಒಗ್ಗೂಡಿ
Convergent (evolution),ಒಮ್ಮುಖ (ವಿಕಾಸ)
Convolvulaceae,ಕಾಸಿನ
Convoluted tubule,ಸುರುಳಿಯಾಕಾರದ ಕೊಳವೆಯ
Coordination,ಸಮಾಲೋಚನೆ
Copolymer,ಕೊಲೆಗುಂದೆಯ
Copper,ತಾಮ್ರ
Coprolite,ನುಗ್ಗಿ
Coprophilous,ಕಾಲ್ಚಾಪನಕ
Copulate,ಹದಿಕಟ್ಟಿಸು
Copulation,ಕವಣೆ
Copulation,ಕವಣೆ
Copulatory pad,ಕಪೃತ್ವ
Coral reef community,ಹವಳದ ಬಂಡೆಯ ಸಮುದಾಯ
Coral,ಹವಳದ
Cordate,ಕರ್ಟೇಟ್
Core area,ಕೋರ್ ಪ್ರದೇಶ
Core zone,ಕೋರೆ ವಲಯ
Corepressor,ತಿರುಳು
Coriphosphine,ಕೊಳೆ
Cork,ಗಾಡಿ
Cork cambium,ಕಾರ್ಕ್ ಕ್ಯಾಂಬಿಯಂ
Cork screw,ಚರಿತ್ರೆ
Corm,ಗಂಡಿ
Corn borer,ಜೋಳದ ಕೊರೆ
Cornea,ಕಾರ್ನಾ
Corneagen cell,ಕಾರ್ನಾಜೆನ್ ಕೋಶ
Corneal lens,ಕಾರ್ನಿಯಲ್ ಲೆನ್ಸ್
Corolla,ಹುಲ್ಲುಗಾವಲು
Corona,ಕರೋನ
Corona penetrating enzyme,ಕರೋನಾ ನುಗ್ಗುವ ಕಿಣ್ವ
Corona radiata,ಕರೋನ ರೇಡಿಯಾಟಾ
Coronarieae,ಕೊರೊನಾರಿಯ
Coronary artery,ಪರಿಧಮನಿಯ
Coronary artery bypass,ಪರಿಧಮನಿಯ ಬೈಪಾಸ್
Coronary artery disease,ಪರಿಧಮನಿಯ ಕಾಯಿಲೆ
Coronary sulcus,ಪರಿಧಮನಿಯ ಸಲ್ಕಸ್
