Assamese,Marathi
ৰূপান্তৰ,रूपांतरण
প্ৰণালীবদ্ধ,पद्धतशीर
বৃত্তাকাৰ বিচ্যুতি,गोलाकार विस्थापन
দীৰ্ঘায়িত এন্টেনা,रेखांशाचा अँटेना
দীৰ্ঘায়িত এৰে,अनुदैर्ध्य अॅरे
শক্তি,ऊर्जा
শক্তি বাৰ,ऊर्जा बार
বেণ্ড গেপ,बँड अंतर
শক্তিৰ স্তৰ,ऊर्जा पातळी
শক্তিৰ স্তৰৰ ডায়েগ্ৰাম,ऊर्जा पातळी आकृती
উন্নত প্ৰসাৰিত ভৰ নিৰ্দিষ্টকৰণ,वर्धित विस्तारित वस्तुमान तपशील
বৃদ্ধি কৰা প্ৰবন্ধ পঞ্জীয়ক,वाढवलेला लेख निबंधक
বৃদ্ধি,वाढ
বৃদ্ধিৰ ধৰণ,वाढ नमुना
উন্নত Mosfet,वर्धित Mosfet
এণ্ট্ৰপি,एन्ट्रॉपी
খাম ডিমডুলেটৰ,लिफाफा डिमॉड्युलेटर
পৰিৱেশ,वातावरण
"এপিটেক্সি বৃদ্ধি, আৰোহী বৃদ্ধি","एपिटॅक्सी वाढ, चढत्या वाढ"
"এপিট্ৰেকিয়াল স্তৰ, আৰোহী স্তৰ","epitracheal स्तर, चढत्या थर"
"এপিটাক্সি, অভাৰৰাইডিং","epitaxy, overriding"
ইপক্সি-ফাইবাৰ গ্লাছৰ স্তৰ,इपॉक्सी-फायबर ग्लास पातळी
ইপি-ৰম,EP-ROM
এপ্সিলন,एप्सिलॉन
সমতা স্থাপন,समानीकरण
সমতা বৰ্তনী,समानीकरण सर्किट
সমতা,समानता
সমীকৰণ,समीकरण
ইকুৱেলাইজাৰ ফিল্টাৰ,तुल्यकारक फिल्टर
সমীকৰণটো,समीकरण
বিষুৱীয় সমতল,विषुववृत्त विमान
সমবিভৱ ৰেখা,isopotential लाइन
সমবিভৱ পৃষ্ঠা,समतुल्य पृष्ठ
সমতুল্য বৰ্তনী,समतुल्य सर्किट
সমতুল্য ইনপুট শব্দ জেনেৰেটৰ,समतुल्य इनपुट आवाज जनरेटर
সমতুল্য ইনপুট শব্দ প্ৰতিৰোধ ক্ষমতা,समतुल्य इनपुट आवाज प्रतिकार
সমতুল্য সমস্থানিক বিকিৰণ শক্তি,समतुल्य समस्थानिक विकिरण शक्ती
বিলোপ,हटवा
শক্তি প্ৰক্ৰিয়া,ऊर्जा प्रक्रिया
ত্ৰুটি নিয়ন্ত্ৰণ ক&#39;ডিং,त्रुटी नियंत्रण कोडिंग
ভুল সংশোধন ক&#39;ড,त्रुटी सुधारणे कोड
ভুল ধৰা পেলোৱা ক&#39;ড,त्रुटी शोध कोड
ভুল নিয়ন্ত্ৰণ,त्रुटी हाताळणी
ভুলৰ হাৰ,त्रुटी दर
ভুল ভল্টেজ,त्रुटी व्होल्टेज
ভুল পৰিবৰ্ধক,एरर एम्पलीफायर
isaki ডাইঅ&#39;ড,इसाकी डायोड
এচিং,नक्षीकाम
ইথাৰনেট,इथरनेट
অইলাৰৰ উপপাদ্য,युलरचे प्रमेय
প্ৰসাৰণ হ্ৰাস ধৰণ,परिमाण कमी करणारा मोड
বাষ্পীভৱন প্ৰক্ৰিয়া,बाष्पीभवन प्रक्रिया
ই-ভেক্টৰ,ई-वेक्टर
সমতা,समता
ব্যতিক্ৰম নিয়ন্ত্ৰণ,अपवाद हाताळणी
অতিৰিক্ত শব্দ অনুপাত,अतिरिक्त आवाज प्रमाण
ট্ৰিপল ক&#39;ড,तिहेरी कोड
উদ্দীপনা টেবুল,उत्तेजना सारणी
echo XOR গেট,इको XOR गेट
এক্সিকিউচন চফ্টৱেৰ,अंमलबजावणी सॉफ्टवेअर
নিষ্পাদন পদক্ষেপ,अंमलबजावणी हलवा
নিষ্পাদন সময়,अंमलबजावणी वेळ
একচেটিয়া ন&#39;ৰ গেট,अनन्य नॉर गेट
সম্প্ৰচাৰক,प्रसारक
ঘাতীয় ক্ষয়,घातांकीय क्षय
ঘাতীয় ডাইঅ&#39;ড,घातांक डायोड
ঘাতীয় ফুৰিয়েৰ শৃংখলা,एक्सपोनेन्शियल फूरियर मालिका
ঘাতীয় ফলন,घातांकीय कार्य
বাহ্যিক কম্পাঙ্ক ৰেজিষ্টেন্স,बाह्य वारंवारता प्रतिकार
অতি উচ্চ কম্পাঙ্ক,खूप उच्च वारंवारता
উচ্চ সম্ভাৱনা,उच्च क्षमता
অতি কম কম্পাঙ্ক,खूप लहान वारंवारता
অভেদ্য অৰ্ধপৰিবাহী,अभेद्य सेमीकंडक्टर
ফাইলটো খোলক,फाईल उघडा
অৰ্ধপৰিবাহী নিৰ্মাণ,सेमीकंडक्टर फॅब्रिकेशन
fabri পেরো অনুনাদক,फॅब्रि पेरो रेझोनेटर
পেনেল,पटल
বহুগুণক,गुणक
ফেক্টৰিয়েল,तथ्यात्मक
lacunae,कमतरता
ক্ষীণকৰণ,क्षीणन
ক্ষীণকৰণ,क्षीणन
ফাহি একপক্ষীয় পাৰ্যমান্যতা জোখা,फही एकतर्फी पारगम्यता मापक
বিফল হোৱা,अपयश
বিফল ধৰণ,अयशस्वी मोड
বিফলতাৰ হাৰ,अपयशाचा दर
ফেয়াৰ চাইল্ড অৰ্ধপৰিবাহী,फेअर चाइल्ड सेमीकंडक्टर
পতনৰ সময়,गडी बाद होण्याचा क्रम
পাতি কালাদ কোৰ,पाटी कलाड कोर
পেট কোৰ,पॅट कोर
পতন হোৱা,कोसळणे
মিছা,खोटे
ভাঁজ কৰা কাগজ,दुमडलेला कागद
ইনপুট,इनपुट
ইছ্যু নম্বৰ,अंक क्रमांक
ফাৰাড,फरद
ফাৰাডে ইফেক্ট,फॅराडे प्रभाव
ফাৰাডে ঘূৰণ,फॅराडे रोटेशन
faraday স্ক্ৰীণ,फॅराडे स्क्रीन
faraday ধ্ৰুৱক,फॅराडे स्थिरांक
ফেৰাডেৰ আইন,फॅरेडेचा कायदा
প্ৰতিৰূপ,प्रतिकृती
প্ৰতিলিপি গ্ৰাহক,प्रतिकृती प्राप्तकर्ता
প্ৰতিলিপি যোগাযোগকাৰী,प्रतिकृती कम्युनिकेटर
প্ৰতিৰূপ,प्रतिकृती
প্ৰতিলিপি সংকেত,प्रतिकृती सिग्नल
চোকা কোৰ,तीक्ष्ण कोर
দ্ৰুত fourier ৰূপান্তৰ,द्रुत फोरियर ट्रान्सफॉर्म
জাহাজৰ ৰচিদ দিনকাৰি,जहाजाची पावती दिनकरी
ফাইল আবণ্টনৰ সময়সূচী,फाइल वाटप वेळापत्रक
মাৰাত্মক ভুল,गंभीर त्रुटी
মূল নথিপত্ৰ,मूळ फाइल
ইনপুট,इनपुट
"দোষ, দোষ","दोष, दोष"
দোষ বিশ্লেষণ,दोष विश्लेषण
দোষ ৰেটিং,दोष रेटिंग
দোষ স্থানীয়কৰণ,दोष स्थानिकीकरण
দোষ স্থানীয় দলং,दोष स्थानिक पूल
দোষ ফিল্টাৰ টগল কৰক,फॉल्ट फिल्टर टॉगल
পতন সহনশীলতা,पडणे सहिष्णुता
ফানোৰ এলগৰিদম,फॅनोचे अल्गोरिदम
ইছ্যু নম্বৰ,अंक क्रमांक
ইছ্যু নম্বৰ গছ,अंक क्रमांक वृक्ष
ফেক্স,फॅक्स
ফাইলৰ সংমিশ্ৰণ,फाइल संयोजन
F সংযোগকাৰী,F कनेक्टर
কম্পাঙ্ক বিভাজন মাল্টিপ্লেক্সাৰ,वारंवारता विभाग मल्टीप्लेक्सर
এফ ই চি ক&#39;ড,FEC कोड
ফেডাৰেল কমিউনিকেচন কমিছন,फेडरल कम्युनिकेशन्स कमिशन
পুনৰ বিনিয়োগ লুপ লাভ,पुनर्गुंतवणूक लूप लाभ
ক্ষীণ কৰা চুম্বকীয় পদাৰ্থ,कमी झालेले चुंबकीय पदार्थ
ইনপুট,इनपुट
পুনৰ বিনিয়োগৰ উৎপাদন,पुनर्गुंतवणूक उत्पन्न
জীৱিকাৰ ক্ষতি,निर्वाह नुकसान
পুনৰ বিনিয়োগ,पुनर्गुंतवणूक
পুনৰ বিনিয়োগ এম্প্লিফায়াৰ,पुनर्गुंतवणूक अॅम्प्लिफायर
পুনৰ প্ৰৱৰ্তন বিকৃতি,पुन्हा परिचय विकृती
পুনৰ বিনিয়োগ ব্লক ডায়াগ্ৰাম,पुनर्गुंतवणूक ब्लॉक आकृती
পুনৰ বিনিয়োগৰ ধাৰা ডায়েগ্ৰাম,पुनर्गुंतवणूक प्रवाह आकृती
পুনৰুদ্ধাৰ লুপ,पुनर्स्थापना लूप
পুনৰ বিনিয়োগ দোলক,पुनर्गुंतवणूक ऑसिलेटर
পুনৰ বিনিয়োগৰ দৌৰ,पुनर्गुंतवणूक शर्यत
পুনৰ বিনিয়োগ স্থানচ্যুতি পঞ্জীয়ন,पुनर्गुंतवणूक विस्थापन नोंदणी
পুনৰ বিনিয়োগ নীতিৰ ডায়েগ্ৰাম,पुनर्गुंतवणूक तत्त्व आकृती
পুনৰ প্ৰৱৰ্তন ভল্টেজ ডায়াগ্ৰাম,पुन्हा परिचय व्होल्टेज आकृती
ফাৰ্মি স্তৰ,फर्मी पातळी
ফেৰিক ইণ্ডাক্টৰ,फेरीक प्रेरक
ফেৰাইট,फेराइट
ফেৰাইট এন্টেনা,फेराइट अँटेना
ফেৰাইট অপতৃণ,फेराइट तण
ফেৰাইট স্পিনাৰ,फेराइट स्पिनर
ফেৰাইট বিভাজক,फेराइट विभाजक
ফেৰাইট লাইন সম্প্ৰসাৰণ,फेराइट लाइन विस्तार
ফেৰাইট-কোৰ ট্ৰেন্সফৰ্মাৰ,फेराइट-कोर ट्रान्सफॉर्मर
ferro ক্ৰম টেপ,फेरो क्रोम टेप
ফেৰ&#39;মেগনেটিজম,फेरोमॅग्नेटिझम
ভাগ্য,नशीब
ফিল্ড ইফেক্ট ট্ৰেঞ্জিষ্টৰ (FET),फील्ड इफेक्ट ट्रान्झिस्टर (FET)
ফেট বুষ্টাৰ,फॅट बूस्टर
fret পৰিপূৰক প্ৰতিসমতা,fret पूरक सममिती
চৰ্বি হ্ৰাসৰ ধৰণ,चरबी कमी करण्याचा मोड
"ভাগ্য দ্বৈততা গেট, দ্বৈততা গেট","fate duality gate, duality gate"
চৰ্বি বৃদ্ধিৰ ধৰণ,फॅट ग्रोथ मोड
&#39;ফ্ৰেট ফ্ৰিকুৱেন্সি ৰেচপন্স&#39;,fret वारंवारता प्रतिसाद
চৰ্বি গ্ৰাফিক বিশ্লেষণ,फॅट ग्राफिक विश्लेषण
FATE বিনিয়োগৰ সুৰক্ষা,भाग्य गुंतवणूक सुरक्षा
চৰ্বি ওলোটা,चरबी उलट
ভাগ্য চুক্তি,भाग्य करार
চৰ্বিযুক্ত mosfet,चरबी mosfet
চৰ্বিৰ পৰিবাহীতা,चरबी चालकता
টোপনিৰ সময়,झोपेची वेळ
ফাইল আমদানি,फाइल आयात
আঁহ,फायबर
ফাইবাৰ সংযোগকাৰী,फायबर कनेक्टर
ফাইবাৰ বিতৰণ কৰা তথ্য আন্তঃপৃষ্ঠ,फायबर वितरित डेटा इंटरफेस
ফাইবাৰ গ্লাছ,फायबर ग्लास
ফাইবাৰ অপটিক লিংক,फायबर ऑप्टिक लिंक
ফাইবাৰ অপটিক্স ট্ৰেন্সমিছন উইণ্ড&#39;,फायबर ऑप्टिक्स ट्रान्समिशन विंडो
ফাইবাৰ লাইট ডিটেক্টৰ,फायबर लाइट डिटेक्टर
ফাইবাৰ বণ্ডিং,फायबर बाँडिंग
ফিবোনাচি সংখ্যা,फिबोनाची संख्या
ভাৰ্চুৱেল শব্দ উৎপাদক,आभासी आवाज जनरेटर
গ্ৰাহকৰ নিষ্ঠা,प्राप्तकर्त्याची निष्ठा
জালিয়াতি,बनावट
এলেকা সহায়ক,क्षेत्र सहाय्यित
ফিল্ড ইফেক্ট ডিভাইচ,फील्ड इफेक्ट डिव्हाइस
ফিল্ড ইফেক্ট চুইচ,फील्ड इफेक्ट स्विच
ফিল্ড ইফেক্টিভ ট্ৰেঞ্জিষ্টৰ,फील्ड प्रभावी ट्रान्झिस्टर
ক্ষেত্ৰ নিৰ্গমন,फील्ड उत्सर्जन
সীহৰ শৰীৰ,लीड बॉडी
ফিল্ড ফ্ৰিকুৱেন্সি,फील्ड वारंवारता
ক্ষেত্ৰৰ তীব্ৰতা,फील्ड तीव्रता
ফিল্ড প্ৰগ্ৰেম লজিক এৰে,फील्ड प्रोग्राम लॉजिक अॅरे
ক্ষেত্ৰ পৰীক্ষা,क्षेत्र चाचणी
ফিল্ড বাতিল কৰা,फील्ड निरसन
FIFO মেমৰি,FIFO मेमरी
দক্ষতা সূচকাংক,कार्यक्षमता निर्देशांक
ফাইল,फाइल
ফাইল ভৰোৱা,फाइल फिलर
file কমাণ্ড,फाइल कमांड
নথিপত্ৰ চাৰ্ভাৰ,फाइल सर्व्हर
স্তৰৰ কেপাচিটৰ,थर कॅपेसिटर
স্তৰৰ ৰেজিষ্টৰ,थर रेझिस्टर
ফিল্টাৰ,फिल्टर
ফিল্টাৰৰ বৈশিষ্ট্যসমূহ,फिल्टर वैशिष्ट्ये
ফিল্টাৰ বৰ্তনী,फिल्टर सर्किट
সংগ্ৰহ,संकलन
ফিল্টাৰ ডিজাইন,फिल्टर डिझाइन
যোগাযোগ তথ্য,संप्रेषण डेटा
ফিল্টাৰ পদ্ধতি,फिल्टर पद्धत
ফিল্টাৰ পুনৰ্গঠন,फिल्टर पुनर्रचना
চূড়ান্ত একত্ৰীকৰণ,अंतिम एकत्रीकरण
আঙুলিৰ ছাপ,फिंगर प्रिंट
সসীম আৱেগিক প্ৰতিবেদন ফিল্টাৰ,मर्यादित आवेगपूर्ण अहवाल फिल्टर
সসীম প্ৰাচল,मर्यादित पॅरामीटर
সসীম অৱস্থাৰ যন্ত্ৰ,मर्यादित राज्य मशीन
ফায়াৰিং এংগেল,फायरिंग कोन
ফাৰ্মৱেৰ,फर्मवेअर
প্ৰথম চিত্ৰ শব্দ,प्रथम आकृती शब्द
প্ৰথম ক্ৰমৰ প্ৰাচ,प्रथम ऑर्डर प्राश
ফিচাৰ লুপ পৰীক্ষা,फिशर लूप चाचणी
নেৰানেপেৰা,स्थिर
ফিক্সড এটেনুৱেটৰ,स्थिर attenuator
ফিক্সড অৰিয়েণ্টেচন,निश्चित अभिमुखता
ফিক্সড কেলকুলেটৰ,निश्चित कॅल्क्युलेटर
নিৰ্দিষ্ট এলেকা,निश्चित क्षेत्र
এচাইনমেণ্ট মেচিন,असाइनमेंट मशीन
নিৰ্দিষ্ট সময় নিয়ন্ত্ৰক,निश्चित वेळ नियंत्रक
পতাকা,झेंडा
ফ্লেংগ,बाहेरील कडा
ফ্লেপ এটেনুৱেটৰ,फडफड attenuator
flamboyant,चमक
উজ্জ্বলতা ৰূপান্তৰক,ब्राइटनेस कन्व्हर्टर
উজ্জ্বলতা,चमक
ফ্লেট ফ্ল&#39;ৰ স্কেনিং,फ्लॅट फ्लोर स्कॅनिंग
সমতল কুণ্ডলী,सपाट कॉइल
ফ্লেট ফাইল,फ्लॅट फाइल
ফ্লেট ফিল্টাৰ,सपाट फिल्टर
ফ্লেট পেক,फ्लॅट पॅक
সমতল ফিতা কেবল,सपाट रिबन केबल
ফ্লেট টপ নমুনা সংগ্ৰহ,फ्लॅट टॉप सॅम्पलिंग
F-স্তৰ,F-स्तर
F-স্তৰীয় আয়নমণ্ডল,एफ-लेयर आयनोस्फीअर
ফ্লেমিং,फ्लेमिंग
ফ্লেমিং আৰু ক্লিণ্টন ডাইভাৰ্জেন্স মেথড,फ्लेमिंग आणि क्लिंटन विचलन पद्धत
flutter,फडफड
flutter শব্দ,फडफड आवाज
ফ্লাটাৰ ফটোমিটাৰ,फ्लटर फोटोमीटर
ফ্লিপ ফ্লপ,फ्लिप फ्लॉप
ফ্লিপ ফ্লপ এচিনক্ৰ&#39;নাছ বিনিয়োগ,फ्लिप फ्लॉप असिंक्रोनस गुंतवणूक
ফ্লিপ ফ্লপৰ বৈশিষ্ট্যসমূহ,फ्लिप फ्लॉप वैशिष्ट्ये
ফ্লিপ ফ্লপ কল সংকেত,फ्लिप फ्लॉप कॉल सिग्नल
ফ্লিপ ফ্লপ টাইমলাইন,फ्लिप फ्लॉप टाइमलाइन
ফ্লিপ ফ্লপ কোৰ-ট্ৰিগাৰ কৰা হৈছে,फ्लिप फ्लॉप कोर-ट्रिगर
ফ্লিপ ফ্লপ jK ট্ৰিগাৰ,फ्लिप फ्लॉप jK ट्रिगर
ফ্লিপ ফ্লপ লেচ,फ्लिप फ्लॉप कुंडी
ফ্লিপ ফ্লপ মাষ্টাৰ-স্লেভ,फ्लिप फ्लॉप मास्टर-स्लेव्ह
ফ্লিপ ফ্লপ আৰ এছ,फ्लिप फ्लॉप RS
ফ্লিপ ফ্লপ আৰম্ভ পুনৰাৰম্ভ সেট পুনৰায় সেট কৰক (SR),फ्लिप फ्लॉप स्टार्टअप रीस्टार्ट सेट रीसेट (SR)
ফ্লিপ ফ্লপ সমকালীন বিনিয়োগ,फ्लिप फ्लॉप सिंक्रोनस गुंतवणूक
ভাসমান চাৰ্জ,फ्लोटेशन चार्ज
ভাসমান গঠন,फ्लोट निर्मिती
ভাসমান গেট,फ्लोटिंग गेट
বিনিয়োগ,डिव्हेस्टिचर
অসংযুক্ত লোড,असंबद्ध भार
অসম্পৰ্কীয় উৎস,असंबंधित स्रोत
সম্পূৰ্ণ আলোকসজ্জা,पूर्ण रोषणाई
ফ্লপি,फ्लॉपी
ফ্লপি ডিস্ক,फ्लॉपी डिस्क
প্ৰবাহ,प्रवाह
ফ্ল&#39; চাৰ্ট,प्रवाह चार्ट
গ্ৰেডিয়েন্ট ডায়াগ্ৰাম,ग्रेडियंट आकृती
প্ৰবাহৰ দিশ,प्रवाह दिशा
প্ৰবাহ ৰেখা,प्रवाह ओळ
ফ্ল&#39;মিটাৰ,फ्लोमीटर
FLT U2 ফিল্টাৰ,FLT U2 फिल्टर
বহুবচন ক্ষয় উপপাদ্য,अनेकवचन क्षय प्रमेय
তৰল ঘৰ্ষণ ডেম্পিং,द्रव घर्षण ओलसर
তৰল মজিয়া,द्रव मजला
ফ্লু&#39;ৰেচেন্স ইফেক্ট টিউব,फ्लोरोसेन्स इफेक्ट ट्यूब
ফ্লু&#39;ৰেচেণ্ট,फ्लोरोसेंट
flutter,फडफड
ফ্লাক্স ঘনত্ব,प्रवाह घनता
ফ্লাক্স দুৱাৰৰ চুম্বকমাপক,फ्लक्स दरवाजा मॅग्नेटोमीटर
ফ্লাক্স বাইণ্ডিং,प्रवाह बंधनकारक
"ফ্লাক্স মিটাৰ, ফ্লাক্স মিটাৰ","फ्लक्स मीटर, फ्लक्स मीटर"
ফ্লাক্স ছল্ডাৰ,फ्लक्स सोल्डर
কাউণ্টাৰ ইনজুৰি,काउंटर इजा
ৰিয়েক্টেন্স উচ্চ ভল্টেজ,प्रतिक्रिया उच्च व्होल्टेज
কাউণ্টাৰকাৰেণ্ট ট্ৰেন্সফৰ্মাৰ,काउंटरकरंट ट्रान्सफॉर्मर
সঞ্চয় প্ৰভাৱ,संचय प्रभाव
ফ্ৰিকুৱেন্সি মডুলেচন ডিজিটেল ডিটেক্টৰ,वारंवारता मॉड्यूलेशन डिजिटल डिटेक्टर
ফ্ৰিকুৱেন্সি মডুলেচন পিক ডিটেক্টৰ,फ्रिक्वेंसी मॉड्युलेशन पीक डिटेक्टर
আৱৰণযুক্ত মডুলেচন কলা যোগ কৰা হৈছে লুপ ডিটেক্টৰ,लिफाफा मॉड्युलेशन आर्ट अॅडेड लूप डिटेक्टर
এফ এম ভয়েচ ফ্ৰিকুৱেন্সি টেলিগ্ৰাফ,एफएम आवाज वारंवारता तार
focal,फोकल
ধ্যান কেন্দ্ৰিত,लक्ष केंद्रित
ফ&#39;কাচ কেমেৰা,फोकस कॅमेरा
ফ&#39;কাচ ভুল এম্প্লিফায়াৰ,फोकस एरर अॅम्प्लिफायर
ফোকাচ ছবি টিউব,फोकस पिक्चर ट्यूब
ফোকাচ চাৰ্ভো,फोकस सर्वो
ফোকাচ আৰু ফ’ল’-আপ,फोकस आणि फॉलोअप
ফোকাচ আৰু ফ’ল’ আপ বডি,लक्ष केंद्रित करा आणि शरीराचा पाठपुरावा करा
ফয়েল-টাইপ গেজ,फॉइल-प्रकार गेज
প্ৰথম ফাট,प्रथम क्रॅक
ভল্টেজ লিমিটাৰক পিছলৈ ভাঁজ কৰক,फोल्ड बॅक व्होल्टेज लिमिटर
বগা ৰেখাৰ মান,व्हाईट लाइन मूल्य
কাৰেণ্ট লিমিটাৰক পিছলৈ ভাঁজ কৰক,वर्तमान लिमिटर परत फोल्ड करा
ভাঁজ কৰা স্থাপত্য,दुमडलेला आर्किटेक्चर
ভাঁজ কৰা ডাইপোল,दुमडलेला द्विध्रुव
ভাঁজ কৰা ডাইপোল,दुमडलेला द्विध्रुव
ভাঁজ কৰা উপাদান,दुमडलेला घटक
ট্ৰেইলিং,पिछाडीवर
ফন্ট প্ৰদৰ্শন,फॉन्ट डिस्प्ले
খাদ্যৰ প্ৰিন্ট,फूड प्रिंट
নিষিদ্ধ বেণ্ড,निषिद्ध बँड
নিষিদ্ধ শক্তিৰ ব্যৱধান,निषिद्ध ऊर्जा अंतर
বাৰ্ড জ&#39;ন,प्रतिबंधित क्षेत्र
বল,सक्ती
প্ৰপালচিভ কনভাৰ্টাৰ,प्रवर्तक कनवर्टर
বিদেশী বস্তু,परदेशी वस्तू
ফৰ্ম ফ্যাক্টৰ,फॉर्म फॅक्टर
পৃষ্ঠা পূৰণ কৰা,पृष्ठ भरा
আনুষ্ঠানিক যুক্তি,औपचारिक तर्क
ফৰ্মেট নম্বৰ,स्वरूप क्रमांक
fortran,फोरट्रान
আকস্মিক বিকৃতি,अपघाती विकृती
ফৰৱাৰ্ড বায়াছ,फॉरवर्ड पूर्वाग्रह
ফৰৱাৰ্ড বায়াছ,फॉरवर्ड पूर्वाग्रह
ফৰৱাৰ্ড বায়াছ জইণ্ট,फॉरवर्ड बायस संयुक्त
ফৰৱাৰ্ড ব্লক কৰা অৱস্থা,फॉरवर्ड ब्लॉकिंग स्टेट
ফৰৱাৰ্ড ব্ৰেক ভল্টেজ,फॉरवर्ड ब्रेक व्होल्टेज
ফৰৱাৰ্ড ভুল সংশোধন,अग्रेषित त्रुटी सुधारणे
ফ্ৰন্ট লুপ গেইন,फ्रंट लूप लाभ
ফ্ৰন্ট ৰোড গেইন,समोरचा रस्ता लाभ
আগলৈ মেৰুত্ব,फॉरवर्ड ध्रुवीयता
আগলৈ পৰিবাহীতা,पुढे चालकता
ফৰৱাৰ্ড ট্ৰেনজিট সময়,फॉरवर्ड ट्रान्झिट वेळ
ফষ্টাৰ চিলি বিবেককাৰ,फास्टर सिली विवेककर
চতুৰ্ভুজ এনকোডিং,चौपट एन्कोडिंग
চতুৰ্ভুজ,चतुष्पाद
ডিজিটেল ট্ৰেন্সমিছন,क्वाड्रॅचर डिजिटल ट्रान्समिशन
চতুৰ্ভুজ নেটৱৰ্ক,चतुर्भुज नेटवर्क
চতুৰ্থাংশ নেটৱৰ্ক,चतुर्थांश नेटवर्क
কোৱাড টিউব কেমেৰা,क्वाड ट्यूब कॅमेरा
ফুৰিয়েৰ সহগ,फोरियर गुणांक
ফুৰিয়েৰ সংহতি,फूरियर एकत्रीकरण
ফুৰিয়েৰ বিপৰীত,फोरियर उलटा
fourier শৃংখলা,फोरियर मालिका
সংক্ৰমণ,संसर्ग
ফুৰিয়েৰ ত্ৰিকোণমিতিক শৃংখলা,फूरियर त्रिकोणमितीय मालिका
ফুৰিয়েৰ উপপাদ্য,फोरियर प्रमेय
চতুৰ্ভুজ ডিভাইচ,चौपट उपकरण
quaternary ডাইঅ&#39;ড,चतुर्थांश डायोड
মোবাইল পইণ্ট প্ৰচেছৰ,मोबाइल पॉइंट प्रोसेसर
ফ্লটিং পইণ্ট ইউনিট,फ्लोटिंग पॉइंट युनिट
ফাইল সলনি কৰা,फाइल बदलणे
ভগ্নাংশ ভুল,अंशात्मक त्रुटी
ডিফাৰেন্সিয়েল ট্ৰেন্সমিছন,विभेदक प्रेषण
ফ্ৰেম,फ्रेम
ফ্ৰেম বাফাৰ চিপ,फ्रेम बफर चिप
ফ্ৰেম কেপচাৰ,फ्रेम कॅप्चर
ফ্ৰেম পাছৱৰ্ড,फ्रेम पासवर्ड
ফ্ৰেম ফৰ্মেট,फ्रेम स्वरूप
ফ্ৰেম ফ্ৰিকুৱেন্সি,फ्रेम वारंवारता
ফ্ৰেম লেণ্ড,फ्रेम जमीन
ফ্ৰেম সমকালীন বিন্দু,फ्रेम सिंक्रोनस पॉइंट्स
ফ্ৰেম সমন্বয়,फ्रेम सिंक्रोनाइझेशन
ফ্ৰেম সমকালীন সংকেত,फ्रेम सिंक्रोनस सिग्नल
ফ্ৰেংক কোড,फ्रँक कोड
মুক্ত ইলেক্ট্ৰন,मुक्त इलेक्ट्रॉन
free Zone,मुक्त क्षेत्र
মুক্ত গতিশীল দোলক,फ्री मूव्हिंग ऑसिलेटर
মুক্ত ব্যৱধান ইম্পিডেন্স,मुक्त अंतर प्रतिबाधा
মুক্ত ব্যৱধান,मोकळे अंतर
মুক্ত গতিশীল মাল্টিভাইব্ৰেটৰ,फ्री मूव्हिंग मल्टीव्हायब्रेटर
কম্পনাংক,वारंवारता
কম্পনাংক,वारंवारता
কম্পনাংক,वारंवारता
কম্পনাংক,वारंवारता
কম্পাঙ্ক সংযুক্ত চেনেল,वारंवारता संलग्न चॅनेल
কম্পাঙ্ক নিযুক্তি,वारंवारता असाइनमेंट
ফ্ৰিকুৱেন্সি বেণ্ড,वारंवारता बँड
ফ্ৰিকুৱেন্সি কনভাৰ্টাৰ,वारंवारता कनवर्टर
কম্পাঙ্ক ক্ষতিপূৰণ,वारंवारता भरपाई
কম্পাঙ্ক ক্ষতিপূৰণ,वारंवारता भरपाई
কম্পাঙ্ক নিয়ন্ত্ৰিত দোলক,वारंवारता नियंत्रित ऑसिलेटर
কম্পাঙ্ক ৰূপান্তৰ,वारंवारता रूपांतरण
ফ্ৰিকুৱেন্সি মডুলেচন,वारंवारता मॉड्यूलेशन
ফ্ৰিকুৱেন্সি ডিটেক্টৰ,वारंवारता शोधक
কম্পাঙ্ক বিচ্যুতি,वारंवारता विचलन
কম্পাঙ্ক বিচ্যুতি,वारंवारता विचलन
কম্পাঙ্ক পাৰ্থক্য,वारंवारता भिन्नता
কম্পাঙ্ক বৈষম্যক,वारंवारता भेदक
কম্পাঙ্ক বিকৃতি,वारंवारता विकृती
কম্পাঙ্ক তাৰতম্য,वारंवारता भिन्नता
কম্পাঙ্ক বিভাজক,वारंवारता विभाजक
মাল্টিপ্লেক্সাৰ ফ্ৰিকুৱেন্সি ডিভিজন,मल्टीप्लेक्सर वारंवारता विभाग
কম্পাঙ্ক ডাবলাৰ,वारंवारता दुप्पट
কম্পাঙ্ক চুইচিং,वारंवारता स्विचिंग
কম্পাঙ্ক উৎপাদন,वारंवारता निर्मिती
কম্পাঙ্ক নিৰ্ভৰশীল এন্টেনা,वारंवारता अवलंबून अँटेना
কম্পাঙ্ক আন্তঃপৃষ্ঠ,वारंवारता इंटरफेस
কম্পাঙ্ক হস্তক্ষেপ,वारंवारता हस्तक्षेप
কম্পাঙ্ক বিপৰীত,वारंवारता व्यस्त
ফ্ৰিকুৱেন্সি মডুলেচন,वारंवारता मॉड्यूलेशन
ফ্ৰিকুৱেন্সি মডুলেচন সূচকাংক,वारंवारता मॉड्यूलेशन निर्देशांक
ফ্ৰিকুৱেন্সি মডুলেটৰ,वारंवारता मॉड्युलेटर
