Odiya,Gujarati
ଆର୍ଥିକ ସମ୍ଭାବନା |,નાણાકીય શક્યતા
ଭଲ ଏଗ୍ରିଗେଟ୍ |,ફાઇન એકંદર
ଖଣ୍ଡ ଖଣ୍ଡ |,ફિસર્ડ ખડક
ପତାକା ପଥର |,ધ્વજ પથ્થર
ଫ୍ଲେମିସ୍ ବନ୍ଧନ |,ફ્લેમિશ બોન્ડ
ଫ୍ଲାସ୍,ફ્લેશિંગ
ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |,ચમકદાર પ્રવાહ
ଫ୍ଲାଟ ଛାତ |,સપાટ છત
ଫ୍ଲେଚେ,ફ્લેચે
ଫ୍ଲେମିସ୍ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,ફ્લેમિશ ગાર્ડન વોલ બોન્ડ
ଫ୍ଲିଣ୍ଟ |,ચકમક
ଫ୍ଲିଣ୍ଟ କାନ୍ଥ |,ફ્લિન્ટ દિવાલ
ଭାସମାନ ଚଟାଣ |,ફ્લોટિંગ ફ્લોર
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ |,ફ્લોક્યુલેશન
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ସୀମା |,ફ્લોક્યુલેશન મર્યાદા
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ଅନୁପାତ |,ફ્લોક્યુલેશન રેશિયો
ଫ୍ଲୋକ୍ୟୁଲ୍ସ |,ફ્લોક્યુલ્સ
ଚଟାଣ,ફ્લોર
ଚଟାଣ ସିଲ୍ |,ફ્લોર સીલ
ପ୍ରବାହ,પ્રવાહ
ଅସ୍ଥିରତା |,વધઘટ
ଫୁଟିଂ,ફૂટિંગ
ଫାଉଣ୍ଡେସନ୍,ફાઉન્ડેશન
ମାଗଣା ପତନ ବାରୋ ଟପିଙ୍ଗ୍ ମିକ୍ସର୍ |,ફ્રી ફોલ બેરો ટોપિંગ મિક્સર
ମାଗଣା ପତନ ମିକ୍ସର୍ (ଡ୍ରମ୍ ପ୍ରକାର),ફ્રી ફોલ મિક્સર (ડ્રમ પ્રકાર)
ମାଗଣା ପଥର |,મફત પથ્થર
ଫ୍ରେଶେଟ୍ |,ફ્રેશેટ
ଘର୍ଷଣ ଗଦା |,ઘર્ષણ ખૂંટો
ବେଙ୍ଗ,દેડકા
ଗେବୁଲ୍ |,ગેબલ
ଗାବଲେଟ୍ |,ગેબલેટ
ଗାମ୍ବ୍ରେଲ୍ ଛାତ |,ગેમ્બ્રેલ છત
ଗେଜ୍,ગેજ
ଗଗିଂ ବିଭାଗ |,માપન વિભાગ
ଗଗିଂ ଷ୍ଟେସନ୍ |,ગેજિંગ સ્ટેશન
ସାଧାରଣ ଅବସ୍ଥାନ ଯୋଜନା |,સામાન્ય સ્થાન યોજના
ସାଧାରଣ ଭେଣ୍ଟିଲେସନ୍ |,સામાન્ય વેન્ટિલેશન
ଜି ରାଶି କିମ୍ବା ଗଲି ରାଶି |,G ક્ષિતિજ અથવા gley ક્ષિતિજ
ଗ୍ଲାସିଆଲ୍ ପର୍ଯ୍ୟନ୍ତ,સુધી હિમનદી
ଗ୍ନିସ୍ |,જીનીસ
ଦ୍ରବ୍ୟ ପ୍ରାଙ୍ଗଣ,માલ યાર્ડ
ଗ୍ରେଡିଏଣ୍ଟ୍ ପ୍ରତିରୋଧ |,ઢાળ પ્રતિકાર
ଗ୍ରାନାଇଟ୍ |,ગ્રેનાઈટ
ଗ୍ରାନୁଲାର୍ ଗଠନ |,દાણાદાર માળખું
ଗ୍ରାନୁଲେସନ୍ |,દાણાદાર
ଗ୍ରାନୁଲ୍ |,ગ્રાન્યુલ
ମାଧ୍ୟାକର୍ଷଣ ଜଳ ମୁକ୍ତ ଜଳ |,ગુરુત્વાકર્ષણ મુક્ત પાણી
ମାଧ୍ୟାକର୍ଷଣ ପ୍ରାଙ୍ଗଣ |,ગુરુત્વાકર્ષણ યાર્ડ
ମହାନ ମାଟି ଗୋଷ୍ଠୀ |,ગ્રેટ માટી જૂથ
ଗ୍ରିଲେଜ୍ ଫାଉଣ୍ଡେସନ୍ |,ગ્રિલેજ ફાઉન્ડેશન
ଗ୍ରାଉଣ୍ଡ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |,ગ્રાઉન્ડ હેન્ડ મોલ્ડિંગ
ଗ୍ରୁପ୍ ଡକ୍ |,જૂથબદ્ધ ડોક
ଗୋଷ୍ଠୀ ଗୃହ,ગ્રુપ હાઉસિંગ
ଅତିଥି ଗୃହ,અતિથિ ખંડ
ଗୁଟର୍ |,ગટર
ଗୁଟର ଧାରକ |,ગટર ધારક
ଗୁଟର ଯାଞ୍ଚ |,ગટર ચેક
ହାମର ଡ୍ରେସିଂ |,હેમર ડ્રેસિંગ
ହାରବର୍,હાર્બર
ଆଶ୍ରୟସ୍ଥଳ,આશ્રય બંદર
ହାର୍ଡ ପ୍ୟାନ |,સખત તપેલી
ହେଡର୍,હેડર
ହେଡର୍ ବଣ୍ଡ୍ |,હેડર બોન્ડ
ହେଡର୍ ପାଠ୍ୟକ୍ରମ,હેડર કોર્સ
ହେଡ୍ ଗେଟ୍ ଗଠନ |,હેડ ગેટ સ્ટ્રક્ચર
କେନାଲର ମୁଖ୍ୟ |,કેનાલના વડા
ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |,હેડ રેગ્યુલેટર
ହେରିଙ୍ଗ ହାଡ ବନ୍ଧନ |,હેરિંગ બોન બોન્ડ
ହୃଦୟ,હાર્ટીંગ
ଓଦା ଗରମ |,ભીનાશની ગરમી
ଉଚ୍ଚ ଆଲୁମିନା ସିମେଣ୍ଟ |,ઉચ્ચ એલ્યુમિના સિમેન્ટ
ହିପ୍,હિપ
ହିପ୍ କ୍ୟାପିଙ୍ଗ୍ |,હિપ કેપિંગ
ହିପ୍ ଶେଷ,હિપ્ડ એન્ડ
ହୁଡ୍ |,હૂડ
ହୁଡ୍ ମୋଲିଡିଂ |,હૂડ મોલ્ડિંગ
ହୁକର ନିୟମ |,હૂકનો કાયદો
ଲୁହା ହୁପ୍ |,હૂપ આયર્ન
ରାଶି,ક્ષિતિજ
ଆର୍ଦ୍ରତା,ભેજીકરણ
"ଆର୍ଦ୍ରତା, ସଂପୂର୍ଣ୍ଣ |","ભેજ, સંપૂર્ણ"
"ଆର୍ଦ୍ରତା, ଆପେକ୍ଷିକ |","ભેજ, સંબંધિત"
ହମ୍ପ୍ ୟାର୍ଡ |,હમ્પ યાર્ડ
ହାଇଡ୍ରୋଲିକ୍ ଚାପ |,હાઇડ્રોલિક દબાણ
ହାଇଡ୍ରେସନ୍ |,હાઇડ્રેશન
ହାଇଡ୍ରୋଲାଇସିସ୍ |,હાઇડ્રોલિસિસ
ହାଇଡ୍ରୋଲାଇଟିକ୍ ଅମ୍ଳତା |,હાઇડ્રોલિટીક એસિડિટી
ହାଇଡ୍ରୋମୋର୍ଫିକ୍ ମାଟି |,હાઇડ્રોમોર્ફિક માટી
ହାଇଡ୍ରୋଫିଲିକ୍ କୋଲଏଡ୍ |,હાઇડ્રોફિલિક કોલોઇડ
ହାଇଡ୍ରୋଫୋବିକ୍ କୋଲଏଡ୍ |,હાઇડ્રોફોબિક કોલોઇડ
ହାଇଡ୍ରୋଷ୍ଟାଟିକ୍ ଚାପ ଅନୁପାତ |,હાઇડ્રોસ્ટેટિક દબાણ ગુણોત્તર
ହାଇଗ୍ରୋସ୍କାପ୍ଟିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,હાઇગ્રોસ્કેપ્ટિક ગુણાંક
ହାଇଗ୍ରୋସ୍କୋପିକ୍ ଆର୍ଦ୍ରତା |,હાઇગ્રોસ્કોપિક ભેજ
ହାଇଡ୍ରୋସ୍କୋପିକ୍ଟି |,હાઇડ્રોસ્કોપીસીટી
ହାଇଗ୍ରୋସ୍କୋପିକ୍ ଆର୍ଦ୍ରତା |,હાઇગ્રોસ્કોપિક ભેજ
ହାଇପରବାରିକ୍ ଚାମ୍ବର |,હાયપરબેરિક ચેમ્બર
ହାଇପରଷ୍ଟାଟିକ୍ ଫ୍ରେମ୍ |,હાઇપરસ્ટેટિક ફ્રેમ
ହାଇପୋସୋମିଟର |,હાઇપ્સોમીટર
ଆଲୋକ,રોશની
ଇମ୍ବିବେସନ୍ ଆର୍ଦ୍ରତା |,એમ્બિબેશન ભેજ
ଅପରିପକ୍ୱ ମାଟି |,અપરિપક્વ માટી
ପ୍ରଭାବିତ ଡକ୍ |,જપ્ત કરાયેલ ડોક
ଜମି ରାଜସ୍ୱ ବୃଦ୍ଧି,જમીનની આવકમાં વધારો
ସ୍ Independ ାଧୀନ ସ୍କାଫୋଲ୍ଡ |,સ્વતંત્ર પાલખ
ପ୍ରେରିତ |,ઈન્ડ્યુરેટેડ
ପ୍ରାରମ୍ଭିକ ସମ୍ମାନ,પ્રારંભિક prestress
ପ୍ରାରମ୍ଭିକ ଟେନସନ |,પ્રારંભિક તણાવ
ଆଭ୍ୟନ୍ତରୀଣ ଜଳପଥ ବନ୍ଦର |,આંતરદેશીય જળમાર્ગ બંદર
ଇନସୁଲେଟିଂ ବୋର୍ଡ |,ઇન્સ્યુલેટીંગ બોર્ડ
ମଧ୍ୟବର୍ତ୍ତୀ ବନ୍ଦର |,મધ્યવર્તી બંદર
ଆଭ୍ୟନ୍ତରୀଣ ଘର୍ଷଣ |,આંતરિક ઘર્ષણ
ଇଣ୍ଟ୍ରାଜୋନାଲ ମାଟି |,ઇન્ટ્રાઝોનલ માટી
ଆଇନ୍,આયન
ଆଇନ୍ ବିନିମୟ |,આયન વિનિમય
ଲୁହା ପ୍ୟାନ |,લોખંડની તપેલી
ଜଳସେଚିତ ଜମି |,સિંચાઈવાળી જમીન
ଜଳସେଚନ,સિંચાઈ
ଜଳସେଚନ ବନ୍ଦ,સિંચાઈ ઉપકર
ଜାମ୍,જાંબ
ଜୋଗଲ୍ |,જોગલ
ଜୋଗଲ୍ ପିନ୍ |,જોગલ પિન
ଜୁଲେ |,જૌલ
ଜମ୍ପର୍ |,જમ્પર
କିଲୋଗ୍ରାମ |,કિલોગ્રામ
କିଲୋଗ୍ରାମ ଫୋର୍ସ |,કિલોગ્રામ બળ
କିଲୋଗ୍ରାମ ଫୋର୍ସ ମିଟର |,કિલોગ્રામ ફોર્સ મીટર
କିଲୋୱାଟ ଘଣ୍ଟା |,કિલોવોટ કલાક
ରାଜା ବନ୍ଦ,રાજા બંધ
ରୋଷେଇ ଘର |,રસોડું
ସ୍ତମ୍ଭ,લેસ્ડ કૉલમ
ଲଗିଂ,લેગીંગ
ଲାମେଲା ମୂଳ |,લેમેલા મૂળ
ଲାମିନାର୍ ପ୍ରବାହ |,લેમિનર પ્રવાહ
ଦୀପ ଗର୍ତ୍ତ |,દીવો છિદ્ર
ଜମି ଅଧିଗ୍ରହଣ,જમીન સંવર્ધન
ଭୂମି ସ୍ଲାଇଡିଂ |,લેન્ડ સ્લાઇડિંગ
ଲାଟେରାଇଟ୍ |,લેટેરાઇટ
ଲାଟେରାଇଟ୍ ମାଟି |,લેટેરાઇટ માટી
ବହୁ ସଂଖ୍ୟକ ନିୟମ |,મોટી સંખ્યાનો કાયદો
ଲେଆଉଟ୍ ଯୋଜନା |,લેઆઉટ યોજના
ଲେଜର,ખાતાવહી
ଚୂନ ପ୍ୟାନ |,ચૂનો પાન
ଲିନଟେଲ୍ |,લિંટેલ
ତରଳ ସୀମା |,પ્રવાહી મર્યાદા
ଲାଇଭ୍ ଲୋଡ୍ |,લાઈવ લોડ
ଲୋମ୍ |,લોમ
ସ୍ଥାନୀୟ ନିଷ୍କାସନ ଭେଣ୍ଟିଲେସନ୍ |,સ્થાનિક એક્ઝોસ્ટ વેન્ટિલેશન
ଲୋକୋ ଅଗଣା |,લોકો યાર્ડ
ଲୋସ୍ |,લોસ
ନିମ୍ନ ପ୍ଲାଷ୍ଟିକ୍ ସୀମା |,ઓછી પ્લાસ્ટિક મર્યાદા
କମ୍ ଉତ୍ତାପ ସିମେଣ୍ଟ |,ઓછી ગરમી સિમેન્ટ
ମେସିନ୍ ମୋଲିଡିଂ |,મશીન મોલ્ડિંગ
ମାକ୍ରୋଷ୍ଟ୍ରକଚର |,મેક્રોસ્ટ્રક્ચર
ମୁଖ୍ୟ ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |,મુખ્ય હેડ રેગ્યુલેટર
ମୁଖ୍ୟ ବନ୍ଦର,મુખ્ય બંદર
ମେକ୍ଅପ୍ ବାୟୁ |,મેકઅપ એર
ମାନସାର୍ଡ |,મૅનસાર્ડ
ମାର୍ଶାଘାଇ ଅଗଣା |,માર્શલિંગ યાર્ડ
ମାନସ,ચણતર
ପରିପକ୍ୱ ତାପମାତ୍ରା |,પરિપક્વતા તાપમાન
ମେଜଜାନାଇନ୍ ଚଟାଣ |,મેઝેનાઇન ફ્લોર
ଯାନ୍ତ୍ରିକ ବିଶ୍ଳେଷଣ |,યાંત્રિક વિશ્લેષણ
ଯାନ୍ତ୍ରିକ ଭେଣ୍ଟିଲେସନ୍ |,યાંત્રિક વેન્ટિલેશન
ମେଟ୍ରିକ୍ ସିଷ୍ଟମ୍ |,મેટ્રિક સિસ્ટમ
ମାଇକ୍ରୋସ୍ଟ୍ରଷ୍ଟ୍ରକଚର |,માઇક્રોસ્ટ્રક્ચર
ମିଲି ସମାନ |,મિલી સમકક્ષ
ଲିଟର ପିଛା ମିଲି ସମାନ |,મિલી સમકક્ષ પ્રતિ લિટર
ମିନେରାଲ୍ |,ખનિજ
ଖଣିଜ ମାଟି |,ખનિજ માટી
ଛୋଟ ବନ୍ଦର,નાના બંદર
ମିତ୍ରେଡ୍ ବନ୍ଦ |,Mitred બંધ
ମୋବାଇଲ୍ ମାଟି କୋଲଏଡ୍ |,મોબાઇલ સોઇલ કોલોઇડ
ଆର୍ଦ୍ରତା ବିଷୟବସ୍ତୁ |,ભેજનું પ્રમાણ
ଆର୍ଦ୍ରତା ଗ୍ରେଡିଏଣ୍ଟ୍ |,ભેજ ઢાળ
ମୋନୋଲିଥ୍ |,મોનોલિથ
ମୋନୋରାଇଲ୍ |,મોનોરેલ
ଜାତୀୟ ବନ୍ଦର ପରିଷଦ |,નેશનલ હાર્બર કાઉન્સિલ
ପ୍ରାକୃତିକ ଶଯ୍ୟା |,કુદરતી પથારી
ପ୍ରାକୃତିକ ସମାପ୍ତି |,કુદરતી પૂર્ણાહુતિ
ପ୍ରାକୃତିକ ବନ୍ଦର,કુદરતી બંદર
ପ୍ରାକୃତିକ ଭେଣ୍ଟିଲେସନ୍ |,કુદરતી વેન્ટિલેશન
ନାଭାଲ୍ ବନ୍ଦର,નેવલ બંદર
ନ୍ୟୁଟନ୍ |,ન્યુટન
ଅଣ ୟୁନିଫର୍ମ ପ୍ରବାହ |,બિન-સમાન પ્રવાહ
ଜଳ ହାର ଦଖଲ କରେ |,પાણીનો દર રોકે છે
ତେଲ ରଙ୍ଗ |,ઓઇલ પેઇન્ટ
ତେଲ କୂଅ ସିମେଣ୍ଟ |,તેલનો કૂવો સિમેન્ટ
ଖୋଲା ଚ୍ୟାନେଲ ପ୍ରବାହ |,ચેનલ ફ્લો ખોલો
ସର୍ବୋଚ୍ଚ ଆର୍ଦ୍ରତା |,મહત્તમ ભેજ
ଜ Organ ବିକ ମାଟି |,ઓર્ગેનિક માટી
ଓରିଏଣ୍ଟେସନ୍,ઓરિએન્ટેશન
Orthogonal,ઓર્થોગોનલ
ଅର୍ଟଷ୍ଟାଇନ୍ |,ઓર્ટસ્ટેઇન
ବାହ୍ୟ ସଙ୍କେତ,બાહ્ય સંકેત
ଅକ୍ସିଡେସନ୍ |,ઓક્સિડેશન
ପାନ୍ଟ୍ରି |,પેન્ટ્રી
ପାରାପେଟ୍ |,પેરાપેટ
ପାରାପେଟ୍ କାନ୍ଥ |,પેરાપેટ દિવાલ
ପିତାମାତା ସାମଗ୍ରୀ |,પિતૃ સામગ્રી
ପେବଲ୍ କାଷ୍ଟ ପ୍ଲାଷ୍ଟର |,પેબલ કાસ્ટ પ્લાસ્ટર
ପେଡାଲଫର୍ |,પેડલફર
ପେଡୋକାଲ୍ |,પેડોકલ
ପେଡୋଜେନେସିସ୍ |,પેડોજેનેસિસ
ପେଡୋଲୋଜି |,પેડોલોજી
ପେଡୋସଫିସର୍ |,પીડોસ્ફિયર
ପେନେଟ୍ରୋମିଟର |,પેનેટ્રોમીટર
ପେଣ୍ଟ ଛାତ |,પેન્ટ છત
ପେପ୍ଟାଇଜିଂ ଏଜେଣ୍ଟ |,પેપ્ટાઇઝિંગ એજન્ટ
ବିଶ୍ଳେଷଣର ସମୟ |,વિશ્લેષણનો સમયગાળો
Perpend,પેપેન્ડ
ପର୍ସପର୍ସନ୍ |,શોષણ
ପିଆର୍ |,પિયર
ପାଇଲଷ୍ଟର |,પિલાસ્ટર
ପିଚ୍,પીચ
ଛାତ ଛାତ,ખાડાવાળી છત
ସାଧା କଂକ୍ରିଟ୍ |,સાદો કોંક્રિટ
ବିମାନ କୋଣ,પ્લેન કોણ
ସମତଳ ପ୍ରାଙ୍ଗଣ,સાદો યાર્ડ
ପ୍ଲାନସୋଲ୍ |,પ્લાન્સોલ
ପ୍ଲାଷ୍ଟିକ୍ ସ୍ଥିରତା |,પ્લાસ્ટિક સુસંગતતા
ପ୍ଲାଷ୍ଟିକ୍ |,પ્લાસ્ટીસીટી
ପ୍ଲାଷ୍ଟିକ୍ ଇଣ୍ଡେକ୍ସ |,પ્લાસ્ટિસિટી ઇન્ડેક્સ
ପ୍ଲାଷ୍ଟିକ୍ ସୀମା |,પ્લાસ્ટિસિટી મર્યાદા
ପ୍ଲାଷ୍ଟିକ୍ ପରିସର |,પ્લાસ્ટિસિટી શ્રેણી
ପ୍ଲାଟି ଗଠନ |,પ્લેટી માળખું
ପ୍ଲିଣ୍ଟ୍ |,પ્લિન્થ
ହଳ ମାଟି,ખેડાણની માટી
ଘିଅ ପଥର |,આલુ પથ્થર
ପୋଡଜୋଲ୍ |,પોડઝોલ
ସୂଚାଉଛି |,નિર્દેશ
ବହୁମୁଖୀ କାନ୍ଥ |,બહુકોણીય દિવાલ
ଖୋଲା ସ୍ଥାନ |,છિદ્ર જગ્યા
ବନ୍ଦର,બંદર
ସକରାତ୍ମକ ଭେଣ୍ଟିଲେସନ୍ |,હકારાત્મક વેન્ટિલેશન
ପ୍ରିରି ମାଟି |,પ્રેરી માટી
ସଠିକତା,ચોકસાઇ
ପ୍ରାଥମିକ କଣିକା |,પ્રાથમિક કણ
ପ୍ରିଜାମେଟିକ୍ ଗଠନ |,પ્રિઝમેટિક માળખું
ଉତ୍ପାଦକ କାର୍ଯ୍ୟ |,ઉત્પાદક કાર્ય
ପ୍ରକଳ୍ପ ଯଥାର୍ଥତା |,પ્રોજેક્ટનું સમર્થન
ପ୍ରତିରକ୍ଷା କାର୍ଯ୍ୟ |,રક્ષણાત્મક કાર્ય
ସିଉଡୋ-ମାଇସେଲିୟମ୍ |,સ્યુડો-માયસેલિયમ
ପୁଡଲ୍ |,ખાબોચિયું
ପଗ୍ କରିବା |,પગીંગ
ପୁମିସ୍ |,પ્યુમિસ
ପୁଞ୍ଚେନ୍ |,પંચોન
ପପୁଟ୍,કઠપૂતળી
ପୁଟଲଗ୍ |,પુટલોગ
ପୁଟ୍ଲଗ୍ ସ୍କାଫୋଲ୍ଡ |,પુટલોગ સ્કેફોલ્ડ
ପରିମାଣ ସର୍ବେକ୍ଷଣକାରୀ |,જથ્થો સર્વેયર
କ୍ୱାରି ସପ୍ |,ખાણનો રસ
କ୍ୱେ,ક્વે
ରାଣୀ ବନ୍ଦ,રાણી બંધ
କୁଇନ୍ |,ક્વોઈન
ରାଫ୍ଟ ଫାଉଣ୍ଡେସନ୍ |,રાફ્ટ ફાઉન્ડેશન
ରାକର୍ |,રેકર
Raking,રેકિંગ
ବନ୍ଧନ,રેકિંગ બોન્ડ
ଫ୍ଲାସ୍ କରିବା,Raking ફ્લેશિંગ
ଶୀଘ୍ର ଭିନ୍ନ ଭିନ୍ନ ପ୍ରବାହ |,ઝડપથી બદલાતો પ્રવાહ
ପୁନରୁଦ୍ଧାରଯୋଗ୍ୟ ଦେୟ |,વસૂલપાત્ર ચુકવણી
ଲାଲ ପୃଥିବୀ |,લાલ પૃથ્વી
ଲାଲ୍ ଲୋମ୍ |,લાલ લોમ
ନିୟାମକ,રેગ્યુલેટર
ରେଗୁର କିମ୍ବା କଳା ସୂତା ମାଟି |,રેગુર અથવા કાળી કપાસની માટી
ପରିଶୋଧ ଚୁକ୍ତି,ચુકવણી કરાર
ଅବଶିଷ୍ଟ ସଙ୍କୋଚନ |,શેષ સંકોચન
ଅବଶିଷ୍ଟ ମାଟି |,શેષ માટી
ପ୍ରକାଶ କରନ୍ତୁ |,ઉઘાડી
ପିନ୍ ପ୍ରକାଶ କରନ୍ତୁ |,પીન જણાવો
ଟାଇ ପ୍ରକାଶ କରନ୍ତୁ |,ટાઈ જાહેર કરો
ରିଜ୍,રિજ
ରିଜ୍ କ୍ୟାପିଙ୍ଗ୍ |,રિજ કેપિંગ
ନଦୀ,નદી
ରାସ୍ତା ସ୍ଥିର,રોડ સ્ટેડ
କଠିନ ପ୍ଲାଷ୍ଟର |,રફ પ્લાસ્ટર
ଅଳିଆ |,રોડાં
ଅଳିଆ ଆବର୍ଜନା |,રોડાં ચણતર
ଅଳିଆ ଆବର୍ଜନା |,રોડાંની દિવાલ
ଚାଲୁଥିବା ପରିମାପ |,ચાલી રહેલ માપન
ନିରାପଦ ବହନ କ୍ଷମତା |,સલામત બેરિંગ ક્ષમતા
ଲୁଣ ଗ୍ଲେଜ୍ |,મીઠું ગ્લેઝ
ନମୁନା ଆକାର,નમૂનાનું કદ
ନମୁନା ବଣ୍ଟନ,નમૂના વિતરણ
ନମୁନା ତ୍ରୁଟି |,સેમ્પલિંગ ભૂલ
ବାଲି,રેતી
ବାଲି ଶେଷ,રેતી પૂર્ણાહુતિ
ବାଲି ହାତ ତିଆରି,રેતી હાથ મોલ્ડિંગ
ବାଲିଯାତ୍ରା |,સેન્ડિંગ
ପରିପୂର୍ଣ୍ଣ ମାଟି,સંતૃપ્ત માટી
ସନ୍ତୁଳିତ ମାଟି ପେଷ୍ଟ |,સંતૃપ્ત માટી પેસ્ટ
ସାଚୁଚରେସନ୍ ଏକ୍ସଟ୍ରାକ୍ଟ |,સંતૃપ્તિ અર્ક
ସାଚୁଚରେସନ୍ ଶତକଡା,સંતૃપ્તિ ટકાવારી
ସସ୍ ଗମ୍ବୁଜ |,રકાબી ગુંબજ
ସ୍କାଫୋଲ୍ଡ |,પાલખ
ସ୍କିଷ୍ଟ୍ |,શિસ્ટ
ସମୁଦ୍ର ବନ୍ଦର,સમુદ્ર બંદર
ଗୁପ୍ତ ଗୁଟର୍ |,ગુપ્ત ગટર
ଦ୍ୱିତୀୟ |,બીજું
ଅବତରଣ ବିଶ୍ଳେଷଣ |,સેડિમેન્ટેશન વિશ્લેષણ
ସେମି-କୃତ୍ରିମ ବନ୍ଦର |,અર્ધ-કૃત્રિમ બંદર
ସେମି ଜୁଆର ଡକ୍ |,અર્ધ ભરતી ડોક
ସେନିଲ୍ |,સેનાઇલ
ଶେଲ୍,શેલ
ସିଟ୍ ଗଦା |,શીટનો ખૂંટો
ସଙ୍କୋଚନ ସୀମା |,સંકોચન મર્યાદા
ବନ୍ଦ,શટરીંગ
ସିଆଲିଟିକ୍ ମାଟି |,સિઆલિટિક માટી
ସିରୋଜେମ୍ |,સિરોઝેમ
ସିଲ୍ |,સીલ
ସିଲ୍ଟ |,કાંપ
ଏକକ ଫ୍ଲେମିସ୍ ରକ୍ତ |,સિંગલ ફ્લેમિશ લોહી
ଏକକ ଶସ୍ୟ ଗଠନ |,એક દાણાદાર માળખું
କଙ୍କାଳ ମାଟି |,હાડપિંજરની માટી
ସ୍କର୍ଟିଂ,સ્કર્ટિંગ
ଶୋଇବା କାନ୍ଥ |,સ્લીપર દિવાલ
ସାଇଡ୍ ଗୁଟର୍ |,બાજુની ગટર
ସ୍ଲାଇଡ୍ ନିୟମ |,સ્લાઇડ નિયમ
ସ୍ଲିପ୍ ଡକ୍ |,સ્લિપ ડોક
ସ୍ମୋନିଜା |,સ્મોનીઝા
ଭିଜିବା |,પલાળીને
ମୃତ୍ତିକା ସଙ୍ଗଠନ |,માટીનું જોડાણ
ମୃତ୍ତିକା ଶ୍ରେଣୀ,માટી વર્ગ
ମୃତ୍ତିକା ଜଟିଳ |,માટી સંકુલ
ମୃତ୍ତିକାର ସ୍ଥିରତା |,જમીનની સુસંગતતા
ମୃତ୍ତିକା ପରିବାର |,માટી કુટુંબ
ମୃତ୍ତିକା ଫ୍ରେମ୍ କାମ |,માટી ફ્રેમ વર્ક
ମୃତ୍ତିକାର ଆର୍ଦ୍ରତା |,જમીનની ભેજ
ମୃତ୍ତିକାର ଆର୍ଦ୍ରତା ବୃଦ୍ଧି |,જમીનમાં ભેજનું સંવર્ધન
ମୃତ୍ତିକାର ଆର୍ଦ୍ରତା ଅଭାବ |,જમીનમાં ભેજની ઉણપ
ମୃତ୍ତିକା ରୂପବିଜ୍ ology ାନ |,માટી મોર્ફોલોજી
ମୃତ୍ତିକା କଣିକା |,માટીનો કણ
ମୃତ୍ତିକା ପର୍ଯ୍ୟାୟ |,માટીનો તબક્કો
ମୃତ୍ତିକା ପ୍ରୋଫାଇଲ୍ |,માટી પ્રોફાઇલ
ମୃତ୍ତିକା ପ୍ରତିକ୍ରିୟା |,માટીની પ્રતિક્રિયા
ମୃତ୍ତିକା ଅଲଗା ହୁଏ |,માટી અલગ પડે છે
ମୃତ୍ତିକା କ୍ରମ |,માટી શ્રેણી
ମୃତ୍ତିକା ସମାଧାନ |,માટી ઉકેલ
ମୃତ୍ତିକା ଗଠନ,માટીનું માળખું
ମୃତ୍ତିକା ଗଠନ,માટીની રચના
ମୃତ୍ତିକା ପ୍ରକାର |,માટીનો પ્રકાર
ସୋଲମ୍ |,સોલમ
Sorption,સોર્પ્શન
ସ୍ପଲ୍,spalls
ନିର୍ଦ୍ଦିଷ୍ଟ ଆୟନ ପ୍ରଭାବ |,ચોક્કસ આયન અસર
ବର୍ଗାକାର କୋର୍ସଡ୍ ଅଳିଆ ଆବର୍ଜନା |,ચોરસ કોર્સ્ડ રોડાં ચણતર
ସ୍କ୍ୱାର୍ଡ ନିୟମିତ କୋର୍ସଡ୍ ଅଳିଆ ଆବର୍ଜନା |,ચોરસ નિયમિત કોર્સ્ડ રોડાં ચણતર
ସ୍ଥିର ପ୍ରବାହ |,સ્થિર પ્રવાહ
ଷ୍ଟେପ୍ ଫ୍ଲାସ୍,સ્ટેપ્ડ ફ્લેશિંગ
ସ୍ଥିରତା |,સ્ટીકીનેસ
ଷ୍ଟିକ୍ ପଏଣ୍ଟ |,સ્ટિકિંગ પોઈન્ટ
ପଥର |,પથ્થર
ସ୍ଲପ୍ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |,સ્લોપ હેન્ડ મોલ્ડિંગ
ଷ୍ଟ୍ରାପ୍ ହିଙ୍ଗ୍ |,પટ્ટા મિજાગરું
ଷ୍ଟ୍ରୋ ବୋର୍ଡ |,સ્ટ્રો બોર્ડ
ଷ୍ଟ୍ରିମ୍,પ્રવાહ
ଚାପ,તણાવ
ଷ୍ଟ୍ରେଚର୍,સ્ટ્રેચર
ଷ୍ଟ୍ରେଚର୍ ବଣ୍ଡ୍ |,સ્ટ્રેચર બોન્ડ
ଷ୍ଟ୍ରେଚର୍ ପାଠ୍ୟକ୍ରମ,સ્ટ્રેચર કોર્સ
ବାକ୍ୟ,તાર
