Bengali,Odiya
1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন,1. ଏକୀକରଣ 2. ହାଇବ୍ରିଡାଇଜେସନ୍ |
সংযোজন,ସଂଯୋଗ
1. সংযোজক 2. সংযোগকারী,1. ଯୋଗୀ 2. ସଂଯୋଜକ |
সুরক্ষা,ସୁରକ୍ଷା
একত্রীকরণের,ଏକୀକରଣ
1. উপাদান 2. উপাদান,1. ଉପାଦାନ 2. ଉପାଦାନଗୁଡ଼ିକ |
ভোক্তা,ଗ୍ରାହକ
খরচ,ବ୍ୟବହାର
দূষণ,ପ୍ରଦୂଷଣ
কনট্যুর রোপণ,କଣ୍ଟୁର ରୋପଣ |
কনট্যুর লাইন,ବିଷୟବସ୍ତୁ ରେଖା |
1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং,1. ଚୁକ୍ତିନାମା ଚାଷ 2. ଚୁକ୍ତିନାମା ଚାଷ 3. ଚୁକ୍ତିନାମା ଚାଷ |
নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ,ନିୟନ୍ତ୍ରିତ ବାୟୁମଣ୍ଡଳ ସଂରକ୍ଷଣ |
সমবায় ব্যাংক,ସମବାୟ ବ୍ୟାଙ୍କ
সমবায় সমিতির সদস্য,ସମବାୟ ସମାଜର ସଦସ୍ୟ |
গুলমাভান,ଗୁଲମାଭାନ୍ |
cubed,କ୍ୟୁବ୍
1. ডালপুঞ্জ 2. করোলা,1. ଡାଲପୁଞ୍ଜ 2. କରୋଲା |
1. কর্টেক্স 2. কর্টেক্স,1. କର୍ଟେକ୍ସ 2. କର୍ଟେକ୍ସ
খরচ,ମୂଲ୍ୟ
cotyledon,କୋଟିଲଡନ୍ |
ক্রেডিট কমিটি,କ୍ରେଡିଟ୍ କମିଟି
1. ঋণ 2. ক্রেডিট,1. ending ଣ 2. କ୍ରେଡିଟ୍
1. ঋণদাতা 2. পাওনাদার,1. ender ଣଦାତା 2. କ୍ରେଡିଟର୍
1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার,1. କ୍ରେଷ୍ଟ 2. ଭର୍ଟେକ୍ସ 3. ସ୍ପାୟର୍ |
প্রত্যাহার,ପ୍ରତ୍ୟାହାର
সমস্যা,ସମସ୍ୟା
পরীক্ষা,ପରୀକ୍ଷା
সমালোচনামূলক,ଗୁରୁତର
শস্য বীমা,ଫସଲ ବୀମା |
ফসল ঋণ,ଫସଲ loan ଣ
1. ফসল 2. ফসল,1. ଫସଲ 2. ଫସଲ
চাষ এলাকা,ଚାଷ କ୍ଷେତ୍ର
ক্রস বেমানান,କ୍ରସ୍ ଅସଙ୍ଗତ |
1. মুকুট 2. চূড়া (উদ্ভিদ),1. ମୁକୁଟ 2. ଶିଖର (ଉଦ୍ଭିଦ)
নরম কণা,ନରମ କଣିକା |
ভূত্বক,ଭୂତଳ
1. ক্রিপ্টোগাম 2. নন-ফ্লোরিফর্ম,1. କ୍ରିପ୍ଟୋଗାମ 2. ଅଣ-ଫ୍ଲୋରିଫର୍ମ |
ছাঁটাই (ফল),ଛେଦନ (ଫଳ)
কলম,କଲମ
চাষের বৈচিত্র্য,କୃଷି ପ୍ରକାର
1. ট্র্যাকশন 2. কৃষি 3. কৃষিকাজ,1. ଟ୍ରାକ୍ସନ୍ 2. କୃଷି 3. ଚାଷ
1. কৃষক 2. চাষী,1. କୃଷକ 2. କୃଷକ
1. চাষ 2. চাষ 3. লালনপালন,1. ଚାଷ 2. ଚାଷ 3. ପାଳିବା |
1.সম্পদ 2.প্রস্তুতি,1. ଉତ୍ସ 2. ପ୍ରସ୍ତୁତି
1.কুন্তালন 2.কুঞ্চন,1. କୁଣ୍ଟାଲାନ୍ 2. କୁଞ୍ଚନ୍ |
ভঙ্গি,ସ୍ଥିତି
1. এপিডার্মিস 2. কিউটিকল,1. ଏପିଡର୍ମିସ୍ 2. କଟିକଲ୍ |
1. কলম 2. কাটিং 3. কাটিং 4. কাটিং 5. কাটিং,1. କଲମ 2. କାଟିବା 3. କାଟିବା 4. କାଟିବା 5. କାଟିବା |
1. কৃমি কর্পাস 2. সিস্ট 3. সিস্ট 4. বিকৃত পিণ্ড 5. নিওপ্লাজম,1. ପୋକ କର୍ପସ୍ 2. ସିଷ୍ଟ 3. ସିଷ୍ଟ 4. ବିକୃତ ଲମ୍ପ 5. ନିଓପ୍ଲାଜମ୍ |
সাইটোক্রোম,ସାଇଟୋକ୍ରୋମ୍ |
সেল কাপলিং,କକ୍ଷ ଯୋଡି
কোষের প্রজনন,କକ୍ଷ ପ୍ରଜନନ |
কোষ জেনেটিক্স,କୋଷ ଜେନେଟିକ୍ସ |
সাইটোপ্লাজমিক বিভাগ,ସାଇଟୋପ୍ଲାଜାମିକ୍ ବିଭାଜନ |
কোষ বিদ্যা,କୋଷ ଜୀବ ବିଜ୍ଞାନ |
কোষের লাইসিস,ସେଲ୍ ଲାଇସିସ୍ |
1. সাইটোমের 2. কোষ বিভাজন,1. ସାଇଟୋମେର୍ 2. ସେଲ୍ ସେଗମେଣ୍ଟେସନ୍ |
সাইটোপ্লাজম,ସାଇଟୋପ୍ଲାଜମ୍ |
1. ডেইরি 2. ডেইরি,1. ଦୁଗ୍ଧ 2. ଦୁଗ୍ଧ
দুগ্ধ শিল্প,ଦୁଗ୍ଧ ଶିଳ୍ପ
1. বাঁধ 2. ব্রিডার,1. ବନ୍ଧ 2. ପ୍ରଜନକ
দিন পরম উদ্ভিদ,ଦିନ ସଂପୂର୍ଣ୍ଣ ଉଦ୍ଭିଦ |
ফুল ফোটার পর দিন,ଫୁଲର ଦିନ ପରେ |
ফুল ফোটার পর দিন,ପୂର୍ଣ୍ଣ ଫୁଲର ଦିନ ପରେ |
অদক্ষতা,ଅପାରଗତା |
decalcification,decalcification
1. অপসারণ 2. অপসারণ,1. ସ୍ଥାନାନ୍ତର 2. ସ୍ଥାନାନ୍ତର
ক্ষয়,କ୍ଷୟ
পর্ণমোচী,ପତଳା
1. দশমিক 2. দশমিক,1. ଦଶମିକ 2. ଦଶମିକ
হীনমন্যতা,ତୁଚ୍ଛତା
অনুরান (মাটি),ଅନୁରାନ୍ (ମୃତ୍ତିକା)
বিপুষ্পন,ଭିପୁଷ୍ପନ୍ |
বিলিং,ବିଲିଂ
বন নিধন,ଜଙ୍ଗଲ ନଷ୍ଟ
অসম্মান,ଅପମାନ
অধঃপতন,ଅବନତି |
অংশ দিন,ପାର୍ଟ ଦିନ
1. পরিমাণ 2. অংশ,1. ପରିମାଣ 2. ଭାଗ
dehiscence,ଅବହେଳା |
ভুসি অপসারণ,ହଳ ଅପସାରଣ |
ভুসি অপসারণ,ହଳ ଅପସାରଣ |
পানিশূন্যতা,ଡିହାଇଡ୍ରେସନ୍
নির্জল,ଆନ୍ହାଇଡ୍ରସ୍
চাহিদা,ଚାହିଦା
1. বিকৃতকরণ 2. গুণ,1. ଅବନତି 2. ଗୁଣନ
বর্জন,ନିନ୍ଦା
1. জমা (মাটি) 2. জমা (অর্থনীতি),1. ଜମା (ମୃତ୍ତିକା) 2. ଜମା (ଅର୍ଥନୀତି)
আমানত,ଜମା
1. অবচয় 2. অবচয়,1. ଅବନତି 2. ଅବନତି
বিশুদ্ধকরণ,ନିଷ୍କାସନ
1. জল শুকিয়ে যাওয়া 2. ডিহাইড্রেশন,1. ଜଳ ଶୁଖିବା 2. ଡିହାଇଡ୍ରେସନ୍ |
1. ডিজাইন 2. ডিজাইন,1. ଡିଜାଇନ୍ 2. ଡିଜାଇନ୍
শুষ্ক,ଶୁଖୁଆ |
কার্নেল অপসারণ,କର୍ଣ୍ଣଲ ଅପସାରଣ
de-intercalation,ଡି-ଇଣ୍ଟରକାଲେସନ୍ |
সংযোজন,ସଂଯୋଗ
1. পুরুষ মঞ্জরি নিষ্কাশন (ভুট্টা) 2. বলর নিষ্কাশন,1. ପୁରୁଷ ମଞ୍ଜରୀ ନିଷ୍କାସନ (ମକା) 2. ବଲାର୍ ନିଷ୍କାସନ |
বল্লার বা কুন্দন কাটিং,ବଲାର୍ କିମ୍ବା କୁନ୍ଦନ କାଟିବା |
নির্ধারক,ନିର୍ଣ୍ଣୟକାରୀ
অবমূল্যায়ন,ମୂଲ୍ୟ ହ୍ରାସ
উদ্ভিজ্জ,ଡି-ଶାକାହାରୀ |
বিচ্যুতি,ବ୍ୟତିକ୍ରମ
দ্বিগুণ,ଦୁଇଥର |
রোগ নির্ণয়,ନିରାକରଣ
বিভিন্ন পরিপক্কতা,ଭିନ୍ନ ପରିପକ୍ .ତା |
বিভাজন,ବିଭାଜନ
1. ডাইকোটাইলেডন 2. ডাইকোটাইলেডন (বীজ),1. ଡିକୋଟିଲଡନ୍ 2. ଡିକୋଟିଲଡନ୍ (ବିହନ)
পিঠের রোগ,ପିଠି ରୋଗ
1. ডিফিউশন 2. ডিফিউশন,1. ବିଭାଜନ 2. ବିଭେଦ |
হজম ক্ষমতা,ହଜମ ଯୋଗ୍ୟତା |
ডাইহাইব্রিড,ଡିହାଇବ୍ରିଡ୍ |
1. বাঁধ 2. ড্রেন 3. পরিবার,1. ଡ୍ୟାମ୍ 2. ଡ୍ରେନ୍ 3. ପରିବାର |
সামান্য,ଅଳ୍ପ
1. একগামী 2. একগামী,1. ଏକମାତ୍ର 2. ଏକମାତ୍ର |
ডিপ্লয়েড,ଡିପ୍ଲଏଡ୍ |
1. ডিপ্লয়েড 2. ডিপ্লয়েড,1. ଡିପ୍ଲଏଡ୍ 2. ଡିପ୍ଲଏଡ୍ |
ডাইপোল,ଡିପୋଲ୍
1. নিষ্কাশন 2. কুঁড়ি অপসারণ,1. ନିଷ୍କାସନ 2. ବୁଡ୍ ଅପସାରଣ |
1. লাঙ্গল চাষ 2. স্পিনিং,1. ହଳ ହଳ କରିବା 2. ଘୂର୍ଣ୍ଣନ |
ছাড়,ରିହାତି
জীবাণুমুক্তকরণ,ନିରାକରଣ
1. বিচ্ছুরণ 2. বিক্ষিপ্তকরণ,1. ବିଚ୍ଛେଦ 2. ବିଛାଇବା |
1. বিক্ষিপ্তকরণ 2. ভিন্নতা,1. ବିଛାଇବା 2. ଭିନ୍ନତା |
বৈচিত্রতা,ବିବିଧକରଣ
বৈচিত্র্যময় কৃষি,ବିବିଧ କୃଷି |
ডিএনএ পদক্ষেপ,dna step
ডিএনএ রিসিভার,DNA | ରସିଦ
ডক ভাড়া,ଡକ୍ ନିଯୁକ୍ତି |
কার্যকর,ପ୍ରଭାବଶାଳୀ |
সুপ্ততা,ଶୋଇବା
1. পরিমাণ 2. ডোজ 3. ডোজ,1. ପରିମାଣ 2. ଡୋଜ୍ 3. ଡୋଜ
ডবল সিগমায়েড বক্ররেখা,ଡବଲ୍ ସିଗମଏଡ୍ ବକ୍ର
1. দমকা 2. প্রসারিত,1. ଗସ୍ତ 2. ବିସ୍ତାର
1. নিষ্কাশন ড্রেন 2. বর্জ্য,1. ନିଷ୍କାସନ ଡ୍ରେନ୍ 2. ପ୍ରବାହିତ
নিষ্কাশন,ଜଳ ନିଷ୍କାସନ
আকর্ষণ,ଟ୍ରାକ୍ସନ୍
1. ওষুধ দিন 2. ভিজিয়ে দিন,1. medicine ଷଧ ଦିଅ
প্রসাধনী (বীজ),ପ୍ରସାଧନ ସାମଗ୍ରୀ (ମଞ୍ଜି)
1. auger 2. অগভীর ফল্ট 3. ড্রিল 4. auger,1. ଆଗର୍ 2. ଅସ୍ଥାୟୀ ଦୋଷ 3. ଡ୍ରିଲ୍ 4. ଆଗର୍ |
1. গর্ত 2. ড্রিল 3. ড্রিল,1. ଛିଦ୍ର 2. ଡ୍ରିଲ୍ 3. ଡ୍ରିଲ୍ |
1. ড্রিলিং 2. একটি ড্রিল দিয়ে বপন করা 3. একটি ড্রিল দিয়ে ঢালা,1. ଡ୍ରିଲିଂ 2. ଡ୍ରିଲ ସହିତ ବୁଣିବା 3. ଡ୍ରିଲ ସହିତ ing ାଳିବା |
ড্রিপ সেচ,ଡ୍ରପ୍ ଜଳସେଚନ
শুকনো চাষ,ଶୁଖିଲା ଚାଷ
1.ধুলো 2.বুকনি,1. ଧୂଳି 2. ବୁକନି |
1. ডাস্টার 2. বিক্ষিপ্তকারী,1. ଧୂଳି 2. ଛିନ୍ନଛତ୍ରକାରୀ |
ছিটানো,ଛିଞ୍ଚିବା ପାଇଁ |
1. বামন 2. বামন,1. ବଧୂ 2. ଭାମନା |
বামন পিরামিড,ଭାମନା ପିରାମିଡ୍ |
ভামিনী ভবন,ଭାମିନୀ ଭବନ
বাস্তুশাস্ত্র,ପରିବେଶ
অর্থনীতি,ଅର୍ଥନୀତି
অর্থনৈতিক দক্ষতা,ଅର୍ଥନ efficiency ତିକ ଦକ୍ଷତା |
পরিস্থিতিগত প্রকার,ପରିସ୍ଥିତି ପ୍ରକାର |
অতিরিক্ত স্তরিত,ଅତିରିକ୍ତ ସ୍ତରୀୟ |
নরম,ନରମ
মৃত্তিকা বিজ্ঞান,ମୃତ୍ତିକା ବିଜ୍ଞାନ |
1. ব্রিজিং 2. এজিং 3. স্ট্র্যান্ড ক্লোজার,1. ବ୍ରିଜ୍ 2. ଏଡିଙ୍ଗ୍ 3. ଷ୍ଟ୍ରାଣ୍ଡ୍ ବନ୍ଦ |
খাদ্য অংশ,ଖାଦ୍ୟ ଅଂଶ
চাহিদার স্থিতিস্থাপকতা,ଚାହିଦା
উত্পাদন স্থিতিস্থাপকতা,ଉତ୍ପାଦନ ଇଲାସ୍ଟିସିଟି |
তড়িৎ বিশ্লেষণ,ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍
ইলেক্ট্রোফোরেসিস,ଇଲେକ୍ଟ୍ରୋଫୋରେସିସ୍ |
বাষ্পীভবন,ବାଷ୍ପୀକରଣ
1. শিরশ্ছেদ 2. বন্দী 3. শিরশ্ছেদ 4. জীবাণুমুক্ত,1. ଡିକାପିଟେଟର୍ 2. ଷ୍ଟେରିଲାଇଜର୍ 3. ଡେକାପିଟେଟର୍ 4. ଷ୍ଟେରିଲାଇଜର |
1. উইয়ার বান্দি 2. স্ট্রবান্ডি,1. ୱେର୍ ବାଣ୍ଡି 2. ଷ୍ଟ୍ରବାବାଣ୍ଡି |
ভ্রূণ,ଭ୍ରୁଣ
1. ভ্রূণবিদ্যা 2. পদার্থবিদ্যা,1. ଭ୍ରୁଣ ବିଜ୍ଞାନ 2. ପଦାର୍ଥ ବିଜ୍ଞାନ |
1. প্রস্থান 2. প্রস্থান,1. ପ୍ରସ୍ଥାନ 2. ପ୍ରସ୍ଥାନ
ইমালসিফায়ার,ଏମୁଲେସିଫାୟର୍ |
অন্তঃসত্ত্বা,ଏଣ୍ଡୋଜେନସ୍ |
আন্তঃবিন্দু বিভাগ,ଆନ୍ତ a- ବିନ୍ଦୁ ବିଭାଜନ |
অন্তঃপরজীবী,ଆନ୍ତ a- ପରଜୀବୀ |
এন্ডোস্পার্ম,ଏଣ୍ଡୋସ୍ପର୍ମ |
এন্টারপ্রাইজ,ଉଦ୍ୟୋଗ
কীটতত্ত্ব,ଏଣ୍ଟୋମୋଲୋଜି |
পরিবেশ,ପରିବେଶ
1. এনজাইম 2. এনজাইম,1. ଏନଜାଇମ୍ 2. ଏନଜାଇମ୍ |
ক্লাস্টার গ্রাফটিং,କ୍ଲଷ୍ଟର ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |
1. এপিফাইট 2. এপিফাইট,1. ଏପିଫାଇଟ୍ 2. ଏପିଫାଇଟ୍ |
ইক্যুইটি,ଇକ୍ୱିଟି
নির্মূল,ବିଲୋପ
অত্যাবশ্যক পুষ্টি,ଜରୁରୀ ପୋଷକ ତତ୍ତ୍ୱ |
1. পরিমাপ 2. জাম্প 3. মূল্যায়ন,1. ମାପ 2. ଡେଇଁବା 3. ମୂଲ୍ୟାଙ୍କନ |
সূক্ষ্মতা,ସୁନ୍ଦରତା
সুজনিক,ସୁଜନିକ୍ |
মূল্যায়ন,ମୂଲ୍ୟାଙ୍କନ
বাষ্প গেজ,ବାଷ୍ପ ଗେଜ୍ |
বাষ্পীভবন,ବାଷ୍ପୀକରଣ
চিরন্তন বিপ্লব,ଅନନ୍ତ ବିପ୍ଳବ |
1. চিরসবুজ 2. চিরসবুজ,1. ଚିର ସବୁଜ 2. ଚିର ସବୁଜ |
উন্নয়ন,ବିକାଶ
বিছিন্ন করা,ବିଛିନ୍ନ ହେବା
পরিক্ষয় (উর্বরতা),ପାରିକଶାୟ (ଉର୍ବରତା)
শোষণ,ଶୋଷଣ
1. অন্বেষণ 2. অন্বেষণ,1. ଅନୁସନ୍ଧାନ 2. ଅନୁସନ୍ଧାନ
1. এক্সট্রুশন 2. নির্গমন,1. ନିର୍ବାହ 2. ନିର୍ଗମନ
আই,ଆଖି
1. ফ্যাক্টর 2. কম্পোনেন্ট 3. ফ্যাক্টর 4. রিসোর্স,1. କାରକ 2. ଉପାଦାନ 3. କାରକ 4. ଉତ୍ସ |
ফ্যাক্টর উত্পাদনশীলতা,କାରକ ଉତ୍ପାଦକତା |
ব্যবসায়ীদের ডিসকাউন্ট,ବ୍ୟବସାୟୀଙ୍କ ରିହାତି
ফ্যাক্টরিয়াল ব্লক ডিজাইন,ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |
বিকল্প,ବିକଳ୍ପ
1. পট্টি 2. পালিহার,1. ପାଟି 2. ପାଲିହାର |
স্থূল,ମୋଟ
ক্ষেত্রের মূল্যায়ন,କ୍ଷେତ୍ର ମୂଲ୍ୟାଙ୍କନ |
খামার বাজেট,ଚାଷ ବଜେଟ୍
কৃষি ব্যবসা,କୃଷି ବ୍ୟବସାୟ
ক্ষেত্রের পরিকল্পনা,କ୍ଷେତ୍ର ଯୋଜନା
1. কৃষক 2. কৃষক,1. କୃଷକ 2. କୃଷକ
1. কৃষি 2. কৃষিকাজ,1. କୃଷି 2. ଚାଷ
সংঘর্ষ,ଧକ୍କା |
একাধিক প্রজনন,ଏକାଧିକ ପ୍ରଜନନ |
গাঁজন,fermentation
উর্বরতা,ଉର୍ବରତା |
সার,ସାର
সার ব্যবহারের দক্ষতা,ସାର ବ୍ୟବହାର ଦକ୍ଷତା |
তন্তুযুক্ত,ଫାଇବ୍ରସ୍ |
1. খামার 2. এলাকা 3. অবস্থান,1. ଚାଷ 2. କ୍ଷେତ୍ର 3. ସ୍ଥାନ
মাটির জল ধরে রাখা,ମୃତ୍ତିକା ଜଳ ଧାରଣ
ক্ষেত্র প্রদর্শন,କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ
1. ইমোবিলাইজেশন 2. ফিক্সেশন 3. ফিক্সেশন,1. ଅସ୍ଥିରତା 2. ସ୍ଥିରତା 3. ସ୍ଥିରତା |
1. প্লাবন 2. গর্ভধারণ,1. ଅବନତି 2. ଗର୍ଭଧାରଣ
প্রবাহ চিত্র,ପ୍ରବାହ ଚିତ୍ର
খাদ্য মূল্য,ଖାଦ୍ୟ ମୂଲ୍ୟ
পশুখাদ্য,ଖାଇବାକୁ |
পূর্বাভাস,ପୂର୍ବାନୁମାନ
বন। জংগল,ଜଙ୍ଗଲ
বনায়ন,ବୃକ୍ଷରୋପଣ
1. তাদপার্ন 2. ফর্ম,1. ତାଡପର୍ନ୍ 2. ଫର୍ମ |
হিম প্রতিরোধী,ବରଫ ପ୍ରତିରୋଧକ |
1. পাল 2. ব্লাইট,1. ପାଲା 2. ବ୍ଲାଇଟ୍ |
1. হিমায়িত 2. হিমায়িত,1. ଫ୍ରିଜ୍
ফাংশন,କାର୍ଯ୍ୟ
1. ফল পতন 2. ফল পতন,1. ଫଳ ପତନ 2. ଫଳ ପତନ |
ফল হত্তয়া,ଫଳ ପାଅ |
1. ফিউমিগেশন 2. ফিউমিগেশন,1. ଧୂମପାନ
ছত্রাকনাশক,ଫଙ୍ଗିସାଇଡ୍ |
অ্যান্টিফাঙ্গাল,ଆଣ୍ଟିଫଙ୍ଗାଲ୍ |
ছত্রাক,କବକ
1. খুদ 2. সীতা,1. ଖୁଦ୍ 2. ସୀତା |
1. ফিউশন 2. ফিউশন,1. ଫ୍ୟୁଜନ୍ 2. ଫ୍ୟୁଜନ୍ |
সুতি পশম,ସୂତା ଲୋମ
লোমশ,ଲୋମଶାଳୀ |
1. গাছের আলসার 2. পিটিকা,1. ବୃକ୍ଷ ଅଲସର 2. ପିଟିକା |
1. গ্যামেট 2. গেমেট,1. ଗ୍ୟାମେଟସ୍
1. বাগান 2. বাগান,1. ଉଦ୍ୟାନ 2. ଉଦ୍ୟାନ
1. পানসাল 2. হাইড্রোমিটার,1. ପାନ୍ସଲ୍ 2. ହାଇଡ୍ରୋମିଟର |
জিন সংগ্রহ,ଜିନ୍ ସଂଗ୍ରହ
জিন ট্যাগন,ଜିନ୍ ଟ୍ୟାଗନ୍ |
বংশতালিকা,ବଂଶାନୁକ୍ରମିକ
জিন মানচিত্র,ଜିନ୍ ମାନଚିତ୍ର
জেনেটিক্স,ଜେନେଟିକ୍ସ
1. জিনোম 2. সংগেন,1. ଜେନୋମ୍ 2. ସାଙ୍ଗେନ |
সঞ্জিনী কালেকশন,ସଞ୍ଜିନୀ ସଂଗ୍ରହ |
জিনোমিক্স,ଜେନୋମିକ୍ସ
জিনোটাইপ,ଜେନୋଟାଇପ୍
1. জিনের গঠন 2. জিনের ধরন,1. ଜିନ୍ ଗଠନ 2. ଜିନ୍ ପ୍ରକାର |
লিনেজ,ଲିନେଜ୍ |
1. বংশ 2. বংশ,ବଂଶ 2. ବଂଶ
1. জীবাণু 2. জীবাণু,1. ଜର୍ମ 2. ଜର୍ମ
জীবাণু নাশক,ଜୀବାଣୁ
অঙ্কুরোদগম,ଅଙ୍କୁର
1. জার্মপ্লাজম 2. জার্মপ্লাজম,1. ଜର୍ମପ୍ଲାସ୍ 2. ଜର୍ମପ୍ଲାସ୍ |
জিবেরেলিক অ্যাসিড,ଗିବରେଲିକ୍ ଏସିଡ୍ |
কুড়ানো,ସଂଗ୍ରହ
টুশ,ତୁଷ
1. গ্লুটেন 2. পেটুক,1. ଗ୍ଲୁଟେନ୍ 2. ଗ୍ଲୁଟନ୍ |
গ্লাইকোলাইসিস,ଗ୍ଲାଇକୋଲିସିସ୍
চমৎকার,ଭଲ
সোনালী বিপ্লব,ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ |
1. শ্রেণীবিভাগ 2. শ্রেণীবিভাগ 3. স্তরবিন্যাস,1. ବର୍ଗୀକରଣ 2. ବର୍ଗୀକରଣ 3. ସ୍ତରକରଣ
1. কলমযুক্ত উদ্ভিদ 2. পেনম্ব্রাল উদ্ভিদ,1. ଗ୍ରାଫ୍ଟେଡ୍ ପ୍ଲାଣ୍ଟ 2. ପେନୁମ୍ବ୍ରାଲ୍ ପ୍ଲାଣ୍ଟ |
কলম অসামঞ্জস্যপূর্ণ,କଲମ ଅସଙ୍ଗତ |
গ্রানা,ଗ୍ରାନା
দানাদার,ଗ୍ରାନ୍ୟୁଲେସନ୍
সবুজ সার,ସବୁଜ ଖତ
সবুজ বিপ্লব,ସବୁଜ ବିପ୍ଳବ |
বৃদ্ধি এবং উন্নয়ন,ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ
1. মাড়ির রোগ,1. ଗୁଣ୍ଡ ରୋଗ
বিষমকামী,ହେଟେରୋଜକ୍ସୁଆଲ୍ |
1. প্রকৃতি 2. প্রকৃতি 3. রূপগুণ 4. চেহারা,1. ପ୍ରକୃତି 2. ପ୍ରକୃତି 3. ରୂପଗୁନା 4. ଦୃଶ୍ୟ |
1. ওলা 2. কারকাপাত 3. কারকা,1. ଓଲା 2. କରକାପତ୍ 3. କର୍କା |
রোমিলওয়াচ,ରୋମିଲୱାଚ୍ |
লবণাক্ত সিস্ট,ସାଲାଇନ୍ ସିଷ୍ଟ୍ |
হ্যারো,harrow
1. ফসল কাটার সূচক 2. ফসল কাটার সূচক,1. ଅମଳ ସୂଚକାଙ୍କ 2. ଅମଳ ସୂଚକାଙ୍କ |
1. ফসল কাটা 2. কাটা ফসল 3. সমাপ্ত ফসল 4. ফলন,1. ଅମଳ 2. ଅମଳ ହୋଇଥିବା ଫସଲ 3. ସମାପ୍ତ ଫସଲ 4. ଅମଳ |
1. প্লাকিং 2. ফসল তোলা 3. প্লাকিং,1. କାଟିବା 2. ଅମଳ 3. ଅମଳ କରିବା |
1. ডিম পাড়া 2. ডিম ফোর্স,1. ଅଣ୍ଡା ଦେବା 2. ଅଣ୍ଡା ବଳ |
শুষ্ক ঘাস,ଶୁଖିଲା ଘାସ |
শুকনো ফিড,ଶୁଖିଲା ଫିଡ୍ |
গেঞ্জি,ganji
কুয়াশা,କୁହୁଡି
ঝাপসা,ଦୁର୍ବଳ
1. বালি 2. সিত্তা 3. মুন্ডক 4. শীর্ষ 5. মাথা 6. সিরা,1. ବାଲି 2. ସୀତା 3. ମୁଣ୍ଡକ 4. ଶୀର୍ଷ 5. ମୁଣ୍ଡ 6. ସିରା |
খাঁজ শেষ,ଗଭୀରର ଶେଷ
শীর্ষ ছাঁটাই,ଉପର ଛେଦନ
বেড়া,ବାଡ଼
হেফাজত,ହେପାଜତ
কুন্ডলিনী,କୁଣ୍ଡାଲିନି |
হেমাটাইট,ହେମାଟାଇଟ୍ |
1. ভেষজ 2. ভেষজ,1. b ଷଧ 2. b ଷଧ |
1.বোটানিক্যাল কালেকশন 2.বোটানিক্যাল মিউজিয়াম,1. ବଟାନିକାଲ୍ କଲେକ୍ସନ୍ 2. ବଟାନିକାଲ୍ ସଂଗ୍ରହାଳୟ |
হার্বিসাইড,b ଷଧୀୟ
বংশগতি,ବଂଶାନୁକ୍ରମିକ
বংশগতি,ବଂଶାନୁକ୍ରମିକ
উভকামী,ସମଲିଙ୍ଗୀ
heterochromatic,ହେଟେରୋକ୍ରୋମାଟିକ୍ |
heterofertilization,ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |
1. হাইব্রিডোজ 2. হেটেরোসিস,1. ହାଇବ୍ରିଡୋଜ 2. ହେଟେରୋସିସ୍ |
সেক্সক্রোমোজোম,ସେକ୍ସକ୍ରୋମୋଜୋମ୍ |
লালনপালন,ପୋଷଣ
হেক্সাডেসিমেল,ଷୋଡେସିମାଲ୍ |
ঠান্ডা সুপ্ততা,ଶୀତଳତା
উচ্চ ঘনত্ব রোপণ,ଉଚ୍ଚ ସାନ୍ଦ୍ରତା ବୃକ୍ଷ ରୋପଣ |
1. পিন্ডলক 2. পাহাড় (ধান),1. ପିଣ୍ଡଲକ୍ 2. ପାହାଡ (ଧାନ)
হিস্টোগ্রাম,ହିଷ୍ଟୋଗ୍ରାମ୍ |
উচ্চ প্রযুক্তির উদ্যানপালন,ଉଚ୍ଚ ବ tech ଷୟିକ ଉଦ୍ୟାନ କୃଷି |
1. দই 2. মৌচাক,1.curd 2. hive
1. আগাছা 2. আগাছা,1. ତୃଣକ 2. ତୃଣକ
ধারণ,ଧରିବା
ব্যক্তিগত খামার,ଘରୋଇ ଚାଷ
হোমিওস্টেসিস,ହୋମିଓଷ୍ଟାସିସ୍ |
স্বদেশ,ମାତୃଭୂମି
একজাতীয়তা,ଏକତା
1. সমজাতীয় 2. সমজাতীয়,1. ସମଲିଙ୍ଗୀ 2. ସମଲିଙ୍ଗୀ |
সহানুভূতিশীল,ସହାନୁଭୂତି
সমজাতীয়,ସମଲିଙ୍ଗୀ
1. খুরিকা 2. খাদ্য পাত্র 3. হ্যাপার,1. ଖୁରଲିକା 2. ଖାଦ୍ୟ ପାତ୍ର 3. ହାପର୍ |
1. স্তর 2. দিগন্ত,1. ସ୍ତର 2. ରାଶି
