Tamil,Odiya
பிரிக்கவும்,ବିଛିନ୍ନ କରନ୍ତୁ |
மூழ்குதல்,ବୁଡ ପକାଇବା |
"மூழ்கும் விளக்கு, மூழ்கும் விளக்கு","ବୁଡିବା ଲ୍ୟାମ୍ପ, ବୁଡିବା ଲ୍ୟାମ୍ପ |"
குறிப்பிட்ட காாியம்,କଣିକା ପଦାର୍ଥ |
விநியோக வரி,ବଣ୍ଟନ କର
குழிவான ஆண்டெனா,ଅବତଳ ଆଣ୍ଟେନା |
வட்டு,ଡିସ୍କ
இடப்பெயர்ச்சி மாறிலி (நிலையான),ବିସ୍ଥାପନ ସ୍ଥିର (ସ୍ଥିର)
இடப்பெயர்ச்சி மின்னோட்டம்,ବିସ୍ଥାପନ କରେଣ୍ଟ |
இடப்பெயர்ச்சி பிழை,ବିସ୍ଥାପନ ତ୍ରୁଟି |
கண்காட்சி,ପ୍ରଦର୍ଶନ
சிதைவு,କ୍ଷୟ
திரித்தல்,ବିକୃତି
உருமாற்றம் சேதம்,ବିକୃତି କ୍ଷତି |
விலகல் தற்போதைய வரம்பு,ବିକୃତ ସାମ୍ପ୍ରତିକ ପରିସର |
சிதைவு நீரோடை அழுகல்,ବିକୃତ ପ୍ରବାହ କ୍ଷୟ |
சிதைவு உணர்திறன்,ବିକୃତି ସମ୍ବେଦନଶୀଳତା |
விலகல் ஆதாய விளிம்பு,ବିଭ୍ରାଟ ଲାଭ ମାର୍ଜିନ |
சிதைவு உள்ளீடு எதிர்ப்பு,ବିକୃତି ଇନପୁଟ୍ ପ୍ରତିରୋଧ |
விலகல் வளைய ஆதாயம்,ବିକୃତ ଲୁପ୍ ଲାଭ |
விநியோகிக்கப்பட்ட பெருக்கி,ବଣ୍ଟିତ ଏମ୍ପ୍ଲିଫାୟର୍ |
விநியோக பெருக்கி,ବଣ୍ଟନ ଗୁଣକ
மாறுபாடு பெறுதல்,ଭେରିଏସନ ରିସିଭର୍
பூஜ்ஜிய பிரிவு சோதனை,ଶୂନ ବିଭାଜନ ପରୀକ୍ଷା |
டி-லேயர்,ଡି-ସ୍ତର |
அயனோஸ்பியரின் D- அடுக்கு,ଆୟନୋସାଇଫର୍ ର ଡି-ସ୍ତର |
d-moss,d-moss
டால்பி உடல்,ଡଲବି ଶରୀର |
பயனுள்ள துருவம்,ପ୍ରଭାବଶାଳୀ ପୋଲ
பயனுள்ள துருவ எதிர்ப்பு,ପ୍ରଭାବଶାଳୀ ପୋଲ ପ୍ରତିରୋଧ |
நன்கொடையாளர் கழிவு,ଦାତା ବର୍ଜ୍ୟବସ୍ତୁ |
நன்கொடை பொருள்,ଦାତା ସାମଗ୍ରୀ |
கவனிப்பு நிலை,dontcare ସ୍ଥିତି |
கலப்படம்,ବ୍ୟଭିଚାର
டாப்ளர் விளைவு,ଡୋପଲର ପ୍ରଭାବ
டாப்ளர் ரேடார்,ଡୋପଲର ରାଡାର |
டோசிமீட்டர்,ଡୋସିମିଟର |
புள்ளி அணி,ପଏଣ୍ଟ ମ୍ୟାଟ୍ରିକ୍ସ |
புள்ளி குறிப்பு,ପଏଣ୍ଟ ନୋଟେସନ୍
இரண்டாம் நிலை பிரச்சினை,ଦଳୀୟ ସମସ୍ୟା |
இரு அடுக்கு மின்தேக்கி,ବିଲାୟର୍ କ୍ୟାପେସିଟର୍ |
பைனரல் கிளிஸ்ட்ரான்,ଦ୍ୱିପାକ୍ଷିକ କ୍ଲାଇଷ୍ଟ୍ରନ୍ |
இருதரப்பு பட்டை,ଦ୍ୱିପାକ୍ଷିକ ଦଣ୍ଡ
இருதரப்பு பிசி வாரியம்,ଦ୍ୱିପାକ୍ଷିକ PC ବୋର୍ଡ |
இரட்டை குறியிடுதல்,ଡବଲ୍ ମାର୍କିଂ
இரட்டை டிரான்சிஸ்டர்,ଡବଲ୍ ଟ୍ରାନଜିଷ୍ଟର
இரட்டை டியூன் செய்யப்பட்ட பெருக்கி,ଡୁଆଲ୍ ଟ୍ୟୁନ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
இரட்டை அடுக்கு டிரான்சிஸ்டர் பெருக்கி,ଡବଲ୍ ଲେୟାର୍ ଟ୍ରାନଜିଷ୍ଟର ଏମ୍ପ୍ଲିଫାୟର୍ |
இரட்டிப்பாகிறது,ଦୁଇଗୁଣ
குறுக்கீடு நேரம்,ବାଧା ସମୟ
வெளியீடு மின்முனை,ଆଉଟପୁଟ୍ ଇଲେକ୍ଟ୍ରୋଡ୍
பின்தொடரும் வெளியீட்டு மின்முனை,ଟ୍ରେଲିଂ ଆଉଟପୁଟ୍ ଇଲେକ୍ଟ୍ରୋଡ୍ |
டி ராம்,d ram
டி ராம்,d ram
ஓடும் செல்,ରନ୍ ଅଫ୍ ସେଲ୍ |
ஓடை ஓடை,ରନ୍ ଅଫ୍ ଷ୍ଟ୍ରିମ୍ |
ஓடும் வேகம்,ରନ୍ ଅଫ୍ ବେଗ |
துளை நாடா,ପର୍ଫୋରେସନ୍ ଟେପ୍ |
நடத்துனர் பேருந்து,ଅପରେଟର ବସ୍
இயக்க நிலை,ଅପରେଟିଂ ପର୍ଯ୍ୟାୟ
அக்கிரமம்,ଅଧର୍ମ
உலர் செல்,ଶୁଖିଲା କକ୍ଷ |
உலர் பொறித்தல்,ଶୁଖିଲା ଇଞ୍ଚିଙ୍ଗ୍ |
உலர் படம்,ଶୁଖିଲା ଚଳଚ୍ଚିତ୍ର |
உலர் மாறுதல்,ଶୁଖିଲା ସୁଇଚ୍
டிரைஸ்டாஸ் ஆர்ட் டிஸ்ப்ளேசர்,ଡ୍ରିଷ୍ଟାସ୍ ଆର୍ଟ ଡିସପ୍ଲେସର୍ |
டி.டி.இ.,dte
dtl (டையோடு டிரான்சிஸ்டர் தர்க்கம்),dtl (ଡାୟୋଡ୍ ଟ୍ରାନଜିଷ୍ଟର ତର୍କ)
"ட்வைஜெட் ஃபேட், டுவைஜெட் எஃப். இ.டி.","Dwyget Fate, Dwyget F। E.T."
இரட்டை பொருத்தம்,ଡୁଆଲ୍ ମେଳକ |
ஜோடி பரிமாற்றம்,ଦମ୍ପତି ସଂକ୍ରମଣ
இரட்டை வாசிப்பு ஒருங்கிணைப்பாளர்,ଦୁଇଥର ପଠନ ସଂଯୋଜକ |
"இரட்டை வேறுபாடு அனலாக், டிஜிட்டல் மாற்றி","ଡୁଆଲ୍-ଡିଫେରେନ୍ସ ଆନାଗଲ୍, ଡିଜିଟାଲ୍ କନଭର୍ଟର |"
இருமுனை மாற்றம்,ଡିପୋଲ୍ ପରିବର୍ତ୍ତନ |
இரட்டை பின்தொடர் மின்னழுத்த கட்டுப்படுத்தி,ଦୁଇଥର ଅନୁସରଣ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରକ |
இருமை,ଦ୍ୱିପାକ୍ଷିକତା |
இரட்டை வரிசை,ଦୁଇ ଧାଡି
அமைதியான ஆண்டெனா,ନୀରବ ଆଣ୍ଟେନା |
இரட்டை பரிமாற்றம்,ଡୁପ୍ଲେକ୍ସ ଟ୍ରାନ୍ସମିସନ୍ |
பயன்பாட்டு விகிதம்,ଉପଯୋଗିତା ଅନୁପାତ
பயன்பாட்டு விகித பண்பேற்றம்,ଉପଯୋଗୀତା ଅନୁପାତ ମଡ୍ୟୁଲେସନ୍ |
dB-25 இணைப்பான்,dB-25 ସଂଯୋଜକ |
குடியிருப்பு,ଆବାସ
மாறும் பண்புகள்,ଗତିଶୀଳ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ
மாறும் பண்புகள்,ଗତିଶୀଳ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ
மாறும் மின்னோட்டம்,ଗତିଶୀଳ କରେଣ୍ଟ |
டைனமிக் மின்மறுப்பு,ଗତିଶୀଳ ପ୍ରତିବନ୍ଧକ |
"டைனமிக் சுமை வரி, சுமை வரி","ଡାଇନାମିକ୍ ଲୋଡ୍ ଲାଇନ୍, ଲୋଡ୍ ଲାଇନ୍ |"
மாறும் நினைவகம்,ଗତିଶୀଳ ସ୍ମୃତି
மாறி நினைவக செல்,ଭେରିଏବଲ୍ ମେମୋରୀ ସେଲ୍ |
டைனமிக் நினைவக புதுப்பிப்பு,ଗତିଶୀଳ ସ୍ମୃତି ସତେଜ
மாறும் சுட்டி தலைகீழ்,ଗତିଶୀଳ ମାଉସ୍ ଓଲଟା |
டைனமிக் ரேம் டைனமிக் ரேம்,ଡାଇନାମିକ୍ RAM ଡାଇନାମିକ୍ RAM |
மாறும் வரம்பு,ଗତିଶୀଳ ପରିସର |
மாறும் எதிர்ப்பு,ଗତିଶୀଳ ପ୍ରତିରୋଧ |
மாறும் இடப்பெயர்ச்சி பதிவு,ଗତିଶୀଳ ବିସ୍ଥାପନ ରେଜିଷ୍ଟର |
டைனமிக் சோதனை,ଗତିଶୀଳ ପରୀକ୍ଷା |
டைனமிக் வீடியோ ரேண்டம் அணுகல் நினைவகம் (DVRAM),ଡାଇନାମିକ୍ ଭିଡିଓ ରାଣ୍ଡମ୍ ଆକ୍ସେସ୍ ମେମୋରୀ (DVRAM)
டைனமோ,ଡାଇନାମୋ |
டைனமோமீட்டர்,ଡାଇନାମୋମିଟର
டைனிட்ரான் ஆஸிலேட்டர்,ଡାଇନିଟ୍ରନ୍ ଓସିଲେଟର |
"ஆரம்ப விளைவு, ஆரம்ப விளைவு","ପ୍ରାରମ୍ଭିକ ପ୍ରଭାବ, ପ୍ରାରମ୍ଭିକ ପ୍ରଭାବ"
இ ஒரு ரோம்,e a rom
பூமி இணைப்பு,ପୃଥିବୀ ସଂଯୋଗ
தரை நிலையம்,ଗ୍ରାଉଣ୍ଡ ଷ୍ଟେସନ୍ |
ஈபர்ஸ்-மவுல்-சமன்பாடு,ଏବର୍ସ-ମଲ୍-ସମୀକରଣ |
ஈபர்ஸ்-மால்-மாடல்,ଏବର୍ସ-ମାଉଲ୍-ମଡେଲ୍ |
எதிரொலி,ଇକୋ
எதிரொலி எதிர்ப்பு,ଆଣ୍ଟି ଇକୋ |
எடி கரண்ட்,ଏଡି କରେଣ୍ଟ୍ |
இழை இணைப்பான்,ଷ୍ଟ୍ରାଣ୍ଡ ସଂଯୋଜକ |
கோர் டிடெக்டர்,କୋର ଡିଟେକ୍ଟର |
மைய தூண்டுதல் ஃபிளிப் ஃப்ளாப்,କୋର୍ ଟ୍ରିଗର ଫ୍ଲିପ୍ ଫ୍ଲପ୍ |
முக்கிய தூண்டுதல் தாழ்ப்பாளை,କୋର୍ ଟ୍ରିଗର ଲ୍ୟାଚ୍ |
எடிசன் விளைவு,ଏଡିସନ୍ ପ୍ରଭାବ
ஆசிரியர்,ସମ୍ପାଦକ
பயனுள்ள பகுதி,ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |
பயனுள்ள மின்னோட்டம்,ପ୍ରଭାବଶାଳୀ କରେଣ୍ଟ୍ |
பயனுள்ள தரை ஆரம்,ପ୍ରଭାବଶାଳୀ ଭୂମି ବ୍ୟାସାର୍ଦ୍ଧ |
பயனுள்ள உயரம்,ପ୍ରଭାବଶାଳୀ ଉଚ୍ଚତା |
பயனுள்ள நீளம்,ପ୍ରଭାବଶାଳୀ ଲମ୍ବ |
பயனுள்ள நிறை,ପ୍ରଭାବଶାଳୀ ଜନତା |
பயனுள்ள கதிர்வீச்சு சக்தி,ପ୍ରଭାବଶାଳୀ ବିକିରଣ ଶକ୍ତି |
பயனுள்ள மின்னழுத்தம்,ପ୍ରଭାବଶାଳୀ ଭୋଲଟେଜ୍ |
திறன்,ଦକ୍ଷତା
இ.இ.பி. ரோம்,E.E.P. ଆର.ଓ. ଏମ
சின்னச் சமன்பாடு,ଆଇକନ୍ ସମୀକରଣ |
தலைகீழ் கொள்ளளவு,ଓଲଟା କ୍ୟାପିଟାନ୍ସ |
மின் அடுக்கு,ଇ-ସ୍ତର |
மின்சாரம்,ବିଦ୍ୟୁତ ପ୍ରବାହ
மின்சார புலம்,ବ electric ଦ୍ୟୁତିକ କ୍ଷେତ୍ର
மின்சார புல தீவிரம்,ବ electric ଦୁତିକ କ୍ଷେତ୍ରର ତୀବ୍ରତା |
மின்னோட்டக் கோடுகள்,ବ electric ଦୁତିକ କରେଣ୍ଟ ଲାଇନଗୁଡିକ |
மின்சார திறன்,ବ electric ଦୁତିକ ସମ୍ଭାବନା |
மின்கசிவு,ବିଦ୍ୟୁତ୍ ସଂଯୋଗ
மின் சாலிடர்,ଇଲେକ୍ଟ୍ରୋ-ସୋଲ୍ଡର୍ |
மின்சார அலை,ବ electric ଦୁତିକ ତରଙ୍ଗ |
மின் நீளம்,ବ electrical ଦୁତିକ ଦ length ର୍ଘ୍ୟ |
மின் சக்தி,ବିଦ୍ୟୁତ୍ ଶକ୍ତି
மின்சாரம்,ବିଦ୍ୟୁତ୍
ஈசிஜி,ECG
மின்சார டைனமோ மீட்டர்,ଇଲେକ୍ଟ୍ରିକ୍ ଡାଇନାମୋ ମିଟର |
மின்முனை,ଇଲେକ୍ଟ୍ରୋଡ୍ |
மின்னோட்டம்,ଇଲେକ୍ଟ୍ରୋଡ୍ କରେଣ୍ଟ୍ |
மின் ஒளிர்வு,ଇଲେକ୍ଟ୍ରୋଲୁମାଇନ୍ସେନ୍ସ |
மின் ஒளிரும் காட்சி,ଇଲେକ୍ଟ୍ରୋଲୁମାଇନ୍ସେଣ୍ଟ୍ ପ୍ରଦର୍ଶନ |
கால்வனிக் தனிமைப்படுத்தல்,ଗାଲଭାନିକ୍ ବିଚ୍ଛିନ୍ନତା |
எலக்ட்ரோலைட்,ଇଲେକ୍ଟ୍ରୋଲାଇଟ୍ |
மின்னாற்பகுப்பு மின்தேக்கி,ଇଲେକ୍ଟ୍ରୋଲାଇଟିକ୍ କ୍ୟାପେସିଟର୍ |
மின்னாற்பகுப்பு மின்தேக்கி,ଇଲେକ୍ଟ୍ରୋଲାଇଟିକ୍ କ୍ୟାପେସିଟର୍ |
மின்காந்தம்,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକ
மின்காந்த ஆற்றல்,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଶକ୍ତି |
மின்காந்த தூண்டல்,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଅନୁକରଣ |
"மின்காந்த குறுக்கீடு, EMI","ବ Elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ହସ୍ତକ୍ଷେପ, EMI |"
மின்காந்த நிறமாலை,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ସ୍ପେକ୍ଟ୍ରମ |
மின்காந்த அலை,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ତରଙ୍ଗ |
மின்காந்தவியல்,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟତା |
எலக்ட்ரோ மெக்கானிக்கல் வடிகட்டி,ଇଲେକ୍ଟ୍ରୋ ମେକାନିକାଲ୍ ଫିଲ୍ଟର୍ |
எலக்ட்ரோமீட்டர்,ଇଲେକ୍ଟ୍ରୋମିଟର
மின்னோட்ட விசை,ବ elect ଦ୍ୟୁତିକ ଶକ୍ତି
எதிர் மின்னணு,ଇଲେକ୍ଟ୍ରନ୍
எலக்ட்ரான் கற்றை,ଇଲେକ୍ଟ୍ରନ୍ ବିମ୍ |
எலக்ட்ரான் சார்ஜ்,ଇଲେକ୍ଟ୍ରନ୍ ଚାର୍ଜ |
எலக்ட்ரான் உமிழ்வு,ଇଲେକ୍ଟ୍ରନ୍ ନିର୍ଗମନ |
எலக்ட்ரான் ஓட்டம்,ଇଲେକ୍ଟ୍ରନ୍ ପ୍ରବାହ |
எலக்ட்ரான் வாயு,ଇଲେକ୍ଟ୍ରନ୍ ଗ୍ୟାସ୍ |
எலக்ட்ரான் சாதனம்,ଇଲେକ୍ଟ୍ରନ୍ ଉପକରଣ |
எலக்ட்ரான் துளை ஜோடி,ଇଲେକ୍ଟ୍ରନ୍ ଗାତ ଯୋଡି |
எலக்ட்ரான் நுண்ணோக்கி,ଇଲେକ୍ଟ୍ରନ୍ ମାଇକ୍ରୋସ୍କୋପ୍ |
எலக்ட்ரான் சுற்றுப்பாதை,ଇଲେକ୍ଟ୍ରନ୍ କକ୍ଷପଥ |
எலக்ட்ரான் ஷெல்,ଇଲେକ୍ଟ୍ରନ୍ ସେଲ୍ |
எலக்ட்ரான் வோல்ட்,ଇଲେକ୍ଟ୍ରନ୍ ଭୋଲ୍ଟ |
எலக்ட்ரான் அலை குழாய்,ଇଲେକ୍ଟ୍ରନ୍ ତରଙ୍ଗ ଟ୍ୟୁବ୍ |
மின்னணு கட்டணம்,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଚାର୍ଜ |
மின்னணு தரவு அழுத்தம்,ବ electronic ଦ୍ୟୁତିକ ତଥ୍ୟ ଚାପ
மின்னணு தரவு செயலாக்கம்,ବ electronic ଦ୍ୟୁତିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
மின்னணு விசை,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଚାବି |
மின்னணு அஞ்சல் (மின்னஞ்சல்),ଇଲେକ୍ଟ୍ରୋନିକ୍ ମେଲ୍ (ଇ-ମେଲ୍)
மின்னணு நிறை,ଇଲେକ୍ଟ୍ରୋନିକ୍ ମାସ
மின்னணு எண்,ବ electronic ଦ୍ୟୁତିକ ସଂଖ୍ୟା
மின்னணு மாறுதல்,ଇଲେକ୍ଟ୍ରୋନିକ୍ ସୁଇଚ୍
மின்னணு மின்னழுத்தமானி,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଭୋଲ୍ଟମିଟର |
மின்னணு முறையில் டியூன் செய்யப்பட்ட ரிசீவர்,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଟ୍ୟୁନ୍ ହୋଇଥିବା ରିସିଭର୍ |
மின்னணு தொழில் சங்கம்,ଇଲେକ୍ଟ୍ରୋନିକ୍ସ ଶିଳ୍ପ ସଙ୍ଗଠନ |
மின்முலாம் பூசுதல்,ଇଲେକ୍ଟ୍ରୋପ୍ଲେଟିଂ
மின்னோக்கி,ଇଲେକ୍ଟ୍ରୋସ୍କୋପ୍ |
மின்காந்தவியல்,ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟତା |
மின்னியல் ஃப்ளக்ஸ்,ଇଲେକ୍ଟ୍ରୋଷ୍ଟାଟିକ୍ ଫ୍ଲକ୍ସ |
மின்னியல் பாதுகாப்பு,ଇଲେକ୍ଟ୍ରୋଷ୍ଟାଟିକ୍ ସଂରକ୍ଷଣକାରୀ |
உறுப்பு,ଉପାଦାନ
மேம்படுத்தல்,ଉନ୍ନୟନ
முன்னேற்றக் கோணம்,ଉନ୍ନତି କୋଣ
நீள்வட்ட பிரதிபலிப்பான்,ଏଲିପସଏଡାଲ୍ ପ୍ରତିଫଳକ |
நீள்வட்ட வடிகட்டி,ଏଲିପସଏଡାଲ୍ ଫିଲ୍ଟର୍ |
நீள்வட்ட துருவம்,ଏଲିପସାଇଡ୍ ପୋଲ |
உட்பொதிக்கப்பட்ட அமைப்பு,ଏମ୍ବେଡ୍ ସିଷ୍ଟମ୍ |
abssidic குறியீடு,ଅବସିଡିକ୍ କୋଡ୍ |
உமிழ்ப்பான்,ନିର୍ଗତ
உமிழ்ப்பான் நோக்குநிலை கட்டமைப்பு,ନିର୍ଗତକାରୀ ବିନ୍ୟାସକରଣ
உமிழ்ப்பான் பைபாஸ் மின்தேக்கி,ନିର୍ଗତ ବାଇପାସ୍ କ୍ୟାପେସିଟର୍ |
உமிழும் பண்புகள்,ନିର୍ଗତ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ
உமிழ்ப்பான் இணைந்த பெருக்கி,ଏମିଟର ଯୋଡି ଆମ୍ପ୍ଲିଫାୟର୍ |
உமிழ்ப்பான் பரவல்,ନିର୍ଗତ ବିସ୍ତାର
உமிழ்ப்பான் பின்னிணைப்பு,ଏମିଟର ଟ୍ରେଲିଂ |
உமிழ்ப்பான் மின்தடை,ନିର୍ଗତ ପ୍ରତିରୋଧକ |
உமிழ்ப்பான் நிலைப்படுத்தப்பட்ட நோக்குநிலை கட்டமைப்பு,ନିର୍ଗତ ସ୍ଥିର ଆଭିମୁଖ୍ୟ ବିନ୍ୟାସ
உமிழ்ப்பான் அடிப்படை சந்திப்பு,ଏମିଟର ବେସ୍ ଜଙ୍କସନ |
"உமிழ்ப்பான் இணைந்த தர்க்கம், ECL","ନିର୍ଗତ ଯୁକ୍ତ ତର୍କ, ECL |"
இயந்திரமயமாக்கப்பட்டது,ଯାନ୍ତ୍ରିକ
செயல்படுத்த,ସକ୍ଷମ କରନ୍ତୁ |
அடைப்பு,ଏନକାପସୁଲେସନ୍ |
கொடித்ரா,Koditra
குறியாக்கம்,ଏନକ୍ରିପସନ୍
வட்ட ஆதாயம்,ବୃତ୍ତାକାର ଲାଭ |
மாற்றம்,ରୂପାନ୍ତର
அமைப்பு ரீதியான,ପ୍ରଣାଳୀ
வட்ட இடப்பெயர்ச்சி,ବୃତ୍ତାକାର ବିସ୍ଥାପନ |
நீளமான ஆண்டெனா,ଦ୍ରାଘିମା ଆଣ୍ଟେନା |
நீளமான வரிசை,ଦ୍ରାଘିମା ଆରେ |
ஆற்றல்,ଶକ୍ତି
ஆற்றல் பட்டை,ଶକ୍ତି ଦଣ୍ଡ
பட்டை இடைவெளியை,ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |
ஆற்றல் நிலை,ଶକ୍ତି ସ୍ତର
ஆற்றல் நிலை வரைபடம்,ଶକ୍ତି ସ୍ତରର ଚିତ୍ର
மேம்படுத்தப்பட்ட விரிவாக்கப்பட்ட நிறை விவரக்குறிப்பு,ବର୍ଦ୍ଧିତ ମାସ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
அதிகரிக்கப்பட்ட கட்டுரைப் பதிவாளர்,ବର୍ଦ୍ଧିତ ଆର୍ଟିକିଲ୍ ରେଜିଷ୍ଟ୍ରାର୍ |
வளர்ச்சி,ଅଭିବୃଦ୍ଧି |
வளர்ச்சி முறை,ଅଭିବୃଦ୍ଧି pattern ାଞ୍ଚା
மேம்படுத்தப்பட்ட Mosfet,ବର୍ଦ୍ଧିତ ମୋସଫେଟ୍ |
என்ட்ரோபி,ଏଣ୍ଟ୍ରପି
உறை demodulator,ଏନଭଲପ୍ ଡେମୋଡ୍ୟୁଲେଟର |
சூழல்,ପରିବେଶ
"எபிடாக்ஸி வளர்ச்சி, ஏறுமுக வளர்ச்சி","epitaxy ଅଭିବୃଦ୍ଧି, ବୃଦ୍ଧି ବୃଦ୍ଧି |"
"எபிட்ராசியல் அடுக்கு, ஏறுவரிசை அடுக்கு","epitracheal ସ୍ତର, ଆରୋହଣ ସ୍ତର |"
"எபிடாக்ஸி, மேலெழுதுதல்","epitaxy, overriding |"
எபோக்சி-ஃபைபர் கண்ணாடி நிலை,ଇପୋକ୍ସି-ଫାଇବର ଗ୍ଲାସ୍ ସ୍ତର |
EP-ROM,EP-ROM |
எப்சிலான்,ଏପସିଲନ୍ |
சமப்படுத்துதல்,ସମାନତା
சமநிலை சுற்று,ସମାନତା ସର୍କିଟ |
சமத்துவம்,ସମାନତା |
சமன்பாடு,ସମୀକରଣ
சமநிலை வடிகட்டி,ସମାନତା ଫିଲ୍ଟର୍ |
சமன்பாடு,ସମୀକରଣ
பூமத்திய ரேகை விமானம்,ସମୀକରଣ ବିମାନ |
ஐசோபோடென்ஷியல் கோடு,isopotential ରେଖା |
equipotential பக்கம்,ସମାନ୍ତରାଳ ପୃଷ୍ଠା |
சமமான சுற்று,ସମାନ ସର୍କିଟ |
சமமான உள்ளீடு இரைச்சல் ஜெனரேட்டர்,ସମାନ ଇନପୁଟ୍ ଶବ୍ଦ ଜେନେରେଟର |
சமமான உள்ளீடு இரைச்சல் எதிர்ப்பு,ସମାନ ଇନପୁଟ୍ ଶବ୍ଦ ପ୍ରତିରୋଧ |
சமமான ஐசோடோபிக் கதிர்வீச்சு சக்தி,ସମାନ ଆଇସୋଟୋପିକ୍ ବିକିରଣ ଶକ୍ତି |
அழி,ଡିଲିଟ୍ କରନ୍ତୁ |
ஆற்றல் செயல்முறை,ଶକ୍ତି ପ୍ରକ୍ରିୟା
பிழை கட்டுப்பாட்டு குறியீட்டு முறை,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ କୋଡିଂ |
பிழை திருத்தம் குறியீடு,ତ୍ରୁଟି ସଂଶୋଧନ କୋଡ୍ |
பிழை கண்டறிதல் குறியீடு,ତ୍ରୁଟି ଚିହ୍ନଟ କୋଡ୍
பிழை கையாளுதல்,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ
பிழை விகிதம்,ତ୍ରୁଟି ହାର
பிழை மின்னழுத்தம்,ତ୍ରୁଟି ଭୋଲଟେଜ୍ |
பிழை பெருக்கி,ତ୍ରୁଟି ଏମ୍ପ୍ଲିଫାୟର୍ |
இசக்கி டையோடு,ଇସାକି ଡାୟୋଡ୍ |
பொறித்தல்,ଇଚିଂ
ஈதர்நெட்,ଇଥରନେଟ୍ |
யூலரின் தேற்றம்,ଇଉଲର୍ଙ୍କ ତତ୍ତ୍। |
வீச்சு குறைப்பு முறை,ପ୍ରଶସ୍ତତା ହ୍ରାସ ମୋଡ୍ |
ஆவியாதல் செயல்முறை,ବାଷ୍ପୀକରଣ ପ୍ରକ୍ରିୟା |
மின் திசையன்,ଇ-ଭେକ୍ଟର୍ |
சமத்துவம்,ସମାନତା
விதிவிலக்கு கையாளுதல்,ବ୍ୟତିକ୍ରମ ନିୟନ୍ତ୍ରଣ |
கூடுதல் இரைச்சல் விகிதம்,ଅତିରିକ୍ତ ଶବ୍ଦ ଅନୁପାତ |
மூன்று குறியீடு,ଟ୍ରିପଲ୍ କୋଡ୍
தூண்டுதல் அட்டவணை,ଉତ୍ସାହ ସାରଣୀ |
எதிரொலி XOR வாயில்,ଇକୋ XOR ଗେଟ୍ |
செயல்படுத்தும் மென்பொருள்,ନିଷ୍ପାଦନ ସଫ୍ଟୱେର୍
மரணதண்டனை நகர்வு,ନିଷ୍ପାଦନ ପଦକ୍ଷେପ
செயல்படுத்தும் நேரம்,ନିଷ୍ପାଦନ ସମୟ
பிரத்தியேக நார் கேட்,ଏକ୍ସକ୍ଲୁସିଭ୍ ନୋର ଗେଟ୍ |
ஒளிபரப்பாளர்,ପ୍ରସାରଣକାରୀ
அதிவேக சிதைவு,କ୍ଷୟକ୍ଷତି କ୍ଷୟ |
அதிவேக டையோடு,ସୂକ୍ଷ୍ମ ଡାୟୋଡ୍ |
அதிவேக ஃபோரியர் தொடர்,ଏକ୍ସପେନ୍ସେନାଲ୍ ଫୁରିଅର୍ ସିରିଜ୍ |
அதிவேக செயல்பாடு,ସୂକ୍ଷ୍ମ କାର୍ଯ୍ୟ
வெளிப்புற அதிர்வெண் எதிர்ப்பு,ବାହ୍ୟ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିରୋଧ |
மிக அதிக அதிர்வெண்,ବହୁତ ଉଚ୍ଚ ଫ୍ରିକ୍ୱେନ୍ସି |
உயர் திறன்,ଉଚ୍ଚ ସମ୍ଭାବନା |
மிகக் குறுகிய அதிர்வெண்,ବହୁତ ଛୋଟ ଫ୍ରିକ୍ୱେନ୍ସି |
கடத்தாத குறைக்கடத்தி,ଅପ୍ରାକୃତିକ ସେମିକଣ୍ଡକ୍ଟର |
திறந்த கோப்பு,ଫାଇଲ୍ ଖୋଲ |
குறைக்கடத்தி உற்பத்தி,ସେମିକଣ୍ଡକ୍ଟର ଗଠନ
