Malayalam,English
ശോഷണ വക്രം,decay curve
മാന്യമായ പ്രവർത്തനം,decent function
ഡെസിഗ്രാം,decigram
ദശാംശം,decile
ദശാംശം,decimal
ദശാംശ കോഡ്,decimal code
ദശാംശ കോഡ് ചെയ്ത അക്കം,decimal coded digit
ദശാംശ വികാസം,decimal expansion
ദശാംശ അംശം,decimal fraction
ദശാംശ നൊട്ടേഷൻ,decimal notation
ദശാംശ സംഖ്യാ സംവിധാനം,decimal numbering system
ദശാംശ,decimal point
ദശാംശ സ്കെയിൽ,decimal scale
ദശാംശ വ്യവസ്ഥ,decimal system
ഡെസിമീറ്റർ,decimeter
മനസ്സിലാക്കുന്നു,deciphering
തീരുമാന മാതൃക,decision model
തീരുമാന സിദ്ധാന്തം,decision theory
തീരുമാനം വേരിയബിൾ,decision variable
ഡീകോഡർ,decoder
ഡീകോഡിംഗ്,decoding
വിഘടിപ്പിക്കാവുന്ന സെറ്റ്,decomposable set
കുറയുന്നു,decreasing
പ്രവർത്തനം കുറയുന്നു,decreasing function
Dedekind ന്റെ കട്ട്,Dedekind's cut
ഡെഡെകിൻഡിന്റെ സിദ്ധാന്തം,Dedekind's theorem
അനുമാനിക്കുക,deduce
കിഴിവ് രീതി,deductive method
വികലമായ,defective
സമവാക്യം നിർവചിക്കുന്നു,defining equation
നിശ്ചിത അവിഭാജ്യ,definite integral
നിശ്ചിത മാട്രിക്സ്,definite matrix
നിർവചനം,definition
രൂപഭേദം വക്രം,deformation curve
രൂപഭേദം വരുത്തിയ ഉപരിതലം,deformed surface
അപചയം,degeneracy
ഗതാഗത പ്രശ്‌നങ്ങളിലെ അപചയം,degeneracy in transporation problems
ഡിഗ്രി,degree
ഡിഫറൻഷ്യൽ സമവാക്യത്തിന്റെ ബിരുദം,degree of differential equation
സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം,degree of freedom
ബഹുപദത്തിന്റെ ബിരുദം,degree of polynomial
ഇല്ലാതാക്കിയ അയൽപക്കം,deleted neighbourhood
ഡെൽറ്റ പ്രവർത്തനം,delta function
ഡിമാൻഡും യൂട്ടിലിറ്റി വക്രവും,demand and utility curve
ഡിമാൻഡ് സമവാക്യം,demand equation
ഡിമാൻഡ് ഫംഗ്ഷൻ,demand function
ജനസംഖ്യാ പഠനം,demographic study
ജനസംഖ്യാശാസ്ത്രം,demography
ഡി മോവ്രെയുടെ സിദ്ധാന്തം,De Moivre’s theorem
പ്രകടിപ്പിക്കുക,demonstrate
പ്രകടനം,demonstration
പ്രദർശന ജ്യാമിതി,demonstrative geometry
ഡിനോമിനേറ്റർ,denominator
ഇടതൂർന്ന സെറ്റ്,dense set
സാന്ദ്രത,density
എണ്ണമറ്റ സെറ്റ്,denumerable set
പുറപ്പെടുന്ന വേരിയബിളുകൾ,departing variables
ആശ്രിത സംഭവം,dependent event
ആശ്രിത റാൻഡം വേരിയബിൾ,dependent random variable
ആശ്രിത വേരിയബിൾ,dependent variable
ആശ്രിത വേരിയേറ്റ്,dependent variate
വിഷാദം ആംഗിൾ,depression angle
വ്യുൽപ്പന്നം,derivation
ഡെറിവേറ്റീവ്,derivative
ഉരുത്തിരിഞ്ഞ പരമ്പര,derived series
ഉരുത്തിരിഞ്ഞ സെറ്റ്,derived set
അവരോഹണം,descending
അവരോഹണ ക്രമം,descending order
അവരോഹണ പരമ്പര,descending series
വിവരണാത്മക ജ്യാമിതി,descriptive geometry
വിവരണാത്മക മാതൃക,descriptive model
വിവരണാത്മക സ്ഥിതിവിവരക്കണക്കുകൾ,descriptive statistics
ഡിസൈൻ,design
പരീക്ഷണത്തിന്റെ രൂപകൽപ്പന,design of experiment
ഡെസ്ക് കാൽക്കുലേറ്റർ,desk calculator
കണ്ടെത്തൽ,detection
ഡിറ്റർമിനന്റ്,determinant
ഡിറ്റർമിനന്റ് റാങ്ക്,determinant rank
നിർണ്ണയിക്കുക,determine
നിർണ്ണായക മാതൃക,deterministic model
നിർണ്ണായക പ്രശ്നം,deterministic problem
വ്യതിയാനം,deviation
വ്യതിയാനം ഗുണകം,deviation coefficient
ഡയാഡിക് സിസ്റ്റം,diadic system
ഡയഗണൽ,diagonal
ഒരു മാട്രിക്സിന്റെ ഡയഗണലൈസേഷൻ,diagonalization of a matrix
ഡയഗണൽ മാട്രിക്സ്,diagonal matrix
ഡയഗണൽ സമാനത,diagonal similarity
ഡയഗ്രം,diagram
ഡയഗ്രമാറ്റിക് രീതി,diagrammatic method
ഡയഗ്രമാറ്റിക് അവതരണം,diagrammatic presentation
വ്യാസം,diameter
ഒരു സെറ്റിന്റെ വ്യാസം,diameter of a set
വിപരീതമായി,diametrically opposite
പകിട എറിയുക,dice throw
ദ്വിമുഖ വർഗ്ഗീകരണം,dichotomous classification
ദ്വിമുഖം,dichotomy
നിഘണ്ടു ക്രമം,dictionary order
വ്യത്യാസം കണക്കുകൂട്ടൽ,difference calculus
വ്യത്യാസ സമവാക്യം,difference equation
വ്യത്യാസം ഫോർമുല,difference formula
വ്യത്യാസം രീതി,difference method
സെറ്റുകളുടെ വ്യത്യാസം,difference of sets
വ്യത്യസ്തമായ,differentiable
വ്യത്യസ്തമായ വക്രം,differentiable curve
വ്യത്യസ്തമായ പ്രവർത്തനം,differentiable function
വ്യത്യസ്തമായ,differential
ഡിഫറൻഷ്യൽ കാൽക്കുലസ്,differential calculus
ഡിഫറൻഷ്യൽ കോഫിഫിഷ്യന്റ്,differential coefficient
ഡിഫറൻഷ്യൽ സമവാക്യം,differential equation
ഡിഫറൻഷ്യൽ ഫോം,differential form
ഡിഫറൻഷ്യൽ ഫോർമുല,differential formula
ഡിഫറൻഷ്യൽ ഫംഗ്ഷൻ,differential function
ഡിഫറൻഷ്യൽ ജ്യാമിതി,differential geometry
ഉയർന്ന ക്രമത്തിന്റെ വ്യത്യാസം,differential of higher order
ഡിഫറൻഷ്യൽ ഘടകം,differential quotient
വേർതിരിക്കുക,differentiate
വ്യത്യാസം,differentiation
ഡിഫറൻഷ്യേഷൻ ഫോർമുല,differentiation formula
വെക്റ്ററിന്റെ വ്യത്യാസം,differentiation of vector
വ്യാപനം,diffusion
അക്കം,digit
ഡിജിറ്റൽ കമ്പ്യൂട്ടർ,digital computer
ഡിജിറ്റൽ ഡാറ്റ,digital data
മാനം,dimension
മാനം,dimensionality
അളവില്ലാത്ത,dimensionless
ഒരു സമവാക്യത്തിന്റെ അളവ്,dimension of an equation
diophantine സമവാക്യം,diophantine equation
മുക്കി കോൺ,dip angle
ഡിപോളാർ കോർഡിനേറ്റുകൾ,dipolar coordinates
ദ്വിധ്രുവം,dipole
ഡിപിരമിഡ് (ബൈപിരമിഡ്),dipyramid (bipyramid)
ഡിറാക് ഡെൽറ്റ ഫംഗ്‌ഷൻ,Dirac delta function
നേരിട്ടുള്ള പൊതു ടാൻജെന്റ്,direct common tangent
സംവിധാനം ആംഗിൾ,directed angle
സംവിധാനം ചെയ്ത ലൈൻ,directed line
ദിശാസൂചന ഡെറിവേറ്റീവ്,directional derivative
ദിശ കോസൈൻ,direction cosine
മാക്സിമയുടെ ദിശ,direction of maxima
പ്രൊജക്ഷന്റെ ദിശ,direction of projection
ദിശ അനുപാതം,direction ratio
ഡയറക്ടർ സർക്കിൾ,director circle
ഡയറക്ടർ മണ്ഡലം,director sphere
നേരിട്ടുള്ള ഉൽപ്പന്നം,direct product
നേരിട്ടുള്ള തെളിവ്,direct proof
നേരിട്ടുള്ള അനുപാതം,direct proportion
ഡയറക്‌ട്രിക്സ്,directrix
നേരിട്ടുള്ള തുക,direct sum
വിച്ഛേദിച്ച സെറ്റുകൾ,disconncted sets
നിർത്തലാക്കൽ,discontinuity
ഡെറിവേറ്റീവിന്റെ നിർത്തലാക്കൽ,discontinuity of derivative
ആദ്യ തരത്തിലുള്ള നിർത്തലാക്കൽ,discontinuity of the first kind
രണ്ടാമത്തെ തരത്തിലുള്ള നിർത്തലാക്കൽ,discontinuity of the second kind
തുടർച്ചയായ വിതരണം,discontinuous distribution
തുടർച്ചയായ പ്രവർത്തനം,discontinuous function
തുടർച്ചയായ വേരിയേറ്റ്,discontinuous variate
വ്യതിരിക്തമായ,discrete
വ്യതിരിക്തമായ വിതരണം,discrete distribution
ഡിസ്ക്രീറ്റ് പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ,discrete probability distribution
ഡിസ്ക്രീറ്റ് റാൻഡം വേരിയബിൾ,discrete random variable
വ്യതിരിക്ത സാമ്പിൾ സ്ഥലം,discrete sample space
വ്യതിരിക്തമായ സെറ്റ്,discrete set
വ്യതിരിക്ത സ്ഥലം,discrete space
വ്യതിരിക്ത ടോപ്പോളജി,discrete topology
വ്യതിരിക്തമായ വ്യതിയാനം,discrete variate
വിവേചനം,discriminant
വിവേചനപരമായ വിശകലനം (=വിവേചന വിശകലനം),discriminatory analysis (=discriminant analysis)
വേർപിരിയുക,disjoint
പരസ്പരവിരുദ്ധമായ സംഭവങ്ങൾ,disjoint events
വിഭജന സെറ്റുകൾ,disjoint sets
അവ്യക്തമായ യൂണിയൻ,disjoint union
വിച്ഛേദനം,disjunction
വിസരണം,dispersion
ഡിസ്പേർഷൻ ചാർട്ട്,dispersion chart
വിസരണം സ്ഥിരമായ,dispersion constant
ഡിസ്പർഷൻ ഡയഗ്രം,dispersion diagram
ഡിസ്പർഷൻ മാട്രിക്സ് (=കോവേരിയൻസ് മാട്രിക്സ്),dispersion matrix (=covariance matrix)
സ്ഥാനമാറ്റാം,displacement
ഡിസ്പ്ലേ,display
ഡിസ്പ്ലേ യൂണിറ്റ് (=കൺസോൾ),display unit (=consol)
സമാനതകളില്ലാത്ത,dissimilar
വിഘടിപ്പിക്കുന്ന ശക്തികൾ,dissipative forces
ദൂരം പ്രവർത്തനം,distance function
ദൂരം മോഡുലസ്,distance modulus
വിതരണ രഹിത രീതി,distribution-free method
വിതരണ നിയമം,distributive law
വ്യതിചലിക്കുക,diverge
വ്യതിചലനം,divergence
വ്യതിചലന സിദ്ധാന്തം,divergence theorem
വ്യത്യസ്തമായ,divergent
വ്യത്യസ്‌ത പരമ്പര,divergent series
വിഭജിച്ച വ്യത്യാസം,divided difference
വിഭജനം,divisibility
ഹരിക്കാവുന്ന,divisible
ഡിവിഷൻ,division
ഡിവിഷൻ അൽഗോരിതം,division algorithm
ഡിവിഷൻ റിംഗ്,division ring
ഡോഡെകഗൺ,dodecagon
ഡോഡെകാഹെഡ്രോൺ,dodecahedron
ഡൊമെയ്ൻ,domain
ഒരു ഫംഗ്ഷന്റെ ഡൊമെയ്ൻ,domain of a function
നിർവചനത്തിന്റെ ഡൊമെയ്ൻ,domain of definition
അസ്തിത്വത്തിന്റെ ഡൊമെയ്ൻ,domain of existence
പ്രബലമായ തന്ത്രം,dominant strategy
ഡോപ്ലർ പ്രഭാവം,doppler effect
ഡോട്ട് ഉൽപ്പന്നം,dot product
കുത്തുകളുള്ള വക്രം,dotted curve
ഇരട്ട വ്യത്യാസം,double differentiation
ഇരട്ട എക്‌സ്‌പോണൻഷ്യൽ ഡിസ്ട്രിബ്യൂഷൻ,double exponential distribution
ഇരട്ട ഹെലിക്സ്,double helix
ഇരട്ട ഇന്റഗ്രൽ,double integral
ഇരട്ട സംയോജനം,double integration
ഇരട്ട പരിധി,double limit
ഇരട്ട സാമ്പിൾ പ്ലാൻ,double sampling plan
ഇരട്ട ക്രമം,double sequence
ഇരട്ട പരമ്പര,double series
ഇരട്ട പ്രത്യയ നൊട്ടേഷൻ,double suffix notation
ഇരട്ട സംഗ്രഹം,double summation
താഴേക്കുള്ള ത്വരണം,downward acceleration
താഴേക്കുള്ള സ്ഥാനചലനം,downward displacement
താഴേക്കുള്ള ചലനം,downward motion
താഴേക്കുള്ള വേഗത,downward velocity
വലിച്ചിടുക,drag
ഡ്രാഗ് ഫോഴ്സ്,drag force
ഇരട്ട,dual
ഇരട്ട അടിസ്ഥാനം,dual basis
ഇരട്ട ആന്തരിക ഉൽപ്പന്നം,dual inner product
ഡ്യുവൽ ലീനിയർ പ്രോഗ്രാമിംഗ് പ്രശ്നം,dual linear programming problem
ഇരട്ട പ്രവർത്തനം,dual operation
ഇരട്ട പ്രശ്നം,dual problem
ഡ്യുവൽ സിംപ്ലക്സ് അൽഗോരിതം,dual simplex algorithm
ഡ്യുവൽ സിംപ്ലക്സ് ടെക്നിക്,dual simplex technique
ഡ്യുവൽ സ്പേസ്,dual space
ഡ്യുവൽ വേരിയബിൾ,dual variable
ഡ്യുവൽ വെക്റ്റർ സ്പേസ്,dual vector space
ഡമ്മി സൂചിക,dummy index
ഡമ്മി സബ്സ്ക്രിപ്റ്റ്,dummy subscript
ഡമ്മി പ്രത്യയം,dummy suffix
ഡമ്മി വേരിയബിൾ,dummy variable
ഡ്യൂപ്ലിക്കേറ്റർ പ്രക്രിയ,duplicator process
ചലനാത്മകം,dynamical
ചലനാത്മക സംവിധാനം,dynamical system
ഡൈനാമിക് ഡിമാൻഡ് ഫംഗ്ഷൻ,dynamic demand function
ഡൈനാമിക് മോഡൽ,dynamic model
ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,dynamic programming
ഡൈനാമിക് പ്രോഗ്രാമിംഗ് സമീപനം,dynamic programming approach
ഡൈനാമിക് പ്രോഗ്രാമിംഗ് ടെക്നിക്,dynamic programming technique
ചലനാത്മകത,dynamics
ഒരു കണത്തിന്റെ ചലനാത്മകത,dynamics of a particle
ദൃഢമായ ശരീരങ്ങളുടെ ചലനാത്മകത,dynamics of rigid bodies
ഭൂമി,earth
ഭൂകമ്പ തീവ്രത,earthquake intensity
ഉത്കേന്ദ്രത,eccentricity
ഗ്രഹണം,eclipse
ഇക്കണോമെട്രിക് പ്രവചനം,econometric forecast
സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,econometrician
ഇക്കണോമെട്രിക്സ്,econometrics
സാമ്പത്തികശാസ്ത്രം,economics
അറ്റം,edge
ഒരു കുത്തനെയുള്ള സെറ്റിന്റെ അറ്റം,edge of a convex set
കാര്യക്ഷമത ഘടകം,efficiency factor
ഈജൻ മൂലകം,eigen element
ഈജൻ പ്രവർത്തനം,eigen function
ഈജൻ മൂല്യം,eigen value
ഈജൻ മൂല്യ സമവാക്യം,eigen value equation
ഈജൻ വെക്റ്റർ,eigen vector
ഇലാസ്റ്റിക്,elastic
ഇലാസ്റ്റിക് സ്ഥിരാങ്കം,elastic constant
ഇലാസ്റ്റിക് സന്തുലിതാവസ്ഥ,elastic equilibrium
ഇലാസ്തികത,elasticity
ഇലാസ്തികത ഉപരിതലം,elasticity surface
ഇലക്ട്രോണിക് കമ്പ്യൂട്ടർ,electronic computer
ഘടകം,element
പ്രാഥമിക നിര പ്രവർത്തനം,elementary column operation
പ്രാഥമിക സംഭവം,elementary event
പ്രാഥമിക പ്രവർത്തനം,elementary function
പ്രാഥമിക പ്രവർത്തനം,elementary operation
പ്രാഥമിക ഫലം,elementary outcome
പ്രാഥമിക സാധ്യത നിയമം,elementary probability law
പ്രാഥമിക വരി പ്രവർത്തനം,elementary row operation
ഇല്ലാതെയാക്കുവാൻ,eliminate
ഒഴിവാക്കൽ നടപടിക്രമം,elemination procedure
ദീർഘവൃത്തം,ellipse
ദീർഘവൃത്താകൃതിയിലുള്ള,ellipsoid
ദീർഘവൃത്താകൃതിയിലുള്ള,ellipsoidal
ദീർഘവൃത്താകൃതിയിലുള്ള ഉപരിതലം,ellipsoidal surface
ദീർഘവൃത്താകൃതിയിലുള്ള ശരീരം,elliptical body
ഉൾച്ചേർക്കൽ,embedding
ഉദ്വമനം,emission
അനുഭവപരമായ ഡാറ്റ,empirical data
അനുഭവ സൂത്രവാക്യം,empirical formula
അനുഭവപരമായ സംഭാവ്യത,empirical probability
അനുഭവപരമായ ബന്ധം,empirical relation
ശൂന്യമായ സെറ്റ്,empty set
അടച്ചിരിക്കുന്നു,enclosed
എൻകോഡിംഗ്,encoding
എൻഡോമോർഫിസം,endomorphism
അവസാന പോയിന്റ്,end point
ക്ലാസ് ഇടവേളയുടെ അവസാന പോയിന്റ്,end point of class interval
ഊർജ്ജം,energy
ഊർജ്ജ ആക്കം ഘടകം,energy momentum component
വേരിയബിളിലേക്ക് പ്രവേശിക്കുന്നു,entering variable
എണ്ണാവുന്ന കൂട്ടം,enumerable set
എണ്ണൽ,enumeration
തുല്യമായ,equal
സമത്വം,equality
തുല്യ സാധ്യത,equally likely
തുല്യ സാധ്യത തിരഞ്ഞെടുക്കൽ രീതി (=epsem),equal probability selection method (=epsem)
തുല്യമാക്കുക,equate
സമവാക്യം,equation
ഒന്നാം ഡിഗ്രിയുടെ സമവാക്യം,equation of first degree
രണ്ടാം ഡിഗ്രിയുടെ സമവാക്യം,equation of second degree
മൂന്നാം ഡിഗ്രിയുടെ സമവാക്യം,equation of third degree
ഭൂമധ്യരേഖ,equator
സമതുലിതമായ,equicontinuous
സമഭുജം,equilateral
സന്തുലിതാവസ്ഥ,equilibrium
ശക്തികളുടെ സന്തുലിതാവസ്ഥ,equilibrium of forces
സന്തുലിത പോയിന്റ്,equilibrium point
തുല്യത,equivalence
തുല്യതാ ക്ലാസ്,equivalence class
തുല്യതാ ബന്ധം,equivalence relation
തത്തുല്യമായ,equivalent
തുല്യ മാട്രിക്സ്,equivalent matrix
തുല്യമായ സെറ്റ്,equivalent set
എർഗോഡിസിറ്റി,ergodicity
പിശക്,error
പിശക് വിശകലനം,error analysis
പിശക് കോഡ്,error code
പിശക് ഗുണകം,error coefficient
ശരാശരി ചതുരത്തിന്റെ പിശക്,error of mean square
ആദ്യ തരത്തിലുള്ള പിശക്,error of the first kind
രണ്ടാമത്തെ തരത്തിലുള്ള പിശക്,error of the second kind
രക്ഷപ്പെടാനുള്ള സാധ്യത,escape probability
രക്ഷപ്പെടൽ വേഗത,escape velocity
ഇ. ഷ്മിഡിന്റെ ഓർത്തോഗണലൈസേഷൻ പ്രക്രിയ,E. Schmidt's orthogonalization process
എഴുതിയിരിക്കുന്ന വൃത്തം,escribed circle
അത്യാവശ്യമാണ്,essential
അടിസ്ഥാനപരമായി അതുല്യമായ,essentially unique
കണക്കാക്കുക,estimate
കണക്കാക്കൽ രീതി,estimation method
യൂക്ലിഡിയൻ കോർഡിനേറ്റ്,Euclidean coordinate
യൂക്ലിഡിയൻ ഡൊമെയ്ൻ,Euclidean domain
യൂക്ലിഡിയൻ ജ്യാമിതി,Euclidean geometry
യൂക്ലിഡിയൻ എൻ-സ്പെയ്സ്,Euclidean n-space
യൂക്ലിഡിയൻ വിമാനം,Euclidean plane
യൂലറുടെ സിദ്ധാന്തം,Euler's theorem
വിലയിരുത്തുക,evaluate
പോലും,even
വക്രം പോലും,even curve
പ്രവർത്തനം പോലും,even function
ഒന്നിലധികം പോലും,even multiple
ഇരട്ട സംഖ്യ,even number
ഇരട്ട സമമിതി,even odd symmetry
ക്രമമാറ്റം പോലും,even permutation
സംഭവം,event
കാലാവധി പോലും,even term
കൃത്യമായ,exact
കൃത്യമായ ചി-സ്ക്വയർ ടെസ്റ്റ്,exact chi-square test
കൃത്യമായ വ്യത്യാസം,exact differential
കൃത്യമായ സമവാക്യം,exact equation
ഉദാഹരണം,example
കൈമാറ്റം,exchange
സമഗ്രമായ സംഭവം,exhaustive event
അസ്തിത്വ സിദ്ധാന്തം,existence axiom
അസ്തിത്വ സാധ്യത (= ഒരു മുൻകൂർ സാധ്യത),existence probability(= a priori probability)
അസ്തിത്വ സിദ്ധാന്തം,existence theorem
എക്സോജനസ് വേരിയബിൾ,exogenous variable
വികാസം,expansion
പ്രതീക്ഷയുടെ പ്രവർത്തനം,expectation function
പ്രതീക്ഷിക്കുന്ന ആവൃത്തി,expected frequency
പ്രതീക്ഷിച്ച മൂല്യം,expected value
പരീക്ഷണം,experiment
പരീക്ഷണ പിശക്,experimental error
വിശദീകരണം,explanation
വ്യക്തമായ സമവാക്യം,explicit equation
വ്യക്തമായ രൂപം,explicit form
വ്യക്തമായ പ്രവർത്തനം,explicit function
വ്യക്തമായ പരിഹാരം,explicit solution
ഘാതം,exponent
എക്‌സ്‌പോണൻഷ്യൽ കർവ്,exponential curve
എക്‌സ്‌പോണൻഷ്യൽ ഡെൻസിറ്റി ഫംഗ്‌ഷൻ,exponential density function
എക്‌സ്‌പോണൻഷ്യൽ ഡിസ്ട്രിബ്യൂഷൻ,exponential distribution
എക്‌സ്‌പോണൻഷ്യൽ സമവാക്യം,exponential equation
എക്‌സ്‌പോണൻഷ്യൽ ഫംഗ്‌ഷൻ,exponential function
എക്‌സ്‌പോണൻഷ്യൽ വളർച്ച,exponential growth
എക്‌സ്‌പോണൻഷ്യൽ നിയമം,exponential law
എക്‌സ്‌പോണൻഷ്യൽ മാപ്പ്,exponential map
എക്‌സ്‌പോണൻഷ്യൽ സീരീസ്,exponential series
ആവിഷ്കാരം,expression
നീട്ടിയ ഇടവേള,extended interval
വിപുലീകരിച്ച യഥാർത്ഥ ലൈൻ,extended real line
വിപുലീകരിച്ച റിയൽ നമ്പർ സിസ്റ്റം,extended real number system
ഒരു മാപ്പിംഗിന്റെ വിപുലീകരണം,extension of a mapping
ബാഹ്യ കോൺ,exterior angle
ബാഹ്യ പ്രദേശം,exterior area
ബാഹ്യ പോയിന്റ്,exterior point
ബാഹ്യമായ,external
ട്രെൻഡ് മൂല്യത്തിന്റെ എക്സ്ട്രാപോളേഷൻ,extrapolation of trend value
എക്സ്ട്രാപോളേഷൻ ടെക്നിക്,extrapolation technique
അങ്ങേയറ്റത്തെ മൂല്യം,extremal value
അങ്ങേയറ്റം,extreme
അങ്ങേയറ്റത്തെ പോയിന്റ്,extreme point
കോൺവെക്സ് സെറ്റിന്റെ അങ്ങേയറ്റത്തെ പോയിന്റ്,extreme point of convex set
ഒരു ഫംഗ്‌ഷന്റെ തീവ്രത,extremum of a function
അങ്ങേയറ്റത്തെ സ്വത്ത്,extremum property
മുഖം,face
മുഖവില,face value
ഘടകം,factor
ഘടകം വിശകലനം,factor analysis
ഘടകം,factored
ഘടകാംശം,factorial
ഫാക്‌ടീരിയൽ ഡിസൈൻ,factorial design
ഘടകവൽക്കരണം,factorization
ഫാക്ടറിവൽക്കരിക്കുക,factorise
ന്യായമായ ഗെയിം,fair game
തെറ്റായ,FALSE
കുടുംബം,family
സർക്കിളുകളുടെ കുടുംബം,family of circles
കുടുംബ വക്രങ്ങൾ,family curves
പ്രവർത്തനങ്ങളുടെ കുടുംബം,family of functions
വരികളുടെ കുടുംബം,family of lines
മുഖചിത്രം,facsimile
എഫ്-വിതരണം,F-distribution
സാധ്യമായ അടിസ്ഥാന പരിഹാരം,feasible basic solution
സാധ്യമായ പരിഹാരം,feasible solution
തിരികെ നൽകൂ,feed back
ഫെർമാറ്റ് തത്വം,Fermat principle
ഫെർമാറ്റിന്റെ സിദ്ധാന്തം,Fermat's theorem
ഫെർമി-ഡിറക് സ്ഥിതിവിവരക്കണക്കുകൾ,Fermi-Dirac statistics
ഫിബൊനാച്ചി നമ്പർ,Fibonacci number
ഫിബൊനാച്ചി പരമ്പര,Fibonacci series
വയൽ,field
അന്തിമ വേഗത,final velocity
പരിമിതമായ,finite
പരിമിതമായ അടിസ്ഥാനം,finite basis
പരിമിത ദശാംശം,finite decimal
പരിമിതമായ വ്യത്യാസം,finite difference
പരിമിതമായ വ്യത്യാസ രീതി,finite difference method
പരിമിതമായ മാനം,finite dimensional
പരിമിതമായ ഡൈമൻഷണൽ വെക്റ്റർ സ്പേസ്,finite dimensional vector space
പരിമിതമായ ഗെയിം,finite game
പരിമിതമായ ജ്യാമിതി,finite geometry
പരിമിതമായ കവല,finite intersection
പരിമിതമായ പലതും,finite many
പരിമിതമായ മാർക്കോവ് ശൃംഖല,finite Markov chain
പരിമിതി തെളിവ്,finiteness proof
പരിമിത സംഖ്യ,finite number
പരിമിതമായ ജനസംഖ്യ,finite population
പരിമിതമായ സംഭാവ്യത,finite probability
പരിമിത പരമ്പര,finite series
പരിമിതമായ സെറ്റ്,finite set
പരിമിതമായ വേഗത,finite velocity
പരിമിതമായ വോളിയം,finite volume
ഫിറ്റിംഗ്,fitting
വക്രം ഫിറ്റിംഗ്,fitting of curve
നേർരേഖയുടെ ഫിറ്റിംഗ്,fitting of straight line
നിശ്ചിത പോയിന്റ് സിദ്ധാന്തം,fixed point theorem
നിശ്ചിത മാതൃക,fixed sample
ഫ്ലൈറ്റ് വേഗത,flight velocity
ഫ്ലോട്ടിംഗ് പോയിന്റ് കണക്ക്,floating point arithmetic
ഫ്ലോട്ടിംഗ് പോയിന്റ് സിസ്റ്റം,floating point system
ഫ്ലോ ചാർട്ട്,flow chart
ഒഴുക്ക് വേഗത,flow velocity
ദ്രാവക ചലനാത്മകത,fluid dynamics
ഫോക്കൽ,focal
ഫോക്കൽ കോർഡ്,focal chord
ഫോക്കൽ ദൂരം,focal distance
ഫോക്കൽ ദൂരം,focal length
ശ്രദ്ധ കേന്ദ്രീകരിക്കുക,focus
കാൽ,foot
ലംബമായ കാൽ,foot of perpendicular
ഗുരുത്വാകർഷണബലം,force of gravity
പ്രവചനം,forecasting
ഫോർമുല,formula
രൂപപ്പെടുത്തുക,formulate
രൂപപ്പെടുത്തൽ,formulation
മുന്നോട്ടുള്ള വ്യത്യാസം,forward difference
ഫോർവേഡ് ഇന്റർപോളേഷൻ,forward interpolation
ഗണിതശാസ്ത്രത്തിന്റെ അടിസ്ഥാനം,foundation of mathematics
ഫോറിയറുടെ വിശകലനം,Fourier's analysis
ഫോറിയറുടെ പരമ്പര,Fourier's series
ഫോറിയറുടെ രൂപാന്തരം,Fourier's transform
അംശം,fraction
ഫ്രാക്ഷണൽ കോർഡിനേറ്റ്,fractional coordinate
ഭിന്നസംഖ്യ,fractional number
ഫ്രാക്ഷണൽ പ്രോഗ്രാമിംഗ്,fractional programming
സ്വതന്ത്ര പാത,free path
സ്വതന്ത്ര വെക്റ്റർ,free vector
ആവൃത്തി,frequency
ആവൃത്തി നിര,frequency column
ഫ്രീക്വൻസി കർവ്,frequency curve
ആവൃത്തി വിതരണം,frequency distribution
ഫ്രീക്വൻസി ഹിസ്റ്റോഗ്രാം,frequency histogram
സംഭവങ്ങളുടെ ആവൃത്തി,frequency of occurrence
ആവൃത്തി ബഹുഭുജം,frequency polygon
ആവൃത്തി പട്ടിക,frequency table
നിരാശ,frustum
ഒരു പിരമിഡിന്റെ നിരാശ,frustum of a pyramid
ഒരു ഗോളത്തിന്റെ നിരാശ,frustum of a sphere
പൂർണ്ണ വികാസം,full expansion
പ്രവർത്തനം,function
പ്രവർത്തനപരമായ വിശകലനം,functional analysis
അടിസ്ഥാനപരമായ,fundamental
അടിസ്ഥാന സിദ്ധാന്തം,fundamental theorem
ബീജഗണിതത്തിന്റെ അടിസ്ഥാന സിദ്ധാന്തം,fundamental theorem of algebra
ഗാലക്സി,galaxy
ഗലോയിസ് ഫീൽഡ്,Galois field
ഗലോയിസ് ഗ്രൂപ്പ്,Galois group
ചൂതാട്ടക്കാരന്റെ നാശം,gambler's ruin
കളിയും നീക്കവും,game and move
അവസരങ്ങളുടെ കളി,game of chance
പകിടകളി,game of dice
ഗെയിംസ് സിദ്ധാന്തം,games theory
മികച്ച തിരിച്ചുവിളിക്കുന്ന ഗെയിമുകൾ,games with perfect recall
ഗെയിം മൂല്യം,game value
ഗാമാ പ്രവർത്തനം,gamma function
ഗാസ്-അർഗൻഡ് വിമാനം,Gauss-Argand plane
ഗൗസിയൻ വക്രം,Gaussian curve
ഗൗസിയൻ ഉന്മൂലനം,Gaussian elimination
ഗാസിയൻ വിമാനം,Gaussian plane
ഗാസ്-ജോർദാൻ കുറയ്ക്കൽ,Gauss-Jordan reduction
പൊതുവായ കേസ്,general case
പൊതുവായ ഒത്തുചേരൽ സിദ്ധാന്തം,general convergence theorem
