Hindi,Tamil
प्रत्युदाहरण,எதிர் உதாரணம்
सहप्रसरण,இணை மாறுபாடு
सहप्रसरण नियम,கூட்டுறவு சட்டம்
सहप्रसरण आव्यूह,covariance matrix
सहप्रसरण विधि,இணைவு முறை
सहप्रसरण विधि,இணைவு நுட்பம்
क्रैमर-नियम,கிராமர் விதி
क्रैमर-राव असमिका,க்ரேமர்-ராவ் சமத்துவமின்மை
उद्देश्य फलन,அளவுகோல் செயல்பாடு (=புறநிலை செயல்பாடு)
क्रांतिक कोण,முக்கியமான கோணம்
क्रांतिक बिंदु,முக்கியமான புள்ளி
फलन का क्रांतिक बिंदु,செயல்பாட்டின் முக்கிய புள்ளி
क्रांतिक मान,முக்கிய மதிப்பு
क्रांतिक वेग,முக்கியமான வேகம்
व्यतिसहसंबंध फलन,குறுக்கு தொடர்பு செயல்பாடு
"वेक्टर-गुणनफल, सदिश गुणनफल",குறுக்கு தயாரிப்பு
वज्रानुपात,குறுக்கு விகிதம்
अनुप्रस्थ परिच्छेदन,குறுக்கு வெட்டு
गूढ़लेख,மறைவான
"घन, क्यूब",கன
घन संख्या,கனசதுர எண்
घनमूल,கன வேர்
" घन, घनाकृति, घनीय, त्रिघात , त्रिसमलंबाक्ष, घनीय",கன சதுரம்
"घन, घनाकृति, घनीय",கனசதுர
त्रिघात समीकरण,கன சமன்பாடு
घन इंच,கன அங்குலம்
घन मीटर,கன மீட்டர்
त्रिघात परवलय,கன பரவளையம்
घनमूल,கன வேர்
त्रिघाती पद,கன கால
लंबकोणिक समांतर,கனசதுரம்
"संचयी संकलित,",ஒட்டுமொத்த
संचयी वक्र,ஒட்டுமொத்த வளைவு
संचयी बंटन फलन,ஒட்டுமொத்த விநியோக செயல்பாடு
संचयी बारंबारता,ஒட்டுமொத்த அதிர்வெண்
संचयी बारंबारता फलन,ஒட்டுமொத்த அதிர்வெண் செயல்பாடு
"संचयी बारंबारता आलेख, संचयी बारंबारता ग्राफ",ஒட்டுமொத்த அலைவரிசை வரைபடம்
संचयी प्रायिकता फलन,ஒட்டுமொத்த நிகழ்தகவு செயல்பாடு
"कर्ल, कुंतल",சுருட்டை
द्विप्राचल वक्र-कुल का कर्ल,ஒற்றுமையின் சுருட்டை
सदिश का कर्ल,திசையன் சுருட்டை
"धनुःकोष्ठक, धनुर्बधनी",சுருள் அடைப்புக்குறி
धारा,தற்போதைய
चलित बिंदु,தற்போதைய புள்ளி
वक्रता,வளைவு
वक्रता-प्रभाव,வளைவு விளைவு
वक्र,வளைவு
वक्र रेखा,வளைந்த கோடு
वक्र अनुरेखण,வளைவு தடமறிதல்
वक्रेखी अनंतस्पर्शी,வளைவு அறிகுறி
वक्रेखी निर्देशांक,வளைவு ஆயத்தொகுப்புகள்
वक्रेखी समाश्रयण,வளைவு பின்னடைவு
"उभयाग्र, कस्प",சிகரம்
"चक्र, आवर्तन , साइकिल , ढलाई चक्र, संचन चक्र",மிதிவண்டி
चक्रीय विचरण,சுழற்சி மாறுபாடு
चक्रीय सदिश गुणनफल,சுழற்சி குறுக்கு தயாரிப்பு
चक्रीय मांग,சுழற்சி தேவை
चक्रीय व्यंजक,சுழற்சி வெளிப்பாடு
चक्रीय समूह,சுழற்சி குழு
चकीय क्रमचय,சுழற்சி வரிசைமாற்றம்
"चक्रज, साइक्लोइड",சைக்ளோயிட்
"बेलन, सिलिन्डर",உருளை
"बेलनाकार, सिलिन्डराकार, बेलनी, सिलिन्डरी",உருளை
सिलिन्डराकार पृ्ष्ठ,உருளை மேற்பரப்பு
"शून्य, सिफर",சைபர்
डिलंबर्ट-सिद्‌धांत,டி&#39;அலெம்பெர்ட்டின் கொள்கை
अवमंदित सरल आवर्त गति,ஹார்மோனிக் செயல்பாடு குறைக்கப்பட்டது
अवमंदन स्थिरांक,damping மாறிலி
" दत्त, उपात्त , आंकड़ा, न्यास",தகவல்கள்
दत्त उपक्रमण,தரவு தோற்றம்
न्यास संसाधन प्रणाली,தரவு செயலாக்க அமைப்பு
आंकड़ा संसाधित्र,தரவு செயலி
आंकड़ा पत्र,தரவுத்தாள்
दशभुज,தசமகோணம்
डेकाग्राम,தசாப்தம்
डेकामीटर,தசமானி
क्षयांक,சிதைவு நிலையானது
क्षय वक्र,சிதைவு வளைவு
शिष्ट फलन,ஒழுக்கமான செயல்பாடு
डेसीग्राम,டெசிகிராம்
दशमक,பத்து
"दशमलव, दशमिक",தசம
दशमिक कोड,தசம குறியீடு
दशमलव कोडित अंक,தசம குறியிடப்பட்ட இலக்கம்
दशमिक प्रसार,தசம விரிவாக்கம்
दशमलव भिन्न,தசம பின்னம்
दशमलव संकेतन पद्‌धति,தசம குறியீடு
दशमलव अंकन पद्‌धति,தசம எண் அமைப்பு
दशमलव बिंदु,தசம புள்ளி
दशमलव मापक्रम,தசம அளவு
दशमलव पद्‌धति,தசம அமைப்பு
डेसीमीटर,டெசிமீட்டர்
कूटवाचन,புரிந்து கொள்ளுதல்
निर्णय निदर्श,முடிவு மாதிரி
निर्णय सिद्‌धांत,முடிவு கோட்பாடு
निर्णय चर,முடிவு மாறி
"कूटवाचक, विकोडक",குறிவிலக்கி
"कूटवाचन, विकोडन",டிகோடிங்
वियोज्य समुच्चय,மக்கக்கூடிய தொகுப்பு
ह्रासमान,குறைகிறது
ह्रासमान फलन,செயல்பாடு குறைகிறது
डेडेकिन्ड-कट,Dedekind இன் வெட்டு
डेडेकिन्ड-प्रमेय,டெட்கிண்டின் தேற்றம்
निगमन करना,அனுமானிக்க
निगमनिक रीति,கழித்தல் முறை
सदोष,குறைபாடுள்ள
परिभाषी समीकरण,சமன்பாட்டை வரையறுக்கிறது
निश्चित समाकल,திட்டவட்டமான ஒருங்கிணைந்த
निश्चित मैट्रिक्स,திட்டவட்டமான அணி
" परिभाषा , स्पष्टता , निश्चय",வரையறை
विरूपण वक्र,சிதைவு வளைவு
विकृत पृष्ठ,சிதைந்த மேற்பரப்பு
"अपभ्रष्टता, अपह्रास",சீரழிவு
परिवहन समस्याओं में अपभ्रष्टता,போக்குவரத்து சிக்கல்களில் சீரழிவு
" डिग्री, अंश , घात , कोटि , मात्रा, परिमाण , अंशांक",பட்டம்
अवकल समीकरण का घात,வேறுபட்ட சமன்பாட்டின் அளவு
"स्वतंत्रता की कोटि, स्वातंत्र्य कोटि",சுதந்திரம் பட்டம்
बहुपद का घात,பல்லுறுப்புக்கோவை பட்டம்
निष्कासित प्रतिवेश,நீக்கப்பட்ட அக்கம்
डेल्टा फलन,டெல்டா செயல்பாடு
मांग और उपयोगिता वक्र,தேவை மற்றும் பயன்பாட்டு வளைவு
मांग समीकरण,கோரிக்கை சமன்பாடு
मांग फलन,கோரிக்கை செயல்பாடு
जनसांख्यिकीय अध्ययन,மக்கள்தொகை ஆய்வு
जनसांख्यिकी,மக்கள்தொகையியல்
द-मॉयवर प्रमेय,டி மோவ்ரேயின் தேற்றம்
" निरूपण करना , प्रमाण देना , निदर्शन करना",நிரூபிக்க
" निरूपण , प्रमाण , निदर्शन, प्रदर्शन",ஆர்ப்பாட்டம்
निरूपणात्मक ज्यामिति,ஆர்ப்பாட்ட வடிவியல்
हर,வகுக்கும்
सघन समुच्चय,அடர்த்தியான தொகுப்பு
" घनत्व , सघनता",அடர்த்தி
प्रगणनीय समुच्चय,கணக்கிட முடியாத தொகுப்பு
अपगामी अचर,புறப்படும் மாறிகள்
आश्रित घटना,சார்ந்த நிகழ்வு
आश्रित यादृच्छिक चर,சார்பு சீரற்ற மாறி
परतंत्र चर,சார்பு மாறி
परतंत्र विचर,சார்பு மாறுபாடு
अवनमन कोण,மனச்சோர்வு கோணம்
" व्युत्पत्ति, व्युत्पन्न , अवकलन",வழித்தோன்றல்
" व्युत्पन्न , अवकलज",வழித்தோன்றல்
व्युत्पन्न श्रेणी,பெறப்பட்ட தொடர்
व्युत्पन्न समुच्चय,பெறப்பட்ட தொகுப்பு
"अवरोही, अवरोहण",இறங்குதல்
अवरोही क्रम,இறங்கு வரிசை
अवरोही श्रेणी,இறங்கு தொடர்
प्रक्षेपात्मक ज्यामिति,விளக்க வடிவியல்
वर्णनात्मक निदर्श,விளக்க மாதிரி
वर्णनात्मक सांख्यिकी,விளக்கமான புள்ளிவிபரங்கள்
"अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)",வடிவமைப்பு
प्रयोग की अभिकल्पना,சோதனை வடிவமைப்பு
डेस्क परिकलित्र,மேசை கால்குலேட்டர்
"पहचान, संसूचन",கண்டறிதல்
" सारणिक, डिटर्मिनेंट , निर्धारक",தீர்மானிக்கும்
सारणिक कोटि,தீர்மானிக்கும் தரவரிசை
निर्धारित करना,தீர்மானிக்க
निर्धारणात्मक निदर्श,தீர்மானிக்கும் மாதிரி
निर्धारणात्मक समस्या,தீர்மானிக்கும் பிரச்சனை
विचलन,விலகல்
विचलन गुणांक,விலகல் குணகம்
द्वि-आधारी प्रणाली,டயடிக் அமைப்பு
"विकर्ण कर्ण,",மூலைவிட்டமான
आव्यूह-विकर्णन,ஒரு அணி மூலைவிட்டமாக்கல்
"विकर्ण मैट्रिक्स, विकर्ण आव्यूह",மூலைவிட்ட அணி
विकर्णी समानता,மூலைவிட்ட ஒற்றுமை
आरेख,வரைபடம்
आरेखी विधि,வரைபட முறை
आरेखी प्रस्तुतिकरण,வரைபட விளக்கக்காட்சி
व्यास,விட்டம்
समुच्चय-व्यास,ஒரு தொகுப்பின் விட்டம்
व्यासतः सम्मुख,முற்றிலும் எதிர்
"पाशकक्षेप, पासा फेंकना",பகடை வீசுதல்
द्विधा वर्गीकरण,இருவகை வகைப்பாடு
" द्विभाजन , अर्धक",இருவகை
कोशक्रम,அகராதி ஒழுங்கு
अंतर कलन,வேறுபாடு கணக்கீடு
अंतर समीकरण,வேறுபாடு சமன்பாடு
अंतर सूत्र,வேறுபாடு சூத்திரம்
अंतर विधि,வேறுபாடு முறை
समुच्चयों का अंतर,தொகுப்புகளின் வேறுபாடு
अवकलनीय,வேறுபடுத்தக்கூடியது
अवकलनीय वक्र,வேறுபட்ட வளைவு
अवकलनीय फलन,வேறுபட்ட செயல்பாடு
" विभेदक, भेददर्शी , अवकल , अंतरात्रयी, अंतरात्मक , विभेदी",வித்தியாசமான
अवकल गणित,வேறுபட்ட கணக்கீடு
अवकल गुणांक,வேறுபட்ட குணகம்
अवकल समीकरण,வகையீட்டு சமன்பாடு
अवकल समघात,வேறுபட்ட வடிவம்
अवकल सूत्र,வேறுபட்ட சூத்திரம்
अवकल फलन,வேறுபட்ட செயல்பாடு
अवकल ज्यामिति,வேறுபட்ட வடிவியல்
उच्चतर कोटि का अवकल,உயர் வரிசையின் வேறுபாடு
अवकल खंड,வேறுபட்ட அளவு
अवकलन करना,வேறுபடுத்தி
"विभेदन, अवकलन",வேறுபாடு
अवकलन सूत्र,வேறுபாடு சூத்திரம்
सदिश का अवकलन,திசையன் வேறுபாடு
"विसरण, विसार",பரவல்
"अंक, व्यास का द्वादशांश, अंगुलि",இலக்கம்
अंकीय अभिकलित्र,டிஜிட்டல் கணினி
अंकीय दत्त,டிஜிட்டல் தரவு
" विस्तार, लंबाई-चौड़ाई, विमा , घात",பரிமாணம்
विमीयता,பரிமாணம்
"विमाहीन, अविम",பரிமாணமற்ற
समीकरण विमा,ஒரு சமன்பாட்டின் பரிமாணம்
डायोफैन्टस का समीकरण,diophantine சமன்பாடு
नति कोण,சாய்வு கோணம்
द्वियुग्मध्रुवी निर्देशांक,இருமுனை ஆயத்தொகுப்புகள்
द्विध्रुव,இருமுனை
द्विपिरामिड,இருபிரமிட் (பைபிரமிட்)
डिरैक डेल्टा फलन,டைராக் டெல்டா செயல்பாடு
उभयनिष्ठ अनुस्पर्श रेखा,நேரடி பொதுவான தொடுகோடு
दिष्ट कोण,இயக்கிய கோணம்
दिष्ट रेखा,இயக்கிய வரி
दिक्-अवकलज,திசை வழித்தோன்றல்
"दिक्कोज्या, दिक्-कोसाइन",திசை கொசைன்
उच्चिष्ठ की दिशा,அதிகபட்ச திசை
प्रक्षेपण दिशा,திட்ட திசை
दिक्-अनुपात,திசை விகிதம்
नियामक वृत्त,இயக்குனர் வட்டம்
नियामक गोला,இயக்குனர் கோளம்
अनुलोम गुणनफल,நேரடி தயாரிப்பு
" प्रत्यक्ष प्रमाण , प्रत्यक्ष उपपत्ति",நேரடி ஆதாரம்
अनुक्रमानुपात,நேரடி விகிதம்
नियता,டைரக்ட்ரிக்ஸ்
अनुलोम योगफल,நேரடித் தொகை
असंबद्‌ध समुच्चय,துண்டிக்கப்பட்ட தொகுப்புகள்
" असांतत्य , असातत्य , भंग",தொடர்ச்சியின்மை
अवकलज का असांतत्य,வழித்தோன்றலின் தொடர்ச்சியின்மை
प्रथम प्रकार का असांतत्य,முதல் வகையான இடைநிறுத்தம்
द्वितीय प्रकार का असांतत्य,இரண்டாவது வகையான தொடர்ச்சியின்மை
असंतत वितरण,இடைவிடாத விநியோகம்
असंतत फलन,இடைவிடாத செயல்பாடு
असंतत विचर,இடைவிடாத மாறுபாடு
विविक्त,தனித்தனி
असंतत बंटन,தனித்துவமான விநியோகம்
असंतत प्रायिकता बंटन,தனித்துவமான நிகழ்தகவு பரவல்
असंतत यादृच्छिक चर,தனித்த சீரற்ற மாறி
असंतत प्रतिदर्श समष्टि,தனித்த மாதிரி இடம்
विविक्त समुच्चय,தனித்துவமான தொகுப்பு
विविक्त समष्टि,தனி இடம்
विविक्त संस्थिति,தனித்த இடவியல்
असंतत विचर,தனித்த மாறுபாடு
विविक्तकर,பாரபட்சமான
विविक्तकर विश्लेषण,பாகுபாடு பகுப்பாய்வு (=பாகுபாடு பகுப்பாய்வு)
असंयुक्त,பிரித்தல்
असंयुक्त घटना,மாறுபட்ட நிகழ்வுகள்
असंयुक्त समुच्चय,பிரிக்கப்பட்ட தொகுப்புகள்
असंयुक्त सम्मिलन,ஒன்றிணைந்த தொழிற்சங்கம்
" वियोजन , तर्क-संगत योग",பிரித்தல்
" परिक्षेपण , प्रकीर्णन",சிதறல்
परिक्षेपण संचित्र,சிதறல் விளக்கப்படம்
परिक्षेपणांक,சிதறல் மாறிலி
परिक्षेपण-आरेख,சிதறல் வரைபடம்
परिक्षेपण-मैट्रिक्स,சிதறல் அணி (=கோவேரியன்ஸ் மேட்ரிக்ஸ்)
विस्थापन,இடப்பெயர்ச்சி
प्रदर्श,காட்சி
कन्सोल,காட்சி அலகு (=கன்சோல்)
"असमरूप, असमान",ஒற்றுமையற்ற
क्षयकारी बल,சிதறடிக்கும் சக்திகள்
दूरी-फलन,தூர செயல்பாடு
दूरी-मापांक,தூர மாடுலஸ்
बंटन-निरपेक्ष,விநியோகம் இல்லாத முறை
"वितरण-नियम, बंटननियम",விநியோக சட்டம்
"अपसारित करना, अपसारित होना",வேறுபடுகின்றன
" अपसरण, अपसारिता , डाइवर्जेन्स",வேறுபாடு
अपसरण प्रमेय,வேறுபாடு தேற்றம்
अपसारी,மாறுபட்ட
अपसारी श्रेणी,மாறுபட்ட தொடர்
विभाजित अंतर,பிரிக்கப்பட்ட வேறுபாடு
"भाज्यता, विभाज्यता",வகுக்கும் தன்மை
"भाज्य, विभाज्य",வகுபடக்கூடியது
" भाग, प्रभाग , विभाजन",பிரிவு
विभाजन-कलन विधि,பிரிவு அல்காரிதம்
विभाजन-वलय,பிரிவு வளையம்
द्वादशभुज,dodecagon
द्वादशफलक,பன்னிருமுகி
" प्रक्षेत्र , डोमेन, प्रांत , प्रदेश",களம்
फलन का प्रांत,ஒரு செயல்பாட்டின் களம்
परिभाषा-प्रांत,வரையறையின் களம்
अस्तित्व-प्रांत,இருப்பு களம்
अभिभावी युक्ति,மேலாதிக்க மூலோபாயம்
डॉप्लर प्रभाव,டாப்ளர் விளைவு
"बिन्दु-गुणनफल, अदिशगुणनफल",டாட் தயாரிப்பு
बिन्दुकित वक्र,புள்ளியிடப்பட்ட வளைவு
द्विशः अवकलन,இரட்டை வேறுபாடு
द्विक चरघातांकीय बंटन,இரட்டை அதிவேக விநியோகம்
द्विकुंडली,இரட்டை சுருள்
द्विशः समाकल,இரட்டை ஒருங்கிணைந்த
द्विशः समाकलन,இரட்டை ஒருங்கிணைப்பு
द्विक सीमा,இரட்டை வரம்பு
द्विशः प्रतिचयन आयोजन,இரட்டை மாதிரி திட்டம்
द्विक अनुक्रम,இரட்டை வரிசை
द्विक श्रेणी,இரட்டை தொடர்
द्वि-अनुलग्नी संकेतन,இரட்டை பின்னொட்டு குறியீடு
द्विक संकलन,இரட்டை கூட்டுத்தொகை
अधोमुखी त्वरण,கீழ்நோக்கிய முடுக்கம்
अधोमुखी विस्थापन,கீழ்நோக்கிய இடப்பெயர்ச்சி
अधोमुखी गति,கீழ்நோக்கிய இயக்கம்
अधोमुखी वेग,கீழ்நோக்கிய வேகம்
कर्षण,இழுத்து
कर्षण-बल,இழுவிசை
"द्वैती द्वैती,",இரட்டை
द्वैत आधार,இரட்டை அடிப்படையில்
द्वैत आंतरिक गुणनफल,இரட்டை உள் தயாரிப்பு
द्वैती रैखिक प्रोग्रामन समस्या,இரட்டை நேரியல் நிரலாக்க சிக்கல்
" द्वि प्रचालन , द्वैती संक्रिया",இரட்டை செயல்பாடு
द्वैत समस्या,இரட்டை பிரச்சனை
द्वैत एकल कलन-विधि,இரட்டை சிம்ப்ளக்ஸ் அல்காரிதம்
द्वैत एकल प्रविधि,இரட்டை எளிய நுட்பம்
द्वैत समष्टि,இரட்டை இடம்
द्वैत चर,இரட்டை மாறி
द्वैत सदिश समष्टि,இரட்டை திசையன் இடம்
मूक सूचकांक,போலி குறியீடு
मूक पादांक,போலி சந்தா
मूक अनुबंध,போலி பின்னொட்டு
मूक चर,போலி மாறி
अनुलिपि-प्रक्रम,நகல் செயல்முறை
गतिकीय,மாறும்
गतिकीय तंत्र,இயக்க அமைப்பு
गतिक मांग फलन,மாறும் தேவை செயல்பாடு
गत्यात्मक निदर्श,டைனமிக் மாதிரி
गत्यात्मक प्रोग्रामन,மாறும் நிரலாக்க
गतिशील प्रोग्रामन उपगमन,மாறும் நிரலாக்க அணுகுமுறை
गतिशील प्रोग्रामन प्रविधि,டைனமிக் நிரலாக்க நுட்பம்
"गतिविज्ञान, गतिकी",இயக்கவியல்
कण-गतिकी,ஒரு துகள் இயக்கவியல்
दृढ़ पिंड गतिकी,திடமான உடல்களின் இயக்கவியல்
" भू, पृथ्वी, भूमि , मत्तिृ का, मदृा , भू संपर्कित करना, भूसंपर्क करना (क्रि.)",பூமி
भूकंप तीव्रता,பூகம்பத்தின் தீவிரம்
उत्केंद्रता,விசித்திரத்தன்மை
ग्रहण,கிரகணம்
अर्थमितीय पूर्वानुमान,பொருளாதார கணிப்பு
अर्थमितिज्ञ,பொருளாதார நிபுணர்
अर्थमिति,பொருளாதார அளவியல்
अर्थशास्त्र,பொருளாதாரம்
"कोर, किनारा, अश्रि",விளிம்பு
अवमुख समुच्चय कोर,ஒரு குவிந்த தொகுப்பின் விளிம்பு
दक्षतांक,செயல்திறன் காரணி
अभिलक्षणिक अवयव,ஈஜென் உறுப்பு
अभिलक्षणिक फलन,ஈஜென் செயல்பாடு
"आइगेन मान, अभिलक्षणिक मान",ஈஜென் மதிப்பு
अभिलक्षणिक मान समीकरण,ஈஜென் மதிப்பு சமன்பாடு
"आइगेन वेक्टर, अभिलक्षणिक सदिश",ஈஜென் திசையன்
प्रत्यास्थ,மீள்
प्रत्यास्थतांक,மீள் மாறிலி
प्रत्यास्थ साम्यावस्था,மீள் சமநிலை
प्रत्यास्थता,நெகிழ்ச்சி
प्रत्यास्थता-पृष्ठ,நெகிழ்ச்சி மேற்பரப்பு
"इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर",மின்னணு கணினி
" तत्व , अल्पांश , अवयव",உறுப்பு
प्रारंभिक स्तंभ संक्रिया,அடிப்படை நிரல் செயல்பாடு
प्रारंभिक घटना,ஆரம்ப நிகழ்வு
प्रारंभिक फलन,அடிப்படை செயல்பாடு
प्रारंभिक संक्रिया,அடிப்படை செயல்பாடு
प्रारंभिक परिणाम,அடிப்படை முடிவு
प्रारंभिक प्रायिकता नियम,அடிப்படை நிகழ்தகவு சட்டம்
प्रारंभिक पंक्ति संक्रिया,அடிப்படை வரிசை செயல்பாடு
"विलुप्त करना, विलोपन करना,",ஒழிக்க
निराकरण प्रक्रिया,நீக்குதல் செயல்முறை
"दीर्घवृत्त, इलिप्स",நீள்வட்டம்
दीर्घवृत्तज,நீள்வட்டம்
दीर्घवृत्तजीय,நீள்வட்டம்
दीर्घवृत्तजीय पृष्ठ,நீள்வட்ட மேற்பரப்பு
दीर्घवृत्ताकार पिंड,நீள்வட்ட உடல்
अंतःस्थापन,உட்பொதித்தல்
उत्सर्जन,உமிழ்வு
आनुभविक न्यास,அனுபவ தரவு
मूलानुपाती सूत्र,அனுபவ சூத்திரம்
आनुभविक प्रायिकता,அனுபவ நிகழ்தகவு
आऩुभविक संबंध,அனுபவ உறவு
रिक्त समुच्चय,வெற்று தொகுப்பு
परिबद्‌ध,மூடப்பட்டது
"कूटलेखन, कोडन",குறியாக்கம்
अंतराकारिता,எண்டோமார்பிசம்
अंत्य बिंदु,இறுதி புள்ளி
वर्गांतराल के अंत्य बिंदु,வகுப்பு இடைவெளியின் இறுதிப் புள்ளி
ऊर्जा,ஆற்றல்
ऊर्जा-संवेग घटक,ஆற்றல் வேக கூறு
प्रवेशी चर,மாறி நுழைகிறது
गणनीय समुच्चय,எண்ணற்ற தொகுப்பு
"गणन, गिनना",கணக்கீடு
"समान, बराबर, सम, तुल्य",சமமான
"समता, समिका",சமத்துவம்
समप्रायिक,சமமாக வாய்ப்பு
सम प्रायिकता वरण विधि,சம நிகழ்தகவு தேர்வு முறை (=epsem)
समान करना,சமன்
" समीकरण , समीकार",சமன்பாடு
एकघात समीकरण,முதல் பட்டத்தின் சமன்பாடு
द्विघात समीकरण,இரண்டாம் பட்டத்தின் சமன்பாடு
त्रिघात समीकरण,மூன்றாம் பட்டத்தின் சமன்பாடு
"विषुवत वृत्त भूमध्यरेखा, इक्वेटर, मध्यरेखा",பூமத்திய ரேகை
समसंतत,சமமான
समबाहु,சமபக்க
"साम्यावस्था, साम्य, संतुलन",சமநிலை
बल-संतुलन,சக்திகளின் சமநிலை
संतुलन बिंदु,சமநிலை புள்ளி
तुल्यता,சமத்துவம்
तुल्यता-वर्ग,சமநிலை வகுப்பு
तुल्यता-संबंध,சமமான உறவு
"तुल्य, तुल्यमान (वि.),तुल्यांक (सं.)",இணையான
तुल्य मैट्रिक्स,சமமான அணி
तुल्य समुच्चय,சமமான தொகுப்பு
अभ्यतिप्रायता,எர்கோடிசிட்டி
"त्रुटि, भूल, गलती, अशुद्‌धि",பிழை
त्रुटि-विश्लेषण,பிழை பகுப்பாய்வு
त्रुटि कोड,பிழை குறியீடு
त्रुटि गुणांक,பிழை குணகம்
वर्ग माध्य त्रुटि,சராசரி சதுரத்தின் பிழை
प्रथम प्रकार की त्रुटि,முதல் வகை பிழை
द्वितीय प्रकार की त्रुटि,இரண்டாவது வகையான பிழை
पलायन-प्रायिकता,தப்பிக்கும் நிகழ்தகவு
पलायन वेग,தப்பிக்கும் வேகம்
ई. श्मिट लांबिकीकरण प्रक्रम,E. ஷ்மிட்டின் ஆர்த்தோகனலைசேஷன் செயல்முறை
बहिर्वृत्त,குறிப்பிடப்பட்ட வட்டம்
"सारभूत, अनिवार्य",அத்தியாவசியமான
वस्तुतः अद्वितीय,அடிப்படையில் தனித்துவமானது
"आकलन करना, आकलित करना (क्रि.), आकलन (सं.)",மதிப்பீடு
आकलन विधि,மதிப்பீட்டு முறை
यूक्लिडीय निर्देशांक,யூக்ளிடியன் ஒருங்கிணைப்பு
यूक्लिडीय डोमेन,யூக்ளிடியன் களம்
यूक्लिडीय ज्यामिति,யூக்ளிடியன் வடிவியல்
यूक्लिडीय n-समष्टि,யூக்ளிடியன் n-வெளி
यूक्लिडीय समतल,யூக்ளிடியன் விமானம்
ऑयलर प्रमेय,ஆய்லரின் தேற்றம்
"मान निकालना, मूल्यांकन करना",மதிப்பீடு
सम,கூட
सम वक्र,கூட வளைவு
सम फलन,கூட செயல்பாடு
सम अपवर्त्य,கூட பல
सम संख्या,இரட்டைப்படை எண்
सम-विषम सममिति,ஒற்றைப்படை சமச்சீர்
सम क्रमचय,வரிசைமாற்றம் கூட
"घटना, अनुवृत्त",நிகழ்வு
समपद,கூட கால
"यथातथ, यथार्थ, बिल्कुल ठीक",சரியான
यथातथ काई-वर्ग परिक्षण,சரியான சி-சதுர சோதனை
यथातथ अवकल,சரியான வேறுபாடு
यथातथ समीकरण,சரியான சமன்பாடு
उदाहरण,உதாரணமாக
विनिमय,பரிமாற்றம்
निश्शेष घटना,முழுமையான நிகழ்வு
अस्तित्व अभिगृहीत,இருப்பு கோட்பாடு
अस्तित्व प्रायिकता,இருப்பு நிகழ்தகவு (= ஒரு முதன்மை நிகழ்தகவு)
अस्तित्व प्रमेय,இருப்பு தேற்றம்
बाह्य चर,வெளிப்புற மாறி
"प्रसार, प्रसरण",விரிவாக்கம்
प्रत्याशा फलन,எதிர்பார்ப்பு செயல்பாடு
प्रत्याशित बारंबारता,எதிர்பார்க்கப்படும் அதிர்வெண்
प्रत्याशित मान,எதிர்பார்க்கப்படும் மதிப்பு
प्रयोग,பரிசோதனை
"प्रायोगिक भूल, प्रायोगिक त्रुटि",சோதனை பிழை
"व्याख्या, स्पष्टीकरण",விளக்கம்
स्पष्ट समीकरण,வெளிப்படையான சமன்பாடு
स्पष्ट रूप,வெளிப்படையான வடிவம்
स्पष्ट फलन,வெளிப்படையான செயல்பாடு
स्पष्ट हल,வெளிப்படையான தீர்வு
घातांक,அடுக்கு
चरघातांकी वक्र,அதிவேக வளைவு
चरघातांकी प्रायिकता फलन,அதிவேக அடர்த்தி செயல்பாடு
चरघातांकी बंटन,அதிவேக விநியோகம்
चरघातांकी समीकरण,அதிவேக சமன்பாடு
चरघातांकी फलन,அதிவேக செயல்பாடு
"एक्सपोनेन्टी वृद्‌धि, चरघातांकी वृद्‌धि",அதிவேகமான வளர்ச்சி
चरघातांकी नियम,அதிவேக சட்டம்
चरघातांकी प्रतिचित्र,அதிவேக வரைபடம்
"एक्सपोनेन्टी श्रेणी, चरघातांकी श्रेणी",அதிவேக தொடர்
" निष्पीडन , व्यंजक , मुखाकृति, भावकृति",வெளிப்பாடு
विस्तरित अंतराल,நீட்டிக்கப்பட்ட இடைவெளி
वर्धित वास्तविक रेखा,நீட்டிக்கப்பட்ட உண்மையான வரி
विस्तरित वास्तविक संख्या निकाय,நீட்டிக்கப்பட்ட உண்மையான எண் அமைப்பு
प्रतिचित्रण विस्तार,மேப்பிங்கின் நீட்டிப்பு
बहिष्कोण,வெளிப்புற கோணம்
बाह्य क्षेत्र,வெளிப்புற பகுதி
बाह्य बिंदु,வெளிப்புற புள்ளி
बाह्य,வெளிப்புற
उपनति मान का बहिर्वेशन,போக்கு மதிப்பின் விரிவாக்கம்
बहिर्वेशन तकनीक,எக்ஸ்ட்ராபோலேஷன் நுட்பம்
चरम मान,தீவிர மதிப்பு
" अत्यंत , अंत , चरम, पराकाष्ठा",தீவிர
चरम बिंदु,தீவிர புள்ளி
अवमुख समुच्चय का चरम बिंदु,குவிந்த தொகுப்பின் தீவிர புள்ளி
फलन का चरम मान,ஒரு செயல்பாட்டின் உச்சம்
चरम गुणधर्म,தீவிர சொத்து
" फलक, पार्श्व , अंताग्र",முகம்
अंकित मूल्य,முக மதிப்பு
" घटक, उपादान, कारक , खंड,",காரணி
उपादान विश्लेषण,காரணி பகுப்பாய்வு
खंडित,காரணியாக்கப்பட்டது
