Odiya,Punjabi
ରଚନା,ਰਚਨਾ
ସଙ୍କଳନ ତଥ୍ୟ,ਸੰਕੁਚਿਤ ਡੇਟਾ
ସଙ୍କୋଚିତ ଡିଜିଟାଇଜଡ୍ ଭିଡିଓ |,ਸੰਕੁਚਿਤ ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ
ସଙ୍କୋଚିତ ଭିଡିଓ |,ਸੰਕੁਚਿਤ ਵੀਡੀਓ
ସଙ୍କୋଚନ,ਸੰਕੁਚਨ
ସଙ୍କୋଚନ କଳାକୃତି |,ਕੰਪਰੈੱਸ ਆਰਟੀਫੈਕਟ
ସଙ୍କୋଚନ ବିପଦ |,ਕੰਪਰੈੱਸ ਖ਼ਤਰੇ
ସଙ୍କୋଚନ କ techni ଶଳ |,ਸੰਕੁਚਨ ਤਕਨੀਕ
ସଙ୍କଣଶକ,ਕੰਪ੍ਰੈਸਰ
ଗଣଯୋଗୀ,ਗਣਨਾ
କମ୍ପ୍ୟୁଟର,ਕੰਪਿ computer ਟਰ
କମ୍ପ୍ୟୁଟର ଆଧାରିତ ମଲ୍ଟିମିଡିଆ |,ਕੰਪਿ computer ਟਰ ਅਧਾਰਤ ਮਲਟੀਮੀਡੀਆ
କମ୍ପ୍ୟୁଟର ପ୍ରୋଗ୍ରାମିଂ |,ਕੰਪਿ computer ਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ
କମ୍ପ୍ୟୁଟର ଟେକ୍ନୋଲୋଜି |,ਕੰਪਿ computer ਟਰ ਤਕਨਾਲੋਜੀ
କନକଭ୍ ଲେନ୍ସ,ਕਨਸੈਵ ਲੈਂਜ਼
କନକଭ୍ ଦର୍ପଣ |,ਮਾਹੌਲ
ଲୁଚାନ୍ତୁ,ਛੁਪਾਓ
ଏକାଗ୍ର,ਕੇਂਦਰਿਤ
ଏକାଗ୍ରତା,ਧਿਆਨ ਟਿਕਾਉਣਾ
ଏକାଗ୍ର ଲେନ୍ସ,ਦਿਮਾਗੀ ਲੈਂਜ਼
ଘନିଷ୍ଠ ମାଇକ୍ରୋଫୋନ୍ |,ਕੰਡੈਂਸਰ ਮਾਈਕ੍ਰੋਫੋਨ
ସନ୍ତୁଳନର ଅବସ୍ଥା |,ਸੰਤੁਲਨ ਦੀ ਸਥਿਤੀ
ଧାଜାକରଣ,ਸੰਚਾਲਨ
କଣ୍ଡନ୍ସ କରେଣ୍ଟ୍ |,ਚਾਲਾਂ ਦਾ ਮੌਜੂਦਾ
ପରିଚୟ,ਚਾਲਕਤਾ
କଣ୍ଡକ୍ଟର |,ਕੰਡਕਟਰ
ବିନ୍ୟାସ,ਕੌਨਫਿਗਰੇਸ਼ਨ
ସଂଯୋଗ,ਕੁਨੈਕਸ਼ਨ
ସଂଯୋଗ,ਕਨੈਕਟੀਵਿਟੀ
ସଂଯୋଜକ |,ਕੁਨੈਕਟਰ
ସ୍ଥିରତା,ਇਕਸਾਰਤਾ
କ୍ରମାଗତ ଭାବରେ |,ਨਿਰੰਤਰ
କନସୋଲ୍ |,ਕੰਸੋਲ
ସ୍ଥିର,ਨਿਰੰਤਰ
ନିରନ୍ତର ପ୍ରଶସ୍ତତା |,ਨਿਰੰਤਰ ਐਪਲੀਟਿ .ਡ
ମାଇକ୍ରୋଫୋନ୍ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,ਮਾਈਕ੍ਰੋਫੋਨ ਨਾਲ ਸੰਪਰਕ ਕਰੋ
ପାତ୍ର ଫର୍ମାଟ୍ |,ਕੰਟੇਨਰ ਫਾਰਮੈਟ
ପ୍ରଦୂଷଣ,ਗੰਦਗੀ
ବିଷୟବସ୍ତୁ,ਸਮੱਗਰੀ
ସଂଲଗ୍ନ,ਸੰਖੇਪ
ନିରନ୍ତରତା,ਨਿਰੰਤਰਤਾ
ନିରନ୍ତରତା ବୁଥ୍ |,ਨਿਰੰਤਰਤਾ ਬੂਥ
ନିରନ୍ତର ଗଣ୍ଠି |,ਨਿਰੰਤਰਤਾ ਨੋਬ
ନିରନ୍ତର |,ਨਿਰੰਤਰ
କ୍ରମାଗତ ଆର୍କ,ਨਿਰੰਤਰ ਚਾਪ
କ୍ରମାଗତ ତରଙ୍ଗ |,ਨਿਰੰਤਰ ਵੇਵ
ବିଷୟବସ୍ତୁ ଧାଡ଼ି,ਕੋਠੇ ਦੀ ਲਾਈਨ
ବିଷୟବସ୍ତୁ ଯୋଜନା,ਕੁੱਲ ਯੋਜਨਾ
ଚୁକ୍ତିନାମା,ਇਕਰਾਰਨਾਮਾ
ସଂକୋଚନ,ਸੁੰਗੜਨ
ବିପରୀତ ଅନୁପାତ,ਇਸ ਦੇ ਉਲਟ ਅਨੁਪਾਤ
କଣ୍ଟ୍ରୋଲ୍ ସର୍କିଟ୍ |,ਕੰਟਰੋਲ ਸਰਕਟ
ଇଲେକ୍ଟ୍ରୋଡ୍ ନିୟନ୍ତ୍ରଣ କରନ୍ତୁ |,ਇਲੈਕਟ੍ਰੋਡ ਕੰਟਰੋਲ ਕਰੋ
ନିୟନ୍ତ୍ରଣ ଉପକରଣ |,ਕੰਟਰੋਲ ਉਪਕਰਣ
କଣ୍ଟ୍ରୋଲ୍ ଗ୍ରୀଡ୍,ਕੰਟਰੋਲ ਗਰਿੱਡ
ନିୟନ୍ତ୍ରଣ ରେଖା,ਕੰਟਰੋਲ ਲਾਈਨ
କଣ୍ଟ୍ରୋଲ୍ ପ୍ୟାନେଲ୍ |,ਕਨ੍ਟ੍ਰੋਲ ਪੈਨਲ
ନିୟନ୍ତ୍ରଣ କକ୍ଷ |,ਕੰਟਰੋਲ ਰੂਮ
ନିୟନ୍ତ୍ରଣ ଟେବୁଲ୍ |,ਕੰਟਰੋਲ ਟੇਬਲ
ନିୟନ୍ତ୍ରଣ ଟାୱାର |,ਕੰਟਰੋਲ ਟਾਵਰ
ନିୟନ୍ତ୍ରକ,ਕੰਟਰੋਲਰ
ଏକତ୍ରିତତା,ਪਰਿਵਰਤਨ
ଏକତ୍ରିତ ଲେନ୍ସ |,ਕੰਵਰਜੈਂਟ ਲੈਂਜ਼
Contenker,ਕਨਵਰਟਰ
କନଭକ୍ସ ଲେନ୍ସ |,ਕਨਵੈਕਸ ਲੈਂਜ਼
ଦୋଷ,ਕਨਵੋਲਕ
Convolution cended,ਕਨਵੀਸ਼ਨ ਕੋਡਡ
ଦୋଷୀ ଜଣା,ਪੱਕਾ ਇੰਟਰਲੇਵ
ଦୋଷୀ ଅସହଯୋଗୀ |,ਪੱਕਾ ਇੰਟਰਲੇਵਿੰਗ
କୁକି |,ਕੂਕੀ
କୁକିଅର୍,ਕੂਕੀਅਰ
ତମ୍ବାସେସୋର,ਕੋਪ੍ਰੋਸੈਸਰ
କର୍ଡ,ਰੱਸੀ
କରୋନା |,ਕੋਰੋਨਾ
କରୋନା ଡିସଚାର୍ଜ |,ਕੋਰੋਨਾ ਡਿਸਚਾਰਜ
ସମ୍ପର୍କ |,ਇਕ ਦੂਸਰੇ ਨਾਲ ਸੰਬੰਧ
କସିନ୍ ଉପାଦାନ |,ਕੋਸਾਈਨ ਭਾਗ
କସିନ୍ ତରଙ୍ଗ |,ਕੋਸਾਈਨ ਵੇਵ
କସମିକ୍ ଶବ୍ଦ,ਬ੍ਰਹਿਮੰਡੀ ਸ਼ੋਰ
କାଉଣ୍ଟର,ਕਾ counter ਂਟਰ
ଘଣ୍ଟା ବୁଲାଇ କାଉଣ୍ଟର କରନ୍ତୁ |,ਕਾਉਂਟਰ ਕਲਾਕਵਾਈਸ
କପଟର୍ |,ਕਪਲਰ
ଯୋଡିଙ୍ଗ୍,ਜੋੜੀ
ସହଯୋଗୀ କଣ୍ଡେନ୍ସର୍ |,ਕਪਲਿੰਗ ਕੰਡੇਲੈਨਜ਼ਰ
Coupling ନେଟୱାର୍କ,ਜੋੜਣ ਵਾਲਾ ਨੈਟਵਰਕ
ସହଯୋଗ ପ୍ରତିରୋଧ,ਜੋੜਣ ਦਾ ਵਿਰੋਧ
ସହଯୋଗୀ ବଣ୍ଡ |,ਸਹਿਕਾਰਤਾ
କଭରେଜ୍,ਕਵਰੇਜ
ଦୁର୍ଘଟଣା,ਕਰੈਸ਼
ଜଟିଳ ବ୍ୟାଣ୍ଡ |,ਆਲੋਚਨਾਤਮਕ ਬੈਂਡ
ଗୁରୁତର ଅବସ୍ଥା |,ਗੰਭੀਰ ਸਥਿਤੀ
ଗୁରୁତର ଚିନ୍ତା |,ਨਾਜ਼ੁਕ
ଅହଂକାରୀ ଫ୍ରିକ୍ୱେନ୍ସି |,ਨਾਜ਼ੁਕ ਬਾਰੰਬਾਰਤਾ
ଗୁରୁତର ପାରାମିଟର |,ਆਲੋਚਨਾਤਮਕ ਪੈਰਾਮੀਟਰ
କୁମ୍ଭୀର କ୍ଲିପ୍ |,ਮਗਰਮੱਛ ਕਲਿੱਪ
କ୍ରସ୍ କ୍ଷୀଣ |,ਕਰਾਸ ਫੇਡਿੰਗ
କ୍ରସ୍ ମୋଡୁଲେସନ୍ |,ਕਰਾਸ ਮੈਨੂਲੇਸ਼ਨ
କ୍ରସ୍ ଟକ୍ |,ਕਰਾਸ ਟਾਕ
କ୍ରସଫେଡ୍,ਕਰਾਸਫੈਡ
କ୍ରିପ୍ଟୋଗ୍ରାଫି,ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ
ସ୍ଫଟିକ୍,ਕ੍ਰਿਸਟਲ
ସ୍ଫଟିକ୍ ଫିଲ୍ଟର୍ |,ਕ੍ਰਿਸਟਲ ਫਿਲਟਰ
କ୍ୟୁ,Cue
କ୍ୟୁ ମାର୍କ,ਕਿ ue ਦੇ ਨਿਸ਼ਾਨ
କ୍ୟୁରିଂ ଉପକରଣ,ਕਯੂਅਰ ਡਿਵਾਈਸ
ସାମ୍ପ୍ରତିକ ଡ୍ରେନ୍ |,ਮੌਜੂਦਾ ਡਰੇਨ
ସାମ୍ପ୍ରତିକ ମିଟର,ਮੌਜੂਦਾ ਮੀਟਰ
ସାମ୍ପ୍ରତିକ ଟ୍ରାନ୍ସଫର୍ମର |,ਮੌਜੂਦਾ ਟਰਾਂਸਫਾਰਮਰ
କର୍ସର୍,ਕਰਸਰ
ବକ୍ର,ਕਰਵ
ଫ୍ରିକ୍ୱେନ୍ସି କାଟନ୍ତୁ |,ਬਾਰੰਬਾਰਤਾ ਨੂੰ ਕੱਟੋ
କଟର,ਕਟਰ
ସାଇବର କାଫେ |,ਸਾਈਬਰ ਕੈਫੇ
ସାଇବର ସୁରକ୍ଷା |,ਸਾਈਬਰ ਸੁਰੱਖਿਆ
ସାଇବର ସ୍ଥାନ |,ਸਾਈਬਰ ਸਪੇਸ
ଚକ୍ର,ਚੱਕਰ
ସାଇକ୍ଲିକ୍ |,ਚੱਕਰਵਾਤ
D.C. ଉପାଦାନ,D.C. ਭਾਗ
D.C. ଥାଳି ଶକ୍ତି,D.C. ਪਲੇਟ ਪਾਵਰ
D.C. ପୁନରୁଦ୍ଧାର,D.C. ਬਹਾਲੀ
ଡ୍ୟାମ୍ପର୍ ଡିଏଡ୍ |,ਡੈਂਪਰ ਡਾਈਵਰ
ବନ୍ଧପ,ਗਿੱਲੇ
ଅନ୍ଧାର,ਹਨੇਰ
ତଥ୍ୟ,ਡਾਟਾ
ଡାଟା ପ୍ରସାରଣ |,ਡਾਟਾ ਪ੍ਰਸਾਰਣ
ତଥ୍ୟ ସଙ୍କୋଚନ |,ਡਾਟਾ ਸੰਕੁਚਨ
ଡାଟା ଡ୍ରିଲିଂ |,ਡਾਟਾ ਡ੍ਰਿਲਿੰਗ
ତଥ୍ୟ ଏନକ୍ରିପସନ୍,ਡਾਟਾ ਇਨਕ੍ਰਿਪਸ਼ਨ
ଡାଟା ଫାଇଲ୍ |,ਡਾਟਾ ਫਾਈਲ
ତଥ୍ୟ ନିୟନ୍ତ୍ରଣ,ਡਾਟਾ ਹੈਂਡਲਿੰਗ
ତଥ୍ୟ ଖଣି,ਡਾਟਾ ਮਾਈਨਿੰਗ
ଡାଟା ପ୍ରକ୍ରିୟାକରଣ |,ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
ଡାଟା ସଞ୍ଚାଳକ |,ਡਾਟਾ ਪ੍ਰੋਸੈਸਰ
ଡାଟା ହ୍ରାସ ବିଟ୍ ସିଷ୍ଟମ୍ |,ਡਾਟਾ ਘਟੀਆ ਸਿਸਟਮ
ଡାଟା ସେବା |,ਡਾਟਾ ਸੇਵਾ
ତଥ୍ୟ ଫର୍ଦ୍ଦ,ਡਾਟਾ ਸ਼ੀਟ
ତଥ୍ୟ ସଂରକ୍ଷଣ,ਡਾਟਾ ਸਟੋਰੇਜ
ଡାଟା ଷ୍ଟ୍ରିମ୍ |,ਡਾਟਾ ਸਟ੍ਰੀਮ
ତଥ୍ୟ ଟ୍ରାନ୍ସଫର୍ମାେସନ୍,ਡਾਟਾ ਤਬਦੀਲੀ
ତଥ୍ୟ ଟ୍ରାନ୍ସମିସନ୍ |,ਡਾਟਾ ਸੰਚਾਰ
ଡାଟାବେସ୍ |,ਡਾਟਾਬੇਸ
ଡେସ୍କାଷ୍ଟିଂ |,ਡੈਟਾਕਾਸਟਿੰਗ
ଡାଟାଗ୍ରାମ୍,ਡਾਟਾਗ੍ਰਾਮ
DB ମିଟର,ਡੀ ਬੀ ਮੀਟਰ
ମୃତ ପବନ,ਮਰੇ ਹਵਾ
ମୃତ ସର୍ଟ ସର୍କିଟ୍ |,ਮਰੇ ਸ਼ੌਰਟ ਸਰਕਟ
ମୃତ ସ୍ପଟ୍,ਮਰੇ ਹੋਏ ਸਥਾਨ
ଜଳଖିଆ,ਡੈੱਡਲਾਕ
କିବଗ୍ ପ୍ରୋଗ୍ରାମ୍,ਡੀਬੱਗ ਪ੍ਰੋਗਰਾਮ
ତ୍ରୁଟି ନିବାରଣ କରୁଛି |,ਡੀਬੱਗਿੰਗ
ଶବ୍ଦର କ୍ଷୟ |,ਆਵਾਜ਼ ਦਾ ਵਿਗਾੜ
ଡେକ୍ସିବେଲ୍ (DB),ਡੈਸੀਬੈਲ (ਡੀ ਬੀ)
ଦଶମିକ,ਦਸ਼ਮਲਵ
ଦଶମିକ କୋଡ୍ |,ਦਸ਼ਮਲਵ ਕੋਡ
ଦଶମିକ ଅଙ୍କ |,ਦਸ਼ਮਲਵ ਅੰਕ
ଡିସପିଅର୍ କରିବା,ਸਮਝਦਾਰੀ
ଡେକୋଡର୍,ਡੀਕੋਡਰ
ଡିକୋଡିଂ,ਡੀਕੋਡਿੰਗ
ଡିଜିଟାଲ୍ ଟ୍ରାନ୍ସମିସନ୍ ରେ ଡିକୋଡିଂ |,ਡਿਜੀਟਲ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਵਿੱਚ ਡੀਕੋਡਿੰਗ
ସଙ୍କଳନ,ਕੰਪੋਪ੍ਰੈਸ਼ਨ
ସଜାଇବା,ਬਰਖਾਸਤ ਕਰਨਾ
ସିକ୍ୟୁପିଙ୍ଗ୍ ସର୍କିଟ୍ |,ਸਰਕਟ ਨੂੰ ਘਟਾਉਣਾ
ନେଟୱର୍କ ନେଟୱାର୍କ |,ਨੈੱਟਵਰਕ ਨੂੰ ਘਟਾਓ
ଡିକ୍ରିପ୍ସନ୍,ਡਿਕ੍ਰਿਪਸ਼ਨ
ଉତ୍ସର୍ଗୀକୃତ ରେଖା |,ਸਮਰਪਿਤ ਲਾਈਨ
ଦେ-ଏମ୍ବେଡିଂ |,ਡੀ-ਏਮਬਿੰਗ
ଡି-ଫାଟିସ୍ |,ਡੀ-ਜ਼ੋਰ
ଡିଫଲ୍ଟ |,ਮੂਲ
ଗୁଣବତ୍ତାରେ ତ୍ରୁଟି |,ਗੁਣਵੱਤਾ ਵਿੱਚ ਨੁਕਸ
ତ୍ରୁଟିଯୁକ୍ତ,ਨੁਕਸਦਾਰ
ତ୍ରୁଟିପୂର୍ଣ୍ଣ ଏକକ,ਨੁਕਸ ਇਕਾਈ
ସଂଜ୍ଞା,ਪਰਿਭਾਸ਼ਾ
ଡିସଲେନେକସନ |,ਘਟੀ
ବିକଳାଙ୍ଗ,ਵਿਗਾੜਨਾ
ନବିଣ୍ଡେସନ୍,ਡੀਫ੍ਰੇਸ਼ਨੇਸ਼ਨ
ଡି-ଗସିଂ କୋଇଲ୍ |,ਡੀ-ਮੈਨਿੰਗ ਕੋਇਲ
ଡିଗ୍ରୀ,ਡਿਗਰੀ
ଡି-ଇଣ୍ଟରଲିଭେଭର |,ਡੀ-ਇੰਟਰਲੇਵਰ
ବିଳମ୍ବ ରେଖା,ਦੇਰੀ ਲਾਈਨ
ବିଳମ୍ବ ସମୟ,ਦੇਰੀ ਦਾ ਸਮਾਂ
ବିଳମ୍ବିତ ଫ୍ରେମ୍ ମେମୋରୀ |,ਫਰੇਮ ਮੈਮੋਰੀ ਦੇਰੀ ਨਾਲ
ବିଳମ୍ବିତ ସ୍କାନିଂ |,ਦੇਰੀ ਸਕੈਨਿੰਗ
ବିଳମ୍ବିତ ସିଙ୍କ୍ରୋନାଇଜେସନ୍ ସିଗନାଲ୍ |,ਦੇਰੀ ਨਾਲ ਸਿੰਕ੍ਰੋਨਾਈਜ਼ੇਸ਼ਨ ਸਿਗਨਲ
ବିତରଣ,ਡਿਲਿਵਰੀ
ବିତରଣ ବ୍ୟବସ୍ଥା,ਡਿਲਿਵਰੀ ਸਿਸਟਮ
ଡେମୋଡୁଲେସନ୍,ਮੁਆਵਜ਼ਾ
ଡେମୋଡୁଲେଟର କାର୍ଡ |,ਡੈਮੋੂਲੇਟਰ ਕਾਰਡ
Demultipleter,ਡੈਮਟਲਿਪਰ
କ୍ଷେତ୍ରର ଗଭୀରତା |,ਫੀਲਡ ਦੀ ਡੂੰਘਾਈ
ଅବତରଣ,ਉਤਰਦਾ
ଡିଜାଇନ୍ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ,ਡਿਜ਼ਾਇਨ ਨਿਰਧਾਰਨ
ଡେସ୍କଟପ,ਡੈਸਕਟਾਪ
ଡିଟ୍ଟର୍ ଆଉଟପୁଟ୍,ਡਿਟੈਕਟਰ ਆਉਟਪੁੱਟ
ବ୍ୟତିକ୍ରମ,ਭਟਕਣਾ
ଉପକରଣ,ਜੰਤਰ
ଉପକରଣ ଡ୍ରାଇଭର |,ਡਿਵਾਈਸ ਡਰਾਈਵਰ
ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |,ਨਿਦਾਨ
ଚିତ୍ର,ਚਿੱਤਰ
ସଂଳାପ ଟ୍ରାକ୍ |,ਵਾਰਤਾਲਾਪ ਟਰੈਕ
ଡାଇମେଟ୍ରାଲ୍ ମୋଡ୍ |,ਡੁਬਨੇਲ ਮੋਡ
ହୀରା ଷ୍ଟାଇଲସ୍ |,ਡਾਇਮੰਡ ਸਟਾਈਲਸ
ଡାଇଫ୍ରାଗମ୍ |,ਡਾਇਆਫ੍ਰਾਮ
ଡାଇଫ୍ରାଗମେଟିକ୍ ଶୋଷକ |,ਡੁਫਰਾਗਮੇਟਿਕ ਜਜ਼ਬ
ଡିକଟିକ୍ ଶୁଣିବା |,ਡਿਚੋਟਿਕ ਸੁਣਨਾ
DiWeLictericorick,ਡਾਈਡੈਕਟਿਕ
Divelostic Brock- ତଳକୁ |,ਡਾਈਡੈਕਟ੍ਰਿਕ ਟੁੱਟਣਾ
Divelostic କ୍ଷତି |,ਡਾਈਡੈਕਟ੍ਰਿਕ ਨੁਕਸਾਨ
ପାର୍ଥକ୍ୟ ଫ୍ରିକ୍ୱେନ୍ସି |,ਅੰਤਰ ਦੀ ਬਾਰੰਬਾਰਤਾ
ପାର୍ଥକ୍ୟ ଫ୍ରିକ୍ୱେନ୍ସି ବିକୃତି (DFD),ਅੰਤਰ ਬਾਰੰਬਾਰਤਾ ਵਿਗਾੜ (ਡੀਐਫਡੀ)
ପାର୍ଥକ୍ୟ ସ୍ୱର୍ଣ୍ଣ |,ਅੰਤਰ ਟੋਨ
ଭିନ୍ନ ଭିନ୍ନ ଏମ୍ପ୍ଲିଫାୟର୍ |,ਵੱਖਰਾ ਐਂਪਲੀਫਾਇਰ
ଭିନ୍ନ,ਵੱਖਰਾ
ଭିନ୍ନ,ਵੱਖਰੇ ਲਾਭਕਾਰ
ଅଙ୍କ,ਅੰਕ
ଡିଜିଟାଲ୍ |,ਡਿਜੀਟਲ
ଡିଜିଟାଲ୍ କଳାକୃତି |,ਡਿਜੀਟਲ ਆਰਟੀਫੈਕਟ
ଡିଜିଟାଲ୍ ଅଡିଓ |,ਡਿਜੀਟਲ ਆਡੀਓ
ଡିଜିଟାଲ୍ ଅଡିଓ ଫିଲ୍ଟର |,ਡਿਜੀਟਲ ਆਡੀਓ ਫਿਲਟਰ
ଡିଜିଟାଲ୍ ଅଡିଓ କାର୍ଯ୍ୟ ଷ୍ଟେସନ୍ |,ਡਿਜੀਟਲ ਆਡੀਓ ਵਰਕ ਸਟੇਸ਼ਨ
ଡିଜିଟାଲ୍ କ୍ୟାମେରା,ਡਿਜ਼ੀਟਲ ਕੈਮਰਾ
ଡିଜିଟାଲ୍ କମ୍ପ୍ୟୁଟର |,ਡਿਜੀਟਲ ਕੰਪਿਟਰ
ଡିଜିଟାଲ୍ ଡାଟା |,ਡਿਜੀਟਲ ਡਾਟਾ
ଡିଜିଟାଲ୍ ଏଡିଟିଂ |,ਡਿਜੀਟਲ ਸੰਪਾਦਨ
ଡିଜିଟାଲ୍ ଉତ୍ତେଜନା |,ਡਿਜੀਟਲ ਐਕਸਟਰ
ଡିଜିଟାଲ୍ ଫିଲ୍ଟର |,ਡਿਜੀਟਲ ਫਿਲਟਰ
ଡିଜିଟାଲ୍ ଫ୍ରେମ୍ ସିଙ୍କ୍ରୋନାଇଜେରିଜର୍ |,ਡਿਜੀਟਲ ਫਰੇਮ ਸਮਕਾਲੀਨ
ଡିଜିଟାଲ୍ ହେରିଟେଜ୍ |,ਡਿਜੀਟਲ ਵਿਰਾਸਤ
ଡିଜିଟାଲ୍ ଇମେଜ୍ |,ਡਿਜੀਟਲ ਚਿੱਤਰ
ଡିଜିଟାଲ୍ ଲାଇବ୍ରେରୀ |,ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ
ଡିଜିଟାଲ୍ ମିଟର |,ਡਿਜੀਟਲ ਮੀਟਰ
ଡିଜିଟାଲ୍ ମୋଡୁଲେସନ୍ |,ਡਿਜੀਟਲ ਮੈਨੂਲੇਸ਼ਨ
ଡିଜିଟାଲ୍ ମଲ୍ଟିପ୍ସକ୍ସ |,ਡਿਜੀਟਲ ਮਲਟੀਪਲੈਕਸ
ଡିଜିଟାଲ୍ ନେଟୱାର୍କ |,ਡਿਜੀਟਲ ਨੈਟਵਰਕ
ଡିଜିଟାଲ୍ ଆଉଟପୁଟ୍ |,ਡਿਜੀਟਲ ਆਉਟਪੁੱਟ
ଡିଜିଟାଲ୍ ପ୍ଲେକ୍ |,ਡਿਜੀਟਲ ਪਲੇਅਬੈਕ
ଡିଜିଟାଲ୍ ରେଡିଓ ମୁଣ୍ଡିଆଲ୍ (DRM),ਡਿਜੀਟਲ ਰੇਡੀਓ ਮੰਡਲਲ (ਡਰੱਮ)
ଡିଜିଟାଲ୍ ରେକର୍ଡିଂ |,ਡਿਜੀਟਲ ਰਿਕਾਰਡਿੰਗ
ଡିଜିଟାଲ୍ ବିପ୍ଳବ |,ਡਿਜੀਟਲ ਇਨਕਲਾਬ
ଡିଜିଟାଲ୍ ସିଗନାଲ୍ |,ਡਿਜੀਟਲ ਸਿਗਨਲ
ଡିଜିଟାଲ୍ ସିଗନାଲ୍ ପ୍ରକ୍ରିୟାକରଣ (DSP),ਡਿਜੀਟਲ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ (ਡੀਐਸਪੀ)
ଡିଜିଟାଲ୍ ଦସ୍ତଖତ |,ਡਿਜੀਟਲ ਦਸਤਖਤ
ଡିଜିଟାଲ୍ ଟେକ୍ନୋଲୋଜି |,ਡਿਜੀਟਲ ਟੈਕਨੋਲੋਜੀ
ଆନାଗଲ୍ କନଭର୍ଟର ପାଇଁ ଡିଜିଟାଲ୍ |,ਐਨਾਲਾਗ ਪਰਿਵਰਤਕ ਲਈ ਡਿਜੀਟਲ
ଡିଜିଟାଲ୍ ଭିଡିଓ |,ਡਿਜੀਟਲ ਵੀਡੀਓ
ଡିଜିଟାଲ୍ ଭୋଲ୍ଟୋମିଟର |,ਡਿਜੀਟਲ ਵੋਲਟਮੀਟਰ
ଡିଜିଟାଲ୍ାଇଜେସନ୍ |,ਡਿਜੀਟਲਾਈਜ਼ੇਸ਼ਨ
ଡିଜିଟାଇଜେସନ୍,ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ
ଡିଜିଟାଇଜଡ୍ ଭିଡିଓ |,ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ
ଅଗ୍ରଗାମୀ,ਡਿਡੀਕਿਜ਼ਰ
ଅନ୍ଧ,ਮੱਧਮ
ପରିମାପ,ਮਾਪ
ଡିମର୍,ਮੱਧਮ
ଡାୟୋଡ୍,Dieode
ବୁଡ଼ାନ୍ତୁ |,ਡੁਬੋ
Dlixer,ਡੀਪਲੈਕਸਰ
ଡିପୋଲ୍ ଆଣ୍ଟେନା |,ਡਿਪੋਲ ਐਂਟੀਨਾ
ସିଧାସଳଖ ପ୍ରସାରଣ,ਸਿੱਧਾ ਪ੍ਰਸਾਰਣ
ସିଧାସଳଖ ସାମ୍ପ୍ରତିକ (D c),ਸਿੱਧੇ ਮੌਜੂਦਾ (ਡੀ ਸੀ)
ସିଧାସଳଖ ଉଠାଇବା,ਸਿੱਧੀ ਪਿਕ ਅਪ
ସିଧାସଳଖ ପଠନ ଉପକରଣ |,ਸਿੱਧਾ ਪੜ੍ਹਨ ਦਾ ਸਾਧਨ
ସିଧାସଳଖ ରେକର୍ଡିଂ |,ਸਿੱਧੀ ਰਿਕਾਰਡਿੰਗ
ଦିଗଦର୍ଶନ ଆଣ୍ଟେନା |,ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ
ଦିଗଦର୍ଶନ କପଟ,ਦਿਸ਼ਾ ਨਿਰਦੇਸ਼ਕ
ଦିଗଦର୍ଶନ ମାଇକ୍ରୋଫୋନ୍ |,ਦਿਸ਼ਾਵੀ ਮਾਈਕ੍ਰੋਫੋਨ
ନିର୍ଦ୍ଦେଶନାପତି,ਡਾਇਰੈਕਟਿਟੀ
ଡିରେକ୍ଟୋରୀ,ਡਾਇਰੈਕਟਰੀ
ଅକ୍ଷମ କରନ୍ତୁ |,ਅਯੋਗ
ଡିସ୍କ ଆଣ୍ଟେନା |,ਡਿਸਕ ਐਂਟੀਨਾ
ଡିସ୍କ ଆଧାରିତ ଷ୍ଟୋରେଜ୍ |,ਅਸਾਤ ਸਟੋਰੇਜ
ପ୍ରତିରୋଧ,ਵੱਖਰਾ
ଡିସ୍କ,ਡਿਸਕ
ଡିସ୍କ ଡ୍ରାଇଭ,ਡਿਸਕ ਡਰਾਈਵ
ଡିସ୍କ କୋଟା,ਡਿਸਕ ਕੋਟਾ
ଡିସ୍କେଟ୍,ਡਿਸਕੀਟ
ସ୍ଥାନାନ୍ତର,ਉਜਾੜਾ
ବିଚ୍ଛେଦ,ਫੈਲਾਅ
ବିସ୍ଥାପନ,ਉਜਾੜਾ
ପ୍ରଦର୍ଶନ,ਡਿਸਪਲੇਅ
ପ୍ରଦର୍ଶନ ୟୁନିଟ୍ (କନସୋଲ୍),ਡਿਸਪਲੇਅ ਯੂਨਿਟ (ਕਨਸੋਲ)
ରୂପାନ୍ତର,ਵਿਗਾੜ
