Tamil,Bengali
டிஜிட்டல் சுற்று,ডিজিটাল সার্কিট
டிஜிட்டல் கணினி,ডিজিটাল কম্পিউটার
டிஜிட்டல் தரவு,ডিজিটাল তথ্য
டிஜிட்டல் வசதி,ডিজিটাল সুবিধা
டிஜிட்டல் வடிகட்டி,ডিজিটাল ফিল্টার
டிஜிட்டல் நூலகம்,ডিজিটাল লাইব্রেরি
டிஜிட்டல் பண்பேற்றம்,ডিজিটাল মড্যুলেশন
டிஜிட்டல் மானிட்டர்,ডিজিটাল মনিটর
டிஜிட்டல் படம்,ডিজিটাল ছবি
டிஜிட்டல் கையொப்பம்,ডিজিটাল স্বাক্ষর
டிஜிட்டல் சுவிட்ச்,ডিজিটাল সুইচ
டிஜிட்டல் முதல் அனலாக் (D/A) மாற்றி,ডিজিটাল থেকে এনালগ (D/A) রূপান্তরকারী
டிஜிட்டல் மயமாக்கல்,ডিজিটাইজেশন
இலக்கமாக்கு,ডিজিটাইজ করা
இலக்கமாக்கி,ডিজিটাইজার
டையோடு,ডায়োড
நேரடி,সরাসরি
நேரடி முகவரி,সরাসরি ঠিকানা
நேரடி மாற்றம்,সরাসরি রূপান্তর
நேரடி இணைப்பு,সরাসরি সংযোগ
நேரடி நினைவக அணுகல் (DMA),সরাসরি মেমরি অ্যাক্সেস (DMA)
நேரடி நினைவக அணுகல் (DMA),সরাসরি মেমরি অ্যাক্সেস (DMA)
நேரடி முறை,সরাসরি পদ্ধতি
உத்தரவு,নির্দেশ
அடைவு,ডিরেক্টরি
அடைவு சேவையகம்,ডিরেক্টরি সার্ভার
அடைவு சேவை,ডিরেক্টরি সেবা
முடக்கு,নিষ্ক্রিয়
சமிக்ஞையை முடக்குகிறது,অক্ষম সংকেত
துண்டிக்கவும்,সংযোগ বিচ্ছিন্ন
தனித்தனி,বিযুক্ত
வட்டு,ডিস্ক
வட்டு முகவரி,ডিস্ক ঠিকানা
வட்டு வரிசை,ডিস্ক অ্যারে
வட்டு திறன்,ডিস্ক ক্ষমতা
வட்டு இயக்கி,তথ্য ধারণ করে যে চাকতি
வட்டு கோப்பு,ডিস্ক ফাইল
வட்டு நினைவகம்,ডিস্ক মেমরি
வட்டு இயக்க முறைமை (DOS),ডিস্ক অপারেটিং সিস্টেম (DOS)
வட்டு தொகுப்பு,ডিস্ক প্যাক
வட்டு சேவையகம்,ডিস্ক সার্ভার
வட்டு சேமிப்பு,ডিস্ক স্টোরেজ
வட்டு,ডিস্কেট
காட்சி கோப்பு,প্রদর্শন ফাইল
காட்சி படத்தை,প্রদর্শন চিত্র
அகற்றல்,নিষ্পত্তি
தூரம்,দূরত্ব
தூர செயல்பாடு,দূরত্ব ফাংশন
திரித்தல்,বিকৃতি
விநியோகிக்கப்பட்டது,বিতরণ করা
விநியோகிக்கப்பட்ட தரவு,বিতরণ করা তথ্য
விநியோகிக்கப்பட்ட சேவையகம்,বিতরণ করা সার্ভার
விநியோகிக்கப்பட்ட அமைப்பு,বিতরণ ব্যবস্থা
விநியோகிக்கக்கூடிய,বিতরণকারী
ஆவணம்,নথি
ஆவணம் மீட்டெடுக்கப்பட்டது,নথি উদ্ধার করা হয়েছে
ஆவண சாளரம்,নথি উইন্ডো
ஆவணங்கள்,ডকুমেন্টেশন
களம்,ডোমেইন
டொமைன் பெயர்,ডোমেন নাম
டாட் மேட்ரிக்ஸ் பிரிண்டர்,ডট ম্যাট্রিক্স প্রিন্টার
கீழ்,নিচে
கீழ் இணைப்பு,ডাউন লিঙ্ক
பதிவிறக்கம்,ডাউন লোড হচ্ছে
செயலற்ற நேரம்,ডাউন সময়
இழுத்தல்,টেনে আনা
DRAM (டைனமிக் ரேம்),DRAM (গতিশীল RAM)
சறுக்கல்,প্রবাহ
இயக்கி,ড্রাইভার
கைவிட,ড্রপ
கீழ்தோன்றும் பட்டியல் பெட்டி,ড্রপ ডাউন তালিকা বাক্স
டிரம் டிரைவ்,ড্রাম ড্রাইভ
டிரம் பிரிண்டர்,ড্রাম প্রিন্টার
டிரம் அலகு,ড্রাম ইউনিট
இரட்டை,দ্বৈত
இரட்டை அடர்த்தி,দ্বৈত ঘনত্ব
போலி முகவரி,ডামি ঠিকানা
திணிப்பு,ডাম্প
இரட்டை சுற்று,ডুপ্লেক্স সার্কিট
டூப்ளெக்சிங்,ডুপ্লেক্সিং
நகல்,নকল
டிவிடி ஆர்/டபிள்யூ,ডিভিডি R/W
டிவிடி ரோம்,ডিভিডি রম
மாறும் அறிவுறுத்தல்,গতিশীল নির্দেশ
மாறும் நினைவகம்,গতিশীল মেমরি
இயக்கவியல்,গতিবিদ্যা
EBCDIC,ইবিসিডিআইসি
மின் வணிகம்,ই-ব্যবসা
எதிரொலி,প্রতিধ্বনি
மின் வணிகம்,ই-কমার্স
தொகு,সম্পাদনা
ஆசிரியர்,সম্পাদক
கல்வி தொழில்நுட்பம்,শিক্ষাবিষয়ক প্রযুক্তি
EEP ரோம்,ইইপি রম
பயனுள்ள முகவரி (மிதக்கும் முகவரி),কার্যকর ঠিকানা (ভাসমান ঠিকানা)
பயனுள்ள செயல்பாட்டு முகவரி,কার্যকর অপারেন্ড ঠিকানা
பயனுள்ள செயல்முறை,কার্যকর পদ্ধতি
பயனுள்ள UID (பயனர் அடையாளம்),কার্যকর ইউআইডি (ব্যবহারকারী সনাক্তকরণ)
பயனுள்ள பரிமாற்ற செயல்பாடு,কার্যকরী ট্রান্সমিশন অপারেন্ড
எட்டு பிட் பைட்,আট-বিট বাইট
மின் கற்றல்,ই-লার্নিং
தேர்தல்-அல்கிரிதம்,নির্বাচন-সংলগ্নতা
மின் அஞ்சல் (மின்னஞ்சல்),বৈদ্যুতিক মেইলিং (ই-মেইল)
மின்சார அச்சுப்பொறி,বৈদ্যুতিক প্রিন্টার
மின் கணக்கியல் இயந்திரம்,বৈদ্যুতিক অ্যাকাউন্টিং মেশিন
மின்னணு,বৈদ্যুতিক
மின்னணு அனுமதி அமைப்பு (ECS),ইলেকট্রনিক ক্লিয়ারেন্স সিস্টেম (ECS)
மின்னணு தரவு பரிமாற்றம் (EDI),ইলেকট্রনিক ডেটা ইন্টারচেঞ্জ (EDI)
மின்னணு தரவு செயலாக்கம்,ইলেকট্রনিক তথ্য প্রক্রিয়াকরণ
மின்னணு தாக்கல்,ইলেকট্রনিক ফাইলিং
மின்னணு நிதி பரிமாற்ற அமைப்பு (EFTS),ইলেকট্রনিক ফান্ড ট্রান্সফার সিস্টেম (EFTS)
மின்னணு இதழ்கள்,ইলেকট্রনিক জার্নাল
மின்னணு வெளியீடு,ইলেকট্রনিক প্রকাশনা
மின்னணு சுவிட்ச்,ইলেকট্রনিক সুইচ
உறுப்பு,উপাদান
மின்னஞ்சல்,ই-মেইল
மின்னஞ்சல் முகவரி,ই-মেইল ঠিকানা
உட்பொதிக்கப்பட்ட அமைப்பு,এমবেডেড সিস্টেম
உட்பொதித்தல்,এমবেডিং
உமிழ்ப்பான் ஜோடி தர்க்கம் (ECL),ইমিটার কাপল লজিক (ইসিএল)
வெற்று அடுக்கு,খালি স্ট্যাক
வெற்று சரம்,খালি স্ট্রিং
முன்மாதிரி,অনুকরণ
அடைப்பு,encapsulation
குறியாக்கி,এনসিফার
குறியாக்கம்,এনকোড
குறியாக்கி,এনকোডার
மறைகுறியாக்கப்பட்ட தரவு,এনক্রিপ্ট করা তথ্য
என்கிரிப்ட் கோப்பு முறைமை,এনক্রিপ্টিং ফাইল সিস্টেম
குறியாக்கம்,জোড়া লাগানো
தொகுதியின் முடிவு,ব্লকের শেষ
கோப்பின் முடிவு (EOF),ফাইলের শেষ (EOF)
கடைசி பயனாளி,শেষ ব্যবহারকারী
நுழைய,প্রবেশ করা
நுழைவு விசை,এন্টার কী
நிறுவன சேவையகம்,এন্টারপ্রাইজ সার্ভার
நிறுவன அமைப்பு,এন্টারপ্রাইজ সিস্টেম
நிறுவனம்,সত্তা
நிறுவனம்-உறவு,সত্তা-সম্পর্ক
நுழைவு நேரம்,প্রবেশের সময়
நுழைவு மாறி,এন্ট্রি ভেরিয়েবল
எண்ணத்தக்க,গণনাযোগ্য
சூழல்,পরিবেশ
சகாப்தம்,যুগ
EPROM,EPROM
எப்சிலன் மூடல்,epsilon বন্ধ
சமநிலைப்படுத்தி,সমানকারী
உபகரணங்கள்,সরঞ্জাম
சமநிலை வகுப்பு,সমতা শ্রেণী
சமமான உறவு,সমতা সম্পর্ক
அழிக்க,মুছে ফেলা
பிழை திருத்தும் குறியீடு,ত্রুটি সংশোধন কোড
பிழை திருத்தம்,ত্রুটি সংশোধন
பிழை கண்டறிதல்,ত্রুটি সনাক্তকরণ
பிழை கையாளுதல்,শিল্প খাত
பிழை செய்தி,ভুল বার্তা
பிழை விகிதம்,ত্রুটি হার
பிழை மீட்பு,ত্রুটি পুনরুদ্ধার
பிழை வழக்கமான,ত্রুটির রুটিন
தப்பிக்கும் தன்மை,পালাবার চরিত্র
ஈதர்நெட்,ইথারনেট
நிகழ்வு,ঘটনা
நிகழ்வு சங்கிலி,ইভেন্ট চেইন
நிகழ்வு கட்டுப்பாடு,ঘটনা নিয়ন্ত্রণ
நிகழ்வு கவுண்டர்,ইভেন্ট কাউন্টার
விதிவிலக்கு கையாளுதல்,ব্যতিক্রম হ্যান্ডলিং
பரிமாற்றக்கூடிய வட்டு சேமிப்பு,বিনিময়যোগ্য ডিস্ক স্টোরেজ
விலக்குதல்,বর্জন
பிரத்தியேக அல்லது (XOR),একচেটিয়া বা (XOR)
இயங்கக்கூடிய நிரல்,এক্সিকিউটেবল প্রোগ্রাম
நிர்வாக அறிக்கை,নির্বাহী বিবৃতি
முழுமையான தேடல்,সম্পূর্ণ অনুসন্ধান
உள்ளன,বিদ্যমান
வெளியேறு,প্রস্থান
நிபுணர் அமைப்பு,দক্ষ পদ্ধতি
வெளிப்பாடு,অভিব্যক্তি
நீட்டிக்கப்பட்ட வரைகலை வரிசை (XGA),বর্ধিত গ্রাফিক অ্যারে (XGA)
விரிவாக்கப்பட்ட தொழில் தரநிலை (EIS),বর্ধিত শিল্প মান (EIS)
நீட்டிக்கப்பட்ட இயந்திரம்,বর্ধিত মেশিন
நீட்டிக்கப்பட்ட நினைவகம்,বর্ধিত মেমরি
நீட்டிக்கப்பட்ட துல்லியம்,বর্ধিত নির্ভুলতা
நீட்டிக்கப்பட்ட வரிசையாக்கம்,বর্ধিত বাছাই
வெளிப்புற அழைப்பு,বাহ্যিক কল
வெளிப்புற பிழை,বাহ্যিক ত্রুটি
வெளிப்புற செயல்பாடு,বাহ্যিক ফাংশন
வெளிப்புற குறுக்கீடு,বাহ্যিক বাধা
வெளிப்புற நினைவகம்,বাহ্যিক স্মৃতি
வெளிப்புற நினைவகம்,বাহ্যিক স্মৃতি
வெளிப்புற மோடம்,বাহ্যিক মডেম
வெளிப்புற குறிப்பு,বাহ্যিক রেফারেন্স
வெளிப்புற தேடல்,বাহ্যিক অনুসন্ধান
வெளிப்புற சேமிப்பக சாதனம்,বাহ্যিক স্টোরেজ ডিভাইস
பிரித்தெடுத்தல்,নিষ্কাশন
எக்ஸ்ட்ராபோலேஷன்,এক্সট্রাপোলেশন
முக எழுத்து அச்சுப்பொறி,মুখ-চরিত্রের প্রিন্টার
தோல்வி-பாதுகாப்பான செயல்பாடு,ব্যর্থ-নিরাপদ অপারেশন
தோல்வி விகிதம்,ব্যর্থতার হার
தோல்வி மீட்பு,ব্যর্থতা পুনরুদ্ধার
தவறான குறியீடு,মিথ্যা কোড
தவறான பிழை,মিথ্যা ত্রুটি
ரசிகர்-இன்,ফ্যান-ইন
ரசிகர்-அவுட்,ফ্যান-আউট
பாசிமைல் I/O சாதனம்,ফ্যাসিমাইল I/O ডিভাইস
வேகமான நான்கு உருமாற்றம் (FFT),ফাস্ট ফোরিয়ার ট্রান্সফর্ম (FFT)
கொடிய பிழை,মারাত্মক ত্রুটি
தவறு கண்டறிதல்,ত্রুটি সনাক্তকরণ
தவறு கண்டறிதல்,ত্রুটি নির্ণয়
தவறு சகிப்புத்தன்மை,দোষ সহনশীলতা
தொலைநகல்,ফ্যাক্স
தொலைநகல் செய்தி,ফ্যাক্স বার্তা
FDC,এফডিসি
அம்சம் கண்டறிதல்,বৈশিষ্ট্য সনাক্তকরণ
உணவு சுழற்சி,ফিড চক্র
பின்னூட்டம்,প্রতিক্রিয়া
ஊட்டி,ফিডার
எடுக்க,আনা
ஃபைபோனச்சி தேடல்,ফিবোনাচি অনুসন্ধান
ஃபைபோனச்சி வரிசை,ফিবোনাচি ক্রম
ஃபைபோனச்சி தொடர்,ফিবোনাচি সিরিজ
ஃபைபர் ஆப்டிக்ஸ்,ফাইবার অপটিক
fido net,ফিডো নেট
களம்,ক্ষেত্র
ஐந்தாம் தலைமுறை கணினிகள்,পঞ্চম প্রজন্মের কম্পিউটার
கோப்பு,ফাইল
கோப்பு அணுகல் முறை,ফাইল অ্যাক্সেস পদ্ধতি
கோப்பு ஒதுக்கீடு அட்டவணை,ফাইল বরাদ্দ টেবিল
கோப்பு சுருக்கம்,ফাইল কম্প্রেশন
கோப்பு நகலெடுக்கிறது,ফাইল কপি করা
கோப்பு தளவமைப்பு,ফাইল বিন্যাস
கோப்பு ஒன்றிணைத்தல்,ফাইল মার্জ
கோப்பு மீட்பு,ফাইল পুনরুদ্ধার
கோப்பு சேமிப்பு,ফাইল স্টোরেজ
கோப்பு அமைப்பு,ফাইল গঠন
கோப்பு முறை,নথি ব্যবস্থা
கோப்பு பரிமாற்றம்,ফাইল স্থানান্তর
கோப்பு பரிமாற்ற நெறிமுறை (FTP),ফাইল ট্রান্সফার প্রোটোকল (FTP)
வடிகட்டி,ছাঁকনি
இறுதி நிலை,চূড়ান্ত অবস্থা
கண்டுபிடிக்க,অনুসন্ধান
வரையறுக்கப்பட்ட நிலை இயந்திரம்,সসীম রাষ্ট্র মেশিন
தீ சுவர்,আগুন প্রাচীর
நிலைபொருள்,ফার্মওয়্যার
முதலில் வருபவர்களுக்கு முன்னுரிமை,আগে আসলে আগে পাবেন
முதல் தலைமுறை கணினி,প্রথম প্রজন্মের কম্পিউটার
ஃபர்ஸ்ட் இன் ஃபர்ஸ்ட் அவுட் (FIFO),ফার্স্ট ইন ফার্স্ট আউট (ফিফো)
முதல் வரிசை தர்க்கம்,প্রথম আদেশ যুক্তি
முதல் வரிசை கோட்பாடு,প্রথম আদেশ তত্ত্ব
நிலையான பகிர்வு,স্থির পার্টিশন
கொடி,পতাকা
நெகிழ்வான வட்டு,নমনীয় ডিস্ক
நெகிழ் வட்டு,ফ্লপি ডিস্ক
நெகிழ் வட்டு இயக்கி (Fdd),ফ্লপি ডিস্ক ড্রাইভ (এফডিডি)
ஓட்ட விளக்கப்படம்,ফ্লো চার্ট
கட்டுப்பாட்டு ஓட்டம்,নিয়ন্ত্রণ প্রবাহ
பறிப்பு,ফ্লাশ
கோப்புறை,ফোল্ডার
எழுத்துரு,ফন্ট
எழுத்துரு குடும்பம்,ফন্ট পরিবার
வெளிநாட்டு விசை,বিদেশী চাবি
வடிவம்,ফর্ম
முறையான மொழி,অানুষ্ঠানিক ভাষা
முறையான அமைப்பு,আনুষ্ঠানিক ব্যবস্থা
வடிவம்,বিন্যাস
வடிவமைத்தல்,বিন্যাস
ஃபோர்ட்ரான்,ফরট্রান
fortran நிரலாக்க,ফরট্রান প্রোগ্রামিং
முன்னோக்கி சாய்வு,ফরোয়ার্ড স্ল্যাশ
நான்காம் தலைமுறை கணினி,চতুর্থ প্রজন্মের কম্পিউটার
துண்டு,টুকরা
சட்டகம்,ফ্রেম
இலவச வலை,বিনামূল্যে নেট
இலவச மென்பொருள் அடித்தளம்,ফ্রি সফটওয়্যার ফাউন্ডেশন
இலவச சேமிப்பு,বিনামূল্যে সঞ্চয়স্থান
இலவச மென்பொருள்,বিনামূল্যের
முன் முனை,সামনের অংশ
முன் குழு,সম্মুখ প্যানেল
செயல்பாடு,ফাংশন
செயல்பாட்டு விசை,ফাংশন কী
செயல்பாடு குறிப்பு,ফাংশন রেফারেন্স
செயல்பாட்டு சார்பு,কার্যকরী নির্ভরতা
செயல்பாட்டு சோதனை,কার্যকরী পরীক্ষা
தெளிவற்ற தர்க்கம்,ঝাপসা যুক্তিবিজ্ঞান
தெளிவற்ற தொகுப்பு,ঝাপসা সেট
ஆதாயம்,লাভ করা
விளையாட்டு மரம்,খেলা গাছ
இடைவெளி பாத்திரம்,ফাঁক চরিত্র
குப்பை,আবর্জনা
குப்பை சேகரிப்பு,আবর্জনা সংগ্রহ
குப்பை சேகரிப்பு,আবর্জনা সংগ্রহ
குப்பையில் குப்பை (GIGO),আবর্জনার মধ্যে আবর্জনা আউট (GIGO)
வாயில்,গেট
நுழைவாயில்,প্রবেশপথ
பொது திட்டம்,সাধারণ প্রোগ্রাম
பொது திட்டம்,সাধারণ প্রোগ্রাম
பொது நோக்கம் கணினி,সাধারণ উদ্দেশ্য কম্পিউটার
பொது நோக்கம் கணினி,সাধারণ উদ্দেশ্য কম্পিউটার
பொது பதிவு,সাধারণ রেজিস্টার
பொதுமைப்படுத்தல்,সাধারণীকরণ
பொதுமைப்படுத்தல்,সাধারণীকরণ
பொது நோக்க மொழி,সাধারণ-উদ্দেশ্য ভাষা
பொது நோக்க இயக்க முறைமை,সাধারণ উদ্দেশ্য অপারেটিং সিস্টেম
பொது நோக்கப் பதிவேடு,সাধারণ-উদ্দেশ্য নিবন্ধক
உருவாக்கப்பட்ட பிழை,উৎপন্ন ত্রুটি
செயல்பாடு உருவாக்கும்,উৎপন্ন ফাংশন
பொதுவான வகுப்பு,জেনেরিক ক্লাস
பொதுவான செயல்பாடு,জেনেরিক ফাংশন
பொதுப்பெயர்,জেনেরিক নাম
ஜிகோ,গিগো
உலகளாவிய,বিশ্বব্যাপী
உலகளாவிய குறியீடு,গ্লোবাল কোড
உலகளாவிய பூட்டு,গ্লোবাল লক
உலகளாவிய நெட்வொர்க்,বিশ্বব্যাপী নেটওয়ার্ক
உலகளாவிய நெட்வொர்க்,বিশ্বব্যাপী নেটওয়ার্ক
உலகளாவிய பயனர்,বিশ্বব্যাপী ব্যবহারকারী
உலகளாவிய மாறி,বিশ্ব পরিবর্তনশীল
உலகமயமாக்கல்,বিশ্বায়ন
கோபர்,গোফার
கோபர் வாடிக்கையாளர்,গোফার ক্লায়েন্ট
கோபர் சர்வர்,গোফার সার্ভার
கோபர் தளம்,গোফার সাইট
கோபர் விண்வெளி,গোফার স্থান
அழகான சீரழிவு,সাবলীল পতন
இலக்கண சரிபார்ப்பவர்,ব্যাকরণ পরীক্ষক
இலக்கணம் நேர்த்தியான வெளியேற்றம்,ব্যাকরণ মার্জিত প্রস্থান
பெரும் மொத்தம்,সর্বমোট
வரைபடம்,চিত্রলেখ
வரைபடம் வரைதல்,গ্রাফ প্লটিং
வரைகலை பாத்திரம்,গ্রাফিক চরিত্র
வரைகலை கட்டுப்படுத்தி,গ্রাফিক নিয়ামক
வரைகலை தரவு அமைப்பு,গ্রাফিক তথ্য কাঠামো
வரைகலை காட்சி நிரல்,গ্রাফিক ডিসপ্লে প্রোগ্রাম
கிராஃபிக் காட்சி தீர்மானம்,গ্রাফিক ডিসপ্লে রেজোলিউশন
வரைகலை மொழி,গ্রাফিক ভাষা
வரைகலை மொழி,গ্রাফিক ভাষা
வரைகலை குழு,গ্রাফিক প্যানেল
வரைகலை அனிமேஷன்,গ্রাফিকাল অ্যানিমেশন
வரைகலை இடைமுக வடிவம் (GIF),গ্রাফিক্যাল ইন্টারফেস ফরম্যাট (GIF)
வரைகலை பயனர் இடைமுகம் (GUI),গ্রাফিক্যাল ইউজার ইন্টারফেস (GUI)
கிராபிக்ஸ்,গ্রাফিক্স
கிராபிக்ஸ் பயன்பாடு,গ্রাফিক্স অ্যাপ্লিকেশন
கிராபிக்ஸ் கர்சர்,গ্রাফিক্স কার্সার
கிராபிக்ஸ் முறை,গ্রাফিক্স মোড
கிராபிக்ஸ் தொகுப்பு,গ্রাফিক্স প্যাকেজ
வரைகலை மென்பொருள்,গ্রাফিক্স সফটওয়্যার
வரைகலை மென்பொருள்,গ্রাফিক্স সফটওয়্যার
வரைகலை மென்பொருள் தொகுப்பு,গ্রাফিক্স সফটওয়্যার প্যাকেজ
சாம்பல் அளவு,ধূসর স্কেল
பேராசை முறை,লোভী পদ্ধতি
grep,grep
கட்டம்,গ্রিড
கட்ட விளக்கப்படம்,গ্রিড চার্ট
கட்டம் கம்ப்யூட்டிங்,গ্রিড কম্পিউটিং
கட்டம் பண்பேற்றம்,গ্রিড মড্যুলেশন
தரை அலை,স্থল তরঙ্গ
குழு,দল
குழு முகவரி,গ্রুপ ঠিকানা
குழு குறியீடு,শঙ্ঘবদ্ধ কোড
குழு தொடர்பு,গ্রুপ যোগাযোগ
குழு தொடர்பு,গ্রুপ যোগাযোগ
குழு அடையாளம்,গ্রুপ সনাক্তকরণ
குழு பெயர்,দলের নাম
குழுபொருள்,গ্রুপওয়্যার
வளர்ச்சி,বৃদ্ধি
காவலர்,প্রহরী
வழிகாட்டப்பட்ட ஊடகங்கள்,নির্দেশিত মিডিয়া
துப்பாக்கி சிப்,বন্দুক
ஊடுருவு,টাট্টু
ஹேக்கர்,হ্যাকার
ஹேக்கர் அகராதி,হ্যাকারের অভিধান
அரை சேர்ப்பான்,অর্ধেক যোগকারী
அரை பாலம்,অর্ধেক সেতু
அரை இரட்டை,অর্ধেক দ্বৈত
அரை இரட்டை வரி,হাফ ডুপ্লেক্স লাইন
அரை இரட்டை முறை,হাফ ডুপ্লেক্স মোড
பாதி தீவிரம்,অর্ধেক তীব্রতা
அரை திசைவி,অর্ধেক রাউটার
அரை கழிப்பான்,অর্ধেক বিয়োগকারী
அரை டோனிங்,অর্ধেক টোনিং
அரை வார்த்தை,অর্ধেক শব্দ
வலிமிகுந்த சுழற்சி,বন্ধুত্বপূর্ণ চক্র
ஹாமிங் குறியீடு,হ্যামিং কোড
கை,হাত
கை நகல்,হাত কপি
கைப்பிடி,হাতল
கையாளுதல்,হ্যান্ডলিং
தொங்கும்,স্তব্ধ
மகிழ்ச்சி வலை,সুখী নেট
கடின நகல் சாதனம்,হার্ড কপি ডিভাইস
வன் வட்டு,হার্ড ডিস্ক
ஹார்ட் டிஸ்க் செயலிழப்பு,হার্ড ডিস্ক ক্র্যাশ
கடினமான பிழை,কঠিন ত্রুটি
வன்பொருள் ஓட்டம் கட்டுப்பாடு,হার্ডওয়্যার প্রবাহ নিয়ন্ত্রণ
இசைவான,সুরেলা
ஹார்மோனிக் சராசரி,সুরেলা গড়
ஹாஷ்,হ্যাশ
ஹாஷ் வரைபடம்,হ্যাশ ডায়াগ্রাম
ஹாஷ் அட்டவணை,হ্যাশ টেবিল
ஹாஷிங் நுட்பம்,হ্যাশিং কৌশল
தலைப்பு,হেডার
குவியல்,গাদা
குவியல் வகை,গাদা সাজানোর
உதவி,সাহায্য
உதவி திரை,সাহায্য পর্দা
ஹெல்ப்நெட்,হেল্পনেট
ஹெர்ட்ஸ்,হার্টজ
ஹூரிஸ்டிக்,হিউরিস্টিক
ஹூரிஸ்டிக் முறை,হিউরিস্টিক পদ্ধতি
பதின்ம எண்கள்,হেক্সাডেসিমেল সংখ্যা
மறைக்கப்பட்ட வரி,লুকানো লাইন
படிநிலை தரவு தளம்,অনুক্রমিক ডেটা বেস
படிநிலை கோப்பு முறைமை,অনুক্রমিক ফাইল সিস্টেম
படிநிலை நிலப்பரப்பு,অনুক্রমিক টপোগ্রাফি
உயர் மட்ட மொழி,উচ্চ স্তরের ভাষা
அதிக நினைவக பகுதி,উচ্চ মেমরি এলাকা
உயர் செயல்திறன்,উচ্চ পারদর্শিতা
தாக்கியது,আঘাত
வீதம்,লক্ষ্যভেদ হার
வெற்றி விகிதம்,আক্রমণ অনুপাত
துளை,গর্ত
முகப்பு அடைவு,হোম ডিরেক্টরি
முகப்பு பக்கம்,হোম পেজ
ஒரே மாதிரியான ஒருங்கிணைப்பு,সমজাতীয় স্থানাঙ্ক
ஹாப்,খোঁড়ান
ஹாப் எண்ணிக்கை,হপ গণনা
கொம்பு,শিং
ஹோஸ்ட் கணினி,হোস্ট কম্পিউটার
ஹோஸ்ட் கணினி,হোস্ট কম্পিউটার
புரவலன் மொழி,হোস্ট ভাষা
சூடான சாவி,গরম চাবি
ஹைப்பர் டெக்ஸ்ட் மார்க்அப் மொழி (HTML),হাইপার টেক্সট মার্কআপ ভাষা (HTML)
கருதுகோள்,অনুমান
நான் போட்,আমি পোদ
I/O தாங்கல்,I/O বাফার
I/O போர்ட்,I/O পোর্ট
I/O அலகு,I/O ইউনিট
அடையாளங்காட்டி,শনাক্তকারী
அடையாளம்,পরিচয়
படம்,ইমেজ
பட சென்சார்,ছবি সনাক্তকারী যন্ত্র
தாக்க அச்சுப்பொறி,প্রভাব প্রিন্টার
தடை,প্রতিবন্ধকতা
கட்டாய நிரல் மொழி,অপরিহার্য প্রোগ্রাম ভাষা
கட்டாய அறிக்கை,অপরিহার্য বিবৃতি
மறைமுக முகவரி,অন্তর্নিহিত ঠিকানা
சாத்தியமற்ற நிகழ்வு,অসম্ভব ঘটনা
செயலற்ற முனை,নিষ্ক্রিয় নোড
முரண்பாடு,অসঙ্গতি
அதிகரிப்பு,বৃদ্ধি
குறியீட்டு,সূচক
குறியீட்டு தரவு உருப்படி,সূচক ডেটা আইটেম
குறியீட்டு கோப்பு,ইনডেক্স ফাইল
குறியீட்டு பதிவு,সূচক রেজিস্টার
குறியீட்டு வரிசை,সূচক অনুক্রমিক
குறியிடப்பட்ட முகவரி,সূচিবদ্ধ ঠিকানা
குறியிடப்பட்ட மொழி,সূচিবদ্ধ ভাষা
அட்டவணைப்படுத்தப்பட்ட வரிசை கோப்பு,ইনডেক্সড সিকোয়েন্স ফাইল
அட்டவணைப்படுத்தப்பட்ட வரிசைமுறை sccess முறை (ISAM),সূচীকৃত অনুক্রমিক স্কেস পদ্ধতি (ISAM)
மறைமுக முகவரி,পরোক্ষ সম্বোধন
தகவலியல்,তথ্যবিদ্যা
தகவல்,তথ্য
தகவல் பிட்,তথ্য বিট
தகவல் மேலாண்மை,তথ্য ব্যবস্থাপনা
தகவல் மேலாண்மை அமைப்பு (IMS),তথ্য ব্যবস্থাপনা সিস্টেম (IMS)
தகவல் மீட்பு,তথ্য আহরণ
தகவல் அமைப்பு,তথ্য পদ্ধতি
தகவல் தொழில்நுட்பம் (IT),তথ্য প্রযুক্তি (আইটি)
உள்கட்டமைப்பு மேலாண்மை,অবকাঠামো ব্যবস্থাপনা
பரம்பரை,উত্তরাধিকার
பரம்பரை பிழை,উত্তরাধিকারসূত্রে প্রাপ্ত ত্রুটি
ஆரம்ப,প্রাথমিক
ஆரம்ப முகவரி,প্রাথমিক ঠিকানা
ஆரம்ப நிலை,প্রারম্ভিক অবস্থা
துவக்கம்,আরম্ভ
மை ஜெட் அச்சுப்பொறி,ইঙ্কজেট প্রিন্টার
எண்ணிலடங்கா,অসংখ্য
நான் முனை அட்டவணை,i-নোড টেবিল
செயல்பட முடியாத நேரம்,অকার্যকর সময়
உள்ளீடு தாங்கல் பதிவு,ইনপুট বাফার রেজিস্টার
உள்ளீட்டு வெளியீட்டு செயலி (I/O செயலி),ইনপুট আউটপুট প্রসেসর (I/O প্রসেসর)
உள்ளீடு வெளியீடு பதிவு (I/O பதிவு),ইনপুট আউটপুট রেজিস্টার (I/O রেজিস্টার)
உள்ளீட்டு வெளியீட்டு அறிக்கை (I/O அறிக்கை),ইনপুট আউটপুট বিবৃতি (I/O বিবৃতি)
உள்ளீடு/வெளியீடு (I/O),ইনপুট/আউটপুট (I/O)
உள்ளீடு/வெளியீடு இடையக (I/O இடையக),ইনপুট/আউটপুট বাফার (I/O বাফার)
