Kannada,English
1. ಸೈಟೋಮಿಯರ್ 2. ಕೋಶ ವಿಭಜನೆ,cytomere
ಸೈಟೋಪ್ಲಾಸಂ,cytoplasm
1. ಡೈರಿ 2. ಡೈರಿ,dairy
ಡೈರಿ ಉದ್ಯಮ,dairying
1. ಅಣೆಕಟ್ಟು 2. ತಳಿಗಾರ,dam
ದಿನ ಸಂಪೂರ್ಣ ಸಸ್ಯ,day-neutral
ಹೂಬಿಡುವ ನಂತರ ದಿನ,days after flowering
ಪೂರ್ಣ ಹೂಬಿಡುವ ನಂತರ ದಿನ,days after full bloom
ಅಸಮರ್ಥತೆ,deblossoming
ಡಿಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್,decalcification
1. ಹೊರಹಾಕು 2. ಹೊರಹಾಕು,decant
ಕೊಳೆತ,decay
ಪತನಶೀಲ,deciduous
1. ದಶಮಾಂಶ 2. ದಶಮಾಂಶ,decimal
ಕೀಳರಿಮೆ,deficiency
ಅನುರಾನ್ (ಮಣ್ಣು),deflocculation (soil)
ವಿಪುಷ್ಪನ್,defloration
ಬಿಲ್ಲಿಂಗ್,defoliation
ಅರಣ್ಯನಾಶ,deforestation
ಅವಮಾನ,degeneration
ಅವನತಿ,degradation
ಭಾಗ ದಿನ,degree days
1. ಪ್ರಮಾಣ 2. ಭಾಗ,degree
ಅಳಿವು,dehiscence
ಹೊಟ್ಟು ತೆಗೆಯುವುದು,dehulling
ಹೊಟ್ಟು ತೆಗೆಯುವುದು,dehusking
ನಿರ್ಜಲೀಕರಣ,dehydration
ಜಲರಹಿತ,dehydrator
ಬೇಡಿಕೆ,demand
1. ಡಿನಾಟರೇಶನ್ 2. ಗುಣಾಕಾರ,denaturation
ನಿಂದನೆ,denudation
1. ಠೇವಣಿ (ಮಣ್ಣು) 2. ಠೇವಣಿ (ಅರ್ಥಶಾಸ್ತ್ರ),deposit
ಠೇವಣಿ,deposition
1. ಸವಕಳಿ 2. ಸವಕಳಿ,depreciation
ನಿರ್ಲವಣೀಕರಣ,desalinization
1. ನೀರು ಒಣಗಿಸುವುದು 2. ನಿರ್ಜಲೀಕರಣ,desiccation
1. ವಿನ್ಯಾಸ 2. ವಿನ್ಯಾಸ,design
ಒಣ,dessicator
ಕರ್ನಲ್ ತೆಗೆಯುವಿಕೆ,destoning
ಡಿ-ಇಂಟರ್ಕಲೇಶನ್,desuckering
ಸಂಯೋಗ,desynapsis
1. ಗಂಡು ಮಂಜರಿ ಉದ್ಧರಣ (ಮೆಕ್ಕೆಜೋಳ) 2. ಬಲ್ಲರ್ ಹೊರತೆಗೆಯುವಿಕೆ,detassel
ಬಲ್ಲರ್ ಅಥವಾ ಕುಂದನ್ ಕತ್ತರಿಸುವುದು,detasseling
ನಿರ್ಣಯಕ,determinant
ಅಪಮೌಲ್ಯೀಕರಣ,devaluation
ಸಸ್ಯರಹಿತ,devegetation
ವಿಚಲನ,deviation
ದುಪ್ಪಟ್ಟು,diad
ರೋಗನಿರ್ಣಯ,diagnosis
ವಿಭಿನ್ನ ಪ್ರಬುದ್ಧತೆ,dichogamy
ಕವಲೊಡೆಯುವಿಕೆ,dichotomy
1. ಡೈಕೋಟಿಲ್ಡನ್ 2. ಡೈಕೋಟಿಲ್ಡನ್ (ಬೀಜ),dicotyledon (seed)
ಬೆನ್ನು ರೋಗ,die back (disease)
1. ಪ್ರಸರಣ 2. ಪ್ರಸರಣ,diffusion
ಜೀರ್ಣಸಾಧ್ಯತೆ,digestibility
ಡೈಹೈಬ್ರಿಡ್,dihybrid
1. ಅಣೆಕಟ್ಟು 2. ಚರಂಡಿ 3. ಕುಟುಂಬ,dike (dyke)
ಅತ್ಯಲ್ಪ,dilute
1. ಏಕಪತ್ನಿ 2. ಏಕಪತ್ನಿ,dioecious
ಡಿಪ್ಲಾಯ್ಡ್,diploid
1. ಡಿಪ್ಲಾಯ್ಡ್ 2. ಡಿಪ್ಲಾಯ್ಡ್,diploid
ದ್ವಿಧ್ರುವಿ,diplonema
1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಬಡ್ ತೆಗೆಯುವಿಕೆ,disbudding
1. ನೇಗಿಲು ಉಳುಮೆ 2. ನೂಲುವ,discing
ರಿಯಾಯಿತಿ,discount
ಸೋಂಕುಗಳೆತ,disinfection
1. ಪ್ರಸರಣ 2. ಸ್ಕ್ಯಾಟರಿಂಗ್,dispersion
1. ಚದುರುವಿಕೆ 2. ವ್ಯತ್ಯಾಸ,dissemination
ವೈವಿಧ್ಯೀಕರಣ,diversification
ವೈವಿಧ್ಯಮಯ ಕೃಷಿ,diversified farming
ಡಿಎನ್ಎ ಹೆಜ್ಜೆ,DNA Ladder
ಡಿಎನ್ಎ ರಿಸೀವರ್,DNA receptor
ಡಾಕ್ ಬಾಡಿಗೆ,dockage
ಪರಿಣಾಮಕಾರಿ,dominant
ಸುಪ್ತಾವಸ್ಥೆ,dormancy
1. ಪ್ರಮಾಣ 2. ಡೋಸೇಜ್ 3. ಡೋಸೇಜ್,dose
ಡಬಲ್ ಸಿಗ್ಮೋಯ್ಡ್ ಕರ್ವ್,douole sigmoid curve
1. ಬಿರುಗಾಳಿ 2. ಹಿಗ್ಗಿಸಿ,draft (draught)
1. ಎಕ್ಸಾಸ್ಟ್ ಡ್ರೈನ್ 2. ಎಫ್ಲುಯೆಂಟ್,drain
ಒಳಚರಂಡಿ,drainage
ಎಳೆತ,draw
1. ಔಷಧಿ ಕೊಡು 2. ಕುಡಿಸು,drenching
ಸೌಂದರ್ಯವರ್ಧಕಗಳು (ಬೀಜಗಳು),dressing (seed)
1. ಆಗರ್ 2. ಆಳವಿಲ್ಲದ ದೋಷ 3. ಡ್ರಿಲ್ 4. ಆಗರ್,drill (n.)
1. ರಂಧ್ರ 2. ಡ್ರಿಲ್ 3. ಡ್ರಿಲ್,drilling (ag. engg)
1. ಕೊರೆಯುವುದು 2. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಬಿತ್ತನೆ 3. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಸುರಿಯುವುದು,drilling (agronomy)
ಹನಿ ನೀರಾವರಿ,drip irrigation
ಒಣ ಬೇಸಾಯ,dryland farming
1.ಧೂಳು 2.ಬುಕ್ನೆ,dust
1. ಡಸ್ಟರ್ 2. ಸ್ಕ್ಯಾಟರರ್,duster
ಚಿಮುಕಿಸಲು,dusting
1. ಕುಬ್ಜ 2. ವಾಮನ,dwarf
ವಾಮನ ಪಿರಮಿಡ್,dwarf pyramid
ವಾಮಿನಿ ಭವನ,dwarfing
ಪರಿಸರ ವಿಜ್ಞಾನ,ecology
ಅರ್ಥಶಾಸ್ತ್ರ,econometrics
ಆರ್ಥಿಕ ದಕ್ಷತೆ,economic efficiency
ಸಾಂದರ್ಭಿಕ ಪ್ರಕಾರ,ecotype
ಹೆಚ್ಚುವರಿ ಶ್ರೇಣೀಕೃತ,ectotrophic
ಮೃದು,edaphic
ಮಣ್ಣಿನ ವಿಜ್ಞಾನ,edaphology
1. ಸೇತುವೆ 2. ಅಂಚು 3. ಸ್ಟ್ರಾಂಡ್ ಮುಚ್ಚುವಿಕೆ,edging
ಆಹಾರ ಭಾಗ,edible part
ಬೇಡಿಕೆಯ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,elasticity of demand
ಉತ್ಪಾದನಾ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,elasticity of production
ವಿದ್ಯುದ್ವಿಭಜನೆ,electrolysis
ಎಲೆಕ್ಟ್ರೋಫೋರೆಸಿಸ್,electrophoresis
ಆವಿಯಾಗುವಿಕೆ,eluviation
1. ಶಿರಚ್ಛೇದಕ 2. ಕ್ರಿಮಿನಾಶಕ 3. ಶಿರಚ್ಛೇದಕ 4. ಕ್ರಿಮಿನಾಶಕ,emasculator
1. ವೀರ್ ಬಂಡಿ 2. ಸ್ಟ್ರಾಬಂಡಿ,embanking
ಭ್ರೂಣ,embryo
1. ಭ್ರೂಣಶಾಸ್ತ್ರ 2. ಭೌತಶಾಸ್ತ್ರ,embryology
1. ನಿರ್ಗಮನ 2. ನಿರ್ಗಮನ,emergence
ಎಮಲ್ಸಿಫೈಯರ್,emulsifier
ಅಂತರ್ವರ್ಧಕ,endogenous
ಇಂಟ್ರಾ ಪಾಯಿಂಟ್ ವಿಭಾಗ,endomitosis
ಒಳ-ಪರಾವಲಂಬಿ,endoparasite
ಎಂಡೋಸ್ಪರ್ಮ್,endosperm
ಉದ್ಯಮ,enterprise
ಕೀಟಶಾಸ್ತ್ರ,entomology
ಪರಿಸರ,environment
1. ಕಿಣ್ವ 2. ಕಿಣ್ವ,enzyme
ಕ್ಲಸ್ಟರ್ ಕಸಿ,epicotyl grafting
1. ಎಪಿಫೈಟ್ 2. ಎಪಿಫೈಟ್,epiphyte
ಈಕ್ವಿಟಿ,equity
ನಿವಾರಣೆ,eradication
ಅಗತ್ಯ ಪೋಷಕಾಂಶಗಳು,essential nutrients
1. ಅಳತೆ 2. ಜಂಪ್ 3. ಮೌಲ್ಯಮಾಪನ,estimation
ಕೈಚಳಕ,etiolation
ಸುಜನ್ನಿಕ್,eugenic
ಮೌಲ್ಯಮಾಪನ,evaluation
ಉಗಿ ಮಾಪಕ,evaporimeter
ಆವಿಯಾಗುವಿಕೆ,evapo-transpiration
ಶಾಶ್ವತ ಕ್ರಾಂತಿ,evergreen revolution
1. ನಿತ್ಯಹರಿದ್ವರ್ಣ 2. ನಿತ್ಯಹರಿದ್ವರ್ಣ,evergreen
ಅಭಿವೃದ್ಧಿ,evolution
ಕತ್ತರಿಸಿದ,excise
ಪರೀಕ್ಷಯ್ (ಫಲವತ್ತತೆ),exhaustion (fertility)
ಶೋಷಣೆ,exploitation
1. ಅನ್ವೇಷಣೆ 2. ಪರಿಶೋಧನೆ,exploration
1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಹೊರಸೂಸುವಿಕೆ,extrusion
ಕಣ್ಣು,eye (sugarcane/potato)
1. ಅಂಶ 2. ಘಟಕ 3. ಅಂಶ 4. ಸಂಪನ್ಮೂಲ,factor
ಅಂಶ ಉತ್ಪಾದಕತೆ,factor productivity
ವ್ಯಾಪಾರಿಯ ರಿಯಾಯಿತಿ,factorage
ಅಪವರ್ತನೀಯ ಬ್ಲಾಕ್ ವಿನ್ಯಾಸ,factorial block design
ಪರ್ಯಾಯ,facultative
1. ಪಟ್ಟಿ 2. ಪಲಿಹಾರ್,fallow
ಒಟ್ಟು,family
ಕ್ಷೇತ್ರ ಮೌಲ್ಯಮಾಪನ,farm appraisal
ಕೃಷಿ ಬಜೆಟ್,farm budgeting
ಕೃಷಿ ವ್ಯಾಪಾರ,farm business
ಕ್ಷೇತ್ರ ಯೋಜನೆ,farm planning
1. ರೈತ 2. ರೈತ,farmer
1. ಕೃಷಿ 2. ಕೃಷಿ,farming
ಘರ್ಷಣೆ,fasciation
ಬಹು ಸಂತಾನೋತ್ಪತ್ತಿ,fecundation
ಹುದುಗುವಿಕೆ,fermentation
ಫಲವತ್ತತೆ,fertility
ಗೊಬ್ಬರ,fertilizer
ರಸಗೊಬ್ಬರ ಬಳಕೆಯ ದಕ್ಷತೆ,fertilizer use efficiency
ನಾರಿನಂತಿರುವ,fibrous
1. ಫಾರ್ಮ್ 2. ಪ್ರದೇಶ 3. ಸ್ಥಳ,field
ಮಣ್ಣಿನ ನೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವುದು,field capacity
ಕ್ಷೇತ್ರ ಪ್ರದರ್ಶನ,field demonstration
1. ನಿಶ್ಚಲತೆ 2. ಸ್ಥಿರೀಕರಣ 3. ಸ್ಥಿರೀಕರಣ,fixation
1. ಮುಳುಗುವಿಕೆ 2. ಒಳಸೇರಿಸುವಿಕೆ,flooding
ನಿರ್ವಹಣಾ ಚಿತ್ರ,flow diagram
ಆಹಾರ ಮೌಲ್ಯ,food value
ಮೇವು,forage (fodder)
ಮುನ್ಸೂಚನೆ,forecasting
ಅರಣ್ಯ,forest
ಅರಣ್ಯೀಕರಣ,forestation
1. ತಾಡ್ಪರ್ನ್ 2. ಫಾರ್ಮ್,frond
ಹಿಮ ನಿರೋಧಕ,frost resistant
1. ಪಾಲಾ 2. ಬ್ಲೈಟ್,frost
1. ಹೆಪ್ಪುಗಟ್ಟಿದ 2. ಹೆಪ್ಪುಗಟ್ಟಿದ,frozen (fruit & vegetable)
ಕಾರ್ಯ,fructification
1. ಹಣ್ಣಿನ ಪತನ 2. ಹಣ್ಣಿನ ಪತನ,fruit drop
ಹಣ್ಣಾಗುತ್ತವೆ,fruit -set (fruit setting)
1. ಧೂಮೀಕರಣ 2. ಧೂಮೀಕರಣ,fumigation
ಶಿಲೀಂಧ್ರನಾಶಕ,fungicide
ಶಿಲೀಂಧ್ರನಾಶಕ,fungistatic
ಶಿಲೀಂಧ್ರ,fungus
1. ಖುದ್ 2. ಸೀತಾ,furow
1. ಫ್ಯೂಷನ್ 2. ಫ್ಯೂಷನ್,fusion
ಹತ್ತಿ ಉಣ್ಣೆ,fuzz
ಕೂದಲುಳ್ಳ,fuzzy
1. ಮರದ ಹುಣ್ಣು 2. ಪಿಟಿಕಾ,gall (Hort)
1. ಗ್ಯಾಮೆಟ್‌ಗಳು 2. ಗ್ಯಾಮೆಟ್‌ಗಳು,gamete
1. ಉದ್ಯಾನ 2. ಉದ್ಯಾನ,garden
1. ಪಾನ್ಸಾಲ್ 2. ಹೈಡ್ರೋಮೀಟರ್,gauge (water)
ಜೀನ್ ಸಂಗ್ರಹ,gene bank
ಜೀನ್ ಟ್ಯಾಗನ್,gene tagging
ವಂಶಾವಳಿ,geneology
ಜೀನ್ ನಕ್ಷೆ,genetic map
ಆನುವಂಶಿಕ,genetics
1. ಜಿನೋಮ್ 2. ಸಂಜೀನ್,genome
ಸಂಜಿನಿ ಸಂಗ್ರಹ,genomic library
ಜೀನೋಮಿಕ್ಸ್,genomics
ಜೀನೋಟೈಪ್,genotype
1. ಜೀನ್ ರಚನೆ 2. ಜೀನ್ ಪ್ರಕಾರ,genotype
ವಂಶಾವಳಿ,genus
1. ಕುಲ 2. ವಂಶ,genus
1. ಸೂಕ್ಷ್ಮಾಣು 2. ಸೂಕ್ಷ್ಮಾಣು,germ
ಕ್ರಿಮಿನಾಶಕ,germicide
ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ,germination
1. ಜರ್ಮ್ಪ್ಲಾಸಂ 2. ಜರ್ಮ್ಪ್ಲಾಸಂ,germplasm
ಗಿಬ್ಬರೆಲಿಕ್ ಆಮ್ಲ,gibberellic acid
ಕೊಯ್ಲು,ginning
ತುಶ್,glume
1. ಅಂಟು 2. ಹೊಟ್ಟೆಬಾಕತನ,glutinous
ಗ್ಲೈಕೋಲಿಸಿಸ್,glycolysis
Sundara,gneiss
ಸುವರ್ಣ ಕ್ರಾಂತಿ,golden revolution
1. ವರ್ಗೀಕರಣ 2. ವರ್ಗೀಕರಣ 3. ಶ್ರೇಣೀಕರಣ,grading
1. ನಾಟಿ ಸಸ್ಯ 2. ಪೆನಂಬ್ರಲ್ ಸಸ್ಯ,grafted plant
ಪೆನ್ ಅಸಮಂಜಸ,graft-incompatible
ಗ್ರಾನಾ,granna
ಗ್ರಾನುಲೇಷನ್,granulation
ಹಸಿರು ಗೊಬ್ಬರ,green manure
ಹಸಿರು ಕ್ರಾಂತಿ,green revolution
ಬೆಳವಣಿಗೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ,growth and development
1. ಗಮ್ ರೋಗ,gummosis
ಭಿನ್ನಲಿಂಗೀಯ,gynodioecious
1. ಪ್ರಕೃತಿ 2. ಪ್ರಕೃತಿ 3. ರೂಪಗುಣ 4. ತೋರಿಕೆ,habit
1. ಓಲ 2. ಕರ್ಕಪಟ 3. ಕರ್ಕ,hail
ರೋಮಿಲ್ವಾಚ್,hairyvetch
ಲವಣಯುಕ್ತ ಚೀಲ,halophyte
ಹಾರೋ,harrow
1. ಕೊಯ್ಲು ಸೂಚ್ಯಂಕ 2. ಕೊಯ್ಲು ಸೂಚ್ಯಂಕ,harvest index
1. ಕೊಯ್ಲು 2. ಕೊಯ್ಲು ಮಾಡಿದ ಬೆಳೆ 3. ಮುಗಿದ ಬೆಳೆ 4. ಇಳುವರಿ,harvest
1. ಕೀಳುವುದು 2. ಕೊಯ್ಲು 3. ಕೀಳುವುದು,harvesting
1. ಮೊಟ್ಟೆ ಇಡುವುದು 2. ಮೊಟ್ಟೆಯ ಬಲ,hatch
ಒಣ ಹುಲ್ಲು,hay
ಒಣ ಆಹಾರ,haylage
ಗಂಜಿ,haystock
ಮಬ್ಬು,haze
ಮಸುಕಾದ,hazy
1. ಬಾಲಿ 2. ಸಿಟ್ಟಾ 3. ಮುಂಡಕ್ 4. ಟಾಪ್ 5. ಹೆಡ್ 6. ಸಿರಾ,head (Agro)
ತೋಡು ಕೊನೆಯಲ್ಲಿ,head (of channel)
ಅಗ್ರ ಸಮರುವಿಕೆಯನ್ನು,heading back
ಬೇಲಿ,hedge
ಪಾಲನೆ,hedging
ಕುಂಡಲಿನಿ,helix
ಹೆಮಟೈಟ್,hematite
1. ಮೂಲಿಕೆ 2. ಮೂಲಿಕೆ,herb
1.ಬೊಟಾನಿಕಲ್ ಕಲೆಕ್ಷನ್ 2.ಬೊಟಾನಿಕಲ್ ಮ್ಯೂಸಿಯಂ,herbarium
ಸಸ್ಯನಾಶಕ,herbicide
ಅನುವಂಶಿಕತೆ,heredity
ಅನುವಂಶಿಕತೆ,heretability
ಉಭಯಲಿಂಗಿ,hermaphrodite
ಭಿನ್ನವರ್ಣದ,heterochromatic
ಹೆಟೆರೊಫರ್ಟಿಲೈಸೇಶನ್,heterofertilization
1. ಹೈಬ್ರಿಡೋಸ್ 2. ಹೆಟೆರೋಸಿಸ್,heterosis
ಲೈಂಗಿಕ ವರ್ಣತಂತುಗಳು,heterosome
ಪೋಷಿಸಿದರು,heterotroph
ಹೆಕ್ಸಾಡೆಸಿಮಲ್,hexaploid
ಶೀತ ಸುಪ್ತ,hibernate
ಹೆಚ್ಚಿನ ಸಾಂದ್ರತೆಯ ನೆಡುವಿಕೆ,high density planting
1. ಪಿಂಡ್ಲಾಕ್ 2. ಬೆಟ್ಟ (ಭತ್ತ),hill (rice)
ಹಿಸ್ಟೋಗ್ರಾಮ್,histogram
ಹೈಟೆಕ್ ತೋಟಗಾರಿಕೆ,hitech horticulture
1.ಮೊಸರು 2. ಜೇನುಗೂಡು,hive
1. ಕಳೆ ಕಿತ್ತಲು 2. ಕಳೆ ಕಿತ್ತಲು,hoeing
ಹಿಡಿದು,holding
ಖಾಸಗಿ ಫಾರ್ಮ್,home farm
ಹೋಮಿಯೋಸ್ಟಾಸಿಸ್,homeostasis
ತಾಯ್ನಾಡು,homestead
ಏಕರೂಪತೆ,homogeneity
1. ಏಕರೂಪದ 2. ಏಕರೂಪದ,homogenous
ಸಹಾನುಭೂತಿಯುಳ್ಳ,homologus
ಹೋಮೋಜೈಗಸ್,homozygote
1. ಖುರ್ರಿಕಾ 2. ಆಹಾರ ಧಾರಕ 3. ಹ್ಯಾಪರ್,hopper
1. ಲೇಯರ್ 2. ಹಾರಿಜಾನ್,horizon
ತೋಟಗಾರಿಕಾ ಬೆಳೆಗಳು,horticultural crops
1. ತೋಟಗಾರಿಕೆ 2. ತೋಟಗಾರಿಕೆ 3. ತೋಟಗಾರಿಕೆ 4. ತೋಟಗಾರಿಕೆ,horticulture
