Hindi,Malayalam
युक्ति विधा,ഉപകരണ മോഡ്
निदान,രോഗനിർണയം
निदानी तंत्र,ഡയഗ്നോസ്റ്റിക് സിസ്റ്റം
"1.निदान, 2. निदानिकी",ഡയഗ്നോസ്റ്റിക്സ്
आरेख,ഡയഗ്രം
डायल,ഡയൽ ചെയ്യുക
डायल लाइन,ഡയൽ ലൈൻ
डायल टोन,ഡയൽ ടോണ്
डायल अप,ഡയൽ അപ്
"1.संवाद, 2. वार्तालाप",ഡയലോഗ്
वार्तालाप कोष्ठ,ഡയലോഗ് ബോക്സ്
डायलअप मॉडम,ഡയലപ്പ് മോഡം
विमा,വ്യാസം
शब्दकोश,നിഘണ്ടു
"1. अवकलन ,2. विभेदन",വ്യത്യാസം
अंकीय,ഡിജിറ്റൽ
अंकीय प्रणाल,ഡിജിറ്റൽ ചാനൽ
अंकीय परिपथ,ഡിജിറ്റൽ സർക്യൂട്ട്
अंकीय कंप्यूटर,ഡിജിറ്റൽ കമ്പ്യൂട്ടർ
"1.अंकीय आँकड़ा, 2.अंकीय डाटा",ഡിജിറ്റൽ ഡാറ്റ
अंकीय सुविधा,ഡിജിറ്റൽ സൗകര്യം
अंकीय फिल्टर,ഡിജിറ്റൽ ഫിൽട്ടർ
अंकीय लाइब्रेरी,ഡിജിറ്റൽ ലൈബ്രറി
अंकीय माडुलन,ഡിജിറ്റൽ മോഡുലേഷൻ
"1.अंकीय प्रदर्श, 2. डिजीटल मॉनीटर",ഡിജിറ്റൽ മോണിറ്റർ
अंकीय चित्र,ഡിജിറ്റൽ ചിത്രം
"1.अंकीय हस्ताक्षर, 2. अंकीय चिन्हक",ഡിജിറ്റൽ ഒപ്പ്
अंकीय स्विच,ഡിജിറ്റൽ സ്വിച്ച്
अंकीय अनुरूप रूपांतरक,ഡിജിറ്റൽ ടു അനലോഗ് (D/A) കൺവെർട്ടർ
अंकरूपण,ഡിജിറ്റൈസേഷൻ
अंकीकरण,ഡിജിറ്റൈസ് ചെയ്യുക
अंकरूपक,ഡിജിറ്റൈസർ
डायोड,ഡയോഡ്
प्रत्यक्ष,നേരിട്ട്
प्रत्यक्ष पता,നേരിട്ടുള്ള വിലാസം
प्रत्यक्ष रुपांतरण,നേരിട്ടുള്ള പരിവർത്തനം
प्रत्यक्ष युग्मन,നേരിട്ടുള്ള സംയോജനം
"1.प्रत्यक्ष स्मृति अभिगम, 2. प्रत्यक्ष मैमोरी अभिगम (डी एम ए)",ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA)
प्रत्यक्ष स्मृति अभिगम (डी एम ए),ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA)
प्रत्यक्ष विधि,നേരിട്ടുള്ള രീതി
निदेश,നിർദ്ദേശം
निर्देशिका,ഡയറക്ടറി
"1.निर्देशिका परिसेवक, 2. निर्देशिका सर्वर",ഡയറക്ടറി സെർവർ
निर्देशिका सेवा,ഡയറക്ടറി സേവനം
असमर्थ,പ്രവർത്തനരഹിതമാക്കുക
असमर्थकारी संकेत,സിഗ്നൽ പ്രവർത്തനരഹിതമാക്കുന്നു
"1.असंबंधन, 2. विसंबंधन",വിച്ഛേദിക്കുക
"1.असतत , 2. विविक्त",വ്യതിരിക്തമായ
"1.चक्रिका, 2. डिस्क",ഡിസ്ക്
"1.चक्रिका पता, 2. डिस्क पता",ഡിസ്ക് വിലാസം
"1.चक्रिका सरणी, 2. डिस्क सरणी",ഡിസ്ക് അറേ
"1.चक्रिका क्षमता, 2. डिस्क क्षमता",ഡിസ്ക് ശേഷി
"1.चक्रिका चालक, 2.डिस्क ड्रािव",ഡിസ്ക് ഡ്രൈവ്
चक्रिका संचिका,ഡിസ്ക് ഫയൽ
"1.चक्रिका स्मृति, 2. चक्रिका मेमोरी, 3.डिस्क स्मृति,4. डिस्क मेमोरी",ഡിസ്ക് മെമ്മറി
चक्रिका परिचालन तंत्र (डी ओ एस),ഡിസ്ക് ഓപ്പറേറ്റിംഗ് സിസ്റ്റം (DOS)
चक्रिका संकुल,ഡിസ്ക് പായ്ക്ക്
"1.चक्रिका परिसेवक, 2. डिस्क सर्वर",ഡിസ്ക് സെർവർ
"1.चक्रिका भंडारण, 2. डिस्क भंडारण",ഡിസ്ക് സംഭരണം
डिस्केट,ഡിസ്കെറ്റ്
प्रदर्श संचिका,ഫയൽ പ്രദർശിപ്പിക്കുക
प्रदर्श प्रतिबिंब,ചിത്രം പ്രദർശിപ്പിക്കുക
निपटान,നിർമാർജനം
दूरी,ദൂരം
दूरी फलन,ദൂരം പ്രവർത്തനം
विरूपण,വളച്ചൊടിക്കൽ
वितरित,വിതരണം ചെയ്തു
वितरित आँकड़ा,വിതരണം ചെയ്ത ഡാറ്റ
वितरित परिसेवक,വിതരണം ചെയ്ത സെർവർ
"1.वितरित प्रणाली, 2. वितरित तंत्र",വിതരണം ചെയ്ത സംവിധാനം
वितरक,വിതരണക്കാരൻ
प्रलेख,പ്രമാണം
प्रलेख प्रत्यानयित,പ്രമാണം വീണ്ടെടുത്തു
"1.प्रलेख खिडक़ी, 2. प्रलेख विंडो",പ്രമാണ വിൻഡോ
प्रलेखन,പ്രമാണീകരണം
"डोमेन, प्रक्षेत्र",ഡൊമെയ്ൻ
डोमेन नाम,ഡൊമെയ്ൻ നാമം
"1.डॉट मैट्रिक्स मुद्रक, 2. डॉट मैट्रिक्स प्रिंटर",ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ
"अध:, नीचे",താഴേക്ക്
"1.अवलिंक , 2.अवकड़ी",ഡൗൺ ലിങ്ക്
अधोभारण,ഡൗൺലോഡ് ചെയ്യുന്നു
अधोभारण काल,സമയക്കുറവ്
कर्षण,വലിച്ചിടുന്നു
डीरैम (गतिक रैम),DRAM (ഡൈനാമിക് റാം)
अपवाह,ഡ്രിഫ്റ്റ്
चालक,ഡ്രൈവർ
पात,ഡ്രോപ്പ്
निपात सूची बॉक्स,ഡ്രോപ്പ് ഡൗൺ ലിസ്റ്റ് ബോക്സ്
ड्रम ड्रािव,ഡ്രം ഡ്രൈവ്
"1.ड्रम मुद्रक, 2. ड्रम प्रिंटर",ഡ്രം പ്രിന്റർ
"1.इम एकक, 2. ड्रम इकाई",ഡ്രം യൂണിറ്റ്
"1.द्वैत,2. द्वि",ഇരട്ട
द्वैत घनत्व,ഇരട്ട സാന്ദ്രത
"1.मूक पता, 2. छद्म पता",ഡമ്മി വിലാസം
सन्निक्षेप,തള്ളുക
दवैध परिपथ,ഡ്യുപ്ലെക്സ് സർക്യൂട്ട്
दवैधीकरण,ഡ്യൂപ്ലെക്സിംഗ്
केय्प्रतिकुंजी,തനിപ്പകർപ്പ്
"1.डी वी डी आर./डब्ल्यू ,2. डी वी डी पठन, 3.लेखन",ഡിവിഡി R/W
डी वी डी रॉम,ഡിവിഡി റോം
गतिक अनुदेश,ചലനാത്മക നിർദ്ദേശം
"1.गतिक स्मृति, 2.गतिक मेमोरी",ഡൈനാമിക് മെമ്മറി
"1.गति विज्ञान, 2. गतिकी",ചലനാത്മകത
ई बी सी डी आई सी,EBCDIC
ई व्यवसाय,ഇ-ബിസിനസ്
प्रतिध्वनि,പ്രതിധ്വനി
"1.ई-कॉमर्स, 2.ई-वाणिज्य",ഇ-കൊമേഴ്‌സ്
संपादन,തിരുത്തുക
संपादक,എഡിറ്റർ
शैक्षिक प्रौद्योगिकी,വിദ്യാഭ്യാസ സാങ്കേതികവിദ്യ
ई ई पी रॉम,ഇഇപി റോം
"1.सार्थक पता , 2.प्रभावी पता",ഫലപ്രദമായ വിലാസം (ഫ്ലോട്ടിംഗ് വിലാസം)
सार्थक संकार्य पता,ഫലപ്രദമായ പ്രവർത്തന വിലാസം
प्रभावी क्रिया,ഫലപ്രദമായ നടപടിക്രമം
प्रभावी यू.आई.डी.,ഫലപ്രദമായ യുഐഡി (ഉപയോക്തൃ തിരിച്ചറിയൽ)
प्रभावी संचरण संकार्य,ഫലപ്രദമായ ട്രാൻസ്മിഷൻ പ്രവർത്തനം
अष्टबिट बािट,എട്ട്-ബിറ്റ് ബൈറ്റ്
"इलेक्ट्रॉनिक अधिगम, ई अधिगम",ഇലക്ട്രോണിക് പഠനം
चुनाव एल्गोरिथम,തിരഞ്ഞെടുപ്പ്-അൽഗിർതം
इलेक्ट्रोनिक डाकसेवा (ई. मेल),ഇലക്ട്രിക് മെയിലിംഗ് (ഇ-മെയിൽ)
"1.इलेक्ट्रोनिक मुद्रण, 2.इलेक्ट्रोनिक प्रिटर",ഇലക്ട്രിക് പ്രിന്റർ
विद्युत लेखा मशीन,ഇലക്ട്രിക്കൽ അക്കൗണ്ടിംഗ് മെഷീൻ
इलेक्ट्रोनिकी,ഇലക്ട്രോണിക്
इलैक्ट्रॉनिक निकास प्रणाली (ई.सी.एस.),ഇലക്ട്രോണിക് ക്ലിയറൻസ് സിസ്റ്റം (ECS)
इलेक्ट्रॉनिक आँकड़ा विनिमय (इ.डी.आई.),ഇലക്ട്രോണിക് ഡാറ്റ ഇന്റർചേഞ്ച് (EDI)
इलेक्ट्रोनिक आंकड़ा संसाधन,ഇലക്ട്രോണിക് ഡാറ്റ പ്രോസസ്സിംഗ്
इलेक्ट्रॉनिक विवरणिक,ഇലക്ട്രോണിക് ഫയലിംഗ്
इलेक्ट्रोनिक निधि अंतरण तंत्र (ई.एफ.टी.एस),ഇലക്ട്രോണിക് ഫണ്ട് ട്രാൻസ്ഫർ സിസ്റ്റം (EFTS)
"1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रानिक पत्रिका",ഇലക്ട്രോണിക് ജേണലുകൾ
इलेक्ट्रॉनिक प्रकाशन,ഇലക്ട്രോണിക് പ്രസിദ്ധീകരണം
इलेक्ट्रॉनिक स्विच,ഇലക്ട്രോണിക് സ്വിച്ച്
"तत्व, अवयव",ഘടകം
ई-मेल,ഇ-മെയിൽ
"1.ई-मेल पता, 2. इलेक्ट्रॉनिक डाक पता",ഈ - മെയില് വിലാസം
अंत:स्थापित तंत्र,എംബഡഡ് സിസ്റ്റം
अंत:स्थापन,ഉൾച്ചേർക്കൽ
उत्सर्जक युग्मित तर्क (ई.सी.एल.),എമിറ്റർ ദമ്പതികളുടെ യുക്തി (ECL)
रिक्त चिति,ശൂന്യമായ സ്റ്റാക്ക്
"1.रिक्त श्रृंखला, 2. रिक्त माला",ശൂന്യമായ ചരട്
यंत्रानुकरण,അനുകരണം
"1.केप्सूलीकरण, 2. केप्सूलन",എൻക്യാപ്സുലേഷൻ
कूटलेखक,എൻസിഫർ
कूटलेखन,എൻകോഡ്
"1.कूटलेखक, 2. कोडक",എൻകോഡർ
गूढ आंकडा,എൻക്രിപ്റ്റ് ചെയ്ത ഡാറ്റ
गूढ फािल सिस्टम,എൻക്രിപ്റ്റിംഗ് ഫയൽ സിസ്റ്റം
"1.गोपन, 2. कोडन, 3. कूटलेखन",എൻക്രിപ്ഷൻ
खंडक अंत,ബ്ലോക്കിന്റെ അവസാനം
संचिका-अन्त,ഫയലിന്റെ അവസാനം (EOF)
प्रयोक्ता,അന്തിമ ഉപയോക്താവ്
प्रवेश,നൽകുക
प्रवेश कुंजी,എന്റർ-കീ
"1.उद्यम सरवर, 2. उद्यम सेवक",എന്റർപ്രൈസ് സെർവർ
उद्यम तंत्र,എന്റർപ്രൈസ് സിസ്റ്റം
सत्ता,സ്ഥാപനം
सत्ता संबंधता,സ്ഥാപന-ബന്ധം
प्रवेश काल,പ്രവേശന സമയം
प्रविष्ट चर,എൻട്രി വേരിയബിൾ
गणनीय,എണ്ണാവുന്നത്
परिवेश,പരിസ്ഥിതി
"1.ईपोच,2. युग,3. निर्देश क्षण",യുഗം
ईप्राम (वित्तोरण प्रोग्राम्य पठन मात्र स्मृति),EPROM
एपसिलॉन संवरक,എപ്സിലോൺ അടച്ചുപൂട്ടൽ
तुल्यकारक,സമനില
उपस्कर,ഉപകരണങ്ങൾ
तुल्यता वर्ग,തുല്യതാ ക്ലാസ്
तुल्य संबंध,തുല്യതാ ബന്ധം
"1.विलोपन, 2.मिटान",മായ്ക്കുക
त्रुटि संशोधन कूट,കോഡ് തിരുത്തുന്നതിൽ പിശക്
त्रुटि संशोधन,തെറ്റ് തിരുത്തൽ
त्रुटि संसूचन,പിശക് കണ്ടെത്തൽ
त्रुटि प्रहस्तन,പിശക് കൈകാര്യം ചെയ്യൽ
त्रुटि संदेश,പിശക് സന്ദേശം
त्रुटि दर,പിശക് നിരക്ക്
त्रुटि पुनर्डद्धार,പിശക് വീണ്ടെടുക്കൽ
त्रुटि नेमक,പിശക് പതിവ്
पलायन संप्रतीक,രക്ഷപ്പെടുന്ന സ്വഭാവം
ईथरनेट,ഇഥർനെറ്റ്
घटना,സംഭവം
घटना श्रृंखला,ഇവന്റ് ചെയിൻ
घटना नियंत्रण,ഇവന്റ് നിയന്ത്രണം
घटना गणक,ഇവന്റ് കൗണ്ടർ
अपवाद प्रहस्तन,ഒഴിവാക്കൽ കൈകാര്യം ചെയ്യൽ
विनिमय डिस्क भंडारण,കൈമാറ്റം ചെയ്യാവുന്ന ഡിസ്ക് സംഭരണം
अपवर्जन,ഒഴിവാക്കൽ
अनन्य और (एक्स ऑर),എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ (XOR)
निष्पाद्य क्रमादेश,എക്സിക്യൂട്ടബിൾ പ്രോഗ്രാം
निष्पादन कथन,എക്സിക്യൂട്ടീവ് പ്രസ്താവന
चयनिक खोज,സമഗ്രമായ തിരയൽ
विदयमान,നിലവിലുണ്ട്
निर्गम,പുറത്ത്
विशेषज्ञ तंत्र,വിദഗ്ധ സംവിധാനം
"1. अभिव्यक्ति ,2. व्यंजक",ആവിഷ്കാരം
विस्तारित आलेखीय आव्यूह (एक्स जी ए),വിപുലീകൃത ഗ്രാഫിക് അറേ (XGA)
विस्तारित औदयोगिक मानक (इ.आई.एस.),വിപുലമായ വ്യവസായ നിലവാരം (EIS)
अतिदेशित मशीन,വിപുലീകരിച്ച യന്ത്രം
विस्तारित स्मृति,വിപുലീകരിച്ച മെമ്മറി
"1.विस्तारित परिशुद्धता, 2.विस्तारित यर्थाथता",വിപുലമായ കൃത്യത
"1.विस्तारित छंटाी, 2. विस्तारित पृथक्करण",വിപുലീകരിച്ച സോർട്ടിംഗ്
वाह्य आह्वान,ബാഹ്യ കോൾ
वाह्य त्रुटि,ബാഹ്യ പിശക്
वाह्य फलन,ബാഹ്യ പ്രവർത്തനം
वाह्य अंतरायन,ബാഹ്യ തടസ്സം
"1.वाह्य स्मृति, 2. वाह्य मेमोरी",ബാഹ്യ മെമ്മറി
वाह्य स्मृति,ബാഹ്യ മെമ്മറി
वाह्य मॉडेम,ബാഹ്യ മോഡം
वाह्य संदर्भ,ബാഹ്യ റഫറൻസ്
वाह्य खोज,ബാഹ്യ തിരയൽ
वाह्य भंडारण युक्ति,ബാഹ്യ സംഭരണ ഉപകരണം
निष्कर्षण,വേർതിരിച്ചെടുക്കൽ
बहिर्वेशन,എക്സ്ട്രാപോളേഷൻ
फलक संप्रतीक मुद्रक,മുഖപ്രകൃതി പ്രിന്റർ
विफल-सुरक्षा संक्रिया,പരാജയപ്പെടാത്ത പ്രവർത്തനം
विफलता दर,പരാജയതോത്
विफलता मुक्ति,പരാജയം വീണ്ടെടുക്കൽ
मिथ्या कूट,തെറ്റായ കോഡ്
मिथ्या त्रुटि,തെറ്റായ പിശക്
"1.निवेशाँक, 2. निवेश-अंक",ഫാൻ-ഇൻ
"1.निर्गताँक, 2. निर्गत-अंक",ഫാൻ ഔട്ട്
"1.प्रतिकृति आई/ ओ युक्ति ,2. प्रतिकृति निवेश युक्ति/निर्गम",ഫാസിമൈൽ I/O ഉപകരണം
द्रुत फौरिएर अन्तरण,ഫാസ്റ്റ് ഫോറിയർ ട്രാൻസ്ഫോർമേഷൻ (FFT)
घातक त्रुटि,മാരകമായ തെറ്റ്
दोष संसूचन,തെറ്റ് കണ്ടെത്തൽ
दोष निदान,തെറ്റ് രോഗനിർണയം
दोष सहिष्णुता,തെറ്റ് സഹിഷ്ണുത
फैक्स,ഫാക്സ്
फैक्स संदेश,ഫാക്സ് സന്ദേശം
एफ डी सी,FDC
लक्षण संसूचन,സവിശേഷത കണ്ടെത്തൽ
भरण चक्र,ഫീഡ് സൈക്കിൾ
पुनर्निवेश,പ്രതികരണം
"1.प्रदायक,2.पोषक, 3.फीडर",ഫീഡർ
आनयन,കൊണ്ടുവരിക
फिबोनेकी खोज,ഫിബൊനാച്ചി തിരയൽ
फिबोनेकी अनुक्रम,ഫിബൊനാച്ചി സീക്വൻസ്
फिबोनेकी श्रेणी,ഫിബൊനാച്ചി പരമ്പര
तंतु प्रकाशिकी,ഫൈബർ ഒപ്റ്റിക്സ്
फिडो जाल,ഫിഡോ നെറ്റ്
क्षेत्र,വയൽ
पंचम पीढ़ी कम्प्यूटर,അഞ്ചാം തലമുറ കമ്പ്യൂട്ടറുകൾ
"1.संचिका,2. फािल",ഫയൽ
संचिका अभिगम विधि,ഫയൽ ആക്സസ് രീതി
संचिका नियतन सारणी,ഫയൽ അലോക്കേഷൻ പട്ടിക
संचिका संपीडन,ഫയൽ കംപ്രഷൻ
संचिका प्रतिलिपिकरण,ഫയൽ പകർത്തൽ
संचिका विन्यास,ഫയൽ ലേഔട്ട്
संचिका विलय,ഫയൽ ലയിപ്പിക്കുക
संचिका पुन:प्राप्ति,ഫയൽ വീണ്ടെടുക്കൽ
संचिका भंडारण,ഫയൽ സംഭരണം
संचिका संरचना,ഫയൽ ഘടന
संचिका तंत्र,ഫയൽ സിസ്റ്റം
संचिका अंतरण,ഫയൽ കൈമാറ്റം
फाील अंतरण प्रोटोकॉल (एफ टी पी),ഫയൽ ട്രാൻസ്ഫർ പ്രോട്ടോക്കോൾ (FTP)
फिल्टर,ഫിൽട്ടർ
अंतिम स्थिति,അന്തിമ അവസ്ഥ
खोज,കണ്ടെത്തുക
परिमित अवस्था यंत्र,പരിമിതമായ സംസ്ഥാന യന്ത്രം
फायर वॉल,അഗ്നി മതിൽ
फर्मवेयर,ഫേംവെയർ
पहले आो पहले पाो,ആദ്യം വരുന്നവർക്ക് ആദ്യം നൽകുക
प्रथम पीढ़ी कंप्यूटर,ആദ്യ തലമുറ കമ്പ്യൂട്ടർ
प्रथम निवेश प्रथम निर्गम (फीफो ),ഫസ്റ്റ് ഇൻ ഫസ്റ്റ് ഔട്ട് (FIFO)
प्रथम कोटि तर्क,ആദ്യ ഓർഡർ യുക്തി
प्रथम कोटि सिद्धांत,ആദ്യ ക്രമ സിദ്ധാന്തം
नियत विभाजन,നിശ്ചിത പാർട്ടീഷൻ
चिन्ह,പതാക
नम्य डिस्क,ഫ്ലെക്സിബിൾ ഡിസ്ക്
फ्लॉपी डिस्क,ഫ്ലോപ്പി ഡിസ്ക്
फ्लापी डिस्क चालन (एफ डी डी),ഫ്ലോപ്പി ഡിസ്ക് ഡ്രൈവ് (Fdd)
प्रवाह संचित्र,ഫ്ലോ ചാർട്ട്
नियंत्रण प्रवाह,നിയന്ത്രണത്തിന്റെ ഒഴുക്ക്
प्रधावन,ഫ്ലഷ്
फोल्डर,ഫോൾഡർ
फाँट,ഫോണ്ട്
फाँट परिवार,ഫോണ്ട് കുടുംബം
वाह्य कुंजी,വിദേശ കീ
रूप,രൂപം
प्रतीकात्मक भाषा,ഔപചാരിക ഭാഷ
प्रतीकात्मक विधि,ഔപചാരിക സംവിധാനം
"1.फॉरमैट, 2.आरूप",ഫോർമാറ്റ്
आरूपण,ഫോർമാറ്റിംഗ്
फोरट्रॉन,ഫോർട്രാൻ
"1.फोरट्रॉन (एक कंप्यूटर भाषा) प्रोग्राम, 2.फोरट्रान क्रमादेशन",ഫോർട്രാൻ പ്രോഗ്രാമിംഗ്
अग्रतिर्यक स्लैश,ഫോർവേഡ് സ്ലാഷ്
चतुर्थ पीढ़ी कंप्यूटर,നാലാം തലമുറ കമ്പ്യൂട്ടർ
खंड,ശകലം
फ्रेम,ഫ്രെയിം
"1.मुक्त नेट, 2.मुक्त जाल",സ്വതന്ത്ര വല
मुक्त सॉफ्टवेयर न्यास,സ്വതന്ത്ര സോഫ്റ്റ്‌വെയർ ഫൌണ്ടേഷൻ
मुक्त भंडारण,സൗജന്യ സംഭരണം
फ्रीवेयर,ഫ്രീവെയർ
अग्रांत,ഫ്രണ്ട് എൻഡ്
"1.अग्र पट्टिका, 2.अग्र पैनल",ഫ്രണ്ട് പാനൽ
"1.प्रकार्य,2. फलन",പ്രവർത്തനം
प्रकार्य कुंजी,ഫംഗ്ഷൻ കീ
प्रकार्य संदर्भ,ഫംഗ്ഷൻ റഫറൻസ്
प्रकार्यात्मक निर्भरता,പ്രവർത്തനപരമായ ആശ്രിതത്വം
प्रकार्य परीक्षण,ഫങ്ഷണൽ ടെസ്റ്റിംഗ്
"1.अस्पष्ट तर्क, 2.फज्जी लॉजिक",അവ്യക്തമായ യുക്തി
"1.अस्पष्ट समुच्चय, 2.फज्जी सेट",അവ്യക്തമായ സെറ്റ്
लब्धि,നേട്ടം
खेल तरू,കളി മരം
अंतराल संप्रतीक,വിടവ് പ്രതീകം
कचरा,മാലിന്യം
कचरा संग्रहण,മാലിന്ന്യ ശേഖരണം
कचरा संग्रहण,മാലിന്ന്യ ശേഖരണം
कचरा अंदर कचरा बाहर (गीगो),മാലിന്യത്തിൽ മാലിന്യം (GIGO)
द्वार,ഗേറ്റ്
दवार पथ (नेटवर्क के संदर्भ में),കവാടം
व्यापक क्रमादेश,പൊതു പരിപാടി
व्यापक क्रमादेश,പൊതു പരിപാടി
व्यापक उद्देश्य कंप्यूटर,പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ
व्यापकीकृत उद्देश्य कंप्यूटर,പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ
सामान्य पंजी,പൊതു രജിസ്റ്റർ
व्यापकीकरण,പൊതുവൽക്കരണം
व्यापकीकरण,പൊതുവൽക്കരണം
व्यापक उद्देशीय भाषा,പൊതു-ഉദ്ദേശ്യ ഭാഷ
व्यापक उद्देश्य संक्रिया प्रणाली,പൊതു-ഉദ്ദേശ്യ പ്രവർത്തന സംവിധാനം
व्यापक उद्देश्य पंजी,പൊതു-ഉദ്ദേശ്യ രജിസ്റ്റർ
जनित त्रुटि,സൃഷ്ടിച്ച പിശക്
जनन प्रकार्य,ഫംഗ്ഷൻ സൃഷ്ടിക്കുന്നു
वर्ग सामान्य,ജനറിക് ക്ലാസ്
वर्ग प्रकार्य,പൊതു പ്രവർത്തനം
सामान्य वर्गनाम,പൊതുവായ പേര്
गीगो,ജിഗോ
"1.सार्वत्रिक, 2.वैश्विक",ആഗോള
सार्वत्रिक कूट,ആഗോള കോഡ്
सार्वत्रिक ताला,ആഗോള ലോക്ക്
"1.सार्वत्रिक जालक्रम,2.सार्वत्रिक नेटवर्क",ആഗോള ശൃംഖല
सार्वत्रिक जालक्रम,ആഗോള ശൃംഖല
"1.विश्व प्रयोक्ता, 2.सार्व प्रयोक्ता, 3.सार्वत्रिक प्रयोगकर्ता",ആഗോള ഉപയോക്താവ്
सार्वत्रिक चर,ആഗോള വേരിയബിൾ
"1.वैश्वीकरण, 2.भूमण्डलीकरण",ആഗോളവൽക്കരണം
गोफर (नेटवर्क में एक प्रोटोकॉल),ഗോഫർ
गोफर ग्राही,ഗോഫർ ക്ലയന്റ്
"1.गोफर परिसेवक, 2.गोफर सर्वर",ഗോഫർ സെർവർ
गोफर स्थल,ഗോഫർ സൈറ്റ്
गोफर स्पेस,ഗോഫർ സ്പേസ്
आकर्षक निम्नीकरण,ഭംഗിയുള്ള തരംതാഴ്ത്തൽ
व्याकरण संशोधक,വ്യാകരണ പരിശോധകൻ
व्याकरण आकर्षक बहिगर्मन,വ്യാകരണം ഗംഭീരമായ എക്സിറ്റ്
"1.कुल जोड़, 2.महायोग, 3.कुल योग",ആകെ തുക
"1.ग्राफ, 2.आलेख",ഗ്രാഫ്
"1.ग्राफ अंकन, 2.आलेख अंकन",ഗ്രാഫ് പ്ലോട്ടിംഗ്
"1.ग्राफीय संप्रतीक, 2.आलेखीय संप्रतीक",ഗ്രാഫിക് സ്വഭാവം
"1.ग्राफीय नियंत्रक, 2.आलेखीय नियंत्रक",ഗ്രാഫിക് കൺട്രോളർ
"1.ग्राफीय आंकड़ा संरचना, 2.आलेखीय आंकड़ा संरचना",ഗ്രാഫിക് ഡാറ്റ ഘടന
"1.ग्राफीय प्रदर्श क्रमादेश, 2.आलेखीय प्रदर्श क्रमादेश",ഗ്രാഫിക് ഡിസ്പ്ലേ പ്രോഗ്രാം
"1.ग्राफीय प्रदर्श विभेदन, 2.आलेख प्रदर्श",ഗ്രാഫിക് ഡിസ്പ്ലേ റെസലൂഷൻ
"1.ग्राफीय भाषा, 2.आलेखीय भाषा",ഗ്രാഫിക് ഭാഷ
"1.ग्राफीय भाषा, 2.आलेखीय भाषा",ഗ്രാഫിക് ഭാഷ
"1.ग्राफीय पट्टिका, 2.आलेखीय पट्टिका",ഗ്രാഫിക് പാനൽ
"1.ग्राफी एनीमेशन, 2.आलेखी एनीमेशन",ഗ്രാഫിക്കൽ ആനിമേഷൻ
ग्राफी अन्तरण फारमेट (जीाईेफ),ഗ്രാഫിക്കൽ ഇന്റർഫേസ് ഫോർമാറ്റ് (GIF)
"1.ग्राफी प्रयोक्ता इंटरफेस (जीयूाई), 2.ग्राफीय प्रयोक्ता अंतरापृष्ठ",ഗ്രാഫിക്കൽ യൂസർ ഇന്റർഫേസ് (GUI)
"1.आलेखी, 2.ग्राफिक्स",ഗ്രാഫിക്സ്
"1.ग्राफिक्स अनुप्रयोग, 2.आलेखीय अनुप्रयोग",ഗ്രാഫിക്സ് ആപ്ലിക്കേഷൻ
"1.ग्राफिक्स कर्सर, 2.आलेखी कर्सर",ഗ്രാഫിക്സ് കഴ്സർ
"1.ग्राफिक्स मोड, 2.आलेखी विधा",ഗ്രാഫിക്സ് മോഡ്
"1.ग्राफिक्स पैकेज, 2.आलेखी पैकेज",ഗ്രാഫിക്സ് പാക്കേജ്
"1.ग्राफिक्स सॉफ्टवेयर, 2.आलेखी सॉफ्टवेयर",ഗ്രാഫിക്സ് സോഫ്റ്റ്വെയർ
"1.ग्राफिक्स सॉफ्टवेयर, 2.आलेखी सॉफ्टवेयर",ഗ്രാഫിക്സ് സോഫ്റ്റ്വെയർ
"1.ग्राफिक्स सॉफ्टवेयर पैकेज, 2.आलेखीय सॉफ्टवेयर पैकेज",ഗ്രാഫിക്സ് സോഫ്റ്റ്വെയർ പാക്കേജ്
ग्रे स्केल,ഗ്രേ സ്കെയിൽ
"1.लालची विधि, 2.ग्रीडी विधि",അത്യാഗ്രഹ രീതി
ग्रेप,grep
ग्रिड,ഗ്രിഡ്
ग्रिड संचित्र,ഗ്രിഡ് ചാർട്ട്
ग्रिड अभिकलन,ഗ്രിഡ് കമ്പ്യൂട്ടിംഗ്
ग्रिड मॉडुलन,ഗ്രിഡ് മോഡുലേഷൻ
भू-तरंग,ഗ്രൗണ്ട് വേവ്
समूह,ഗ്രൂപ്പ്
समूह पता,ഗ്രൂപ്പ് വിലാസം
समूह कूट,ഗ്രൂപ്പ് കോഡ്
समूह संचार,ഗ്രൂപ്പ് ആശയവിനിമയം
समूह संचार,ഗ്രൂപ്പ് ആശയവിനിമയം
"1.समूह पहचान, 2.समूह अभिज्ञान",ഗ്രൂപ്പ് തിരിച്ചറിയൽ
समूह नाम,ഗ്രൂപ്പ് പേര്
समूहवेयर,ഗ്രൂപ്പ്വെയർ
वृद्धि,വളർച്ച
"1.रक्षक, 2.गार्ड",കാവൽ
निर्देशित माध्यम,മാർഗനിർദേശം നൽകിയ മാധ്യമങ്ങൾ
गनजिप,വെടിയുണ്ട
