Odiya,Bengali
ଚୀନ୍ ଟର୍ପେଣ୍ଟାଇନ୍ ଗଛ |,চীন টারপেনটাইন গাছ
ଚୋ-ଚାଉ,কুকুর কুকুর
ChrysSanthemumum,ক্রিস্যান্থেমাম
"ଚୁଫା, ପୃଥିବୀ ବାଦାମ |","চুফা, পৃথিবী বাদাম"
ସୋହୋରୀ,সিচরি
ଚିନାବାଦାମ |,দারুচিনি
ଆରଟନ୍ |,সিট্রন
ସାଇଟ୍ରନେଲିଲା ଘାସ |,সিট্রোনেলা ঘাস
ଜସ୍ମିନ୍ ଚ cl େ |,জেসমিন আরোহণ
ଲବଙ୍ଗ,লবঙ্গ
କ୍ଲଷ୍ଟର ବିନ୍ |,ক্লাস্টার বিন
କୋକୋ,কোকো
ନଡ଼ିଆ |,নারকেল
କଫି,কফি
କୋଲସ,কোলিয়াস
କୋଲୋସିସିଆ,কলোকাসিয়া
"ଉପନିବେଶ, ତିକ୍ତ ଆପଲ୍ |","কলোকিন্থ, তিক্ত আপেল"
ସାଧାରଣ ପର୍ସଲେନ |,সাধারণ পার্সেলেন
ଧନିଆ,ধনে
କପା,সুতি
ଗା cow ାସ,কাউপিয়া
କ୍ୟୁବ୍,কিউব
କାକୁଡି,শসা
କ୍ୟୁକୁଭର୍ଟସ୍ |,Cucubits
ଜିର୍ତିକ |,জিরা
ତରକାରୀ ପତ୍ର |,কারি পাতা
କଷ୍ଟାର୍ଡ ​​ଆପଲ୍ |,আতা
କ୍ୟାପସୁଲ୍ ବୋରର୍ |,ক্যাপসুল বোরার
କ୍ୟାଟପିଲର୍,ক্যাটারপিলার
ସାଇଟ୍ରସ୍ ସିଲେଲା |,সাইট্রাস সাইক্ল্লা
କ୍ରିକେଟ୍,ক্রিকেট
କାଉ,কাক
କଟା ପୋକ,কাটা কৃমি
ଦୁଗ୍ଧ,দুগ্ধ
ଦୁର୍ଗର,ডেয়ারিং
ବନ୍ଧ,বাঁধ
ଦିନ-ନିରପେକ୍ଷ |,দিন-নিরপেক্ষ
ଫୁଲର ଦିନ ପରେ |,ফুলের পরে দিন
ପୂର୍ଣ୍ଣ ଫୁଲ ପରେ ଦିନ |,পুরো পুষ্প পরে দিন
Deblossome,ডিব্লোসোমিং
ହ୍ରାସ,ডিক্যালসিফিকেশন
କ୍ଷୟ,ডিক্যান্ট
କ୍ଷୟ,ক্ষয়
ନିର୍ଣ୍ଣୟ,পাতলা
ଦଶମିକ,দশমিক
ଅଭାବ |,স্বল্পতা
ଡିଫ୍ଲୋକେସନ୍ (ମାଟି),ডিফলোকুলেশন (মাটি)
ପରିଶୋଧନ,Defloration
ଗଭୀରତା,ডিফোলিয়েশন
ଜଙ୍ଗଲ |,বন নিধন
ଅବଶ୍ୟ ନିରନ୍ତର,অবক্ষয়
ଭିକେସନ୍,অবক্ষয়
ଡିଗ୍ରୀ ଦିନ,ডিগ্রি দিন
ଡିଗ୍ରୀ,ডিগ্রি
ଡିଫିସେନ୍ସ |,ডিহেসেন্স
ଦେହୁଙ୍ଗିଂ,ডিহুলিং
ଦେହକ୍କକ୍ କରିବା,ডিহুসিং
ଡିହାଇଡିଂ,পানিশূন্যতা
ଘୋଡେନକର୍,ডিহাইড্রেটর
ଚାହିଦା,চাহিদা
ନିନ୍ଦା,অবনতি
ନିନ୍ଦା,অস্বীকার
ଜମା,আমানত
ଚିହ୍ନ,জবানবন্দি
ଅବନତି କରାଲିନାଇଜେସନ୍ |,অবমূল্যায়ন বিচ্ছিন্নকরণ
ମାନସ,বিশৃঙ্খলা
ଡିଜାଇନ୍,নকশা
ଡେସିକର୍ତ୍ତା,ডেসিসেটর
ଆକ୍ରମଣ,গন্তব্য
ନିଷ୍କ୍ରିୟ |,Desuckering
Desynapp ଗୁଡିକ,Desynapsis
ଡିଟସେଲ |,ডেটাসেল
ଡିଟସେସିଂ |,ডিটাসেলিং
ନିର୍ଣ୍ଣୟ,নির্ধারক
ମୂଲ୍ୟ ହ୍ରାସ,অবমূল্যায়ন
ବିଘ୍ନନା,দেভেজেটেশন
ବ୍ୟତିକ୍ରମ,বিচ্যুতি
Digd,ডায়াড
ନିରାକରଣ,রোগ নির্ণয়
ଡିକୋଗାମି |,Dichogamy
ଡିକଟୋଟୋମି |,দ্বৈতত্ত্ব
ଡିକୋଟିଡିନ୍ (ବିହନ),ডিকোটাইলডন (বীজ)
ବ୍ୟାକ୍ ବ୍ୟାକ୍ (ରୋଗ),ফিরে মারা (রোগ)
ପରିଭାଷାନ,বিচ্ছুরণ
ହଜମ୍ବତି |,হজমতা
ଡିହାଇବଏଡ୍,ডিহাইব্রিড
ଡିକି (DYKE),ডাইক (ডাইক)
ମିଶ୍ରିତ,পাতলা
ଡାଇଓକାରୀ,ডাইওসিয়াস
ଡିପ୍ଲାଇଡ୍,ডিপ্লোড
ଡିପ୍ଲାଇଡ୍,ডিপ্লোড
ଡିପ୍ଲୋନେମା,ডিপ্লোনেমা
ଅଦୃଶ୍ୟତା,অসন্তুষ্টি
ଡିସ୍କ,ডিস্কিং
ରିହାତି,ছাড়
ଅସଂଗୁକ୍ଷା,নির্বীজন
ବିଚ୍ଛେଦ,বিচ্ছুরণ
ବିସ୍ତାର,প্রচার
ବିବିଧତା,বৈচিত্রতা
ବିବିଧ ଚାଷ,বিবিধ কৃষিকাজ
DNA ସିଡ଼ି |,ডিএনএ মই
DNA RESPTOTER |,ডিএনএ রিসেপ্টর
ଡୋଗେଜ,ডকেজ
ପ୍ରାଧାନ୍ୟ,প্রভাবশালী
Gormancy,সুপ্ততা
ମାତ୍ରା,ডোজ
ଡବଲ୍ ସିଗମାଇଡ୍ ବକ୍ର |,ডাবল সিগময়েড বক্ররেখা
ଡ୍ରାଫ୍ଟ (ଡ୍ରାଫ୍ଟ),খসড়া (খসড়া)
ନାଳି,ড্রেন
ଜଳ ନିଷ୍କାସନ,নিকাশী
ଡ୍ର,অঙ্কন
ଶୁଖିବା,ভিজে যাওয়া
ପୋଷାକ (ବିହନ),ড্রেসিং (বীজ)
ଡ୍ରିଲ୍ (n।),ড্রিল (এন।)
ଡ୍ରିଲିଂ (ଏଜେ। Engg),ড্রিলিং (এজি। ইঞ্জিন)
ଡ୍ରିଲିଂ (ଆଗ୍ରୋନ୍ରୋଣ),ড্রিলিং (কৃষি)
ଜଳସେଚନ,ড্রিপ সেচ
ଡ୍ରାଏଲାଣ୍ଡ ଫାର୍ମିଂ |,শুকনো কৃষিকাজ
ଧୂଳି,ধুলো
ଡଷ୍ଟର୍,ডাস্টার
ଧୂଳି,ধুলাবালি
ବଧୂ |,বামন
ବଧୂ ପିରାମିଡ୍ |,বামন পিরামিড
ବଧୂ |,বামন
Daissy,ডেইজি
ତାରିଖ,তারিখ
ଦିନ ଜସ୍ମିନ୍ |,ডে জেসমিন
ଡିଲ୍,ডিল
ଦିନନାଥ ଘାସ |,দিননাথ ঘাস
ଚାଳକ,ডড্ডার
"ଡୋବ ଘାସ, ବରମୁଣ୍ଡା ଘାସ |","ডুব ঘাস, বারমুডা ঘাস"
ଡଣ୍ଠି,ড্রুস
ଶୁଖିଲା ଅଦା,শুকনো আদা
ଡିଫୋଲିଂ ପୋକ,ডিফোলিয়েটিং বিটল
ଡ୍ରୋନ୍,ড্রোন
ବତକ,হাঁস
ପରିବେଶ,বাস্তুশাস্ত্র
ଇକୋନୋମଟ୍ରିକ୍ସ |,একনোমেট্রিক্স
ଅର୍ଥନ aff ତିକ ଦକ୍ଷତା |,অর্থনৈতিক দক্ষতা
ଇକୋଟେପ୍ |,ইকোটাইপ
Ectorrophic,অ্যাক্টোট্রফিক
ଏଡଫାଲିକ୍ |,এড্যাফিক
ଏଡିବାଫୋଲୋଜି,এড্যাফোলজি
Eding,এজিং
ସମ୍ପୁର୍ଣ୍ଣ ଅଂଶ,ভোজ্য অংশ
ଚାହିଦା ଚାହିଦା |,চাহিদার স্থিতিস্থাপকতা
ଉତ୍ପାଦନର ଇଲଷ୍ଟିକ୍ |,উত্পাদন স্থিতিস্থাপকতা
ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍,বৈদ্যুতিন বিশ্লেষণ
ଇଲେକ୍ଟ୍ରୋଫୋରସସ୍,ইলেক্ট্রোফোরসিস
ବିଲିୟନଟେସନ୍,এলিউভিয়েশন
ଇମାସକୋଲେଟର |,ইমাসকুলেটর
ଜବରଦଖଲ,এম্ব্যাঙ্কিং
ଭ୍ରୁଣ,ভ্রূণ
ଭ୍ରୁଣବିଶ୍ୱାସ,ভ্রূণতত্ত্ব
ଉଦତର |,উত্থান
ଏମୁଲେସିଫାୟର୍ |,ইমুলিফায়ার
ଇବଗେନୋଜ,অন্তঃসত্ত্বা
ଏଣ୍ଡୋରିଟୋସିସ୍ |,এন্ডোমিটোসিস
ଏଣ୍ଡୋ ପଯାତ୍ରାଟ୍ |,এন্ডোপারাসাইট
ଏଣ୍ଡୋରମ୍,এন্ডোস্পার্ম
ଉଦ୍ୟମ୍,এন্টারপ্রাইজ
ପ୍ରବେଶ,এনটমোলজি
ପରିବେଶ,পরিবেশ
ଏନଜାଇମ୍,এনজাইম
ଏପିକୋଟିସ୍ ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |,এপিকোটাইল গ্রাফটিং
EpipheeTee,এপিফাইট
ଇକ୍ୱିଟି |,ইক্যুইটি
ବିଲାତି,নির্মূল
ଅତ୍ୟାବଶ୍ୟକ ପୁଷ୍ଟିକର |,অত্যাবশ্যক পুষ্টি
ଆକଳନ,অনুমান
ଇଥିଓପିଏମ |,Itiolation
ଇଉଜେନିକ୍,ইউজেনিক
ମୂଲ୍ୟାଙ୍କନ,মূল্যায়ন
Evaporimer,বাষ্পীভবন
ବାଷ୍ପ-ଟ୍ରାନ୍ସପେରେସନ୍ |,বাষ্পী-স্থানান্তর
ଚିର ସବୁଜ ବିପ୍ଳବ |,চিরসবুজ বিপ্লব
ଚିର ସବୁଜ |,চিরসবুজ
ବିବର୍ତ୍ତନ,বিবর্তন
ଏକ୍ସ,আবগারি
ନିଷ୍କାସନ (ପ୍ରଜନନ),ক্লান্তি (উর্বরতা)
ଶୋଷଣ,শোষণ
ଅନୁସନ୍ଧାନ,অনুসন্ধান
ବହିଷ୍କାର,এক্সট্রুশন
ଆଖି (ସାଲେଡେନ୍ / ଆଳୁ),চোখ (সুগারকেন/আলু)
ଖାଇବା ପାଇନ୍,ভোজ্য পাইন
"ହାତୀ ପାଦ, ୟାମ","হাতি পা, ইয়াম"
ଇଉକ୍ଲିପଟସ୍,ইউক্যালিপটাস
ପୃଥିବୀ କୀଟ,কেঁচো
Entomologist-,এনটমোলজিস্ট
ପରିବେଶଗତବାଦୀ,পরিবেশবাদী
କାରକ,ফ্যাক্টর
କାରକ ଉତ୍ପାଦନ,ফ্যাক্টর উত্পাদনশীলতা
ଭାସ୍ଟାଉଣ୍ଡ,ফ্যাক্টরেজ
ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |,ফ্যাক্টরিয়াল ব্লক ডিজাইন
ଅଧ୍ୟାପକ,ফ্যাক্টেটিভ
ପତଳା |,পতন
ପରିବାର,পরিবার
ଫାର୍ମ ମୂଲ୍ୟାଙ୍କନ |,খামার মূল্যায়ন
ଫାର୍ମ ବଜେଟ୍,খামার বাজেট
ଚାଷ ବ୍ୟବସାୟ,খামার ব্যবসা
ଫାର୍ମ ଯୋଜନା,খামার পরিকল্পনা
କୃଷକ,কৃষক
ଚାଷ,কৃষিকাজ
ବନ୍ଧକ,ফ্যাসিয়েশন
ଫେବୃଆଣ୍ଡେସନ୍,ফেকান্ডেশন
ମୁଖ,গাঁজন
ପ୍ରଜନନ,উর্বরতা
ସାର,সার
ଫର୍ଟିଲାଇଜର ବ୍ୟବହାର ଦକ୍ଷତା ବ୍ୟବହାର କରନ୍ତୁ |,সার ব্যবহারের দক্ষতা
ଫାଇବ୍ରସ୍,তন্তু
କ୍ଷେତ୍ର,ক্ষেত্র
କ୍ଷେତ୍ର ଦକ୍ଷତା,ক্ষেত্রের ক্ষমতা
କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ,ক্ষেত্র প্রদর্শন
ଫିକ୍ସସନ୍,স্থিরকরণ
ବନ୍ୟା ପରିସ୍ଥିତି,বন্যা
ପ୍ରବାହ ଚିତ୍ର |,প্রবাহ চিত্র
ଖାଦ୍ୟ ମୂଲ୍ୟ,খাদ্য মান
ଚାରା (ଖାଇବାକୁ),ঘাস (পশুর)
ପୂର୍ବାନୁମାନ,পূর্বাভাস
ଜଙ୍ଗଲ,বন। জংগল
ରକ୍ତ ବନ୍ଧୁମାନେ,বনাঞ্চল
ବରଣ୍ଡ,ফ্রন্ড
ବରଫ ପ୍ରତିରୋଧକ |,ফ্রস্ট প্রতিরোধী
ବରଫ,ফ্রস্ট
ଫ୍ରିଜ୍ (ଫଳ ଏବଂ ପନିପରିବା),হিমায়িত (ফল ও উদ্ভিজ্জ)
ଫଳ,ফলস্বরূপ
ଫଳ ଡ୍ରପ୍,ফল ড্রপ
ଫଳ-ସେଟ୍ (ଫଳ ସେଟିଂ),ফল-সেট (ফল সেটিং)
ଫ୍ୟାଜିଜ୍,ধোঁয়াশা
ଫଙ୍ଗିସାଇଡ୍ |,ছত্রাকনাশক
ଫଙ୍ଗିଷ୍ଟାଟିକ୍ |,ছত্রাকজনিত
କବକ,ছত্রাক
ଫ୍ରୁ,ফুরো
ଫ୍ୟୁଜନ୍ |,একীকরণ
ଫୁଜ୍,ফুজ
ଅସ୍ପଷ୍ଟ,অস্পষ্ট
"ଫେନେଲ, ଆଣ୍ଠୁଏ |","মৌরি, অ্যানিস"
FenugRek,ফেনুগ্রেক
ଡିମ୍ବିରି,ডুমুর
ଆଙ୍ଗୁଠି ମିଲେଟ୍ |,আঙুলের বাজরা
ଅଗ୍ନି-ଅଗ୍ନି ବୁଦା,ফায়ার-ফ্লেমে বুশ
ଜଙ୍ଗଲର ନିଆଁ,বনের শিখা
ଫରାସୀ ବିନ୍,ফরাসি শিম
ପୋକ,ফ্লা
ଠେକୁଆ,ফক্স
ଫଳ ଉଡ଼ିଠି,ফলের মাছি
ଗଲ୍ (ହୋର୍ଟ),গল (হর্ট)
ଖେଳ,গেমেট
ଉଦ୍ୟାନ,বাগান
ଗେଜ୍ (ପାଣି),গেজ (জল)
ଜିନ୍ ବ୍ୟାଙ୍କ |,জিন ব্যাংক
ଜିନ୍ ଟ୍ୟାଗ୍ କରିବା |,জিন ট্যাগিং
ବଂଶଧରୋଗ ବିଜ୍ଞାନ,জিনোলজি
ଜେନେଟିକ୍ ମାନଚିତ୍ର |,জেনেটিক মানচিত্র
Gegnetics,জেনেটিক্স
ଜିଦ୍,জিনোম
ଜେନୋମିକ୍ ଲାଇବ୍ରେରୀ |,জিনোমিক লাইব্রেরি
ଜେନୋମିଟର,জিনোমিক্স
ଜେନେଟାଇପ୍,জিনোটাইপ
ଜେନେଟାଇପ୍,জিনোটাইপ
ଜେନସ୍,জেনাস
ଜେନସ୍,জেনাস
ଜୀବାଣୁ,জীবাণু
ଜୀବାଣୁ,জীবাণু
ଅଦମାରଣ,অঙ্কুরোদগম
Germplasm,জীবাণু
ଗିବବର୍ଗିକ୍ ଏସିଡ୍ |,গিব্বেরেলিক অ্যাসিড
ଗିନିଂ,জিনিং
ଲ୍ୟୁମର,গ্লুম
ଗ୍ଲାଉଟିନିୟସ୍ |,আঠালো
ଗ୍ଲାଇକୋଲିସିସ୍ |,গ্লাইকোলাইসিস
Gneass,Gneiss
ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ,সোনার বিপ্লব
ଗ୍ରେଡିଂ,গ্রেডিং
ଗ୍ରାଫ୍ଟିତ ଉଦ୍ଭିଦ |,গ্রাফ্টেড উদ্ভিদ
ଗ୍ରାଫ୍ଟ-ଅସଙ୍ଗତ |,গ্রাফ্ট-ইনমপ্যাটেবল
ଗ୍ରାନା |,গ্রান্না
ଗ୍ରାନୁଲେସନ୍,গ্রানুলেশন
ସବୁଜ ଖତ,সবুজ সার
ସବୁଜ ବିପ୍ଳବ,সবুজ বিপ্লব
ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ |,বৃদ্ধি এবং উন্নয়ন
ଗୁମ୍ବୋସ୍,গুমোসিস
ନଦୂତର,Gynodioecious
ଗଲ୍ ବାଦାମ |,গল বাদাম
ରସୁଣ |,রসুন
ଅହବେରା |,জেরবেরা
ଘର୍ନ୍କିନ୍ |,ঘেরকিন
ଅଦା,আদা
ଗୁଗାଓସସ୍ |,গ্ল্যাডিওলাস
ଛେଳି ତୃଣକ (ଏଗ୍ରାଟମ୍),ছাগলের আগাছা (আগেরেটাম)
ଅଙ୍ଗୁର ଫଳ,আঙ্গুর
ଅଙ୍ଗୁର,আঙ্গুর
ସବୁଜ ଗ୍ରାମ,সবুজ ছোলা
Grewia,গ্রুইয়া
ଭୂମିରେ,চিনাবাদাম
ଗୁଆବା,পেয়ারা
ଗିନି ଘାସ,গিনি ঘাস
ଗାଲ୍ ମିଜ୍ |,গ্যাল মিড
ଘାସ ହପର୍ |,ঘাস হপার
ଗୁଣ୍ଡିନ୍ ବଗ୍ |,গুন্ডি বাগ
ଅଭ୍ୟାସ,অভ্যাস
କୁଆପଥର,শিলাবৃষ্টি
ହେୟାରସିଭେଚ୍ |,হেয়ারভেচ
ହାଲଫିଟେଟ୍,হ্যালোফাইট
ହାରୋ,হ্যারো
ଅମଳ ସୂଚକାଙ୍କ |,ফসল সূচক
ଅମଳ,ফসল
ଅମଳ,ফসল কাটা
ହ୍ୟାଚ୍,হ্যাচ
ଘାସ,খড়
ହେଲିଜ୍ |,হেইলজ
ହେସ୍ଟକ୍,হেইস্টক
କୁହୁଡି,ধোঁয়াশা
ଦୁର୍ବଳ,আড়ম্বরপূর্ণ
ମୁଣ୍ଡ (ଆଗ୍ରୋ),মাথা (কৃষি)
ମୁଣ୍ଡ (ଚ୍ୟାନେଲର),মাথা (চ্যানেলের)
ହେଡିଙ୍ଗ୍,পিছনে মাথা
ହେଜ୍,হেজ
ହେଡିଙ୍ଗ୍,হেজিং
ହେଲିକ୍ସ |,হেলিক্স
ହେମାଟାଇଟ୍,হেমাটাইট
B ଷଧ,ভেষজ
ହର୍ବରିୟମ୍ |,হার্বেরিয়াম
B ଷଧୀୟ,হার্বিসাইড
ବଂଶାନୁକ୍ରମିକ,বংশগততা
ପରବର୍ତ୍ତୀ ସମୟରେ ଚୟନର ଯୋଗ୍ୟତା |,হেরেটিবিলিটি
His ହେମାଫ୍ରୋଡାଇଟ୍ |,হার্মাফ্রোডাইট
ହେଟେରକୋମେଟିକ୍ |,হিটারোক্রোমেটিক
ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |,হেটেরোফেরটিলাইজেশন
ହେଟେରୋସିସ୍ |,হিটারোসিস
ହେଟେରୋସ୍କୋମ୍,হেটেরোসোম
ହେଟେରୋଟ୍ରୋଫ୍ |,হিটারোট্রফ
Hexaploid,হেক্সাপ্লয়েড
ହାଇବରନେଟ୍ |,হাইবারনেট
ଉଚ୍ଚ ଘନତା ଲଗାଇବା |,উচ্চ ঘনত্ব রোপণ
ପାହାଡ (ଚାଉଳ),পাহাড় (চাল)
ହିଷ୍ଟୋଗ୍ରାମ୍,হিস্টোগ্রাম
ହାଇଟେକ୍ ହଳିକତା |,হিটেক হর্টিকালচার
ଗୁପ୍ତ,মুরগি
ହୋଙ୍ଗ,হোয়িং
ଧରି ରଖିବା,ধারণ
ଘର ଫାର୍ମ |,হোম ফার্ম
ହୋମେଓଷ୍ଟାସାସାସୀ,হোমিওস্টেসিস
ହୋମଷ୍ଟେଡ୍ |,হোমস্টেড
ସମଲିଙ୍ଗୀତା |,সমজাতীয়তা
ସମଲିଙ୍ଗୀ,সমজাতীয়
ସମ୍ବାଦ,হোমোলজাস
ସୋମବରଗୋଟେଗୋଟ୍ |,হোমোজাইগোট
ହପର୍,হপার
ରାଶି,দিগন্ত
ଉଦ୍ୟାନ କୃଷି ଫସଲ |,উদ্যানতাত্ত্বিক ফসল
ଉଦ୍ୟାନ କୃଷି,উদ্যানতত্ত্ব
ହୋର୍ଟି-ସିଲଭି ପେଷ୍ଟୁରାଲ୍ ଚାଷ ​​|,হর্টি-সিলভি যাজকীয় কৃষিকাজ
ହୋଷ୍ଟ,হোস্ট
ଗରମ ପାଣି ଚିକିତ୍ସା |,গরম জল চিকিত্সা
ହଲ୍,হাল
ଆର୍ଦ୍ରତା,আর্দ্রতা
ହ୍ୟୁମସ୍,হুমাস
ହସ୍,হুস্ক
ହ୍ୱକର୍,হকার
ହସିଂ,হুংস
ହାଇବ୍ରିଡ୍ |,হাইব্রিড
ହାଇବ୍ରିଡାଇଜେସନ୍ |,সংকরকরণ
ହାଇଡ୍ରେସନ୍,হাইড্রেশন
ହାଇଡ୍ରୋଲୋଜି,জলবিদ্যুৎ
ହାଇଡ୍ରୋଲାଇସିସ୍,হাইড্রোলাইসিস
ହାଇଡ୍ରୋମିଟର |,হাইড্রোমিটার
ହାଇଡ୍ରୋଫିଲୋସ୍,হাইড্রোফিলাস
ହାଇଡ୍ରୋପୋନିକ୍ସ |,জলবিদ্যুৎ
ହାଇଡ୍ରୋସଫେରର୍ |,হাইড্রোস্ফিয়ার
ହାଇଡ୍ରୋସ୍କୋପିଟି |,হাইড্রোস্কোপিসিটি
ହାଇପରପେରାସାଇଟ୍ |,হাইপারপ্যারাসাইট
ହାଇପରପ୍ସିଆ,হাইপারপ্লাজিয়া
ହାଇଫା,হাইফা
କପଟୋଟଲ୍,হাইপোকোটাইল
ଶୁଳୋପାସିସ୍ |,হাইপোথিসিস
ହିଷ୍ଟେରେସିସ୍ (ଜଳ),হিস্টেরেসিস (জল)
ହାଜେଲ ବାଦାମ,হ্যাজেল বাদাম
ହେମ୍ପ,শিং
ହେନବାନ୍ |,হেনবেন
ହେନ୍ନା,হেনা
ହାଇବିସ୍କସ୍ |,হিবিস্কাস
ହପ୍,খোঁড়ান
ଘୋଡା ଗ୍ରାମ |,ঘোড়া গ্রাম
ଘୋଡା ଚକ୍ଷୁ-ବିନ୍ |,হর্স-আই-শিম
ମହୁ ମାଛି,মৌমাছি
ହପର୍,হপার
ହାର୍ଟିସୁରିଷ୍ଟ |,উদ্যানতত্ত্ববিদ
ଜଳ,হাইড্রোলজিস্ট
ପରିସ୍ଥିତି ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ ରେ |,সিটু গ্রাফটিংয়ে
ଭିଟ୍ରୋରେ |,ভিট্রোতে
ଭିଭୋରେ,ভিভোতে
ଅଜ୍ଞାତ,নির্বিচারে
କୀଟ,পোকামাকড়
କୀଟପତଙ୍ଗ ପୋକ,কীটপতঙ্গ
କୀଟରୀ,পোকামাকড়
କୀଟନାଶକ,কীটনাশক
କୀଟନାଶକ,পোকামাকড়
ନିନ୍ଦା,ইনসোলেশন
ଅପିସ୍ମରଣୀ,অদৃশ্য
ଇନଷ୍ଟାର (କୀଟ),ইনস্টর (পোকামাকড়)
ଇନସୁଲେଟର |,ইনসুলেটর
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ରୋଗ ପରିଚାଳନା,ইন্টিগ্রেটেড ডিজিজ ম্যানেজমেন্ট
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପୁଷ୍ଟିକର ପରିଚାଳନା,সংহত পুষ্টি ব্যবস্থাপনা
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପେଷ୍ଟ ପରିଚାଳନା,সমন্বিত বালাই ব্যবস্থাপনা
ତୀବ୍ରତା,তীব্রতা
ତୀବ୍ର,নিবিড়
ଇଣ୍ଟରକ୍ରପ୍,ইন্টারক্রপ
ଇଣ୍ଟରକେଟିଭେସନ୍ (ଇଣ୍ଟରକଲ୍ଟର),আন্তঃসংশ্লিষ্টতা (আন্তঃবিজ্ঞান)
ଆଗ୍ରହ,স্বার্থ
ଆଭେଜର |,ইন্টারনোড
ଇଣ୍ଟରଫାଜ୍ (କକ୍ଷ ବିଭାଗ),ইন্টারফেজ (সেল বিভাগ)
ଇଣ୍ଟରପୋଲେସନ୍,ইন্টারপোলেশন
ଇଣ୍ଟର-ଷ୍ଟେରାଇଲ୍ |,আন্তঃমুখী
ଭଣ୍ଡାର,ইনভেন্টরি
ଓଲଟା |,বিপর্যয়
ଜଡିତ,জড়িত
ଆୟନ,আয়ন
ବିକଶିତତା |,ইরেডিয়েশন
ଜଳସେଚନ,সেচ
ISO ସା elles େଲାଲ |,আইএসও অ্যালিলস
ISO ଉତ୍ପାଦ ବକ୍ର |,আইএসও পণ্য বক্ররেখা
ଆଇସୋ ବାର୍ |,আইসোবার
ଆଇସୋଗାମି |,আইসোগামি
ବିଚ୍ଛିନ୍ନତା ଦୂରତା |,বিচ্ছিন্নতা দূরত্ব
Isploid,আইসোপ্লয়েড
Isoquat,আইসোক্যান্ট
ଇସୋଟୋପ୍,আইসোটোপ
ଭାରତୀୟ ବିରଞ୍ଚ |,ভারতীয় বার্চ
ଭାରତୀୟ ନୀଳ ପାଇନ୍ |,ইন্ডিয়ান ব্লু পাইন
ଭାରତୀୟ ଚେରି |,ভারতীয় চেরি
ଭାରତୀୟ ଜୁନିପର |,ভারতীয় জুনিপার
ଭାରତୀୟ କୋନୋ ଗଛ |,ভারতীয় কিনো গাছ
ଇଣ୍ଡିଆନ୍ ଆର୍ଥିକ ଗଛ |,ভারতীয় লরাল ট্রি
ଭାରତୀୟ ମାଡଡରର,ভারতীয় ম্যাডার
ଭାରତୀୟ ମାଡଲର |,ভারতীয় ম্যাডলার
ଇଣ୍ଡିଆନ୍ ପୋଡା ଫାଇଲମ୍ |,ইন্ডিয়ান পোডো ফিলাম
ଇଗିଗୋ |,নীল
ଇଟାଲୀ ମିଲେଟ |,ইতালিয়ান বাজরা
ହାତୀ ଦାନ୍ତ,আইভরি গাছ
ଆଇଭି ଗୋଡ / ଛୋଟ ଗୋରୁକ |,আইভী লাউ/লিটল লাউ
ଜାଗର,গুড়
ଜାପିକା ଚାଉଳ,জাপোনিকা রাইস
ଜାସିଡ୍ |,জ্যাসিড
ଜାନବାନୀ ଚାଉଳ |,জাভানিকা রাইস
ଅଳଙ୍କାର,জেলিং
Jhum ଚାଷ,ঝুম চাষ
ଜମ୍ପ୍ ଜିନ୍,জাম্পিং জিন
ଜଙ୍କ ଡିନା |,জাঙ্ক ডিএনএ
ନାବାଳକ ଚେଜ୍ |,কিশোর পর্ব
ଜାକରଣ୍ଡା |,জ্যাকারান্ডা
Jackfruit,জ্যাকফ্রুট
ଜାମୁନ୍ |,জামুন
ଜସ୍ମିନ୍ |,জুঁই
ଜାଟୀ ଖାଟ୍ଟି |,জাট্টি খট্টি
ଜାଟ୍ରୋଫା |,জ্যাটট্রোফা
ଜଟ୍ର,পাট
Jassids,জ্যাসিডস
କୋଲିନ୍ |,কওলিন
କୋଲିନାଇଟ୍,কওলিনাইট
କୋଲିନାଇଟ୍,কওলিনাইট
କରୀଚିମା |,ক্যারিঞ্চাইমা
ନିକ୍,ক্যারিওডেসমা
Karogamy,ক্যারিওগামি
Karogargram (idigromm),ক্যারিওগ্রাম (আইডিওগ্রাম)
କାରୁକୋକିନାସ୍,ক্যারিওকাইনেসিস
ଖାରିଓଲୋଜି |,ক্যারোলজি
କାରିଓଲାଇସିସ୍,ক্যারিওলাইসিস
କିଲୋନ,ক্যারিওন
କାରିଓଟାଇପ୍,ক্যারিওটাইপ
Kelp (algae),কেল্প (শেত্তলা)
କେଲଭିନ ଚକ୍ର |,কেলভিন চক্র
କିରାଟିନ୍ |,কেরাটিন
କର୍ଣ୍ଣଲ |,কার্নেল
KHARA ରୋଗ,খাইরা রোগ
ଖାରିଫ୍ |,খরিফ
