Bengali,Assamese
1. বিকৃতকরণ 2. গুণ,১.ডিনেচাৰেচন ২.গুণন
বর্জন,ডেনুডেচন
1. জমা (মাটি) 2. জমা (অর্থনীতি),1. জমা (মাটি) 2. জমা (অৰ্থনীতি)
আমানত,জমা
1. অবচয় 2. অবচয়,১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস
বিশুদ্ধকরণ,ডিচেলাইনেচন
1. জল শুকিয়ে যাওয়া 2. ডিহাইড্রেশন,১/ পানী শুকুৱাই লোৱা ২/ পানীলগা
1. ডিজাইন 2. ডিজাইন,1. ডিজাইন 2. ডিজাইন
শুষ্ক,শুকান
কার্নেল অপসারণ,কাৰ্ণেল আঁতৰোৱা
de-intercalation,ডি-ইণ্টাৰকেলেচন
সংযোজন,সংযোজন
1. পুরুষ মঞ্জরি নিষ্কাশন (ভুট্টা) 2. বলর নিষ্কাশন,১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন
বল্লার বা কুন্দন কাটিং,বল্লাৰ বা কুন্দন কাটিব পৰা
নির্ধারক,নিৰ্ণায়ক
অবমূল্যায়ন,বিমুদ্ৰাকৰণ
উদ্ভিজ্জ,ডি-ভেজিটেট
বিচ্যুতি,বিচ্যুতি
দ্বিগুণ,দুণ্ডণ
রোগ নির্ণয়,নিদান
বিভিন্ন পরিপক্কতা,ভিন্ন পৰিপক্কতা
বিভাজন,bifurcation
1. ডাইকোটাইলেডন 2. ডাইকোটাইলেডন (বীজ),1. দ্বিবিষাক্ত (বীজ)
পিঠের রোগ,পিঠিৰ ৰোগ
1. ডিফিউশন 2. ডিফিউশন,১.প্ৰসাৰণ ২.প্ৰসাৰণ
হজম ক্ষমতা,হজম ক্ষমতা
ডাইহাইব্রিড,ডাইহাইব্ৰিড
1. বাঁধ 2. ড্রেন 3. পরিবার,১.বান্ধ ২.নলা ৩.পৰিয়াল
সামান্য,সামান্য
1. একগামী 2. একগামী,১.একপত্নী ২.একপত্নী
ডিপ্লয়েড,ডিপ্লয়ড
1. ডিপ্লয়েড 2. ডিপ্লয়েড,১.দ্বিগুণী ২.দ্বিগুণী
ডাইপোল,ডাইপোল
1. নিষ্কাশন 2. কুঁড়ি অপসারণ,১.নিষ্কাশন ২.কলি আঁতৰোৱা
1. লাঙ্গল চাষ 2. স্পিনিং,১.হালোৱা হাল বাই ২.ঘূৰোৱা
ছাড়,ৰেহাই
জীবাণুমুক্তকরণ,বীজাণুনাশক
1. বিচ্ছুরণ 2. বিক্ষিপ্তকরণ,১.বিক্ষিপ্ততা ২.বিক্ষিপ্ততা
1. বিক্ষিপ্তকরণ 2. ভিন্নতা,1.বিক্ষিপ্ততা 2.ভেৰিয়েন্স
বৈচিত্রতা,বৈচিত্ৰ্যতা
বৈচিত্র্যময় কৃষি,বৈচিত্ৰময় কৃষি
ডিএনএ পদক্ষেপ,dna পদক্ষেপ
ডিএনএ রিসিভার,ডি এন এ ৰিচিভাৰ
ডক ভাড়া,ডক ভাড়া
কার্যকর,কাৰ্যকৰী
সুপ্ততা,নিদ্ৰাহীনতা
1. পরিমাণ 2. ডোজ 3. ডোজ,১/ পৰিমাণ ২. মাত্ৰা ৩. মাত্ৰা
ডবল সিগমায়েড বক্ররেখা,ডাবল চিগম&#39;ইড বক্ৰ
1. দমকা 2. প্রসারিত,1. gust 2. টানিব পৰা
1. নিষ্কাশন ড্রেন 2. বর্জ্য,1. এক্সজেষ্ট ড্ৰেইন 2. এফ্লুৱেণ্ট
নিষ্কাশন,নিষ্কাশন
আকর্ষণ,ট্ৰেকচন
1. ওষুধ দিন 2. ভিজিয়ে দিন,1. ঔষধ দিয়া 2. তিয়াই পেলোৱা
প্রসাধনী (বীজ),প্ৰসাধন সামগ্ৰী (বীজ)
1. auger 2. অগভীর ফল্ট 3. ড্রিল 4. auger,1. অগাৰ 2. অগভীৰ দোষ 3. ড্ৰিল 4. অগাৰ
1. গর্ত 2. ড্রিল 3. ড্রিল,১. ফুটা ২. ড্ৰিল ৩. ড্ৰিল
1. ড্রিলিং 2. একটি ড্রিল দিয়ে বপন করা 3. একটি ড্রিল দিয়ে ঢালা,১.ড্ৰিল কৰা ২.ড্ৰিলেৰে বীজ সিঁচা ৩.ড্ৰিলেৰে ঢালি দিয়া
ড্রিপ সেচ,ড্ৰিপ জলসিঞ্চন
শুকনো চাষ,শুকান খেতি কৰা
1.ধুলো 2.বুকনি,১.ধূলি ২.বুকনি
1. ডাস্টার 2. বিক্ষিপ্তকারী,১.ডাষ্টাৰ ২.বিকিৰণকাৰী
ছিটানো,ছটিয়াই দিয়া
1. বামন 2. বামন,১.বামন ২.ৱামন
বামন পিরামিড,বামন পিৰামিড
ভামিনী ভবন,বামিণী ভৱন
বাস্তুশাস্ত্র,পৰিৱেশ বিজ্ঞান
অর্থনীতি,অৰ্থনীতি
অর্থনৈতিক দক্ষতা,অৰ্থনৈতিক দক্ষতা
পরিস্থিতিগত প্রকার,পৰিস্থিতিগত ধৰণ
অতিরিক্ত স্তরিত,অতিৰিক্ত স্তৰযুক্ত
নরম,কোমল
মৃত্তিকা বিজ্ঞান,soil বিজ্ঞান
1. ব্রিজিং 2. এজিং 3. স্ট্র্যান্ড ক্লোজার,1. ব্ৰীজিং 2. এজিং 3. ষ্ট্ৰেণ্ড বন্ধ কৰা
খাদ্য অংশ,খাদ্যৰ অংশ
চাহিদার স্থিতিস্থাপকতা,চাহিদাৰ স্থিতিস্থাপকতা
উত্পাদন স্থিতিস্থাপকতা,উৎপাদন স্থিতিস্থাপকতা
তড়িৎ বিশ্লেষণ,ইলেক্ট্ৰ&#39;লাইছিছ
ইলেক্ট্রোফোরেসিস,ইলেক্ট্ৰ&#39;ফ&#39;ৰেচিছ
বাষ্পীভবন,বাষ্পীভৱন
1. শিরশ্ছেদ 2. বন্দী 3. শিরশ্ছেদ 4. জীবাণুমুক্ত,১.ডিকেপিটেটৰ ২.ষ্টেৰাইলাইজাৰ ৩.ডিকেপিটেটৰ ৪.ষ্টেৰাইলাইজাৰ
1. উইয়ার বান্দি 2. স্ট্রবান্ডি,১/ ৱেইৰ বাণ্ডি ২.ষ্ট্ৰবন্দী
ভ্রূণ,ভ্ৰূণ
1. ভ্রূণবিদ্যা 2. পদার্থবিদ্যা,১.ভ্ৰূণবিজ্ঞান ২.পদাৰ্থ বিজ্ঞান
1. প্রস্থান 2. প্রস্থান,1. প্ৰস্থান 2. প্ৰস্থান
ইমালসিফায়ার,ইমালচাইফায়াৰ
অন্তঃসত্ত্বা,অন্তৰ্জাতীয়
আন্তঃবিন্দু বিভাগ,ইন্ট্ৰা-পইণ্ট ডিভিজন
অন্তঃপরজীবী,অন্তঃপৰজীৱী
এন্ডোস্পার্ম,এণ্ডোস্পাৰ্ম
এন্টারপ্রাইজ,উদ্যোগ
কীটতত্ত্ব,পতংগবিজ্ঞান
পরিবেশ,পৰিৱেশ
1. এনজাইম 2. এনজাইম,১.এনজাইম ২.এনজাইম
ক্লাস্টার গ্রাফটিং,ক্লাষ্টাৰ গ্ৰাফটিং
1. এপিফাইট 2. এপিফাইট,১.এপিফাইট ২.এপিফাইট
ইক্যুইটি,ন্যায়
নির্মূল,নিৰ্মূলকৰণ
অত্যাবশ্যক পুষ্টি,প্ৰয়োজনীয় পুষ্টিকৰ উপাদান
1. পরিমাপ 2. জাম্প 3. মূল্যায়ন,1. জোখ-মাখ 2. জাম্প 3. মূল্যায়ন
সূক্ষ্মতা,সূক্ষ্মতা
সুজনিক,সুজাননিক
মূল্যায়ন,মূল্যায়ন
বাষ্প গেজ,ভাপ গেজ
বাষ্পীভবন,বাষ্পীভৱন
চিরন্তন বিপ্লব,চিৰন্তন বিপ্লৱ
1. চিরসবুজ 2. চিরসবুজ,১.চিৰসেউজ ২.চিৰসেউজ
উন্নয়ন,বিকাশ
বিছিন্ন করা,কাটি পেলোৱা
পরিক্ষয় (উর্বরতা),পৰীক্ষয় (উৰ্বৰতা)
শোষণ,শোষণ
1. অন্বেষণ 2. অন্বেষণ,১.অন্বেষণ ২.অন্বেষণ
1. এক্সট্রুশন 2. নির্গমন,১.এক্সট্ৰুচন ২.নিগমন
আই,নয়ন
1. ফ্যাক্টর 2. কম্পোনেন্ট 3. ফ্যাক্টর 4. রিসোর্স,1. কাৰক 2. উপাদান 3. কাৰক 4. সম্পদ
ফ্যাক্টর উত্পাদনশীলতা,কাৰক উৎপাদনশীলতা
ব্যবসায়ীদের ডিসকাউন্ট,ট্ৰেডছমেনৰ ৰেহাই
ফ্যাক্টরিয়াল ব্লক ডিজাইন,ফেক্টৰিয়েল ব্লক ডিজাইন
বিকল্প,বিকল্প
1. পট্টি 2. পালিহার,১.পট্টি ২.পালিহাৰ
স্থূল,গোটেই অংশ
ক্ষেত্রের মূল্যায়ন,ক্ষেত্ৰ মূল্যায়ন
খামার বাজেট,ফাৰ্ম বাজেট
কৃষি ব্যবসা,কৃষি ব্যৱসায়
ক্ষেত্রের পরিকল্পনা,ক্ষেত্ৰ পৰিকল্পনা
1. কৃষক 2. কৃষক,১.কৃষক ২.কৃষক
1. কৃষি 2. কৃষিকাজ,১.কৃষি ২.খেতি কৰা
সংঘর্ষ,সংঘৰ্ষ
একাধিক প্রজনন,একাধিক প্ৰজনন
গাঁজন,কিম্বন
উর্বরতা,উৰ্বৰতা
সার,সাৰ
সার ব্যবহারের দক্ষতা,সাৰৰ ব্যৱহাৰৰ কাৰ্যক্ষমতা
তন্তুযুক্ত,আঁহযুক্ত
1. খামার 2. এলাকা 3. অবস্থান,১.পাম ২.এলেকা ৩.অৱস্থান
মাটির জল ধরে রাখা,মাটিৰ পানী ধৰি ৰখা
ক্ষেত্র প্রদর্শন,ক্ষেত্ৰ প্ৰদৰ্শন
1. ইমোবিলাইজেশন 2. ফিক্সেশন 3. ফিক্সেশন,1. স্থিৰতা 2. স্থিৰকৰণ 3. স্থিৰতা
1. প্লাবন 2. গর্ভধারণ,1. প্লাৱন 2. গৰ্ভধাৰণ
প্রবাহ চিত্র,ফ্ল&#39; ডায়াগ্ৰাম
খাদ্য মূল্য,খাদ্য মূল্য
পশুখাদ্য,পশুখাদ্য
পূর্বাভাস,পুৰ্বানুমান
বন। জংগল,অৰণ্য
বনায়ন,বনানীকৰণ
1. তাদপার্ন 2. ফর্ম,১.তাদপৰ্ণ ২.ফৰ্ম
হিম প্রতিরোধী,হিম প্ৰতিৰোধী
1. পাল 2. ব্লাইট,১.পালা ২.ব্লাইট
1. হিমায়িত 2. হিমায়িত,1. ফ্ৰ&#39;জেন 2. ফ্ৰ&#39;জেন
ফাংশন,অনুষ্ঠান
1. ফল পতন 2. ফল পতন,১/ ফলৰ পতন ২.ফলৰ পতন
ফল হত্তয়া,ফল হৈ পৰে
1. ফিউমিগেশন 2. ফিউমিগেশন,1. ধূমপান 2. ধূমপান
ছত্রাকনাশক,ভেঁকুৰনাশক
অ্যান্টিফাঙ্গাল,এন্টিফাংগেল
ছত্রাক,ভেঁকুৰ
1. খুদ 2. সীতা,১.খুদ ২.সীতা
1. ফিউশন 2. ফিউশন,1. সংযোজন 2. সংযোজন
সুতি পশম,কপাহী উল
লোমশ,লোমশ
1. গাছের আলসার 2. পিটিকা,১/ গছৰ ঘা ২.পিতিকা
1. গ্যামেট 2. গেমেট,1. গেমেট 2. গেমেট
1. বাগান 2. বাগান,১.বাৰী ২.বাগিচা
1. পানসাল 2. হাইড্রোমিটার,১.পান্সাল ২.হাইড্ৰমিটাৰ
জিন সংগ্রহ,জিন সংগ্ৰহ
জিন ট্যাগন,জিন টেগন
বংশতালিকা,বংশাৱলী
জিন মানচিত্র,জিন মেপ
জেনেটিক্স,জেনেটিক্স
1. জিনোম 2. সংগেন,১/ জিনম ২.সাংগেনে
সঞ্জিনী কালেকশন,সঞ্জিনী সংগ্ৰহ
জিনোমিক্স,জিনমিক্স
জিনোটাইপ,জিন প্ৰকাৰ
1. জিনের গঠন 2. জিনের ধরন,১.জিনৰ গঠন ২.জিনৰ প্ৰকাৰ
লিনেজ,বংশ
1. বংশ 2. বংশ,১. প্ৰজাতি ২. বংশ
1. জীবাণু 2. জীবাণু,১.বীজাণু ২.বীজাণু
জীবাণু নাশক,বীজাণুনাশক
অঙ্কুরোদগম,অংকুৰণ
1. জার্মপ্লাজম 2. জার্মপ্লাজম,১/ জীৱাণুপ্লাজম ২.জীৱাণুপ্লাজম
জিবেরেলিক অ্যাসিড,জিবেৰেলিক এচিড
কুড়ানো,গোটাওক
টুশ,তুষ
1. গ্লুটেন 2. পেটুক,১/ গ্লুটেন ২
গ্লাইকোলাইসিস,গ্লাইকোলাইছিছ
চমৎকার,বঢ়িয়া
সোনালী বিপ্লব,সোণালী বিপ্লৱ
1. শ্রেণীবিভাগ 2. শ্রেণীবিভাগ 3. স্তরবিন্যাস,1. শ্ৰেণীবিভাজন 2. শ্ৰেণীবিভাজন 3. স্তৰবিন্যাস
1. কলমযুক্ত উদ্ভিদ 2. পেনম্ব্রাল উদ্ভিদ,1. গ্ৰাফ্ট কৰা উদ্ভিদ 2. পেনুম্ব্ৰেল উদ্ভিদ
কলম অসামঞ্জস্যপূর্ণ,কলম অসামঞ্জস্যপূৰ্ণ
গ্রানা,গ্ৰানা
দানাদার,গ্ৰেনুলেচন
সবুজ সার,সেউজীয়া গোবৰ
সবুজ বিপ্লব,সেউজ বিপ্লৱ
বৃদ্ধি এবং উন্নয়ন,বৃদ্ধি আৰু বিকাশ
1. মাড়ির রোগ,১/ আঁঠুৰ ৰোগ
বিষমকামী,বিষমযৌন
1. প্রকৃতি 2. প্রকৃতি 3. রূপগুণ 4. চেহারা,1. প্ৰকৃতি 2. প্ৰকৃতি 3. ৰূপগুণ 4. ৰূপ
1. ওলা 2. কারকাপাত 3. কারকা,১.অলা ২.কৰকাপাট ৩.কৰ্কা
রোমিলওয়াচ,ৰোমিলৱাচ
লবণাক্ত সিস্ট,চেলাইন চিষ্ট
হ্যারো,harrow
1. ফসল কাটার সূচক 2. ফসল কাটার সূচক,১.চপোৱা সূচকাংক ২.চপোৱা সূচকাংক
1. ফসল কাটা 2. কাটা ফসল 3. সমাপ্ত ফসল 4. ফলন,১.চপোৱা ২.চপোৱা শস্য ৩.সমাপ্ত শস্য ৪.উৎপাদন
1. প্লাকিং 2. ফসল তোলা 3. প্লাকিং,১. ছিঙি যোৱা ২. চপোৱা ৩. ছিঙি যোৱা
1. ডিম পাড়া 2. ডিম ফোর্স,১/ কণী পৰা ২) কণী বল
শুষ্ক ঘাস,শুকান ঘাঁহ
শুকনো ফিড,শুকান খাদ্য
গেঞ্জি,গঞ্জি
কুয়াশা,কুঁৱলী
ঝাপসা,কুঁৱলীময়
1. বালি 2. সিত্তা 3. মুন্ডক 4. শীর্ষ 5. মাথা 6. সিরা,১.বালি ২.সিত্ত ৩.মুণ্ডক ৪.উপৰ ৫.মূৰ ৬.চিৰা
খাঁজ শেষ,খাঁজৰ শেষ
শীর্ষ ছাঁটাই,শীৰ্ষ ছাঁটনি
বেড়া,বেৰা
হেফাজত,জিম্মাত ৰখা
কুন্ডলিনী,কুণ্ডলিনী
হেমাটাইট,হেমাটাইট
1. ভেষজ 2. ভেষজ,১.বনৌষধি ২.বনৌষধি
1.বোটানিক্যাল কালেকশন 2.বোটানিক্যাল মিউজিয়াম,১.উদ্ভিদ সংগ্ৰহ ২.উদ্ভিদ সংগ্ৰহালয়
হার্বিসাইড,ঘাঁহনিনাশক
বংশগতি,বংশগততা
বংশগতি,বংশগততা
উভকামী,উভলিংগী
heterochromatic,হেটেৰ&#39;ক্ৰ&#39;মেটিক
heterofertilization,হেটেৰ&#39;ফাৰ্টিলাইজেচন
1. হাইব্রিডোজ 2. হেটেরোসিস,১.হাইব্ৰিড’জ ২.হেটেৰ’ছিছ
সেক্সক্রোমোজোম,লিংগক্ৰম&#39;জম
লালনপালন,লালন-পালন কৰা
হেক্সাডেসিমেল,হেক্সাডেচিমেল
ঠান্ডা সুপ্ততা,ঠাণ্ডা নিদ্ৰা
উচ্চ ঘনত্ব রোপণ,উচ্চ ঘনত্বৰ ৰোপণ কৰা
1. পিন্ডলক 2. পাহাড় (ধান),১.পিণ্ডলক ২.পাহাৰ (ধান)
হিস্টোগ্রাম,হিষ্টোগ্ৰাম
উচ্চ প্রযুক্তির উদ্যানপালন,হাই টেক উদ্যান শস্য
1. দই 2. মৌচাক,১.দৈ ২.মৌচাক
1. আগাছা 2. আগাছা,1. অপতৃণ কাটিব পৰা 2. অপতৃণ কাটিব পৰা
ধারণ,ধৰি ৰখা
ব্যক্তিগত খামার,ব্যক্তিগত পাম
হোমিওস্টেসিস,হোমিঅ&#39;ষ্টেছিছ
স্বদেশ,গৃহভূমি
একজাতীয়তা,সমতা
1. সমজাতীয় 2. সমজাতীয়,1. সমজাতীয় 2. সমজাতীয়
সহানুভূতিশীল,সহানুভূতিশীল
সমজাতীয়,সমযোজী
1. খুরিকা 2. খাদ্য পাত্র 3. হ্যাপার,১.খুৰিকা ২.খাদ্যৰ পাত্ৰ ৩.হাপাৰ
1. স্তর 2. দিগন্ত,১.স্তৰ ২.দিগন্ত
উদ্যান ফসল,উদ্যান শস্য
1. হর্টিকালচার 2. হর্টিকালচার 3. হর্টিকালচার 4. হর্টিকালচার,১/ উদ্যান শস্য ২. উদ্যান শস্য ৩. উদ্যান শস্য ৪. উদ্যান শস্য
